Unnamed: 0,NAME,PAGE,IMG_URL,LOGP,PKA,MW,FORM,SOL,DESC
13,Guanfacine,https://www.drugbank.ca/drugs/DB01018,https://www.drugbank.ca/structures/DB01018/thumb.svg,1.7,12.94,246.093,C9H9Cl2N3O,0.139,"A centrally acting antihypertensive agent. The drug lowers both systolic and diastolic blood pressure by activating the central nervous system alpha-2 adrenoreceptors, which results in reduced sympathetic outflow leading to reduced vascular tone. Its adverse reactions include dry mouth, sedation, and constipation. [PubChem]"
14,Bethanechol,https://www.drugbank.ca/drugs/DB01019,https://www.drugbank.ca/structures/DB01019/thumb.svg,-2.8,15.34,161.2221,C7H17N2O2,0.311,"Bethanechol is a synthetic ester structurally and pharmacologically related to acetylcholine. A slowly hydrolyzed muscarinic agonist with no nicotinic effects, bethanechol is generally used to increase smooth muscle tone, as in the GI tract following abdominal surgery or in urinary retention in the absence of obstruction. It may cause hypotension, cardiac rate changes, and bronchial spasms. [PubChem]"
15,Isosorbide Mononitrate,https://www.drugbank.ca/drugs/DB01020,https://www.drugbank.ca/structures/DB01020/thumb.svg,-0.15,13.34,191.1388,C6H9NO6,57.0,"Isosorbide mononitrate is a drug used principally in the treatment of angina pectoris and acts by dilating the blood vessels so as to reduce the blood pressure. It is sold by AstraZeneca under the trade name Imdur.

Isosorbide mononitrate is used to for the the prophylactic treatment of angina pectoris; that is, it is taken in order to prevent or at least reduce the occurrence of angina. Research on Isosorbide mononitrate as a cervical ripener to reduce time at hospital to birth is supportive.

Isosorbide mononitrate is an active metabolite of isosorbide dinitrate and exerts qualitatively similar effects. Isosorbide mononitrate reduces the workload of the heart by producing venous and arterial dilation. By reducing the end diastolic pressure and volume, isosorbide mononitrate lowers intramural pressure, hence leading to an improvement in the subendocardial blood flow. The net effect when administering isosorbide mononitrate is therefore a reduced workload for the heart and an improvement in the oxygen supply/demand balance of the myocardium.

The adverse reactions which follow have been reported in studies with isosorbide mononitrate:
Very common. Headache predominates (up to 30%) necessitating withdrawal of 2 to 3 % of patients, but the incidence reduces rapidly as treatment continues .
Common. Tiredness, sleep disturbances (6%) and gastrointestinal disturbances (6%) have been reported during clinical trials with isosorbide mononitrate modified release tablets, but at a frequency no greater than for placebo. Hypotension (4 to 5%), poor appetite (2.5%), nausea (1%).
Adverse effects associated with the clinical use of the drug are as expected with all nitrate preparations. They occur mainly in the early stages of treatment.
Hypotension (4%) with symptoms such as dizziness and nausea (1%) have been reported. These symptoms generally disappear during long-term treatment.
Other reactions that have been reported with isosorbide mononitrate modified release tablets include tachycardia, vomiting, diarrhoea, vertigo and heartburn"
16,Trichlormethiazide,https://www.drugbank.ca/drugs/DB01021,https://www.drugbank.ca/structures/DB01021/thumb.svg,0.62,8.32,380.656,C8H8Cl3N3O4S2,0.415,"A thiazide diuretic with properties similar to those of hydrochlorothiazide. (From Martindale, The Extra Pharmacopoeia, 30th ed, p830)"
17,Mycophenolic acid,https://www.drugbank.ca/drugs/DB01024,https://www.drugbank.ca/structures/DB01024/thumb.svg,2.8,3.57,320.3371,C17H20O6,0.0355,"Mycophenolic acid is an an immunosuppresant drug and potent anti-proliferative, and can be used in place of the older anti-proliferative azathioprine. It is usually used as part of triple therapy including a calcineurin inhibitor (ciclosporin or tacrolimus) and prednisolone. It is also useful in research for the selection of animal cells that express the E. coli gene coding for XGPRT (xanthine guanine phosphoribosyltransferase)."
18,Amlexanox,https://www.drugbank.ca/drugs/DB01025,https://www.drugbank.ca/structures/DB01025/thumb.svg,4.1,4.3,298.2934,C16H14N2O4,0.146,"Amlexanox is an antiallergic drug, clinically effective for atopic diseases, especially allergic asthma and rhinitis. Amlexanox as a topical paste is a well tolerated treatment of recurrent aphthous ulcers. Recurrent aphthous ulcer (RAU) is the most prevalent oral mucosal disease in humans, estimated to affect between 5% and 50% of the general population."
19,Irbesartan,https://www.drugbank.ca/drugs/DB01029,https://www.drugbank.ca/structures/DB01029/thumb.svg,6.0,7.4,428.5294,C25H28N6O,0.00884,"Irbesartan is an angiotensin receptor blocker (ARB) used mainly for the treatment of hypertension. It competes with angiotensin II for binding at the AT1 receptor subtype. Unlike ACE inhibitors, ARBs do not have the adverse effect of dry cough. The use of ARBs is pending revision due to findings from several clinical trials suggesting that this class of drugs may be associated with a small increased risk of cancer."
20,Topotecan,https://www.drugbank.ca/drugs/DB01030,https://www.drugbank.ca/structures/DB01030/thumb.svg,0.8,8.0,421.4458,C23H23N3O5,0.861,"An antineoplastic agent used to treat ovarian cancer. It works by inhibiting DNA topoisomerases, type I. [PubChem]"
21,Ethinamate,https://www.drugbank.ca/drugs/DB01031,https://www.drugbank.ca/structures/DB01031/thumb.svg,1.2,15.37,167.205,C9H13NO2,0.106,"Ethinamate is a short-acting sedative-hypnotic medication used to treat insomnia. Regular use leads to tolerance, and it is usually not effective for more than 7 days. Structurally, it does not resemble the barbituates, but it shares many effects with this class of drugs; the depressant effects of ethinamate are, however, generally milder than those of most barbiturates."
22,Probenecid,https://www.drugbank.ca/drugs/DB01032,https://www.drugbank.ca/structures/DB01032/thumb.svg,3.21,3.53,285.359,C13H19NO4S,0.425,"The prototypical uricosuric agent. It inhibits the renal excretion of organic anions and reduces tubular reabsorption of urate. Probenecid has also been used to treat patients with renal impairment, and, because it reduces the renal tubular excretion of other drugs, has been used as an adjunct to antibacterial therapy. [PubChem]"
23,Mercaptopurine,https://www.drugbank.ca/drugs/DB01033,https://www.drugbank.ca/structures/DB01033/thumb.svg,0.01,9.5,152.177,C5H4N4S,0.735,"An antimetabolite antineoplastic agent with immunosuppressant properties. It interferes with nucleic acid synthesis by inhibiting purine metabolism and is used, usually in combination with other drugs, in the treatment of or in remission maintenance programs for leukemia. [PubChem]"
24,Cerulenin,https://www.drugbank.ca/drugs/DB01034,https://www.drugbank.ca/structures/DB01034/thumb.svg,1.2,14.16,223.2683,C12H17NO3,1.6,"Cerulenin is an antifungal antibiotic that inhibits sterol and fatty acid biosynthesis. In fatty acid synthesis, reported to bind in equimolar ratio to b-keto-acyl-ACP synthase. In sterol synthesis, inhibits HMG-CoA synthetase activity. It is also shown to inhibit feeding and induce dramatic weight loss in mice. It is found naturally in the Cephalosporium caerulensfungus. [Wikipedia]"
25,Procainamide,https://www.drugbank.ca/drugs/DB01035,https://www.drugbank.ca/structures/DB01035/thumb.svg,0.88,15.75,235.3253,C13H21N3O,3.02,A derivative of procaine with less CNS action. [PubChem]
26,Tolterodine,https://www.drugbank.ca/drugs/DB01036,https://www.drugbank.ca/structures/DB01036/thumb.svg,5.6,10.28,325.4876,C22H31NO,0.00534,Tolterodine is an antimuscarinic drug that is used to treat urinary incontinence. Tolterodine acts on M2 and M3 subtypes of muscarinic receptors.
27,Carphenazine,https://www.drugbank.ca/drugs/DB01038,https://www.drugbank.ca/structures/DB01038/thumb.svg,3.3,15.56,411.56,C23H29N3O2S,0.0905,"Carphenazine is an antipsychotic drug, used in hospitalized patients in the management of chronic schizophrenic psychoses."
28,Hydroxystilbamidine Isethionate,https://www.drugbank.ca/drugs/DB01040,https://www.drugbank.ca/structures/DB01040/thumb.svg,1.679,8.22,532.58,C20H28N4O9S2,0.0644,"Hydroxystilbamidine Isethionate is used in the therapy of some patients with nonprogressive blastomycosis of the skin, and pulmonary or systemic blastomycosis in children, with fewer side effects than amphotericin B. Hydroxystilbamidine Isethionate is also used in pathology for diagnostic purposes."
29,Thalidomide,https://www.drugbank.ca/drugs/DB01041,https://www.drugbank.ca/structures/DB01041/thumb.svg,0.33,11.59,258.2295,C13H10N2O4,2.55,"A piperidinyl isoindole originally introduced as a non-barbiturate hypnotic, but withdrawn from the market due to teratogenic effects. It has been reintroduced and used for a number of immunological and inflammatory disorders. Thalidomide displays immunosuppresive and anti-angiogenic activity. It inhibits release of tumor necrosis factor-alpha from monocytes, and modulates other cytokine action. [PubChem]"
30,Melphalan,https://www.drugbank.ca/drugs/DB01042,https://www.drugbank.ca/structures/DB01042/thumb.svg,-0.52,1.29,305.2,C13H18Cl2N2O2,0.358,"An alkylating nitrogen mustard that is used as an antineoplastic in the form of the levo isomer - melphalan, the racemic mixture - merphalan, and the dextro isomer - medphalan; toxic to bone marrow, but little vesicant action; potential carcinogen. [PubChem]"
31,Gatifloxacin,https://www.drugbank.ca/drugs/DB01044,https://www.drugbank.ca/structures/DB01044/thumb.svg,2.6,5.69,375.3941,C19H22FN3O4,0.631,"Gatifloxacin is an antibiotic of the fourth-generation fluoroquinolone family, that like other members of that family, inhibits the bacterial enzymes DNA gyrase and topoisomerase IV. Bristol-Myers Squibb introduced Gatifloxacin in 1999 under the proprietary name Tequin® for the treatment of respiratory tract infections, having licensed the medication from Kyorin Pharmaceutical Company of Japan. Allergan produces an eye-drop formulation called Zymar®. Gatifloxacin is available as tablets and in various aqueous solutions for intravenous therapy. [Wikipedia]"
32,Lubiprostone,https://www.drugbank.ca/drugs/DB01046,https://www.drugbank.ca/structures/DB01046/thumb.svg,4.3,4.3,390.468,C20H32F2O5,0.0256,"Lubiprostone is a medication used in the management of idiopathic chronic constipation. It is a bicyclic fatty acid (prostaglandin E1 derivative) which acts by specifically activating ClC-2 chloride channels on the apical aspect of gastrointestinal epithelial cells, producing a chloride-rich fluid secretion. These secretions soften the stool, increase motility, and promote spontaneous bowel movements (SBM)."
33,Fluocinonide,https://www.drugbank.ca/drugs/DB01047,https://www.drugbank.ca/structures/DB01047/thumb.svg,3.19,13.55,494.5249,C26H32F2O7,0.0168,A topical glucocorticoid used in the treatment of eczema. [PubChem]
34,Abacavir,https://www.drugbank.ca/drugs/DB01048,https://www.drugbank.ca/structures/DB01048/thumb.svg,1.2,15.41,286.3323,C14H18N6O,1.21,"Abacavir (ABC) is a powerful nucleoside analog reverse transcriptase inhibitor (NRTI) used to treat HIV and AIDS. Chemically, it is a synthetic carbocyclic nucleoside and is the enantiomer with 1S, 4R absolute configuration on the cyclopentene ring. In vivo, abacavir sulfate dissociates to its free base, abacavir."
35,Ibuprofen,https://www.drugbank.ca/drugs/DB01050,https://www.drugbank.ca/structures/DB01050/thumb.svg,3.97,4.85,206.2808,C13H18O2,0.0684,"Ibuprofen, a propionic acid derivative, is a prototypical nonsteroidal anti-inflammatory agent (NSAIA) with analgesic and antipyretic properties."
36,Novobiocin,https://www.drugbank.ca/drugs/DB01051,https://www.drugbank.ca/structures/DB01051/thumb.svg,4.1,6.96,612.6243,C31H36N2O11,0.00966,"An antibiotic compound derived from Streptomyces niveus. It has a chemical structure similar to coumarin. Novobiocin binds to DNA gyrase, and blocks adenosine triphosphatase (ATPase) activity.  (From Reynolds, Martindale The Extra Pharmacopoeia, 30th ed, p189) [PubChem]"
37,Benzylpenicillin,https://www.drugbank.ca/drugs/DB01053,https://www.drugbank.ca/structures/DB01053/thumb.svg,1.83,3.53,334.39,C16H18N2O4S,0.285,"Benzylpenicillin (Penicillin G) is narrow spectrum antibiotic used to treat infections caused by susceptible bacteria. It is a natural penicillin antibiotic that is administered intravenously or intramuscularly due to poor oral absorption. Penicillin G may also be used in some cases as prophylaxis against susceptible organisms.
 
Natural penicillins are considered the drugs of choice for several infections caused by susceptible gram positive aerobic organisms, such asStreptococcus pneumoniae, groups A, B, C and G streptococci, nonenterococcal group D streptococci, viridans group streptococci, and non-penicillinase producing staphylococcus. Aminoglycosides may be added for synergy against group B streptococcus (S. agalactiae),S. viridans, andEnterococcus faecalis. The natural penicillins may also be used as first or second line agents against susceptible gram positive aerobic bacilli such asBacillus anthracis,Corynebacterium diphtheriae, andErysipelothrix rhusiopathiae. Natural penicillins have limited activity against gram negative organisms; however, they may be used in some cases to treat infections caused byNeisseria meningitidisandPasteurella. They are not generally used to treat anaerobic infections. Resistance patterns, susceptibility and treatment guidelines vary across regions."
38,Mimosine,https://www.drugbank.ca/drugs/DB01055,https://www.drugbank.ca/structures/DB01055/thumb.svg,-2.5,1.94,198.176,C8H10N2O4,13.1,3-Hydroxy-4-oxo-1(4H)-pyridinealanine. An antineoplastic alanine-substituted pyridine derivative isolated from Leucena glauca. [PubChem]
39,Tocainide,https://www.drugbank.ca/drugs/DB01056,https://www.drugbank.ca/structures/DB01056/thumb.svg,0.76,13.65,192.2575,C11H16N2O,1.6,An antiarrhythmic agent which exerts a potential- and frequency-dependent block of sodium channels. [PubChem]
40,Praziquantel,https://www.drugbank.ca/drugs/DB01058,https://www.drugbank.ca/structures/DB01058/thumb.svg,2.5,19.38,312.4061,C19H24N2O2,0.381,An anthelmintic used in most schistosome and many cestode infestations. [PubChem]
41,Norfloxacin,https://www.drugbank.ca/drugs/DB01059,https://www.drugbank.ca/structures/DB01059/thumb.svg,-1.03,5.77,319.3308,C16H18FN3O3,1.01,A synthetic fluoroquinolone (fluoroquinolones) with broad-spectrum antibacterial activity against most gram-negative and gram-positive bacteria. Norfloxacin inhibits bacterial DNA gyrase. [PubChem]
42,Amoxicillin,https://www.drugbank.ca/drugs/DB01060,https://www.drugbank.ca/structures/DB01060/thumb.svg,0.87,3.23,365.404,C16H19N3O5S,0.958,A broad-spectrum semisynthetic antibiotic similar to ampicillin except that its resistance to gastric acid permits higher serum levels with oral administration. Amoxicillin is commonly prescribed with clauvanic acid (a beta lactamase inhibitor) as it is susceptible to beta-lacatamase degradation. [PubChem]
43,Azlocillin,https://www.drugbank.ca/drugs/DB01061,https://www.drugbank.ca/structures/DB01061/thumb.svg,0.2,3.49,461.492,C20H23N5O6S,0.233,A semisynthetic ampicillin-derived acylureido penicillin. [PubChem]
44,Oxybutynin,https://www.drugbank.ca/drugs/DB01062,https://www.drugbank.ca/structures/DB01062/thumb.svg,4.3,11.53,357.4864,C22H31NO3,0.01,"Oxybutynin is an anticholinergic medication used to relieve urinary and bladder difficulties, including frequent urination and inability to control urination, by decreasing muscle spasms of the bladder. It competitively antagonizes the M1, M2, and M3 subtypes of the muscarinic acetylcholine receptor."
45,Acetophenazine,https://www.drugbank.ca/drugs/DB01063,https://www.drugbank.ca/structures/DB01063/thumb.svg,2.62,15.46,411.56,C23H29N3O2S,0.0601,Acetophenazine is an antipsychotic drug of moderate-potency. It is used in the treatment of disorganized and psychotic thinking. It is also used to help treat false perceptions (e.g. hallucinations or delusions). It primarily targets the dopamine D2 receptor.
46,Isoprenaline,https://www.drugbank.ca/drugs/DB01064,https://www.drugbank.ca/structures/DB01064/thumb.svg,1.4,9.81,211.2576,C11H17NO3,5.86,"Isopropyl analog of epinephrine; beta-sympathomimetic that acts on the heart, bronchi, skeletal muscle, alimentary tract, etc. It is used mainly as bronchodilator and heart stimulant. [PubChem]"
47,Melatonin,https://www.drugbank.ca/drugs/DB01065,https://www.drugbank.ca/structures/DB01065/thumb.svg,1.6,15.8,232.2783,C13H16N2O2,0.143,"Melatonin is a biogenic amine that is found in animals, plants and microbes. Aaron B. Lerner of Yale University is credited for naming the hormone and for defining its chemical structure in 1958.  In mammals, melatonin is produced by the pineal gland. The pineal gland is small endocrine gland, about the size of a rice grain and shaped like a pine cone (hence the name), that is located in the center of the brain (rostro-dorsal to the superior colliculus) but outside the blood-brain barrier. The secretion of melatonin increases in darkness and decreases during exposure to light, thereby regulating the circadian rhythms of several biological functions, including the sleep-wake cycle. In particular, melatonin regulates the sleep-wake cycle by chemically causing drowsiness and lowering the body temperature.  Melatonin is also implicated in the regulation of mood, learning and memory, immune activity, dreaming, fertility and reproduction. Melatonin is also an effective antioxidant.  Most of the actions of melatonin are mediated through the binding and activation of melatonin receptors. Individuals with autism spectrum disorders (ASD) may have lower than normal levels of melatonin. A 2008 study found that unaffected parents of individuals with ASD also have lower melatonin levels, and that the deficits were associated with low activity of the ASMT gene, which encodes the last enzyme of melatonin synthesis. Reduced melatonin production has also been proposed as a likely factor in the significantly higher cancer rates in night workers."
48,Cefditoren,https://www.drugbank.ca/drugs/DB01066,https://www.drugbank.ca/structures/DB01066/thumb.svg,1.7,3.4,506.578,C19H18N6O5S3,0.0441,Cefditoren is a third-generation cephalosporin antibiotic for oral use. It is commonly marketed under the trade name Spectracef by Cornerstone BioPharma.
49,Glipizide,https://www.drugbank.ca/drugs/DB01067,https://www.drugbank.ca/structures/DB01067/thumb.svg,1.91,4.32,445.535,C21H27N5O4S,0.0164,An oral hypoglycemic agent which is rapidly absorbed and completely metabolized. [PubChem]
50,Clonazepam,https://www.drugbank.ca/drugs/DB01068,https://www.drugbank.ca/structures/DB01068/thumb.svg,2.41,11.89,315.711,C15H10ClN3O3,0.0106,"An anticonvulsant used for several types of seizures, including myotonic or atonic seizures, photosensitive epilepsy, and absence seizures, although tolerance may develop. It is seldom effective in generalized tonic-clonic or partial seizures. The mechanism of action appears to involve the enhancement of gamma-aminobutyric acid receptor responses. [PubChem]"
51,Dihydrotachysterol,https://www.drugbank.ca/drugs/DB01070,https://www.drugbank.ca/structures/DB01070/thumb.svg,7.5,18.3,398.6642,C28H46O,0.000125,A vitamin D that can be regarded as a reduction product of vitamin D2. [PubChem]
52,Atazanavir,https://www.drugbank.ca/drugs/DB01072,https://www.drugbank.ca/structures/DB01072/thumb.svg,4.5,11.92,704.8555,C38H52N6O7,0.00327,"Atazanavir (formerly known as BMS-232632) is an antiretroviral drug of the protease inhibitor (PI) class. Like other antiretrovirals, it is used to treat infection of human immunodeficiency virus (HIV). Atazanavir is distinguished from other PIs in that it can be given once-daily (rather than requiring multiple doses per day) and has lesser effects on the patient's lipid profile (the amounts of cholesterol and other fatty substances in the blood). Like other protease inhibitors, it is used only in combination with other HIV medications. The U.S. Food and Drug Administration (FDA) approved atazanavir on June 20, 2003. [Wikipedia]"
53,Fludarabine,https://www.drugbank.ca/drugs/DB01073,https://www.drugbank.ca/structures/DB01073/thumb.svg,-2.8,12.45,285.235,C10H12FN5O4,12.1,Fludarabine (marketed as fludarabine phosphate under the trade name Fludara) is a chemotherapy drug used in the treatment of hematological malignancies. [Wikipedia]
54,Atorvastatin,https://www.drugbank.ca/drugs/DB01076,https://www.drugbank.ca/structures/DB01076/thumb.svg,5.7,4.33,557.6319,C33H34FN2O5,0.000495,"Atorvastatin (Lipitor) is a member of the drug class known as statins. It is used for lowering cholesterol. Atorvastatin is a competitive inhibitor of hydroxymethylglutaryl-coenzyme A (HMG-CoA) reductase, the rate-determining enzyme in cholesterol biosynthesis via the mevalonate pathway. HMG-CoA reductase catalyzes the conversion of HMG-CoA to mevalonate. Atorvastatin acts primarily in the liver. Decreased hepatic cholesterol levels increases hepatic uptake of cholesterol and reduces plasma cholesterol levels."
55,Etidronic acid,https://www.drugbank.ca/drugs/DB01077,https://www.drugbank.ca/structures/DB01077/thumb.svg,-3.8,0.7,206.0282,C2H8O7P2,11.5,A diphosphonate which affects calcium metabolism. It inhibits ectopic calcification and slows down bone resorption and bone turnover.
56,Deslanoside,https://www.drugbank.ca/drugs/DB01078,https://www.drugbank.ca/structures/DB01078/thumb.svg,0.2,7.15,943.0791,C47H74O19,0.468,Deacetyllanatoside C. A cardiotonic glycoside from the leaves of Digitalis lanata. [PubChem]
57,Tegaserod,https://www.drugbank.ca/drugs/DB01079,https://www.drugbank.ca/structures/DB01079/thumb.svg,2.6,15.24,301.394,C16H23N5O,0.0288,"Tegaserod is a 5-HT4 agonist manufactured by Novartis and used for the management of irritable bowel syndrome and constipation. Its use was the only drug approved by the United States Food and Drug Administration to help relieve the abdominal discomfort, bloating and constipation associated with irritable bowel syndrome. On March 30, 2007, the U.S. Food and Drug Administration requested that Novartis withdraw Zelnorm from shelves. The FDA alleges a relationship between prescriptions of the drug and increased risks of heart attack or stroke. [Wikipedia]"
58,Vigabatrin,https://www.drugbank.ca/drugs/DB01080,https://www.drugbank.ca/structures/DB01080/thumb.svg,-2.16,4.61,129.157,C6H11NO2,96.6,"An analogue of gamma-aminobutyric acid, vigabatrin is an irreversible inhibitor of 4-aminobutyrate transaminase, the enzyme responsible for the catabolism of gamma-aminobutyric acid. (From Martindale The Extra Pharmacopoeia, 31st ed). Off-label uses include treatment of cocaine dependence."
59,Streptomycin,https://www.drugbank.ca/drugs/DB01082,https://www.drugbank.ca/structures/DB01082/thumb.svg,-6.4,10.88,581.5741,C21H39N7O12,12.8,Streptomycin is an aminoglycoside antibiotic produced by the soil actinomycete Streptomyces griseus. It acts by binding to the 30S ribosomal subunit of susceptible organisms and disrupting the initiation and elongation steps in protein synthesis. It is bactericidal due to effects that are not fully understood.
60,Orlistat,https://www.drugbank.ca/drugs/DB01083,https://www.drugbank.ca/structures/DB01083/thumb.svg,8.6,12.74,495.7348,C29H53NO5,9.19e-05,"Orlistat is a drug designed to treat obesity. Its primary function is preventing the absorption of fats from the human diet, thereby reducing caloric intake. Orlistat works by inhibiting pancreatic lipase, an enzyme that breaks down triglycerides in the intestine. Without this enzyme, triglycerides from the diet are prevented from being hydrolyzed into absorbable free fatty acids and are excreted undigested."
61,Primaquine,https://www.drugbank.ca/drugs/DB01087,https://www.drugbank.ca/structures/DB01087/thumb.svg,2.1,17.11,259.3467,C15H21N3O,0.0564,"An aminoquinoline that is given by mouth to produce a radical cure and prevent relapse of vivax and ovale malarias following treatment with a blood schizontocide. It has also been used to prevent transmission of falciparum malaria by those returning to areas where there is a potential for re-introduction of malaria. Adverse effects include anemias and GI disturbances. (From Martindale, The Extra Pharmacopeia, 30th ed, p404)"
