timestamp,project_name,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,on_cloud,cloud_provider,cloud_region,,,,,,,,,,,,,,
2020-04-16T03:26:11,project_gamma,24,2,1,8,0,1.234535652,8,0,0.156533338,8,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-04-17T09:26:11,project_theta,40,8,4,5,0,1.234535686,5,0,0.156533345,5,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-04-18T15:26:11,project_gamma,42,4,2,1,0,1.23453572,1,0,0.156533353,1,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-04-19T21:26:11,project_beta,12,5,2.5,4,0,1.234535755,4,0,0.15653336,4,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-21T03:26:11,project_gamma,26,9,4.5,2,0,1.234535789,2,0,0.156533367,2,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-04-22T09:26:11,project_beta,31,4,2,2,0,1.234535823,2,0,0.156533375,2,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-23T15:26:11,project_gamma,29,4,2,4,0,1.234535858,4,0,0.156533382,4,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-04-24T21:26:11,project_beta,19,2,1,7,0,1.234535892,7,0,0.156533389,7,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-04-26T03:26:11,project_theta,39,1,0.5,4,0,1.234535926,4,0,0.156533396,4,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-04-27T09:26:11,project_delta,43,4,2,2,0,1.23453596,2,0,0.156533404,2,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-04-28T15:26:11,project_delta,10,8,4,4,0,1.234535995,4,0,0.156533411,4,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-04-29T21:26:11,project_gamma,19,7,3.5,9,0,1.234536029,9,0,0.156533418,9,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-04-31T03:26:11,project_beta,49,2,1,3,0,1.234536063,3,0,0.156533425,3,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-01T09:26:11,project_alpha,37,3,1.5,2,0,1.234536098,2,0,0.156533433,2,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-02T15:26:11,project_alpha,29,6,3,4,0,1.234536132,4,0,0.15653344,4,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-03T21:26:11,project_theta,38,7,3.5,8,0,1.234536166,8,0,0.156533447,8,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-05-05T03:26:11,project_alpha,32,8,4,4,0,1.234536201,4,0,0.156533455,4,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-06T09:26:11,project_beta,19,5,2.5,3,0,1.234536235,3,0,0.156533462,3,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-07T15:26:11,project_delta,26,9,4.5,1,0,1.234536269,1,0,0.156533469,1,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-05-08T21:26:11,project_theta,20,7,3.5,8,0,1.234536303,8,0,0.156533476,8,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-05-10T03:26:11,project_gamma,24,6,3,5,0,1.234536338,5,0,0.156533484,5,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-05-11T09:26:11,project_alpha,38,5,2.5,4,0,1.234536372,4,0,0.156533491,4,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-12T15:26:11,project_alpha,41,3,1.5,5,0,1.234536406,5,0,0.156533498,5,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-13T21:26:11,project_beta,47,4,2,3,0,1.234536441,3,0,0.156533505,3,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-15T03:26:11,project_theta,24,9,4.5,4,0,1.234536475,4,0,0.156533513,4,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-05-16T09:26:11,project_delta,40,2,1,8,0,1.234536509,8,0,0.15653352,8,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-05-17T15:26:11,project_delta,16,5,2.5,8,0,1.234536544,8,0,0.156533527,8,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-05-18T21:26:11,project_gamma,40,2,1,2,0,1.234536578,2,0,0.156533535,2,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-05-20T03:26:11,project_theta,13,5,2.5,5,0,1.234536612,5,0,0.156533542,5,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-05-21T09:26:11,project_theta,11,4,2,4,0,1.234536646,4,0,0.156533549,4,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-05-22T15:26:11,project_delta,23,7,3.5,6,0,1.234536681,6,0,0.156533556,6,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-05-23T21:26:11,project_alpha,45,8,4,5,0,1.234536715,5,0,0.156533564,5,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-25T03:26:11,project_delta,18,7,3.5,1,0,1.234536749,1,0,0.156533571,1,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-05-26T09:26:11,project_beta,19,9,4.5,8,0,1.234536784,8,0,0.156533578,8,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-27T15:26:11,project_delta,33,4,2,4,0,1.234536818,4,0,0.156533585,4,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-05-28T21:26:11,project_alpha,15,4,2,3,0,1.234536852,3,0,0.156533593,3,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-05-30T03:26:11,project_gamma,45,4,2,2,0,1.234536887,2,0,0.1565336,2,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-06-01T09:26:11,project_gamma,15,6,3,8,0,1.234536921,8,0,0.156533607,8,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-06-02T15:26:11,project_alpha,45,4,2,2,0,1.234536955,2,0,0.156533615,2,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-03T21:26:11,project_delta,44,1,0.5,3,0,1.234536989,3,0,0.156533622,3,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-06-05T03:26:11,project_delta,48,4,2,7,0,1.234537024,7,0,0.156533629,7,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-06-06T09:26:11,project_delta,11,5,2.5,3,0,1.234537058,3,0,0.156533636,3,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-06-07T15:26:11,project_delta,21,1,0.5,7,0,1.234537092,7,0,0.156533644,7,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-06-08T21:26:11,project_theta,43,2,1,2,0,1.234537127,2,0,0.156533651,2,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-06-10T03:26:11,project_alpha,19,8,4,5,0,1.234537161,5,0,0.156533658,5,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-11T09:26:11,project_alpha,20,9,4.5,3,0,1.234537195,3,0,0.156533665,3,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-12T15:26:11,project_theta,19,1,0.5,5,0,1.23453723,5,0,0.156533673,5,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-06-13T21:26:11,project_alpha,48,4,2,4,0,1.234537264,4,0,0.15653368,4,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-15T03:26:11,project_alpha,48,2,1,9,0,1.234537298,9,0,0.156533687,9,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-16T09:26:11,project_delta,18,9,4.5,3,0,1.234537332,3,0,0.156533695,3,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-06-17T15:26:11,project_theta,38,7,3.5,7,0,1.234537367,7,0,0.156533702,7,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-06-18T21:26:11,project_gamma,36,5,2.5,7,0,1.234537401,7,0,0.156533709,7,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-06-20T03:26:11,project_delta,15,2,1,7,0,1.234537435,7,0,0.156533716,7,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-06-21T09:26:11,project_alpha,41,4,2,6,0,1.23453747,6,0,0.156533724,6,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-22T15:26:11,project_alpha,11,4,2,6,0,1.234537504,6,0,0.156533731,6,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-23T21:26:11,project_beta,23,5,2.5,1,0,1.234537538,1,0,0.156533738,1,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-25T03:26:11,project_alpha,47,9,4.5,6,0,1.234537573,6,0,0.156533745,6,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-26T09:26:11,project_beta,19,9,4.5,4,0,1.234537607,4,0,0.156533753,4,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-27T15:26:11,project_alpha,39,2,1,7,0,1.234537641,7,0,0.15653376,7,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-28T21:26:11,project_alpha,11,7,3.5,1,0,1.234537675,1,0,0.156533767,1,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-06-30T03:26:11,project_gamma,46,9,4.5,1,0,1.23453771,1,0,0.156533775,1,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-06-31T09:26:11,project_alpha,23,2,1,9,0,1.234537744,9,0,0.156533782,9,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-07-01T15:26:11,project_beta,34,7,3.5,8,0,1.234537778,8,0,0.156533789,8,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-07-02T21:26:11,project_gamma,40,1,0.5,5,0,1.234537813,5,0,0.156533796,5,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-07-04T03:26:11,project_gamma,34,7,3.5,7,0,1.234537847,7,0,0.156533804,7,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-07-05T09:26:11,project_delta,39,9,4.5,3,0,1.234537881,3,0,0.156533811,3,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-07-06T15:26:11,project_theta,49,5,2.5,3,0,1.234537916,3,0,0.156533818,3,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-07-07T21:26:11,project_gamma,42,8,4,9,0,1.23453795,9,0,0.156533825,9,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-07-09T03:26:11,project_delta,48,8,4,6,0,1.234537984,6,0,0.156533833,6,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-07-10T09:26:11,project_theta,31,6,3,4,0,1.234538018,4,0,0.15653384,4,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-07-11T15:26:11,project_delta,21,2,1,6,0,1.234538053,6,0,0.156533847,6,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-07-12T21:26:11,project_gamma,35,3,1.5,1,0,1.234538087,1,0,0.156533855,1,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-07-14T03:26:11,project_theta,20,1,0.5,8,0,1.234538121,8,0,0.156533862,8,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth,,,,,,,,,,,,,,
2020-07-15T09:26:11,project_gamma,31,6,3,1,0,1.234538156,1,0,0.156533869,1,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-07-16T15:26:11,project_gamma,48,5,2.5,4,0,1.23453819,4,0,0.156533876,4,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-07-17T21:26:11,project_beta,16,7,3.5,8,0,1.234538224,8,0,0.156533884,8,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-07-19T03:26:11,project_delta,38,9,4.5,2,0,1.234538259,2,0,0.156533891,2,Taiwan,TWN,Changhua County,Y,gcp,asia-east1,,,,,,,,,,,,,,
2020-07-20T09:26:11,project_gamma,45,4,2,9,0,1.234538293,9,0,0.156533898,9,USA,USA,Ohio,Y,aws,us-east-2,,,,,,,,,,,,,,
2020-07-21T15:26:11,project_beta,14,1,0.5,8,0,1.234538327,8,0,0.156533905,8,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-07-22T21:26:11,project_alpha,48,4,2,6,0,1.234538361,6,0,0.156533913,6,Canada,CAN,Ontario,N,,,,,,,,,,,,,,,,
2020-07-24T03:26:11,project_theta,32,8,4,5,0,1.234538396,5,0,0.15653392,5,Brazil,BRA,Sao Paulo,Y,azure,brazilsouth2021-07-14T10:59:36,codecarbon,3565.51492,0.027399096,2.6775,0,1.533303325,0.022284099,0,0.012761264,0.035045363,Morocco,MAR,casablanca-settat,N
