Author,n (strains),publication title,journal,publication URL,strains
Anwar et al.,1,?,,unknown,DENV3/SINGAPORE/8120/1995
Gu et al.,1,?,,unknown,DENV3/CHINA/ZJYW/2009
Alpuche et al.,9,?,,unknown,DENV3/SRI_LANKA/BIDV2407/1983 DENV3/SRI_LANKA/BIDV2410/1983 DENV3/SRI_LANKA/BIDV2405/1983 DENV3/NICARAGUA/BIDV2419/1998 DENV3/SPAIN/BIDV2978/2001 DENV3/MEXICO/BIDV2985/2003 DENV3/MEXICO/BIDV2989/2007 DENV3/MEXICO/ALTOLUCERO5/2006 DENV3/MEXICO/3/2006
Cassar et al.,8,?,,unknown,DENV3/FRENCH_POLYNESIA/3050/1990 DENV3/FRENCH_POLYNESIA/27643/1989 DENV3/FRENCH_POLYNESIA/3056/1990 DENV3/FRENCH_POLYNESIA/6056/1990 DENV3/FRENCH_POLYNESIA/320219/1989 DENV3/FRENCH_POLYNESIA/2956/1992 DENV3/FRENCH_POLYNESIA/4190/1992 DENV3/FRENCH_POLYNESIA/136116/1994
Li et al.,1,?,,unknown,DENV3/CHINA/40/2014
Corwin et al.,3,?,,unknown,DENV3/INDONESIA/902890/1998 DENV3/INDONESIA/901517/1998 DENV3/INDONESIA/901403/1998
Gubler et al.,16,?,,unknown,DENV3/PHILIPPINES/ILIPPINES/1956 DENV3/PHILIPPINES/ILIPPINES/1983 DENV3/INDONESIA/NA/1973 DENV3/FIJI/29472/1992 DENV3/MALAYSIA/NA/1974 DENV3/INDONESIA/NA/1978 DENV3/INDONESIA/NA/1985 DENV3/THAILAND/AILAND/1962 DENV3/THAILAND/AILAND/1986 DENV3/THAILAND/AILAND/1987 DENV3/SAMOA/NA/1986 DENV3/SRI_LANKA/SRILANKA/1985 DENV3/SRI_LANKA/SRILANKA/1981 DENV3/INDIA/DIA/1984 DENV3/SRI_LANKA/SRILANKA/1991 DENV3/MOZAMBIQUE/NA/1985
Angel et al.,2,?,,unknown,DENV3/INDIA/RAJTHANDIADMRCBALOTRA87/2013 DENV3/INDIA/RAJTHANDIABALOTRA87S/2013
Blaney et al.,1,?,,unknown,DENV3/INDONESIA/SLEMAN/1978
Allicock et al.,3,?,,unknown,DENV3/BELIZE/CAREC11479/1998 DENV3/BELIZE/CAREC14035/2004 DENV3/BELIZE/CAREC14066/2004
Dharmana et al.,2,?,,unknown,DENV3/INDONESIA/SMGSE052/2012 DENV3/INDONESIA/SMGSE005/2012
Balmaseda et al.,6,?,,unknown,DENV3/NICARAGUA/BIDV7634/2011 DENV3/NICARAGUA/BIDV7674/2011 DENV3/NICARAGUA/BIDV7646/2012 DENV3/NICARAGUA/BIDV7662/2011 DENV3/NICARAGUA/BIDV7694/2012 DENV3/NICARAGUA/BIDV7658/2012
Colon et al.,7,?,,unknown,DENV3/AMERICAN_SAMOA/SADB036/1995 DENV3/COOK_ISLANDS/DB030/1991 DENV3/SOMALIA/DB130/2011 DENV3/SOMALIA/DB127/2011 DENV3/SOMALIA/DB128/2011 DENV3/MEXICO/DB033/2007 DENV3/COSTA_RICA/DB026/1995
Alfonso et al.,7,?,,unknown,DENV3/BRAZIL/8/2004 DENV3/BRAZIL/BV4/2002 DENV3/PARAGUAY/10/2003 DENV3/PARAGUAY/PJ4/2003 DENV3/BRAZIL/PV1/2003 DENV3/BRAZIL/ACN/2007 DENV3/BRAZIL/AL95/2009
Ali et al.,9,?,,unknown,DENV3/BANGLADESH/H148/2006 DENV3/BANGLADESH/H66/2006 DENV3/BANGLADESH/H67/2008 DENV3/BANGLADESH/H62/2008 DENV3/BANGLADESH/H113/2006 DENV3/BANGLADESH/H136/2007 DENV3/BANGLADESH/H140/2007 DENV3/BANGLADESH/H41/2006 DENV3/BANGLADESH/H72/2008
Alvarez et al.,6,?,,unknown,DENV3/CUBA/BA557/2001 DENV3/CUBA/BA547/2001 DENV3/CUBA/BA20/2002 DENV3/CUBA/BA17/2002 DENV3/CUBA/BA21/2002 DENV3/CUBA/BA546/2001
Lo et al.,2,?,,unknown,DENV3/SINGAPORE/0040/2009 DENV3/SINGAPORE/0235/2007
Aaskov et al.,10,?,,unknown,DENV3/INDONESIA/SLEMANDELTA30/1978 DENV3/SOLOMON_ISLANDS/SAL3DM/2013 DENV3/SOLOMON_ISLANDS/SAL1FM/2013 DENV3/MYANMAR/80931/2008 DENV3/CAMBODIA/AC23/2011 DENV3/FRENCH_POLYNESIA/12029/2013 DENV3/FRENCH_POLYNESIA/28052/2013 DENV3/FRENCH_POLYNESIA/040171/2013 DENV3/FRENCH_POLYNESIA/230/2013 DENV3/FRENCH_POLYNESIA/26048/2013
Iwagoe et al.,2,?,,unknown,DENV3/TANZANIA/08NIID/2010 DENV3/JAPAN/COTEDIVOIRENIID48/2008
Chong et al.,3,?,,unknown,DENV3/SINGAPORE/30854/2014 DENV3/SINGAPORE/29008/2014 DENV3/SINGAPORE/22463/2014
Huang et al.,1,?,,unknown,DENV3/CHINA/YNSW1/2013
Du et al.,2,?,,unknown,DENV3/CHINA/HN50/2013 DENV3/CHINA/HN22/2013
Shi et al.,3,?,,unknown,DENV3/CHINA/GDZDVS30B/2013 DENV3/CHINA/GDZDVS30D/2013 DENV3/CHINA/GDZSDV30A/2013
Chidlow et al.,2,?,,unknown,DENV3/INDONESIA/N056/2010 DENV3/INDONESIA/N007/2010
Diaz et al.,12,?,,unknown,DENV3/COLOMBIA/22379MEDELLIN/2004 DENV3/COLOMBIA/15859BELLO/2002 DENV3/COLOMBIA/16407MEDELLIN/2002 DENV3/COLOMBIA/5292MEDELLIN/2003 DENV3/COLOMBIA/3419MEDELLIN/2007 DENV3/COLOMBIA/4943BOLIVAR/2006 DENV3/COLOMBIA/31233BELLO/2004 DENV3/COLOMBIA/11049MEDELLIN/2003 DENV3/COLOMBIA/JACENVIGADO/2009 DENV3/COLOMBIA/3832MEDELLIN/2006 DENV3/COLOMBIA/3454MEDELLIN/2007 DENV3/COLOMBIA/18206MEDELLIN/2005
Bessaud et al.,1,?,,unknown,DENV3/MARTINIQUE/IMTSSAMART1243/1999
Nakayama et al.,1,?,,unknown,DENV3/INDONESIA/NIID17/2015
Borba et al.,1,?,,unknown,DENV3/BRAZIL/9704/2007
Costantino et al.,1,?,,unknown,DENV3/YEMEN/MEN/2010
Hu et al.,4,?,,unknown,DENV3/CHINA/YNMN1302/2013 DENV3/CHINA/YNMN1303/2013 DENV3/CHINA/YNJH88/2013 DENV3/CHINA/YNJH903/2013
Cho et al.,1,?,,unknown,DENV3/THAILAND/PYTHIUM/2014
Berlin et al.,5,?,,unknown,DENV3/INDIA/BIDV2417/1984 DENV3/CAMBODIA/BIDV2074/2001 DENV3/CAMBODIA/BIDV2070/1999 DENV3/SRI_LANKA/BIDV2408/1994 DENV3/SRI_LANKA/BIDV2404/1989
Agarwal et al.,2,?,,unknown,DENV3/INDIA/DEL72/2008 DENV3/INDIA/ND143/2007
Fan et al.,6,?,,unknown,DENV3/CHINA/JH6390/2013 DENV3/CHINA/JH6370/2013 DENV3/CHINA/JH688/2013 DENV3/CHINA/JH709/2013 DENV3/CHINA/JH919/2013 DENV3/CHINA/JH921/2013
Bafica et al.,1,?,,unknown,DENV3/PARAGUAY/PAR5532/2007
Bai et al.,2,?,,unknown,DENV3/CHINA/GZ10476/2012 DENV3/CHINA/GZ13105/2009
Budiyasa et al.,2,?,,unknown,DENV3/INDONESIA/WGY020/2015 DENV3/INDONESIA/WGY031/2015
Aubry et al.,29,?,,unknown,DENV3/NEW_CALEDONIA/060283/1989 DENV3/NEW_CALEDONIA/150514/1989 DENV3/NEW_CALEDONIA/2404147/1989 DENV3/FRENCH_POLYNESIA/11010122/1989 DENV3/FRENCH_POLYNESIA/24020510/1990 DENV3/FRENCH_POLYNESIA/3228/1992 DENV3/FRENCH_POLYNESIA/1804956/1991 DENV3/FRENCH_POLYNESIA/09022130/1991 DENV3/FRENCH_POLYNESIA/11022349/1993 DENV3/FRENCH_POLYNESIA/200110185/1993 DENV3/FRENCH_POLYNESIA/0303429/1994 DENV3/FRENCH_POLYNESIA/040124111/1994 DENV3/FRENCH_POLYNESIA/010331/1995 DENV3/FRENCH_POLYNESIA/19020064/1995 DENV3/FRENCH_POLYNESIA/15046183/1996 DENV3/FRENCH_POLYNESIA/04024881/1996 DENV3/NEW_CALEDONIA/1703750/1995 DENV3/NEW_CALEDONIA/240418/1995 DENV3/NEW_CALEDONIA/4026/1995 DENV3/NEW_CALEDONIA/4197/1995 DENV3/NEW_CALEDONIA/4631/1996 DENV3/NEW_CALEDONIA/0204306/1996 DENV3/NEW_CALEDONIA/4690/1996 DENV3/NEW_CALEDONIA/230409/1995 DENV3/NEW_CALEDONIA/2804282/1996 DENV3/NEW_CALEDONIA/1403742/1995 DENV3/NEW_CALEDONIA/4006/1995 DENV3/NEW_CALEDONIA/4186/1995 DENV3/NEW_CALEDONIA/0804492/1996
Gaul et al.,1,?,,unknown,DENV3/USA/DB164/2014
AbuBakar et al.,2,?,,unknown,DENV3/MALAYSIA/2424900/2011 DENV3/MALAYSIA/2353394/2011
Northill et al.,7,?,,unknown,DENV3/AUSTRALIA/TOWNSVILLE/2006 DENV3/PAPUA_NEW_GUINEA/B/2010 DENV3/AUSTRALIA/TOWNSVILLE/2009 DENV3/PAPUA_NEW_GUINEA/A/2010 DENV3/PAPUA_NEW_GUINEA/NA/2008 DENV3/AUSTRALIA/CAIRNSA/2008 DENV3/AUSTRALIA/TOWNSVILLE/2007
Chinnawirotpisan et al.,29,?,,unknown,DENV3/PHILIPPINES/VIROAF7/1964 DENV3/THAILAND/0033/1974 DENV3/THAILAND/0273/1980 DENV3/THAILAND/285M/1977 DENV3/THAILAND/0649/1980 DENV3/THAILAND/0059/1981 DENV3/THAILAND/0059/1982 DENV3/THAILAND/0140/1984 DENV3/THAILAND/0137/1984 DENV3/THAILAND/0177/1981 DENV3/THAILAND/0010/1987 DENV3/THAILAND/0183/1985 DENV3/THAILAND/0065/1986 DENV3/THAILAND/0402/1985 DENV3/THAILAND/0134/1983 DENV3/THAILAND/0040/1980 DENV3/THAILAND/0007/1987 DENV3/THAILAND/0118/1986 DENV3/THAILAND/0029/1990 DENV3/THAILAND/0012/1990 DENV3/THAILAND/0393/1991 DENV3/THAILAND/0188/1991 DENV3/THAILAND/0104/1993 DENV3/THAILAND/0055/1993 DENV3/THAILAND/0472/1993 DENV3/THAILAND/0195/1994 DENV3/THAILAND/0005/1996 DENV3/THAILAND/0240/1992 DENV3/THAILAND/0595/1999
Afzal et al.,1,?,,unknown,DENV3/PAKISTAN/I3/2014
Cecilia et al.,4,?,,unknown,DENV3/USA/A3798/1963 DENV3/INDIA/481/1966 DENV3/INDIA/D59826/2005 DENV3/INDIA/D58760/2005
Buchy et al.,1,?,,unknown,DENV3/CAMBODIA/V0907330/2011
Bhagat et al.,7,?,,unknown,DENV3/INDIA/NIV4482/1966 DENV3/INDIA/NIV4481/1966 DENV3/INDIA/NIV29582/2010 DENV3/INDIA/NIV48350/2009 DENV3/INDIA/NIV30814/2010 DENV3/INDIA/NIV30355/2010 DENV3/INDIA/NIV8760/2005
Birren et al.,4,?,,unknown,DENV3/PERU/BIDV7081/2009 DENV3/PERU/BIDV7070/2008 DENV3/PERU/BIDV7071/2008 DENV3/PERU/BIDV7073/2008
Deng et al.,1,?,,unknown,DENV3/CHINA/GZ2D3/2009
Barrett et al.,1,?,,unknown,DENV3/THAILAND/44/1983
Buerano et al.,1,?,,unknown,DENV3/VIETNAM/HP5468NGS/2013
Chua et al.,1,?,,unknown,DENV3/SINGAPORE/18815/2009
Alarcon et al.,1,?,,unknown,DENV3/ARUBA/ARU1/1999
Kotaki et al.,1,?,,unknown,DENV3/JAPAN/BENINNIID74/2010
Arroyo et al.,1,?,,unknown,DENV3/THAILAND/PAH88188/1988
Cardosa et al.,5,?,,unknown,DENV3/SAUDI_ARABIA/6910/1997 DENV3/SAUDI_ARABIA/6732/1997 DENV3/SAUDI_ARABIA/6712/2004 DENV3/SAUDI_ARABIA/6475/2004 DENV3/SAUDI_ARABIA/6805/2004
Chen et al.,7,?,,unknown,DENV3/TAIWAN/739079A/2004 DENV3/CHINA/FJ079/2010 DENV3/CHINA/FJ022/2007 DENV3/CHINA/DTIDZJU04/2009 DENV3/CHINA/GZ1D3/2009 DENV3/CHINA/15/2009 DENV3/CHINA/08/2009
Caro et al.,13,?,,unknown,DENV3/THAILAND/KDH0010A/2010 DENV3/THAILAND/KDH0014A/2010 DENV3/MADAGASCAR/MADAGCAR558/2010 DENV3/MADAGASCAR/MADAGCAR557/2010 DENV3/COMOROS/00373/2010 DENV3/DJIBOUTI/IBOUTI14091/2012 DENV3/DJIBOUTI/IBOUTI14699/2012 DENV3/TOGO/998/2009 DENV3/COTE_D_IVOIRE/IVORYCOTSH426/2008 DENV3/COTE_D_IVOIRE/IVORYCOT00510/2008 DENV3/FRANCE/ISLAND14448/2012 DENV3/FRANCE/ISLAND14449/2012 DENV3/FRANCE/ISLAND14450/2012
Abhyankar et al.,1,?,,unknown,DENV3/INDIA/GWL25/2008
Geng et al.,1,?,,unknown,DENV3/CHINA/2/1980
Ahmed et al.,7,?,,unknown,DENV3/PHILIPPINES/MHJ1/1997 DENV3/INDONESIA/INJ16/1982 DENV3/PHILIPPINES/MUTANTMHJ1/1997 DENV3/INDONESIA/MUTANTINJI6/1982 DENV3/BANGLADESH/MUTANT01/2002 DENV3/BANGLADESH/3/2002 DENV3/BANGLADESH/4/2002
Osatomi et al.,1,?,,unknown,DENV3/PHILIPPINES/H87/1956
Konishi et al.,2,?,,unknown,DENV3/INDONESIA/JKTA15/1988 DENV3/INDONESIA/JKTA68/1988
Lardo et al.,1,?,,unknown,DENV3/INDONESIA/JKTAD001B/2013
Cao-Lormeau et al.,4,?,,unknown,DENV3/NEW_CALEDONIA/1573/1989 DENV3/FRENCH_POLYNESIA/AUST35523/1989 DENV3/FRENCH_POLYNESIA/ISLV61132/1996 DENV3/FRENCH_POLYNESIA/IDV24881/1996
Chang et al.,18,?,,unknown,DENV3/TAIWAN/813KH9408A/1994 DENV3/TAIWAN/466/1995 DENV3/PHILIPPINES/IL9609ATW/1996 DENV3/TAIWAN/812KH0508A/2005 DENV3/TAIWAN/812KH0908A/2009 DENV3/TAIWAN/INDO9909A/1999 DENV3/INDONESIA/INDO9108ATW/1991 DENV3/BANGLADESH/BANG0108ATW/2001 DENV3/BANGLADESH/11ATW/2009 DENV3/BANGLADESH/11ATW/2006 DENV3/BANGLADESH/11ATW/2007 DENV3/BANGLADESH/09ATW/2008 DENV3/TAIWAN/503/1998 DENV3/TAIWAN/358/1998 DENV3/TAIWAN/349/1998 DENV3/TAIWAN/807KH0509A/2005 DENV3/TAIWAN/628/1999 DENV3/SRI_LANKA/SRILAN9912ATW/1999
Cordeiro et al.,11,?,,unknown,DENV3/BRAZIL/145PE/2004 DENV3/BRAZIL/255PE/2005 DENV3/BRAZIL/206PE/2005 DENV3/BRAZIL/420PE/2006 DENV3/BRAZIL/129PE/2004 DENV3/BRAZIL/85469PE/2002 DENV3/BRAZIL/101905PE/2003 DENV3/BRAZIL/81257PE/2002 DENV3/BRAZIL/424PE/2006 DENV3/BRAZIL/277PE/2005 DENV3/BRAZIL/603PE/2006
Jimenez et al.,2,?,,unknown,DENV3/SRI_LANKA/SK698/1990 DENV3/HONDURAS/179/1995
Bifani et al.,12,?,,unknown,DENV3/INDONESIA/MKS0396/2008 DENV3/INDONESIA/MKS2065/2008 DENV3/INDONESIA/MKS0076/2007 DENV3/INDONESIA/MKS0079/2007 DENV3/INDONESIA/MKS0057/2007 DENV3/INDONESIA/MKS2006/2008 DENV3/INDONESIA/MKS0172/2007 DENV3/INDONESIA/MKS3000/2008 DENV3/INDONESIA/MKS0388/2008 DENV3/INDONESIA/MKSIF058/2008 DENV3/INDONESIA/MKSWS79B/2010 DENV3/INDONESIA/MKSWS78/2010
Aw et al.,23,?,,unknown,DENV3/MALAYSIA/21531/1999 DENV3/MALAYSIA/12440/1997 DENV3/MALAYSIA/22460/2000 DENV3/MALAYSIA/22939/2001 DENV3/SINGAPORE/CT8/2012 DENV3/SINGAPORE/CT7/2012 DENV3/MALAYSIA/27834/2003 DENV3/MALAYSIA/22447/2000 DENV3/MALAYSIA/28526/2003 DENV3/MALAYSIA/32645/2004 DENV3/MALAYSIA/33077/2004 DENV3/MALAYSIA/2471/1995 DENV3/MALAYSIA/3952/1995 DENV3/MALAYSIA/4269/1996 DENV3/MALAYSIA/22366/2000 DENV3/MALAYSIA/25850/2002 DENV3/MALAYSIA/24056/2001 DENV3/SINGAPORE/SS710/2004 DENV3/SINGAPORE/K3312DK1/2005 DENV3/SINGAPORE/K868DK1/2005 DENV3/SINGAPORE/K4176DK1/2005 DENV3/SINGAPORE/CT14/2012 DENV3/SINGAPORE/CT37/2013
Hapuarachchi et al.,9,?,,unknown,DENV3/SINGAPORE/23167/2015 DENV3/SINGAPORE/26592/2013 DENV3/PAKISTAN/55709/2006 DENV3/PAKISTAN/43298/2006 DENV3/INDIA/PAKISTAN55505/2007 DENV3/PAKISTAN/52440/2006 DENV3/PAKISTAN/56/2008 DENV3/PAKISTAN/45251/2009 DENV3/SINGAPORE/095/2015
Cadar et al.,6,?,,unknown,DENV3/THAILAND/8561/2010 DENV3/SRI_LANKA/3404/2006 DENV3/INDIA/2994/2009 DENV3/INDIA/9468/2011 DENV3/SENEGAL/3140/2009 DENV3/THAILAND/16803/2013
Lei et al.,1,?,,unknown,DENV3/CHINA/07CHLS001/2008
Munoz-Jordan et al.,3,?,,unknown,DENV3/FIJI/FIDB184/2014 DENV3/FIJI/FIDB176/2014 DENV3/FIJI/FIDB187/2014
