"OECD industry stock changes , x","OECD industry stock changes , y","IEA miscellaneous to balance (rhs), x","IEA miscellaneous to balance (rhs), y"
"1991.4931349876","1168.9819116861","1993.8660373889","9.3801821981"
"1991.5829862449","170.9139236057","1993.8874786472","91.7136250017"
"1991.5929924235","244.9169471585","1993.9032996058","189.8252852707"
"1991.5932113698","316.4394080478","1994.01272858","692.8476909145"
"1991.6561690525","'-415.2640402863","1994.2440846164","112.4599711056"
"1991.678365565","'-618.6611976116","1994.4981947913","77.797938932"
"1991.6835008514","'-538.4752908892","1994.7715328561","247.8574352375"
"1991.6925721956","'-769.8515018605","1995.0021623742","644.6997708317"
"1991.7067887782","'-917.7907851599","1995.2497104164","491.8708063915"
"1991.7070077246","'-846.2683242707","1995.498071222","1225.8836933509"
"1991.7317060069","'-993.0592644429","1995.7328516411","331.8848532818"
"1991.732147818","'-1134.1482103954","1995.9864822755","140.5729441491"
"1991.9708603862","'-1167.7061571368","1996.2424138628","700.9056200745"
"1992.0146472088","'-983.1856361791","1996.5093075769","791.2735924894"
"1992.0148661551","'-911.6631752898","1996.5775923097","628.8894362512"
"1992.0297525145","'-840.8087486871","1996.6010733548","540.8507870568"
"1992.0303184575","'-655.9340240248","1996.6399618703","465.7046561988"
"1992.0373653775","'-749.9516281965","1996.6690658076","388.9449015971"
"1992.0598397197","'-596.367633477","1996.6981677544","311.5349428055"
"1992.0603937202","'-415.3941339542","1996.7272677108","233.4747798239"
"1992.0674555684","'-504.5352067016","1996.756371648","156.7150252222"
"1992.0899328962","'-349.9759056972","1996.7854716044","78.6548622407"
"1992.090532013","'-154.2644445366","1996.9854539389","'-484.0982013771"
"1992.0912386124","76.5580428788","1997.1119563955","107.8424332316"
"1992.0967587136","'-249.9968747596","1997.1281252495","198.309867055"
"1992.1200260727","'-103.5841779174","1997.1417965397","271.57695337"
"1992.1203087125","'-11.2551829513","1997.157955027","358.6579070377"
"1992.1565264147","319.0057532872","1997.1797421763","447.492995516"
"1992.1802383012","397.6519321109","1997.2043628006","610.0147223883"
"1992.187061907","496.9085139486","1997.2971420825","916.7356792299"
"1992.1870898282","239.8059499637","1997.7549243329","493.0307981217"
"1992.2402096888","820.213335161","1997.8297967868","991.2509142889"
"1992.5037268451","646.071139988","1997.8512706659","1084.2404813159"
"1992.5097854658","495.4325781732","1997.8597476482","1191.1530424906"
"1992.5285415908","366.1812172484","1997.8812220802","1284.3232217927"
"1992.5553928689","272.3562771762","1997.9043828412","1395.9138720201"
"1992.6089205999","'-132.1372946371","1997.9111989277","1492.7141269181"
"1992.6130792531","'-51.5167297816","1998.0241424976","2181.2178926492"
"1992.6473722181","'-350.0032451787","1998.2210002304","1529.5438424118"
"1992.6688428262","'-512.2715489467","1998.2481299858","1416.3955587176"
"1992.748709532","'-790.6413945139","1998.2771801817","1322.0802909886"
"1992.9844674464","'-448.7567211236","1998.3146268741","1232.3217450143"
"1993.005931097","'-359.1084811836","1998.3436837047","1140.1738245849"
"1993.0144008917","'-254.5438795835","1998.3769116523","1041.4413626824"
"1993.0358670303","'-164.0828844061","1998.4066573108","946.118977512"
"1993.0790846011","110.0350398348","1998.4357240935","857.2220780321"
"1993.0956758668","205.378509802","1998.4647958522","769.950689027"
"1993.0992409321","305.0725233434","1998.4938609762","680.5119527222"
"1993.1255786263","389.5673700811","1998.5229294176","592.1568900672"
"1993.1487169951","493.8432231721","1998.5471395729","514.1026704512"
"1993.1555057132","581.7031704591","1998.5804037745","427.2132134363"
"1993.1640158681","760.3760534912","1998.6178379084","333.3521886448"
"1993.2531303389","1058.0414656486","1998.6441178646","246.8582484555"
"1993.4840477151","777.0882748142","1998.6843776855","163.2887271286"
"1993.4913887199","619.404249378","1998.7071661114","77.186058504"
"1993.5013962254","693.8407423908","1998.7216099338","3.4784202184"
"1993.5201469873","429.7257004633","1998.7716946154","'-65.3185830454"
"1993.5302050116","520.6649950578","1998.8938864084","'-158.9214016229"
"1993.5414036894","345.2813723326","1998.9995622874","'-247.1889647297"
"1993.5489666261","260.0951140705","1999.0873531271","'-320.9857534983"
"1993.5794167514","166.7070113654","1999.2692657673","'-454.1895940149"
"1993.5872868764","'-0.6843130047","1999.4395809465","'-268.4491261813"
"1993.5875058227","70.8381478846","1999.4985326579","'-178.9819112499"
"1993.6062244062","'-203.7885284464","1999.7398317388","56.2079592752"
"1993.6162942782","'-108.9789708167","1999.7635058073","122.5002584907"
"1993.6401793313","'-293.2332081167","1999.8423165305","'-222.566261678"
"1993.6644210016","'-360.9925280592","1999.9036895062","'-407.0466770555"
"1993.6924195916","'-798.8323427868","1999.9081049237","'-562.0179523478"
"1993.7024327367","'-722.5536045693","1999.9309115951","'-642.1604158983"
"1993.7166513098","'-869.8426836788","2000.0251678629","'-1157.3892800539"
"1993.7310987813","'-942.3582809495","2000.1287182216","'-375.3516992"
"1993.7601782648","'-1027.1062584558","2000.1436115475","'-302.2215579326"
"1993.982679797","'-1421.622511503","2000.1585214601","'-223.673048416"
"1994.0392338803","'-917.3747495723","2000.1881322913","'-134.8474693226"
"1994.0541162588","'-847.8207313493","2000.1883512376","'-63.3250084333"
"1994.0543312243","'-777.5986788399","2000.1885768187","10.3647997556"
"1994.0611627918","'-675.7412802425","2000.1947205851","100.5193153834"
"1994.0696475146","'-566.3001472182","2000.2281901523","348.4069713863"
"1994.0845318836","'-496.0959248053","2000.5068073688","217.5262730065"
"1994.0847488395","'-425.223668106","2000.7694130579","683.115236879"
"1994.0867153755","217.1780715176","2000.8785397039","173.1615063401"
"1994.0915808493","'-323.2217796887","2000.8832254869","106.5096335096"
"1994.100066125","'-213.6000343894","2000.885120889","269.2911986629"
"1994.1011558805","142.3867595822","2000.9178519422","8.2399050669"
"1994.1149475083","'-144.3711182614","2000.9364709098","'-70.7363852597"
"1994.1151624738","'-74.1490657519","2000.9411052736","'-154.1851996628"
"1994.1219944836","27.8528226654","2001.0375942534","'-581.2714850094"
"1994.182780838","716.6367190256","2001.2680399981","'-245.105594447"
"1994.1912572674","823.3686679253","2001.5098251417","'-255.0183628886"
"1994.2061486028","895.8486050028","2001.7420938474","'-461.839554515"
"1994.2608953159","1354.2368316409","2002.0393766291","'-1458.022997864"
"1994.5117220299","1042.4238859112","2002.3661150296","'-618.1831812119"
"1994.5799019141","525.7879874737","2002.3957438693","'-523.474802305"
"1994.6056314241","411.6093317413","2002.425403987","'-418.5489289855"
"1994.6148935169","242.5443556356","2002.5354159826","'-79.1819076898"
"1994.6151323674","320.5688584239","2002.7984143025","'-422.8106616974"
"1994.672655537","'-56.620892106","2003.0534448652","'-346.2128180245"
"1994.6729491241","39.2842259046","2003.2579268084","'-389.0592900315"
"1994.6951340259","'-167.9057891952","2003.4038578539","'-315.5309821352"
"1994.7205633141","'-380.1569102378","2003.519912377","'-227.139445612"
"1994.7306251296","'-287.979131472","2003.5437876098","'-179.1653362556"
"1994.7483661794","'-482.5982444993","2003.5687010733","'-110.7808011357"
"1994.9995909029","'-1432.99335074","2003.5992226603","9.3348640358"
"1995.0831002707","'-154.6507632966","2003.6289023268","120.6466713634"
"1995.096530637","'-559.4207016075","2003.7846241651","673.5393943847"
"1995.0967495834","'-487.8982407182","2004.0384238645","'-12.7370620922"
"1995.1116409188","'-415.4183036407","2004.2959131768","434.1551817221"
"1995.1118459321","'-348.4472720808","2004.5318386724","535.5538095417"
"1995.1186757304","'-247.1678327633","2004.6449936349","367.3609753078"
"1995.1419072619","'-112.4588113394","2004.6733704049","281.2515142654"
"1995.142120237","'-42.8869630198","2004.736627646","179.8507642536"
"1995.1427200172","153.0412328707","2004.7884156383","58.9577563977"
"1995.1489456121","56.9475780978","2004.8281152189","'-55.4958979148"
"1995.1722591932","218.4594611277","2004.843201426","'-147.5494320391"
"1995.1724622161","284.7802884977","2005.0177435646","'-747.0971314247"
"1995.2181379018","829.4353582986","2005.1822093938","'-153.9217104572"
"1995.2330207779","899.1519275691","2005.2090739967","'-30.4151076058"
"1995.2482902933","1095.170660728","2005.2416411561","92.3621122193"
"1995.2546664263","999.8485328461","2005.3494932288","315.6492375994"
"1995.4151575991","582.2278366767","2005.5415615989","227.8962446554"
"1995.4225068756","501.6453762827","2005.7944239984","701.0060638839"
"1995.4443218907","439.849233097","2005.8811546071","280.8671766272"
"1995.4716444011","260.3589995004","2005.9018663603","200.9594760155"
"1995.4836446499","346.8218926801","2005.9097131689","25.9514739923"
"1995.5002427714","18.4473806635","2005.9099321152","97.4739348815"
"1995.5021834319","173.1941948506","2005.9563059411","'-88.2164176448"
"1995.5092743071","93.5352665392","2006.0445134423","'-664.8401572842"
"1995.5307658788","'-73.9190575056","2006.2912490267","68.4013680138"
"1995.5327795215","'-214.7996036672","2006.3055962662","'-36.8566545341"
"1995.5378517779","'-155.2034962917","2006.3379156741","'-169.0807976419"
"1995.5716225892","'-304.792063528","2006.3782324189","'-269.1615871252"
"1995.6460759488","'-742.1465034032","2006.5525893258","'-816.8474761824"
"1995.7004663378","'-1115.8491964665","2006.7070519739","'-196.0879078304"
"1995.7430540864","'-1523.115194695","2006.7332596826","'-100.8103101646"
"1995.9748461751","'-1588.4203578776","2006.7981504512","597.631390102"
"1996.2703908761","1137.094831049","2006.9713639718","'-110.5818965024"
"1996.4642907879","584.0932288729","2006.9798471465","'-214.6252649447"
"1996.4933467891","491.6743900311","2007.0227009126","'-591.797185378"
"1996.5661928838","327.9505184226","2007.0229198589","'-520.2747244887"
"1996.5806333888","253.1592064872","2007.0235766979","'-305.7073418209"
"1996.7261431228","'-133.8905874709","2007.0419864343","'-681.2240349517"
"1997.0111081363","353.4621056653","2007.0710731212","'-763.6188925326"
"1997.2633746605","289.6442293554","2007.1099609734","'-838.9817581206"
"1997.5202753595","513.4001646446","2007.139080834","'-910.5398792031"
"1997.7262968789","'-57.2059975008","2007.1828684393","'-982.6576672071"
"1997.9991211621","'-92.3175784847","2007.3414507743","'-1154.1131716082"
"1998.0469368","43.3108560569","2007.5404124507","'-1038.7299751024"
"1998.0545426966","131.8922618828","2007.8255329089","'-1070.6814454036"
"1998.0621734734","228.6012200824","2007.8724589499","'-941.5033278168"
"1998.0844301133","311.0691315314","2007.9314799114","'-829.4144254451"
"1998.2900220156","1319.6982031296","2007.9937687573","'-714.71060733"
"1998.6231421436","'-215.8466265629","2008.0537162914","'-604.1967439955"
"1998.6473821552","'-284.1477833303","2008.1378227195","'-512.4185858079"
"1998.6520397405","'-360.0108821845","2008.2302808597","'-430.7133001381"
"1998.6833565284","'-512.5765802751","2008.3209409072","'-327.8741141574"
"1998.7778260602","'-800.6787483474","2008.3538447794","'-228.2157608092"
"1999.012828444","'-705.6007487075","2008.3736594214","'-144.7966632339"
"1999.0491503116","'-554.2912469608","2008.4130100464","'-68.9870546696"
"1999.0674256946","'-441.2497551681","2008.4328167267","11.8312261461"
"1999.1382935318","'-186.3104111458","2008.4623923937","89.1698645513"
"1999.2765583639","391.5372024995","2008.4919700512","167.1587071463"
"1999.5414743343","'-527.4364799625","2008.5428791727","334.1784056353"
"1999.5416912902","'-456.5642232631","2008.8031140047","274.7746460463"
"1999.5419843797","'-360.8216563","2008.8340604072","102.8059262182"
"1999.5569896667","'-251.1175293506","2008.8392554062","202.4979586377"
"1999.5700647429","'-771.948915559","2008.8583020774","35.0466062757"
"1999.5702816988","'-701.0766588597","2008.862948052","'-44.6093503529"
"1999.5705212128","'-622.8354213414","2008.8900861166","'-124.6177485579"
"1999.5888662606","'-1019.4837506441","2008.891797547","'-204.4868738971"
"1999.5988681266","'-946.889502836","2008.9160342412","'-273.8717043144"
"1999.5991136118","'-866.6976527481","2008.9556087886","'-353.1056819898"
"1999.7676531834","'-1896.9770944741","2009.0718593326","'-1018.3670582968"
"2000.0039312592","'-406.8975976366","2009.3126538417","'-96.0888015248"
"2000.0107161071","'-586.5254201454","2009.5755005579","'-489.2414413299"
"2000.0110047182","'-492.2458126096","2009.6349295557","'-243.8606800282"
"2000.0115155929","'-325.3600705346","2009.8126462935","305.9981034699"
"2000.0264868769","'-226.763598496","2009.9725879074","'-158.6605539132"
"2000.0414084004","'-144.422231205","2009.9771791454","'-256.1971257641"
"2000.0563481694","'-56.1206588399","2010.0076216882","'-352.0621968117"
"2000.0712647168","24.5951979764","2010.0366462929","'-454.7372326966"
"2000.0862094618","114.5222808163","2010.0656694759","'-557.8767001458"
"2000.1011210332","193.6126271578","2010.09136894","'-651.4448019215"
"2000.116077389","287.3325677721","2010.1028815356","'-724.2819352679"
"2000.1708926307","549.2283136309","2010.1282516917","'-822.7377971834"
"2000.2796001022","992.4996153885","2010.1567397713","'-929.5340264116"
"2000.3761554429","733.463901623","2010.1773818598","'-1032.19887367"
"2000.5180923954","291.7369359773","2010.2079568604","'-1141.8422933857"
"2000.6107409859","146.6659827699","2010.2642155597","'-1266.5336071011"
"2000.6581602804","62.8942455059","2010.3407328755","'-1495.5535212767"
"2000.6956384879","'-16.5694007949","2010.5772004303","'-1254.6323477974"
"2000.758695344","'-107.365347073","2010.6370244714","'-1146.4275998986"
"2001.0627073964","'-44.8815564945","2010.6960205526","'-1042.4662499006"
"2001.0689364192","73.1233719341","2010.7550240979","'-936.0666341906"
"2001.1070272498","193.783286654","2010.8192414802","'-837.917046637"
"2001.1366788372","295.9225705883","2010.8460493719","'-751.9520659807"
"2001.1579367714","394.4339958962","2010.8756436162","'-668.5448551364"
"2001.1985869756","495.4375309778","2010.9052378605","'-585.1376442922"
"2001.22699609","591.0375562241","2010.9348321048","'-501.7304334479"
"2001.2837011135","748.9947150997","2011.0581237633","'-159.9799810627"
"2001.5358982014","662.4943317453","2011.3648328533","'-600.8260719948"
"2001.5647970885","494.6440916784","2011.5956407709","'-506.7909261865"
"2001.5834125018","414.5067224412","2011.6000523971","'-434.8091280463"
"2001.5978758966","347.1927586897","2011.6361575299","'-354.299638089"
"2001.6227382465","253.9972210281","2011.6677053883","'-241.2226747814"
"2001.6433817567","151.796805334","2011.6973427584","'-143.7277064892"
"2001.6784191708","35.6458956342","2011.7269801285","'-46.2327381971"
"2001.7065573668","'-90.3658357917","2011.7566189203","51.7266616593"
"2001.7303119762","'-203.1358903068","2011.7862562904","149.2216299514"
"2001.8010252399","'-379.0098406889","2011.8158936605","246.7165982435"
"2002.0507235661","'-275.280281947","2011.8455310306","344.2115665357"
"2002.2729829423","449.10483625","2011.8751684006","441.7065348278"
"2002.3929683476","'-208.0467427022","2011.9048057707","539.2015031199"
"2002.5274617342","'-852.3958111911","2011.9627543928","643.2802345872"
"2002.5747580773","'-918.9251189256","2012.0739539668","1028.3021852423"
"2002.7791403647","'-1108.2589138114","2012.0741375279","1088.2654605333"
"2002.9290466341","'-877.7889634037","2012.242334745","658.2022094258"
"2003.0620913561","'-544.7197869482","2012.2680974287","554.8602901918"
"2003.0688930672","'-452.6154511994","2012.2971973851","476.8001272103"
"2003.0880137473","'-291.6351503304","2012.3262873894","395.4889432792"
"2003.0990391005","'-188.9571899322","2012.3505257422","326.6459496869"
"2003.1074630049","'-99.3834071549","2012.3649831658","257.3813733657"
"2003.1222896516","'-48.0351062492","2012.3898415349","162.8854273242"
"2003.1262252117","39.575450816","2012.4084619242","84.3735685618"
"2003.1423948951","130.3138030519","2012.4131344377","13.3870011319"
"2003.1523549622","189.2537628719","2012.4477841146","'-77.2970117619"
"2003.1591697217","285.6205483101","2012.4736407509","'-187.9796713946"
"2003.1675936261","375.1943310874","2012.5970921408","'-592.7207843826"
"2003.1824242537","427.8430403729","2012.819479928","'-212.4256135406"
"2003.1863657851","517.4042100078","2013.0665866971","'-569.2337924479"
"2003.2875762096","1233.3212209857","2013.3199041775","32.1780833512"
"2003.5248841645","484.2115040367","2013.5980885099","'-1055.4757817838"
"2003.5615295098","372.7194297448","2013.8438372516","209.5603863546"
"2003.655550821","'-118.8509974504","2014.0856602537","212.0147134624"
"2003.6742088723","'-253.9544958343","2014.3328726926","970.2167493119"
"2003.693268813","'-417.0711535969","2014.5945712675","202.004659298"
"2003.7077063324","'-492.8377718172","2014.8482066466","1591.838105667"
"2003.7693135617","'-905.0507566022","2015.0810127666","969.469965432"
"2004.0367585455","'-556.7412343106","2015.347341061","1713.6328211312"
"2004.0665551493","'-407.2299308262","",""
"2004.0823588163","'-302.9451626869","",""
"2004.0972571182","'-228.1895109448","",""
"2004.1261726842","'-100.2603837588","",""
"2004.2984951596","817.2606711615","",""
"2004.4830496573","406.1057752527","",""
"2004.5258052294","316.3252954294","",""
"2004.5690292138","197.0062888802","",""
"2004.6231800414","87.3342136521","",""
"2004.6382593768","'-6.9640730326","",""
"2004.6771024445","'-96.9565328934","",""
"2004.7453324209","'-171.2713850248","",""
"2004.7609145153","'-272.4787280163","",""
"2004.8011008101","'-368.2397025693","",""
"2004.9849326774","'-171.5626099362","",""
"2005.0255260716","'-89.116986108","",""
"2005.058881797","25.0350070262","",""
"2005.0885274605","125.239159443","",""
"2005.1181714654","224.9014750348","",""
"2005.1360484324","314.2831550304","",""
"2005.2959031313","779.6367899571","",""
"2005.4901330659","334.4426547124","",""
"2005.5286948207","152.5546693453","",""
"2005.5675903027","79.684253152","",""
"2005.5869285706","7.4878146106","",""
"2005.6160683354","'-57.5682645728","",""
"2005.7834478379","'-435.9693092226","",""
"2006.0559533875","'-122.4733822716","",""
"2006.0708715936","'-41.2156886304","",""
"2006.0923515546","53.7606134213","",""
"2006.1252681434","157.5730490938","",""
"2006.1548590703","239.8965862882","",""
"2006.1956468268","328.7859858068","",""
"2006.2042596632","404.0137105832","",""
"2006.2338313494","480.0519406085","",""
"2006.2854588917","572.9687344264","",""
"2006.2881724991","660.7433283805","",""
"2006.3809560246","832.017390488","",""
"2006.5505495061","1130.6420170262","",""
"2006.5788585944","840.8498840904","",""
"2006.619095487","675.5125917434","",""
"2006.6302296814","585.553810954","",""
"2006.6390459356","441.5631193157","",""
"2006.7119725141","'-254.1249910164","",""
"2006.8119421973","'-1031.5033003938","",""
"2007.0986352141","'-994.0474456776","",""
"2007.1408286725","'-339.579324945","",""
"2007.1546359748","'-621.2168447931","",""
"2007.1549245859","'-526.9372372573","",""
"2007.1551700711","'-446.7453871693","",""
"2007.1704777363","'-238.2644070372","",""
"2007.1772947074","'-141.1751724992","",""
"2007.1857761128","'-32.8177131247","",""
"2007.3050242309","585.3838306996","",""
"2007.5229793215","'-96.2976117674","",""
"2007.5569498383","'-180.6490252835","",""
"2007.5811573397","'-259.5701838193","",""
"2007.6144204039","'-346.8311860856","",""
"2007.6441883362","'-434.87747675","",""
"2007.7952381872","'-789.2386441053","",""
"2007.9620540234","'-425.9171102802","",""
"2008.0015070722","'-316.6490777771","",""
"2008.0310913644","'-236.4928878824","",""
"2008.046032792","'-147.6494786924","",""
"2008.1099236505","'-42.0685615852","",""
"2008.1689595401","74.8968722108","",""
"2008.2279829896","187.7985298199","",""
"2008.2935361261","303.9432838911","",""
"2008.3104597889","345.7768686654","",""
"2008.5518458985","558.5103090811","",""
"2008.8153179387","369.6301522703","",""
"2009.0856629029","509.0959793216","",""
"2009.1256490409","427.4000049246","",""
"2009.1840579479","339.5511189013","",""
"2009.2330224845","247.1274333864","",""
"2009.3265620923","160.0567582744","",""
"2009.5517716245","173.3925796008","",""
"2009.5661903632","63.4454926596","",""
"2009.5768158945","'-59.5648391694","",""
"2009.8067507915","'-1233.2380071661","",""
"2010.0013296795","'-81.1988650986","",""
"2010.0369647603","105.6785528951","",""
"2010.0391591995","23.8582206496","",""
"2010.0535748243","207.1628402114","",""
"2010.0708446236","337.5884974447","",""
"2010.3129983479","825.5552321069","",""
"2010.4435729573","351.7210088934","",""
"2010.448228884","275.3160732144","",""
"2010.4797003442","173.2766590474","",""
"2010.5086833633","57.0169999091","",""
"2010.5376701145","'-58.0235263731","",""
"2010.5666568657","'-173.0640526553","",""
"2010.5981474007","'-268.8723433357","",""
"2010.6385783821","'-372.5933172163","",""
"2010.6953131238","'-474.8892041155","",""
"2010.7194901053","'-563.7801602299","",""
"2010.8070686334","'-706.9320625881","",""
"2011.1720708096","'-75.4561604179","",""
"2011.3237719972","362.0297764198","",""
"2011.5095765623","'-40.1050221955","",""
"2011.5420780654","'-204.9989938943","",""
"2011.5423182429","'-126.5410216461","",""
"2011.8045741357","'-712.6959384873","",""
"2011.9084507293","'-323.8360925545","",""
"2011.9086622116","'-254.7518973773","",""
"2011.9301582065","'-154.5378393514","",""
"2011.9599691855","'-0.3306167178","",""
"2012.0725305946","563.3339445521","",""
"2012.3225557318","345.4368383953","",""
"2012.5616247395","428.3157611491","",""
"2012.5998229986","299.3593641635","",""
"2012.6325286028","201.1384137708","",""
"2012.6432719006","116.598496511","",""
"2012.6479510489","47.7792763808","",""
"2012.6630945043","'-116.8497697992","",""
"2012.8105027747","'-742.4084589336","",""
"2013.0052029636","'-84.0121657681","",""
"2013.0087132134","'-306.4799793409","",""
"2013.0090117765","'-208.9493508555","",""
"2013.0587929163","123.7647470032","",""
"2013.3176929169","'-2.0602753163","",""
"2013.5828601299","359.2839415411","",""
"2013.6179636939","'-153.609188486","",""
"2013.6251068176","'-216.2002568124","",""
"2013.8163290601","'-1244.5718808758","",""
"2013.8270131429","'-1348.4553727851","",""
"2013.9347964355","'-641.8117950568","",""
"2013.9761540685","'-549.3159896312","",""
"2013.9766848475","'-375.9282056573","",""
"2013.9829137597","'-470.9381867804","",""
"2014.0127656529","'-303.3656557988","",""
"2014.0260970511","'-208.0182235879","",""
"2014.0478812148","'-120.1584413944","",""
"2014.0724948726","40.0875708132","",""
"2014.2751771382","724.1310382736","",""
"2014.53743623","705.9842268589","",""
"2014.8234050046","'-120.6675897089","",""
"2015.1163843266","886.4095216651","",""
"2015.2747230354","993.4547142305","",""
"2015.389336458","1056.0603438025","",""
