,Event,TimeControl,endFEN,moves,mated_by,Winner,victory_status,wKing_sqr,bKing_sqr,wQueen_sqr,bQueen_sqr,wRook_sqr,bRook_sqr,wRook2_sqr,bRook2_sqr,wBishop_sqr,bBishop_sqr,wBishop2_sqr,bBishop2_sqr,wKnight_sqr,bKnight_sqr,wKnight2_sqr,bKnight2_sqr,avg_Elo
14,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,2k2b1r/ppp2ppp/b1n2n2/4p1N1/2P5/1P4P1/Pr3q1P/R3RK2 w - - 0 20,20,Queen,black,mate,"(7, 5)","(0, 2)","(None, None)","(6, 5)","(7, 0)","(0, 7)","(7, 4)","(6, 1)","(None, None)","(0, 5)","(None, None)","(2, 0)","(3, 6)","(2, 2)","(None, None)","(2, 5)",1471.5
15,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,2k2rr1/2qpn3/p6p/1P2p3/B7/2PQ1b2/5PPP/R4RK1 w - - 0 22,22,,black,resign,"(7, 6)","(0, 2)","(5, 3)","(1, 2)","(7, 0)","(0, 5)","(7, 5)","(0, 6)","(4, 0)","(5, 5)","(None, None)","(None, None)","(None, None)","(1, 4)","(None, None)","(None, None)",1531.5
16,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,7k/3r4/ppn3pp/8/P5P1/2N4P/1P6/6K1 w - - 0 38,38,,black,resign,"(7, 6)","(0, 7)","(None, None)","(None, None)","(None, None)","(1, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(5, 2)","(2, 2)","(None, None)","(None, None)",1841.5
17,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,,black,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1954.5
18,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,r2qk3/pppn2br/2b1p1Np/3p1p2/3P2P1/4P2P/PPPN1P1B/R2QK2R w KQq - 1 16,16,,white,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(1, 7)","(6, 7)","(1, 6)","(None, None)","(2, 2)","(2, 6)","(1, 3)","(6, 3)","(None, None)",1808.0
19,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1,,white,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1783.0
20,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,r3r1k1/1pb2p1p/p1nq1pp1/3p1b2/1P1P4/P1N1PNP1/2Q1BP1P/3RR1K1 w - - 9 21,21,,draw,draw,"(7, 6)","(0, 6)","(6, 2)","(2, 3)","(7, 3)","(0, 0)","(7, 4)","(0, 4)","(6, 4)","(1, 2)","(None, None)","(3, 5)","(5, 2)","(2, 2)","(5, 5)","(None, None)",1563.5
21,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,2r3k1/2q2p2/3p1P2/4p3/p3PbP1/2PP3Q/B3K3/R6R b - - 0 33,33,,white,resign,"(6, 4)","(0, 6)","(5, 7)","(1, 2)","(7, 0)","(0, 2)","(7, 7)","(None, None)","(6, 0)","(4, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1449.5
22,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,2r3k1/4N1pp/R3pp2/1p1p4/8/4PP2/6PP/6K1 b - - 5 36,36,,white,resign,"(7, 6)","(0, 6)","(None, None)","(None, None)","(2, 0)","(0, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(1, 4)","(None, None)","(None, None)","(None, None)",1620.0
23,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,QQ6/8/8/k3pppp/8/8/2P2PPP/2B1R1K1 b - - 1 37,37,Queen,white,mate,"(7, 6)","(3, 0)","(0, 0)","(None, None)","(7, 4)","(None, None)","(None, None)","(None, None)","(7, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1489.5
24,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,6Q1/7R/8/6pk/3P4/5P1p/P1P2P1P/6K1 b - - 2 43,43,Rook,white,mate,"(7, 6)","(3, 7)","(0, 6)","(None, None)","(1, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1423.0
25,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,5k2/8/6KP/8/8/8/2pB4/8 w - - 7 58,58,,white,resign,"(2, 6)","(0, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1705.5
26,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,3rkr2/8/n5Q1/1p1p1p2/8/3P2P1/PP2PP1P/R4RK1 b - - 2 21,21,,white,resign,"(7, 6)","(0, 4)","(2, 6)","(None, None)","(7, 0)","(0, 3)","(7, 5)","(0, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 0)","(None, None)","(None, None)",1415.0
27,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/8/8/5ppR/3k3p/5P2/6PP/4K3 b - - 1 57,57,,white,resign,"(7, 4)","(4, 3)","(None, None)","(None, None)","(3, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1680.0
28,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,8/1R3p1k/6p1/7r/5q2/2Q4P/5PP1/3r2K1 w - - 1 36,36,,black,resign,"(7, 6)","(1, 7)","(5, 2)","(4, 5)","(1, 1)","(3, 7)","(None, None)","(7, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1566.5
29,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,3r4/5pk1/p6p/1p6/6P1/3BKP2/b7/8 w - - 0 35,35,,black,resign,"(5, 4)","(1, 6)","(None, None)","(None, None)","(None, None)","(0, 3)","(None, None)","(None, None)","(5, 3)","(6, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1723.5
30,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/7p/6p1/5pQk/7P/3K2P1/5P2/8 b - - 2 57,57,Queen,white,mate,"(5, 3)","(3, 7)","(3, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1708.0
31,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,,black,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1659.5
32,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,,black,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1740.0
33,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/8/p7/3p2p1/pP3pP1/2P5/2K2k2/4q3 w - - 0 55,55,,black,resign,"(6, 2)","(6, 5)","(None, None)","(7, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1875.0
34,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,b1k4r/2n2p2/P3p3/4P1p1/B1PQ4/8/5PP1/2R2RK1 b - - 0 34,34,,white,resign,"(7, 6)","(0, 2)","(4, 3)","(None, None)","(7, 2)","(0, 7)","(7, 5)","(None, None)","(4, 0)","(0, 0)","(None, None)","(None, None)","(None, None)","(1, 2)","(None, None)","(None, None)",1968.5
35,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,,black,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1249.0
36,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,5rk1/p5r1/2p4p/3pqP1B/7Q/7P/P3p3/4R2K b - - 1 38,38,,black,resign,"(7, 7)","(0, 6)","(4, 7)","(3, 4)","(7, 4)","(0, 5)","(None, None)","(1, 6)","(3, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1820.5
37,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,6k1/3b1ppp/8/8/4P2P/1pQ3P1/1P2q3/r5K1 w - - 6 39,39,,black,resign,"(7, 6)","(0, 6)","(5, 2)","(6, 4)","(None, None)","(7, 0)","(None, None)","(None, None)","(None, None)","(1, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1944.0
38,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,3r2k1/R5pp/p1p2p2/1p2n3/3q2P1/P6P/4Q1P1/4R1K1 w - - 2 31,31,,black,resign,"(7, 6)","(0, 6)","(6, 4)","(4, 3)","(1, 0)","(0, 3)","(7, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 4)","(None, None)","(None, None)",1764.5
39,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,8/3R1pkp/4P1p1/8/5P2/4pbP1/r6P/5K2 w - - 1 37,37,,black,resign,"(7, 5)","(1, 6)","(None, None)","(None, None)","(1, 3)","(6, 0)","(None, None)","(None, None)","(None, None)","(5, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2052.5
40,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/7k/1R5p/p5pP/1p4P1/r4P2/4K3/8 w - - 2 43,43,,black,outoftime,"(6, 4)","(1, 7)","(None, None)","(None, None)","(2, 1)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1432.0
41,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,1,,white,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1266.5
42,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,4B3/8/4kP2/3pB3/3P2K1/8/8/8 b - - 2 57,57,,draw,draw,"(4, 6)","(2, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(0, 4)","(None, None)","(3, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1506.0
43,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1,,white,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1534.0
44,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,5r1k/ppp5/7Q/8/4N1R1/P2r4/KPPR4/4q3 b - - 0 35,35,Queen,white,mate,"(6, 0)","(0, 7)","(2, 7)","(7, 4)","(4, 6)","(0, 5)","(6, 3)","(5, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 4)","(None, None)","(None, None)","(None, None)",1603.0
45,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,r7/1k3Q2/p2pN1p1/1p1Pp3/1Pp5/P2q4/6PP/2B3K1 b - - 4 30,30,,white,resign,"(7, 6)","(1, 1)","(1, 5)","(5, 3)","(None, None)","(0, 0)","(None, None)","(None, None)","(7, 2)","(None, None)","(None, None)","(None, None)","(2, 4)","(None, None)","(None, None)","(None, None)",1631.5
46,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,r2n4/pp2Q3/1qk1pP2/3p4/3P4/B1P5/P4PPP/R4RK1 b - - 4 24,24,,white,resign,"(7, 6)","(2, 2)","(1, 4)","(2, 1)","(7, 0)","(0, 0)","(7, 5)","(None, None)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(0, 3)","(None, None)","(None, None)",1776.5
47,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/5pk1/6p1/2pq4/3b1QPn/1r3N2/5PK1/4R3 w - - 3 36,36,,black,resign,"(6, 6)","(1, 6)","(4, 5)","(3, 3)","(7, 4)","(5, 1)","(None, None)","(None, None)","(None, None)","(4, 3)","(None, None)","(None, None)","(5, 5)","(4, 7)","(None, None)","(None, None)",2349.0
48,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,6k1/pp5p/2b1p3/8/6KP/P1r5/1P6/8 w - - 0 43,43,,black,outoftime,"(4, 6)","(0, 6)","(None, None)","(None, None)","(None, None)","(5, 2)","(None, None)","(None, None)","(None, None)","(2, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2211.0
49,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,8/8/p2b4/1p2P3/3P3k/1P2B2B/P1P2K2/8 b - - 0 56,56,,white,resign,"(6, 5)","(4, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(5, 4)","(2, 3)","(5, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1744.0
50,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,7Q/4k3/8/5Q2/8/P3P1P1/5P2/6K1 b - - 0 61,61,,white,resign,"(7, 6)","(1, 4)","(0, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2100.0
51,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/8/7p/8/5p2/2k2P1P/1p1p4/rR1K4 w - - 2 56,56,,black,outoftime,"(7, 3)","(5, 2)","(None, None)","(None, None)","(7, 1)","(7, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2136.5
52,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,2bqrk2/6b1/p2r1p1p/2Q1pPp1/6P1/4BB2/1P5P/R2R2K1 b - - 4 28,28,,white,resign,"(7, 6)","(0, 5)","(3, 2)","(0, 3)","(7, 0)","(0, 4)","(7, 3)","(2, 3)","(5, 4)","(0, 2)","(5, 5)","(1, 6)","(None, None)","(None, None)","(None, None)","(None, None)",2259.0
53,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,r7/pp6/2p1k3/6np/4p3/8/P2K4/5R2 w - - 0 34,34,,black,resign,"(6, 3)","(2, 4)","(None, None)","(None, None)","(7, 5)","(0, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 6)","(None, None)","(None, None)",1495.5
54,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,8/p1R2pkp/4p1p1/1p1rb3/1P2p3/P3P2P/2R2PP1/3q2K1 w - - 6 35,35,Queen,black,mate,"(7, 6)","(1, 6)","(None, None)","(7, 3)","(1, 2)","(3, 3)","(6, 2)","(None, None)","(None, None)","(3, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1529.0
55,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/p4pk1/1b3p2/5P2/P1K1B1r1/1P6/7p/8 w - - 2 44,44,,black,resign,"(4, 2)","(1, 6)","(None, None)","(None, None)","(None, None)","(4, 6)","(None, None)","(None, None)","(4, 4)","(2, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1392.5
56,Rated Classical game,480+0,6k1/1q3pQp/p2np3/8/3B4/1P2P1P1/P4P1P/2R3Kb b - - 0 26,26,Queen,white,mate,"(7, 6)","(0, 6)","(1, 6)","(1, 1)","(7, 2)","(None, None)","(None, None)","(None, None)","(4, 3)","(7, 7)","(None, None)","(None, None)","(None, None)","(2, 3)","(None, None)","(None, None)",2255.5
57,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,r4rk1/ppp2pp1/3bp2B/7n/8/P1NP1P2/1P2QP2/R3RK1q w - - 2 18,18,Queen,black,mate,"(7, 5)","(0, 6)","(6, 4)","(7, 7)","(7, 0)","(0, 0)","(7, 4)","(0, 5)","(2, 7)","(2, 3)","(None, None)","(None, None)","(5, 2)","(3, 7)","(None, None)","(None, None)",1604.0
58,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/7p/6p1/5pP1/2k2n1P/1p6/8/1K6 w - - 0 51,51,,black,outoftime,"(7, 1)","(4, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 5)","(None, None)","(None, None)",1815.0
59,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/p1k5/8/1bP5/1P6/2bp4/P2K3P/3B4 w - - 2 40,40,,black,outoftime,"(6, 3)","(1, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7, 3)","(3, 1)","(None, None)","(5, 2)","(None, None)","(None, None)","(None, None)","(None, None)",2030.0
60,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,6k1/p5p1/1p5p/3p4/3P4/1PK2P1P/3B4/1q6 w - - 2 36,36,,black,resign,"(5, 2)","(0, 6)","(None, None)","(7, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1898.0
61,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,R7/5pkp/3p2p1/6P1/6P1/p7/1b4K1/r7 w - - 3 44,44,,black,resign,"(6, 6)","(1, 6)","(None, None)","(None, None)","(0, 0)","(7, 0)","(None, None)","(None, None)","(None, None)","(6, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1992.5
62,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,2r3k1/2p3q1/3p4/1p1Pp3/p7/2P2P2/PPK5/8 w - - 0 44,44,,black,outoftime,"(6, 2)","(0, 6)","(None, None)","(1, 6)","(None, None)","(0, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1858.5
63,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,r5k1/pp2qppp/5n2/5b2/2B2Q2/2P1P3/P4PPP/RN1r2K1 w - - 0 18,18,,black,resign,"(7, 6)","(0, 6)","(4, 5)","(1, 4)","(7, 0)","(0, 0)","(None, None)","(7, 3)","(4, 2)","(3, 5)","(None, None)","(None, None)","(7, 1)","(2, 5)","(None, None)","(None, None)",1634.0
64,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,8/4k3/6p1/4pp2/4P3/p1P1KPP1/R3B3/8 b - - 0 56,56,,white,resign,"(5, 4)","(1, 4)","(None, None)","(None, None)","(6, 0)","(None, None)","(None, None)","(None, None)","(6, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2198.5
65,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,4r1k1/6pp/p2R4/1p6/8/2P5/P3r1PP/5K2 w - - 0 37,37,,black,outoftime,"(7, 5)","(0, 6)","(None, None)","(None, None)","(2, 3)","(0, 4)","(None, None)","(6, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1437.5
66,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,7k/pNp4p/2P5/3B4/4p2P/6q1/PP6/4R1K1 w - - 8 43,43,,draw,draw,"(7, 6)","(0, 7)","(None, None)","(5, 6)","(7, 4)","(None, None)","(None, None)","(None, None)","(3, 3)","(None, None)","(None, None)","(None, None)","(1, 1)","(None, None)","(None, None)","(None, None)",1890.5
67,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,1Rkr1b1r/B1p4p/b1Bp1p2/P2P2p1/8/8/1P3PPP/R5K1 b - - 5 26,26,Rook,white,mate,"(7, 6)","(0, 2)","(None, None)","(None, None)","(0, 1)","(0, 3)","(7, 0)","(0, 7)","(1, 0)","(0, 5)","(2, 2)","(2, 0)","(None, None)","(None, None)","(None, None)","(None, None)",1779.0
