Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Muv Genotype,Labels
Chennai.IND/35.12/C,Kf843896,2012-08-31,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Wild Type Strains Isolated From India,https://www.ncbi.nlm.nih.gov/nuccore/KF843896,2012.67,Genbank,2012-08-31,?,Aa: I: G50s; L: E1263d S1729n T1897s P1922t E2027g I2251m I2260m; P: G50s G239r D249h Y264h R304g R310q; Sh: L17f I26f S47p; Hn: I46v N66s; V: G50s;
Davangere.IND/01.14/C,Kx953297,2014-02-02,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Virus Isolated From Karnataka State India,https://www.ncbi.nlm.nih.gov/nuccore/KX953297,2014.09,Genbank,2014-02-02,?,Aa: F: P95l T412i; I: I29l E85d; M: I279v; L: I124l M1928l A2061v P2252t; P: I29l E85d A212t D271n; Hn: A16t V395i V396i A521s; V: I29l E85d A212t;
Pune.Ind/50.08/C,Kf843893,2008-12-30,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Wild Type Strains Isolated From India,https://www.ncbi.nlm.nih.gov/nuccore/KF843893,2009.00,Genbank,2008-12-30,?,Aa: F: Q237r S391f; Nc: T418a; L: L581f S796p; P: A242d F317s C324y; Hn: A125t;
Kushinagar.IND/36.13/C,Km385447,2013-09-07,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Wild Type Strains Isolated From India,https://www.ncbi.nlm.nih.gov/nuccore/KM385447,2013.68,Genbank,2013-09-07,?,Aa: F: P393l; I: S34p S82p; M: I40v K107r; L: A155t A1908t I2211v; P: S34p S82p G238s D271n H314y E322k; Sh: Y44s; Hn: A383s V396i A474v; V: S34p S82p;
Osmanabad.IND/10.12/17/C,Kf843894,2012-03-11,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Wild Type Strains Isolated From India,https://www.ncbi.nlm.nih.gov/nuccore/KF843894,2012.19,Genbank,2012-03-11,?,unknown
Osmanabad.IND/10.12/18/C,Kf843895,2012-03-11,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Wild Type Strains Isolated From India,https://www.ncbi.nlm.nih.gov/nuccore/KF843895,2012.19,Genbank,2012-03-11,?,Aa: F: I278t; L: P720a;
Hikaru.JPN/22.97-B,Ab823535,1997-06-04,Japan Korea,Japan,Japan,Kidokoro Et Al,Unpublished,Muv Isolate In Japan,https://www.ncbi.nlm.nih.gov/nuccore/AB823535,1997.42,Genbank,1997-06-04,?,Aa: F: G10s S15t Q33k P95s S454n H472y; I: A62t; Nc: V316a A357v N422d; M: R367k; L: I124v T218a K804r N1138s T1832i E2031d A2216s I2261v; P: A62t V179i R267g K279e V306i S321r Q326k P336s *354r K388e; Sh: L10p Y19s L30s T33n Y44h S52g; Hn: I9m T72a S121g K123n D156e V212i S295t F439l T533n; V: A62t V179i;
Akita.JPN/42.93/I,Kf878078,1993-10-22,Japan Korea,Japan,Japan,Jin Et Al,Rev. Med. Virol.  2014  In Press,Genomic Diversity Of Mumps Virus And Global Distribution Of The 12 Genotypes,https://www.ncbi.nlm.nih.gov/nuccore/KF878078,1993.80,Genbank,1993-10-22,?,Aa: F: L418m; I: S63p; Nc: I387v; L: T1667i A1954t; P: S63p T233a; Hn: D25n S69a D251g K335r; V: S63p;
Dg1062/Korea/98,Ay309060,1998-01-01,Japan Korea,South Korea,South Korea,Lee Et Al,Virus Genes 28  2  201-205  2004 ,Complete Nucleotide Sequence Of A Mumps Virus Genotype I Strain Isolated In Korea,https://www.ncbi.nlm.nih.gov/nuccore/AY309060,1998.00,Genbank,1998-xx-xx,?,Aa: F: N142t S195f E311d C380y H472r; I: A38s Y59h P143l R162m; Nc: V267a; L: I86v T111i T147a K197r L425f A878p S952i D961n D980n H1067l R1077k S1192n D1261n Q1646l I1669v L1776f S1801n I1968v R2012m T2015s N2064h D2115n N2125h M2205i K2223e D2248g; P: A38s Y59h P143l R162m T315i; Sh: V26a; V: A38s Y59h P143l R162m;
Shandong.CHN/4.05/F,Kf042304,2005-01-29,China,China,Shandong,Cui Et Al,Bing Du Xue Bao 29  6  602-607  2013 ,[Genetic Analysis Of A Genotype F Mumps Virus Based On Its Complete Genome Sequence],https://www.ncbi.nlm.nih.gov/nuccore/KF042304,2005.08,Genbank,2005-01-29,?,Aa: F: S77g P209l; Nc: I387v; M: V26i R210k; L: N227s E336d N340h T400k N1210s L1521i; P: *311r V316i C324r; Sh: M29l Q45h; Hn: R57s P530s;
Zhejiang.CHN/16.08/2,Kf170918,2008-04-18,China,China,Zhejiang,He Et Al,Unpublished,Mumps Epidemiology And Molecular Charicterisation Of Mumps Virus Circulating In Zhejiang Province China During The Period Of 2005-2010,https://www.ncbi.nlm.nih.gov/nuccore/KF170918,2008.30,Genbank,2008-04-18,?,Aa: I: I49s; Nc: V347i M393i; L: Y844f S1729r I2024l S2242f; P: I49s S230p K259* N261y R272c V316i K339* S346g T369a; Sh: T33i H55n; Hn: V20a A24t K27r Q355l A474v; V: I49s;
Zhejiang.CHN/11.06/1,Kf170917,2006-03-16,China,China,Zhejiang,He Et Al,Unpublished,Mumps Epidemiology And Molecular Charicterisation Of Mumps Virus Circulating In Zhejiang Province China During The Period Of 2005-2010,https://www.ncbi.nlm.nih.gov/nuccore/KF170917,2006.20,Genbank,2006-03-16,?,Aa: F: M269i S345l K521r; I: I49s; M: T67n; L: I1517v I1968l; P: I49s *289q H374y; Sh: I28t; Hn: V513i L525i; V: I49s;
BritishColumbia.CAN/34.16/2/F,Bccdc37,2016-08-27,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.65,Bccdc,2016-08-27,F,Aa: F: L5f L81i H329y; I: P163t; Nc: Q349p G391r F419l S429l; M: E255a; L: S106c I193v N227d S255a N352d R570k E1264* E1749d G1830s L2183i; P: P163t D227n D281n R286* N351d; Sh: T23p; Hn: D25n T51a Q354k; V: P163t;
Zhejiang.CHN/26.05,Kf170916,2005-06-28,China,China,Zhejiang,He Et Al,Unpublished,Mumps Epidemiology And Molecular Charicterisation Of Mumps Virus Circulating In Zhejiang Province China During The Period Of 2005-2010,https://www.ncbi.nlm.nih.gov/nuccore/KF170916,2005.49,Genbank,2005-06-28,?,Aa: F: A91v; I: G159s; Nc: R412g; M: H139y; L: M1580i S2242f; P: G159s Q373* H385y; Sh: F53c; Hn: S10p P19s M81t; V: G159s;
Zhejiang.CHN/19.10,Kf170919,2010-05-14,China,China,Zhejiang,He Et Al,Unpublished,Mumps Epidemiology And Molecular Charicterisation Of Mumps Virus Circulating In Zhejiang Province China During The Period Of 2005-2010,https://www.ncbi.nlm.nih.gov/nuccore/KF170919,2010.36,Genbank,2010-05-14,?,Aa: F: I495t; I: V81a S158g; Nc: A294t R340i Q367r; L: D157n E1732g; P: V81a S158g *273q H381y; Sh: A37v; V: V81a S158g;
SP-A,Fj556896,2005-01-01,China,China,China,Ma Et Al,Submitted  16-dec-2008  Viral Immunology Institute Of Medical Biology Chinese Academy Of Medical Sciences Peking Union Medical College 379 Jiaoling Rd Kunming Yunnan 650118 China,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/FJ556896,2006.00,Genbank,2005-xx-xx,?,Aa: F: N89i F504l; I: R77g; Nc: E93k S169r D192a L193f A197g F249l P275r P321l L360s L368p M370k P371a S377c I379l P380s Q383l R389g H395r R400w S407p P423l; M: L37r; L: D154g T568i L831v V1366g I2043t V2050d I2177m; P: R77g; Hn: S69p G223r N399s N464s K526t; V: R77g;
SP,Dq649478,2007-07-15,China,China,China,Ma Et Al,Microbes Infect.  2006  In Press,Sequence Analysis Of The Sh Gene And Its Flanking Region Of Mumps Virus Isolated Strain  Sp Strain ,https://www.ncbi.nlm.nih.gov/nuccore/DQ649478,2007.53,Genbank,2007-07-15,?,Aa: Nc: V263a; L: L367f T671r N733s T850a D1194n F1686c L1705m S1759r W1834r; Hn: F546k;
Leeds.GBR/9.04/J,Kf878079,2004-03-04,Europe,United Kingdom,England,Jin Et Al,Rev. Med. Virol.  2014  In Press,Genomic Diversity Of Mumps Virus And Global Distribution Of The 12 Genotypes,https://www.ncbi.nlm.nih.gov/nuccore/KF878079,2004.17,Genbank,2004-03-04,?,Aa: F: L5s I22t D61e P95s N181s H329q K465m S476a V492i; I: S34l R72k S158g G159s; Nc: H395p; M: N225t; L: A54t N647s I1742n S1874n R2034k V2055g P2085q V2239a; P: S34l R72k S158g G159s K213r K237e N251d T262i K273e R304g R310q S321g P336s E345k T368a G376r T387k R389c; Sh: I16v T31a R39q R46g F48l L57f; Hn: N12d S69f I71t S126a N131s K203n D266n T402i T511a; V: S34l R72k S158g G159s K213r;
London.GBR/3.02-Uncl,Kf878082,2002-01-22,Europe,United Kingdom,England,Jin Et Al,Rev. Med. Virol.  2014  In Press,Genomic Diversity Of Mumps Virus And Global Distribution Of The 12 Genotypes,https://www.ncbi.nlm.nih.gov/nuccore/KF878082,2002.06,Genbank,2002-01-22,?,Aa: F: F4l L5s V6i; I: S34p V44i S84t; Nc: Q352p F355s Y373h L398s N421i; M: V166i; L: Y21c L133s A151v D157g Y158c E337q S415n I1725v E1732g A1750s S1801g S1874n E2031d R2046c F2087y E2181d; P: S34p V44i S84t D281n I307v T313a S321g E322k P336s E345k N349y G357c V365l R375*; Sh: L18p V26f I32v; Hn: I9v T117a S158f R338k I435m; V: S34p V44i S84t;
Pune.IND/00.86/G,Kf738113,1986-01-01,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Wild Type Strains Isolated From India,https://www.ncbi.nlm.nih.gov/nuccore/KF738113,1987.00,Genbank,1986-xx-xx,?,Aa: F: F16l I24v N62t T412m; I: S63p T88p K132r; Nc: Q349p G351d; L: A1734t T1832i; P: S63p T88p K132r R267g T335a E362k; Sh: F12i A37s; Hn: T80a E339g; V: S63p T88p K132r;
Glouc1/UK96,Af280799,1996-01-01,Europe,United Kingdom,England,Jin Et Al,Virus Res. 70  1-2  75-83  2000 ,The Genomic Sequence Of A Contemporary Wild-type Mumps Virus Strain,https://www.ncbi.nlm.nih.gov/nuccore/AF280799,1996.74,Genbank,1996-xx-xx,?,Aa: F: K74n K468r I495v; L: F298l I981v; P: K273e Q308* S329a; Hn: S12n I435v;
31170132,Lc325482,2017-01-01,Japan Korea,Japan,Japan,Hasegawa Et Al,Unpublished,Detection Of Mumps Rubulavirus Tokyo Japan,https://www.ncbi.nlm.nih.gov/nuccore/LC325482,2017.66,Genbank,2017-xx-xx,?,Aa: F: I361t; L: R494k;
31170254,Lc325487,2017-01-01,Japan Korea,Japan,Japan,Hasegawa Et Al,Unpublished,Detection Of Mumps Rubulavirus Tokyo Japan,https://www.ncbi.nlm.nih.gov/nuccore/LC325487,2017.08,Genbank,2017-xx-xx,?,unknown
Massachusetts.USA/11.17/G,Broad Sequence 10,2017-03-14,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.20,Broad,2017-03-14,G,Aa: L: V310i;
Massachusetts.USA/10.17/G,Broad Sequence 8,2017-03-06,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.18,Broad,2017-03-06,G,unknown
Washington.USA/2017217/8.17/3/G,Washington Outbreak 23,2017-02-28,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.16,Fh,2017-02-28,G,Aa: F: Q445k N480h; Nc: N404t G405s; P: T262i D271n K273q E322k T368k R389c; Sh: I4t; Hn: S293t Q354k V410i;
Pune.IND/07.12/G,Kf738114,2012-02-14,South Asia,India,India,Vaidya Et Al,Unpublished,Complete Genome Sequence Of Mumps Wild Type Strains Isolated From India,https://www.ncbi.nlm.nih.gov/nuccore/KF738114,2012.12,Genbank,2012-02-14,?,Aa: F: V125i I500t; L: R621k G1873r S1894g; P: G239r R304g H314r Y324c Q326k; Sh: T36s; Hn: A85t K146r V410l T440s T533a;
Dadra&NagarHaveli.IND/42.16/1/G,Ky604739,2016-10-13,South Asia,India,India,Vaidya Et Al,Unpublished,Mumps Outbreak In A Tribal Population From The Union Territory Of Dadra And Nagar Haveli India,https://www.ncbi.nlm.nih.gov/nuccore/KY604739,2016.78,Genbank,2016-10-13,?,Aa: F: I212s K468r; I: S34p A76t V107i; Nc: Y162n A336v; M: I27v V207i; L: R164k Y985h I1674m E1831d Q2112h; P: S34p A76t V107i K291e N298y S321g T344k Y374h; Sh: K35r; V: S34p A76t V107i;
31170187,Lc325485,2017-01-01,Japan Korea,Japan,Japan,Hasegawa Et Al,Unpublished,Detection Of Mumps Rubulavirus Tokyo Japan,https://www.ncbi.nlm.nih.gov/nuccore/LC325485,2017.00,Genbank,2017-xx-xx,?,Aa: F: N62d E65k R101k V125i A409t; I: A38t F98l T150a; Nc: I387t; L: K267r; P: A38t F98l T150a I192l C229y K290t G364s Y374h; Sh: I16m T23i T31a T36i; Hn: D25n D266n; V: A38t F98l T150a I192l;
Ontario.CAN/13.10/G,Ky006858,2010-03-31,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,A Review Of Laboratory Testing During A Mumps Outbreak In Ontario Canada,https://www.ncbi.nlm.nih.gov/nuccore/KY006858,2010.24,Genbank,2010-03-31,?,Aa: F: S4p; I: K55r Y111h; Nc: S407p; L: I90v I97l I1594v Y1715f V1876i; P: K55r Y111h I255t; Hn: T120a; V: K55r Y111h;
BritishColumbia.CAN/28.16/3/G,Bccdc86,2016-07-12,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.53,Bccdc,2016-07-12,G,Aa: F: A12s N314s I499v; I: S73n E85d; L: D487y N505k E653d I1144m E1264* E1746d V1779a D2246a I2261l; P: S73n E85d K259* T344m; Sh: L17f I28l Y44s F48s T56l; Hn: V20i F366y; V: S73n E85d;
Massachusetts.USA/37.16/1/G,Mf965284,2016-09-11,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965284,2016.70,Genbank,2016-09-11,G,Aa: F: V35i; I: S82p T91a; Nc: V308s A315v; M: K221r; L: V1796i; P: S82p T91a; Sh: F12l S47p; Hn: V20a; V: S82p T91a;
Gabon/9.13/2/G,Kj810514,2013-03-01,Africa,Gabon,Gabon,Maganga Et Al,Unpublished,Genotyping Of Mumps Virus Strain Ciruclating In Franceville Gabon,https://www.ncbi.nlm.nih.gov/nuccore/KJ810514,2013.16,Genbank,2013-03-01,?,Aa: I: K153*; P: K153*; V: K153*;
Gabon/13/2/G,Km597072,2013-03-01,Africa,Gabon,Gabon,Maganga Et Al,Genome Announc 2  6   2014 ,Complete Genome Sequence Of Mumps Virus Genotype G From A Vaccinated Child In Franceville Southeastern Gabon In 2013,https://www.ncbi.nlm.nih.gov/nuccore/KM597072,2013.16,Genbank,2013-03-01,?,unknown
Iowa.USA/06/G,Jx287385,2006-01-01,North America,USA,Iowa,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287385,2006.00,Genbank,2006-xx-xx,?,Aa: F: S195f; L: H426y I1674l; Hn: S336l A474t;
Massachusetts.USA/23.17/2/G,Broad Sequence 34,2017-06-07,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.43,Broad,2017-06-07,G,Aa: F: V6l S77r M498i; Nc: M393v; L: Q1403k; P: G245r P280s E322k; Sh: K35n; Hn: Q376h T402a;
Ontario.CAN/04.10/G,Ky006857,2010-01-28,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,A Review Of Laboratory Testing During A Mumps Outbreak In Ontario Canada,https://www.ncbi.nlm.nih.gov/nuccore/KY006857,2010.07,Genbank,2010-01-28,?,Aa: I: Q117p; L: N1128h I1490f; P: Q117p *311w T313i T337a K339e; Hn: K203n; V: Q117p;
New_York.USA/53.09/3,Jx287387,2010-01-07,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287387,2010.02,Genbank,2010-01-07,?,unknown
New_York.USA/40.09/1,Jx287390,2009-09-21,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287390,2009.72,Genbank,2009-09-21,?,Aa: L: V1408i;
BritishColumbia.CAN/14.11/2/G,Bccdc26,2011-04-03,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2011.25,Bccdc,2011-04-03,G,Aa: F: T280a; I: Q7*; L: M242i L508r K569r F699l A1147s Y1237c E1264* D2246a; P: Q7*; Hn: S490g; V: Q7*;
Ontario.CAN/37.09/G,Ky006856,2009-09-13,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,A Review Of Laboratory Testing During A Mumps Outbreak In Ontario Canada,https://www.ncbi.nlm.nih.gov/nuccore/KY006856,2009.70,Genbank,2009-09-13,?,unknown
Ontario.CAN/38.09/2/G,Ky680537,2009-09-17,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680537,2009.71,Genbank,2009-09-17,?,unknown
Ontario.CAN/40.09/1/G,Ky680538,2009-09-28,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680538,2009.74,Genbank,2009-09-28,?,unknown
New_York.USA/01.10,Jx287389,2010-01-04,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287389,2010.01,Genbank,2010-01-04,?,Aa: L: S1756y; P: G278e;
Ontario.CAN/50.09/1/G,Ky680539,2009-12-13,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680539,2009.95,Genbank,2009-12-13,?,Aa: F: S294g; I: M18i; L: L2183i; P: M18i; V: M18i;
Ontario.CAN/50.09/3/G,Ky680540,2009-12-11,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680540,2009.94,Genbank,2009-12-11,?,Aa: F: P397s;
New_York.USA/40.09/4,Jx287391,2009-10-08,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287391,2009.77,Genbank,2009-10-08,?,Aa: M: L42f;
California.USA/40.11/G,Ky969482,2011-10-08,North America,USA,California,Espinosa Et Al,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969482,2011.77,Genbank,2011-10-08,?,Aa: F: S63g E344g; M: R20k; L: T2061a;
NewJersey.USA/16.14/2/G,Broad Sequence 49,2014-04-28,North America,USA,New Jersey,Wohl Et Al,?,Unpublished,?,2014.32,Broad,2014-04-28,G,Aa: F: L372m;
Indiana.USA/5.14/G,Broad Sequence 47,2014-01-31,North America,USA,Indiana,Wohl Et Al,?,Unpublished,?,2014.08,Broad,2014-01-31,G,Aa: L: S580a;
NewYork.USA/8.14/G,Broad Sequence 51,2014-02-20,North America,USA,New York,Wohl Et Al,?,Unpublished,?,2014.14,Broad,2014-02-20,G,unknown
Ohio.USA/13.14/6/G,Broad Sequence 56,2014-03-26,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.23,Broad,2014-03-26,G,unknown
Ohio.USA/12.14/9/G,Broad Sequence 58,2014-03-21,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.22,Broad,2014-03-21,G,unknown
Michigan.USA/12.14/G,Broad Sequence 48,2014-03-20,North America,USA,Michigan,Wohl Et Al,?,Unpublished,?,2014.21,Broad,2014-03-20,G,unknown
Ohio.USA/16.14/1/G,Broad Sequence 60,2014-04-15,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.28,Broad,2014-04-15,G,unknown
Ohio.USA/16.14/2/G,Broad Sequence 61,2014-04-15,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.28,Broad,2014-04-15,G,unknown
Massachusetts.USA/26.15/1/G,Mf965222,2015-07-04,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965222,2015.50,Genbank,2015-07-04,G,Aa: Hn: F370l;
NewJersey.USA/49.14/G,Broad Sequence 50,2014-12-06,North America,USA,New Jersey,Wohl Et Al,?,Unpublished,?,2014.93,Broad,2014-12-06,G,unknown
Pennsylvania.USA/51.14/G,Broad Sequence 62,2014-12-16,North America,USA,Pennsylvania,Wohl Et Al,?,Unpublished,?,2014.96,Broad,2014-12-16,G,unknown
NewYork.USA/51.14/G,Broad Sequence 54,2014-12-16,North America,USA,New York,Wohl Et Al,?,Unpublished,?,2014.96,Broad,2014-12-16,G,unknown
