Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Labels
SG_022,Ky241692,2016-09-14,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241692,2016.70,Genbank,2016-09-14,unknown
SG_055,Ky241725,2016-08-26,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241725,2016.65,Genbank,2016-08-26,Aa: Ns5: P698s;
SG_084,Ky241754,2016-09-07,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241754,2016.68,Genbank,2016-09-07,unknown
SG_009,Ky241679,2016-09-07,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241679,2016.68,Genbank,2016-09-07,unknown
SG_038,Ky241708,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241708,2016.66,Genbank,2016-08-28,unknown
SG_077,Ky241747,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241747,2016.66,Genbank,2016-08-28,unknown
SG_082,Ky241752,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241752,2016.66,Genbank,2016-08-28,unknown
SG_090,Ky241760,2016-09-13,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241760,2016.70,Genbank,2016-09-13,unknown
SG_116,Ky241786,2016-09-06,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241786,2016.68,Genbank,2016-09-06,unknown
SG_080,Ky241750,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241750,2016.66,Genbank,2016-08-28,unknown
SG_067,Ky241737,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241737,2016.66,Genbank,2016-08-28,unknown
SG_083,Ky241753,2016-08-26,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241753,2016.65,Genbank,2016-08-26,unknown
SG_073,Ky241743,2016-08-26,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241743,2016.65,Genbank,2016-08-26,unknown
SG_091,Ky241761,2016-09-03,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241761,2016.67,Genbank,2016-09-03,unknown
SG_100,Ky241770,2016-08-30,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241770,2016.66,Genbank,2016-08-30,unknown
1_0038_PF,Kx447517,2014-01-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447517,2014.08,Genbank,2014-01-xx,Aa: Env: T179a I466t;
1_0111_PF,Kx447516,2014-01-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447516,2014.08,Genbank,2014-01-xx,Aa: Mp: Q59k;
1_0030_PF,Kx447515,2013-11-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447515,2013.91,Genbank,2013-11-xx,Aa: Env: H401y;
1_0035_PF,Kx447514,2014-01-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447514,2014.08,Genbank,2014-01-xx,Aa: Ns2b: A16v;
H/PF/2013,Kj776791,2013-11-28,Oceania,French Polynesia,French Polynesia,Baronti Et Al,Genome Announc 2  3  E00500-14  2014 ,Complete Coding Sequence Of Zika Virus From A French Polynesia Outbreak In 2013,https://www.ncbi.nlm.nih.gov/nuccore/KJ776791,2013.91,Genbank,2013-11-28,unknown
1_0080_PF,Kx447521,2014-02-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447521,2014.15,Genbank,2014-02-xx,unknown
1_0087_PF,Kx447509,2013-12-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447509,2013.97,Genbank,2013-12-xx,unknown
Chiba/S36/2016,Lc191864,2016-04-21,Oceania,Fiji,Fiji,Taira Et Al,Jpn. J. Infect. Dis. 70  5  586-589  2017 ,The First Case Of Zika Virus Isolated From A Japanese Patient Who Returned To Japan From Fiji In 2016,https://www.ncbi.nlm.nih.gov/nuccore/LC191864,2016.30,Genbank,2016-04-21,Aa: Ns5: N407s Q575h; Ns1: P181s; Pro: T71m;
TS17_2016,Kx806557,2016-02-01,Oceania,Tonga,Tonga,Pyke Et Al,Unpublished,Isolation Of Zika Virus From A Viremic Patient From Australia With Travel To Tonga 2016,https://www.ncbi.nlm.nih.gov/nuccore/KX806557,2016.08,Genbank,2016-02-xx,Aa: Ns5: V267a; Mp: I36m;
ZJ02,Ku761561,2016-02-01,Oceania,American Samoa,American Samoa,Tong Et Al,Unpublished,Complete Genome Of Zika Viruses Isolated From China,https://www.ncbi.nlm.nih.gov/nuccore/KU761561,2016.08,Genbank,2016-02-xx,unknown
Zhejiang04,Kx117076,2016-02-17,Oceania,American Samoa,American Samoa,Zhang Et Al,Unpublished,Phylogenetic Analyses Of The Imported Zika Virus Cases To China 2016,https://www.ncbi.nlm.nih.gov/nuccore/KX117076,2016.13,Genbank,2016-02-17,unknown
ZJ04,Kx013000,2016-02-17,China,China,China,Tong Et Al,Unpublished,A Case Cluster With Of Zika Virus Infection That Was Imported To China In 2016,https://www.ncbi.nlm.nih.gov/nuccore/KX013000,2016.13,Genbank,2016-02-17,unknown
SZ01/2016/China,Ku866423,2016-01-01,Oceania,American Samoa,American Samoa,Deng Et Al,Sci China Life Sci 59  4  428-430  2016 ,Isolation Identification And Genomic Characterization Of The Asian Lineage Zika Virus Imported To China,https://www.ncbi.nlm.nih.gov/nuccore/KU866423,2016.15,Genbank,2016-xx-xx,unknown
ZJ01,Ku997667,2016-02-16,China,China,China,Tong Et Al,Unpublished,A Case Cluster With Of Zika Virus Infection That Was Imported To China In 2016,https://www.ncbi.nlm.nih.gov/nuccore/KU997667,2016.13,Genbank,2016-02-16,unknown
ZJ03,Ku820899,2016-02-01,Oceania,American Samoa,American Samoa,Zhang Et Al,Submitted  27-feb-2016  Department Of Microbiology Zhejiang Provincial Center For Disease Control And Prevention 3399 Binsheng Road Hangzhou Zhejiang 310051 P. R. China,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KU820899,2016.08,Genbank,2016-02-xx,unknown
SZ_WIV01,Ku963796,2016-01-01,Oceania,American Samoa,American Samoa,Deng Et Al,Unpublished,Isolation And Characterization Of Zika Virus Imported To China In C6/36 Mosquito Cells,https://www.ncbi.nlm.nih.gov/nuccore/KU963796,2016.14,Genbank,2016-xx-xx,unknown
CN/SZ02/2016,Kx185891,2016-02-17,Oceania,American Samoa,American Samoa,Zhao Et Al,Unpublished,Isolation Of Infectious Zika Virus From Saliva In A Traveller Returning From Samoa To Shenzhen China2016,https://www.ncbi.nlm.nih.gov/nuccore/KX185891,2016.13,Genbank,2016-02-17,unknown
GZDJ1685,Mf099651,2016-08-01,China,China,China,Song Et Al,Emerg Microbes Infect 6  11  E93  2017 ,Could Zika Virus Emerge In Mainland China? Virus Isolation From Nature In Culex Quinquefasciatus 2016,https://www.ncbi.nlm.nih.gov/nuccore/MF099651,2016.67,Genbank,2016-08-xx,Aa: Ns2b: M32i; Ns2a: I150t; Ns5: V267a; Env: V391a; Ns1: E315k; Pro: E2q; 2k: T22s;
ZKC2P6,Mg674719,2016-04-16,China,China,China,Guo Et Al,Submitted  14-dec-2017  Infectious Animal Platform Institute Of Laboratory Animal Sciences Chinese Academy Of Medical Sciences & Comparative Medicine Center Peking Union Medica Pan Jia Yuan Nan Li No. 5 Chao Yang District Beijing Beijing 100021 China,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/MG674719,2016.29,Genbank,2016-04-16,unknown
ZKC2P4,Mg674718,2016-04-16,China,China,China,Guo Et Al,Submitted  14-dec-2017  Infectious Animal Platform Institute Of Laboratory Animal Sciences Chinese Academy Of Medical Sciences & Comparative Medicine Center Peking Union Medica Pan Jia Yuan Nan Li No. 5 Chao Yang District Beijing Beijing 100021 China,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/MG674718,2016.29,Genbank,2016-04-16,unknown
SMGC_1,Kx266255,2016-02-14,Oceania,American Samoa,American Samoa,Bi Et Al,Chin. Sci. Bull. 61  22  2463-2474  2016 ,Genetic And Biological Characterization For Zika Viruses Imported Through Shenzhen Port,https://www.ncbi.nlm.nih.gov/nuccore/KX266255,2016.12,Genbank,2016-02-14,unknown
_CCMU01/2016,Mf036115,2016-11-02,China,China,China,Wu Et Al,Unpublished,Zika Virus Infection Associated With Severe Liver Dysfunction And Coagulation Disorder,https://www.ncbi.nlm.nih.gov/nuccore/MF036115,2016.84,Genbank,2016-11-02,unknown
SY01_2016,Ky967711,2016-11-01,China,China,China,Wu Et Al,Unpublished,Zika Virus Infection Induces Coagulation Disorder And Liver Dysfunction,https://www.ncbi.nlm.nih.gov/nuccore/KY967711,2016.84,Genbank,2016-11-01,unknown
Z16006,Ku955589,2016-02-16,Oceania,American Samoa,American Samoa,Wu Et Al,Unpublished,Large Returning Population Of Oversea Chinese Of Guangdong Province Combined With Tourists Increase The Risks Of Zikv Transmission In Guangdong China,https://www.ncbi.nlm.nih.gov/nuccore/KU955589,2016.13,Genbank,2016-02-16,unknown
ZKC2/2016,Kx253996,2016-02-16,Oceania,American Samoa,American Samoa,Wu Et Al,Submitted  18-may-2016  Center For Diseases Control And Prevention Of Guangdong Province; National Institute Of Viral Disease Control And Prevention China,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KX253996,2016.13,Genbank,2016-02-16,unknown
1_0016_PF,Kx447520,2014-01-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447520,2014.08,Genbank,2014-01-xx,Aa: Ca: T108a; Ns2a: S10c L11s;
1_0015_PF,Kx447511,2014-01-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447511,2014.08,Genbank,2014-01-xx,Aa: Ns2a: A58v; Ns1: L177s;
1_0181_PF,Kx447512,2013-12-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447512,2013.91,Genbank,2013-12-xx,unknown
PF13/251013_18,Kx369547,2013-10-25,Oceania,French Polynesia,French Polynesia,Troesemeier Et Al,Unpublished,Genome Sequence Of A Candidate World Health Organization Reference Strain For Zika Virus For Nucleic Acid Testing,https://www.ncbi.nlm.nih.gov/nuccore/KX369547,2013.81,Genbank,2013-10-25,Aa: Mp: F42l; Ns1: K146e;
1_0199_PF,Kx447519,2013-11-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447519,2013.83,Genbank,2013-11-xx,unknown
1_0134_PF,Kx447513,2013-12-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447513,2014.00,Genbank,2013-12-xx,Aa: Ns2a: M199i;
1_0049_PF,Kx447510,2013-12-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447510,2014.00,Genbank,2013-12-xx,unknown
1_0117_PF,Kx447518,2013-12-01,Oceania,French Polynesia,French Polynesia,Pettersson Et Al,Mbio 7  5  E01239-16  2016 ,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,https://www.ncbi.nlm.nih.gov/nuccore/KX447518,2013.95,Genbank,2013-12-xx,unknown
Haiti/1/2016,Kx051563,2016-02-05,North America,Haiti,Haiti,Iovine Et Al,Clin. Infect. Dis.  2016  In Press,Coinfection With Zika And Dengue-2 Viruses In A Traveler Returning From Haiti 2016  Clinical Presentation And Genetic Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KX051563,2016.10,Genbank,2016-02-05,unknown
Haiti/1225/2014,Ku509998,2014-12-12,North America,Haiti,Haiti,Lednicky Et Al,Plos Negl Trop Dis 10  4  E0004687  2016 ,Zika Virus Outbreak In Haiti In 2014  Molecular And Clinical Data,https://www.ncbi.nlm.nih.gov/nuccore/KU509998,2014.94,Genbank,2014-12-12,unknown
SPH2015,Ku321639,2015-03-01,South America,Brazil,Brazil,Cunha Et Al,Genome Announc 4  2   2016 ,First Complete Genome Sequence Of Zika Virus  Flaviviridae Flavivirus  From An Autochthonous Transmission In Brazil,https://www.ncbi.nlm.nih.gov/nuccore/KU321639,2015.23,Genbank,2015-03-xx,unknown
V17829,Kr872956,2015-01-01,South America,Brazil,Brazil,Nunes Et Al,Unpublished,Emergence Of Zika Virus In Brazil  Detection Of Asian Genotype,https://www.ncbi.nlm.nih.gov/nuccore/KR872956,2015.29,Genbank,2015-xx-xx,unknown
Brazil/PE243/2015,Kx197192,2015-01-01,South America,Brazil,Brazil,Donald Et Al,Plos Negl Trop Dis 10  10  E0005048  2016 ,Full Genome Sequence And Sfrna Interferon Antagonist Activity Of Zika Virus From Recife Brazil,https://www.ncbi.nlm.nih.gov/nuccore/KX197192,2015.52,Genbank,2015-xx-xx,Aa: Ns1: R99g;
PE243,Mf352141,2015-05-13,South America,Brazil,Brazil,Marques Et Al,Submitted  14-jun-2017  Institute For Medical Engineering And Science Massachusetts Institute Of Technology 77 Massachusetts Ave Building 48-419 Cambridge Ma 02139 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/MF352141,2015.36,Genbank,2015-05-13,Aa: Ns2a: D148n; Ns1: R324w;
Brazil/2016/ZBRC25,Ky558993,2016-01-18,South America,Brazil,Brazil,Faria Et Al,Unpublished,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY558993,2016.05,Genbank,2016-01-18,Aa: Env: I23v;
ZBRC13,Zbrc13,2016-01-12,South America,Brazil,Pernambuco,Zika In Brazil Real-time Analysis Consortium,?,?,https://github.com/zibraproject/zibraproject.github.io/tree/master/data/consensus,2016.03,Zibra,2016-01-12,unknown
Brazil/2016/ZBRC14,Ky558990,2016-01-15,South America,Brazil,Brazil,Faria Et Al,Unpublished,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY558990,2016.04,Genbank,2016-01-15,unknown
ZBRC15,Zbrc15,2016-01-15,South America,Brazil,Pernambuco,Zika In Brazil Real-time Analysis Consortium,?,?,https://github.com/zibraproject/zibraproject.github.io/tree/master/data/consensus,2016.04,Zibra,2016-01-15,unknown
