Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host
A/Chicken/Shantou/1556,Epi578122,2014-03-05,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.17,2018.22,2014-03-05,Chicken
A/Chicken/Dongguan/1697,Epi578227,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Guangdong-Guangzhou/XN14050/2014,Epi627628,2014-03-31,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.24,2018.22,2014-03-31,Human
A/Shenzhen/SP139/2014,Epi592196,2014-04-02,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.25,2018.22,2014-04-02,Human
A/HongKong/5581/2014,Epi516593,2014-04-03,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.25,2018.22,2014-04-03,Human
A/Chicken/Shantou/3057,Epi593315,2014-05-06,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.34,2018.22,2014-05-06,Chicken
A/Guangdong-Guangzhou/XN14670/2014,Epi627620,2014-04-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.25,2018.22,2014-04-04,Human
A/Hunan/26937/2014,Epi627843,2014-04-19,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.30,2018.22,2014-04-19,Human
A/Hunan/26938/2014,Epi627851,2014-04-19,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.30,2018.22,2014-04-19,Human
A/GD-43/2015/H7N9/2015-01-22,Epi656341,2015-01-22,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.06,2018.22,2015-01-22,Human
A/GD-81/2015/H7N9/2015-02-10,Epi656453,2015-02-10,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.11,2018.22,2015-02-10,Human
A/GD-18/2015/H7N9/2015-01-11,Epi656293,2015-01-11,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.03,2018.22,2015-01-11,Human
A/Hunan/1/2013,Epi447694,2013-04-24,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.31,2018.22,2013-04-24,Human
A/Duck/Sunan/408,Epi545798,2013-04-01,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2013.25,2018.22,2013-04-xx,Duck
A/Anhui/3/2013,Epi447631,2013-04-21,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.30,2018.22,2013-04-21,Human
A/duck/Zhejiang/SC410/2013,Epi457728,2013-04-16,unknown,China,Zhejiang,Harbin Veterinary Research Institute  Caas ,unknown,unknown,unknown,2013.29,2018.22,2013-04-16,Duck
A/chicken/Anhui-Chuzhou/01/2013,Epi447882,2013-03-29,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.24,2018.22,2013-03-29,Chicken
A/Shanghai/patient1/2013,Epi451019,2013-05-01,unknown,China,Shanghai,Institute Pasteur Of Shanghai Cas,unknown,unknown,unknown,2013.33,2018.22,2013-05-01,Human
A/environment/Shanghai/RL01/2013,Epi581569,2013-03-30,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2013.24,2018.22,2013-03-30,Environment
A/Jiangsu/8/2013,Epi447659,2013-04-11,unknown,China,Jiangsu,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.27,2018.22,2013-04-11,Human
A/Zhejiang/DTID-ZJU01/2013,Epi1007139,2013-04-03,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Human
A/Zhejiang/2/2013,Epi443045,2013-04-03,unknown,China,Zhejiang,Zhejiang Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Human
A/chicken/Zhejiang/DTID-ZJU01/2013,Epi442724,2013-04-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.29,2018.22,2013-04-xx,Chicken
A/chicken/Zhejiang/C481/2013,Epi532306,2013-04-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.29,2018.22,2013-04-xx,Chicken
A/Chicken/Shanghai/S1053/2013,Epi440680,2013-04-03,unknown,China,Shanghai,Harbin Veterinary Research Institute  Caas ,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Chicken
A/chicken/Shanghai/S1055/2013,Epi457832,2013-04-03,unknown,China,Shanghai,Harbin Veterinary Research Institute  Caas ,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Chicken
A/chicken/Dongguan/695/2014,Epi596850,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken
A/Wuxi/2/2013,Epi467316,2013-03-31,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2013.24,2018.22,2013-03-31,Human
A/environment/Suzhou/8/2013,Epi497832,2013-04-08,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2013.27,2018.22,2013-04-08,Environment
A/Environmental/Guangdong/30,Epi627955,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Environment
A/Environment/Guangdong/C13281030/2013,Epi490974,2013-04-26,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.31,2018.22,2013-04-26,Environment
A/environment/Guangdong/30/2013,Epi503515,2013-04-26,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.31,2018.22,2013-04-26,Environment
A/Environment/Guangdong/C13281025/2013,Epi490966,2013-04-26,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.31,2018.22,2013-04-26,Environment
A/environment/Guangdong/25/2013,Epi503512,2013-04-26,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.31,2018.22,2013-04-26,Environment
A/chicken/Guangdong/G2/2013,Epi576603,2013-05-05,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.34,2018.22,2013-05-05,Chicken
A/chicken/Guangdong/SD641/2013,Epi457880,2013-05-03,unknown,China,Guangdong,Harbin Veterinary Research Institute  Caas ,unknown,unknown,unknown,2013.33,2018.22,2013-05-03,Chicken
A/Guangdong/YJ-05/2013,Epi515880,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.91,2018.22,2013-12-xx,Human
A/GD-35/2014/H7N9/2014-01-12,Epi655961,2014-01-12,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-12,Human
A/Guangdong/5/2013,Epi506236,2013-12-17,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-17,Human
A/Shanghai/4664T/2013,Epi446961,2013-03-05,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2013.17,2018.22,2013-03-05,Human
A/Guangdong/65/2014,Epi627995,2014-01-29,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-29,Human
A/Guangdong/66/2014,Epi627939,2014-01-29,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-29,Human
A/Guangdong-Guangzhou/XN05586/2014,Epi627772,2014-01-29,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-29,Human
A/GD-2/2015/H7N9/2015-01-06,Epi656277,2015-01-06,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.01,2018.22,2015-01-06,Human
A/GD-44/2015/H7N9/2015-01-19,Epi656325,2015-01-19,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.05,2018.22,2015-01-19,Human
A/chicken/Shanghai/017/2013,Epi471836,2013-04-01,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2013.33,2018.22,2013-04-xx,Chicken
A/Chicken/Nanjing/761/2013,Epi515791,2013-04-09,unknown,China,Jiangsu,Beijing Institute Of Microbiology And Epidemiology,unknown,unknown,unknown,2013.27,2018.22,2013-04-09,Chicken
A/Shenzhen/SP-W1/2014,Epi583252,2014-01-14,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.04,2018.22,2014-01-14,Human
A/Guangdong-Guangzhou/XN00392/2014,Epi627676,2014-02-05,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.10,2018.22,2014-02-05,Human
A/Chicken/Wuxi/405,Epi663489,2013-04-01,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2013.25,2018.22,2013-04-xx,Chicken
A/Chicken/Jiangxi/1255,Epi583217,2013-04-07,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2013.26,2018.22,2013-04-07,Chicken
A/Chicken/Jiangxi/1249,Epi583194,2013-04-07,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2013.26,2018.22,2013-04-07,Chicken
A/Pigeon/Wuxi/405,Epi545805,2013-04-01,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2013.26,2018.22,2013-04-xx,Other Avian
A/Duck/Wuxi/405,Epi663488,2013-04-05,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2013.26,2018.22,2013-04-05,Duck
A/Zhejiang/20/2013,Epi477405,2013-04-24,unknown,China,Zhejiang,Zhejiang Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.31,2018.22,2013-04-24,Human
A/pigeon/Shanghai/S1421/2013,Epi457632,2013-04-03,unknown,China,Shanghai,Harbin Veterinary Research Institute  Caas ,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Other Avian
A/chicken/Shanghai/S1413/2013,Epi457768,2013-04-03,unknown,China,Shanghai,Harbin Veterinary Research Institute  Caas ,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Chicken
A/chicken/Guangdong/SD002/2014,Epi1090280,2014-01-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.02,2018.22,2014-01-09,Chicken
A/Guangdong-Guangzhou/XN00457/2014,Epi627748,2014-02-07,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.10,2018.22,2014-02-07,Human
A/Guangdong-Guangzhou/XN06587/2014,Epi627732,2014-02-10,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.11,2018.22,2014-02-10,Human
A/GD-1/2015/H7N9/2015-01-03,Epi656269,2015-01-03,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.01,2018.22,2015-01-03,Human
A/Guangdong-Guangzhou/XN00175/2014,Epi627780,2014-01-29,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-29,Human
A/Guangxi/8309/2014,Epi509150,2014-01-27,unknown,China,Guangxi,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.07,2018.22,2014-01-27,Human
A/chicken/Guangxi/SD004/2014,Epi1090424,2014-01-24,unknown,China,Guangxi,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-24,Chicken
A/Minhang/S01/2013,Epi941042,2013-02-27,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2013.16,2018.22,2013-02-27,Human
A/Environment/Shanghai/S1088/2013,Epi440688,2013-04-03,unknown,China,Shanghai,Harbin Veterinary Research Institute  Caas ,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Environment
A/chicken/Fujian/S1085/2014,Epi1090192,2014-03-05,unknown,China,Fujian,Other Database Import,unknown,unknown,unknown,2014.17,2018.22,2014-03-05,Chicken
A/Fujian/16/2014,Epi627516,2014-03-28,unknown,China,Fujian,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.24,2018.22,2014-03-28,Human
A/Shantou/1002/2014,Epi531772,2014-03-23,unknown,China,Guangdong,Shantou University Medical College,unknown,unknown,unknown,2014.22,2018.22,2014-03-23,Human
A/GD-126/2014/H7N9/2014-03-10,Epi656198,2014-03-10,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.19,2018.22,2014-03-10,Human
A/Shantou/1004/2014,Epi531788,2014-04-19,unknown,China,Guangdong,Shantou University Medical College,unknown,unknown,unknown,2014.30,2018.22,2014-04-19,Human
A/Shantou/1003/2014,Epi531780,2014-04-11,unknown,China,Guangdong,Shantou University Medical College,unknown,unknown,unknown,2014.27,2018.22,2014-04-11,Human
A/Fujian/1/2014,Epi628395,2014-01-14,unknown,China,Fujian,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.04,2018.22,2014-01-14,Human
A/Fujian/8/2014,Epi628203,2014-02-03,unknown,China,Fujian,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.09,2018.22,2014-02-03,Human
A/Fujian/13/2014,Epi628155,2014-02-02,unknown,China,Fujian,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.09,2018.22,2014-02-02,Human
