Author,n (strains),publication title,journal,publication URL,strains
Piorkowski et al,1,Complete Coding Sequence Of Zika Virus From Martinique Outbreak In 2015,New Microbes New Infect 11 52-53  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27274849,MRS_OPY_Martinique_PaRi_2015
Yoshida et al,1,Detection Of Zika Virus In Tokyo Japan,Unpublished,unknown,3216DP137
Tan et al,1,Viral And Antibody Kinetics And Mosquito Infectivity Of An Imported Case Of Zika Fever Due To Asian Genotype  American Strain  In Singapore,Viruses 10  1  E44  2018 ,https://www.ncbi.nlm.nih.gov/pubmed/29346272,SG_EHI_/33164Y17
Nunes et al,1,Emergence Of Zika Virus In Brazil  Detection Of Asian Genotype,Unpublished,unknown,V17829
Sun et al,1,Returning Ex-patriot Chinese To Guangdong China Increases The Risk For The Local Transmission Of Zika Virus,Unpublished,unknown,GDZ16021
Theze et al,52,Genome Sequences Of Zika Viruses Isolated In Nicaragua,Unpublished,unknown,HND/2016/Honduras_25 GTM/2016/Guatemala_3294 NIC/5256_13A1/2016 HND/2016/Honduras_1138 HND/2016/Honduras_1055 NIC/6547_13A1/2016 HND/2016/Honduras_24 MEX/2016/mex25 MEX/2016/mex33 MEX/2016/mex19 MEX/2016/mex20 MEX/2016/mex47 MEX/2016/mex29 MEX/2016/mex34 MEX/2016/mex37 MEX/2016/mex46 MEX/2016/mex36 MEX/2016/mex23 MEX/2016/mex40 MEX/2016/mex38 MEX/2016/mex35 MEX/2016/mex04 MEX/2016/mex17 MEX/2016/mex01 MEX/2016/mex44 MEX/2016/mex05 GTM/2016/Guatemala_3921 MEX/2016/mex28 SLV/2016/ElSalvador_1055 MEX/2016/Mexico_1 MEX/2016/mex50 MEX/2016/mex45 HND/2016/Honduras_1122 MEX/2016/mex43 HND/2016/Honduras_1162 NIC/1659_13A1/2016 MEX/2016/Mexico_4227 NIC/7253_13A1/2016 NIC/5338_13A1/2016 NIC/1304_13A1/2016 NIC/2016/Nicaragua_3912 MEX/2016/mex30 HND/2016/Honduras_1031 HND/2016/Honduras_1083 MEX/2016/mex42 MEX/2016/mex24 MEX/2016/mex14 MEX/2016/mex26 MEX/2016/mex16 HND/2016/Honduras_4102 MEX/2016/mex32 NIC/5847_12B1/2016
Song et al,1,Could Zika Virus Emerge In Mainland China? Virus Isolation From Nature In Culex Quinquefasciatus 2016,Emerg Microbes Infect 6  11  E93  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/29089591,GZDJ1685
Azevedo et al,4,Genome Sequences Of Four Zika Virus Isolates From Brazil,Unpublished,unknown,BeH819966 BeH818995 BeH815744 BeH819015
Sevilla-Reyes et al,2,Comparative Analysis Between The Genomes Of Intra-host And Cell Cultured Zika Virus Obtained From A Mexican Symptomatic Patient,Unpublished,unknown,ENCB165P4 MEX_ENCB165
Stalin Raj et al,1,Direct Submission,Submitted  18-mar-2016  Department Of Viroscience Erasmus Medical Center Dr Molewaterplein 50 Rotterdam 3015 Ge The Netherlands,unknown,NL00013
Troesemeier et al,1,Genome Sequence Of A Candidate World Health Organization Reference Strain For Zika Virus For Nucleic Acid Testing,Unpublished,unknown,PF13/251013_18
van Boheemen et al,1,Quasispecies Composition And Evolution Of A Typical Zika Virus Clinical Isolate From Suriname,Sci Rep 7  1  2368  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28539654,SL1602
Enfissi et al,2,Direct Submission,Submitted  25-feb-2016  Laboratoire De Virologie Institut Pasteur De La Guyane 23 Avenue Pasteur Cayenne French Guiana 97300 France,unknown,Z1106033 V17271
Ladner et al,1,Zika Virus Genomes From Human Cases In Florida Usa,Unpublished,unknown,USA/2016/FLUR014
Lasala-Sanchez et al,1,Zika Virus Polyprotein Sequence Isolated From A Fetus-brain Of Cuba Pregnant Traveler Diagnosed In Spain  Madrid ,Unpublished,unknown,Cuba_2017
Cunha et al,1,First Complete Genome Sequence Of Zika Virus  Flaviviridae Flavivirus  From An Autochthonous Transmission In Brazil,Genome Announc 4  2   2016 ,https://www.ncbi.nlm.nih.gov/pubmed/26941134,SPH2015
Calvet et al,1,Detection And Sequencing Of Zika Virus From Amniotic Fluid Of Fetuses With Microcephaly In Brazil  A Case Study,Lancet Infect Dis 16  6  653-660  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/26897108,Brazil_ZKV2015
Green et al,1,Zika Viral Sequence Identified In Fortaleza Brazil,Unpublished,unknown,Brazil_2015_MG
Grubaugh et al,37,Zika Virus Sequence From Cuba Traveler Diagnosed In The United States  Miami Fl ,Unpublished,unknown,USA/2016/FL039 USA/2016/FLUR011 USA/2016/FLSR036 USA/2016/FLUR058 Aedes_aegypti/USA/2016/FL05 USA/2016/FLUR022 USA/2016/FL032 Aedes_aegypti/USA/2016/FL03 Aedes_aegypti/USA/2016/FL04 USA/2016/FLUR026 USA/2016/FL036 USA/2016/FL022 USA/2016/FL030 USA/2016/FLUR005 USA/2016/FLUR006 USA/2016/FLUR002 USA/2016/FL021 Aedes_aegypti/USA/2016/FL02 Aedes_aegypti/USA/2016/FL08 USA/2016/FLUR007 USA/2016/FLUR008 USA/2016/FL038 USA/2016/FLUR001 USA/2016/FLUR057 USA/2016/FLWB042 USA/2016/FLUR009 USA/2016/FLUR013 Aedes_aegypti/USA/2016/FL01 USA/2016/FLUR015 Aedes_aegypti/USA/2016/FL06 USA/2016/FLUR063 Martinique/2016/FL001Sa PuertoRico/2016/FL016U PuertoRico/2016/FL008U USA/2016/FLWB044 USA/2016/FLSR043 Cuba/2017/Hu0046Sa
Zhang et al,2,Direct Submission,Submitted  27-feb-2016  Department Of Microbiology Zhejiang Provincial Center For Disease Control And Prevention 3399 Binsheng Road Hangzhou Zhejiang 310051 P. R. China,unknown,Zhejiang04 ZJ03
Li et al,2,Identification Of The First Imported Zika Case From Guatemala Into Henan Inland China  A Case Report,Unpublished,unknown,GZ02/2016 Henan/001/2016
Bittar et al,3,Sequencing Of The Complete Genome Of Zika Virus From Brazil,Unpublished,unknown,BR_SJRP21 BR_SJRP61 BR_SJRP1840
Lednicky et al,2,Complete Genomic Sequence Of Zika Virus Isolated From A Traveler To Colombia In 2016,Unpublished,unknown,Haiti/1225/2014 COL/UF_1/2016
Carletti et al,1,Isolation Of Infectious Zika Virus From Sera In A Traveller Returning From Brazil To Italy,Unpublished,unknown,Brazil/2016/INMI1
Diaz-Quinonez et al,1,Molecular Characterization Of Zika Virus In Mexico,Unpublished,unknown,MEX/InDRE/2016
Oh et al,1,Complete Genome Sequence Of Zika Virus Isolated From Imported Cases In The Republic Of Korea 2016,Unpublished,unknown,Brazil/16321
Pettersson et al,13,How Did Zika Virus Emerge In The Pacific Islands And Latin America?,Mbio 7  5  E01239-16  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27729507,1_0038_PF 1_0111_PF 1_0030_PF 1_0035_PF 1_0080_PF 1_0087_PF 1_0016_PF 1_0015_PF 1_0181_PF 1_0199_PF 1_0134_PF 1_0049_PF 1_0117_PF
Zhao et al,1,Isolation Of Infectious Zika Virus From Saliva In A Traveller Returning From Samoa To Shenzhen China2016,Unpublished,unknown,CN/SZ02/2016
Shabman et al,15,Direct Submission,Submitted  13-mar-2017  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,unknown,PAN/BEI_259634_V4/2016 PAN/CDC_259249_V1_V3/2015 PAN/CDC_259364_V1_V2/2015 PAN/CDC_259359_V1_V3/2015 NIC/6188_13A1/2016 HND/R103451/2015 NIC/8610_13A1/2016 NIC/4886_12A1/2016 NIC/7252_12A1/2016 Aedes_aegypti/MEX/MEX_I_44/2016 MEX/R116265/2016 Aedessp/MEX/MEX_2_81/2016 Aedessp/MEX/MEX_I_7/2016 NIC/6406_13A1/2016 NIC/5005_13A1/2016
Zika in Brazil Real-time Analysis Consortium,2,?,?,unknown,ZBRC13 ZBRC15
Hashimoto et al,1,Importation Of Zika Virus From Vietnam To Japan November 2016,Emerging Infect. Dis. 23  7  1223-1225  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28445122,NIID123/2016
Bi et al,1,Genetic And Biological Characterization For Zika Viruses Imported Through Shenzhen Port,Chin. Sci. Bull. 61  22  2463-2474  2016 ,unknown,SMGC_1
Lin et al,1,Imported Zika Virus Strains Taiwan 2016,Unpublished,unknown,Thailand/1610acTw
Metsky et al,82,Zika Virus Evolution And Spread In The Americas,Nature 546  7658  411-415  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28538734,DOM/2016/MA_WGS16_020 DOM/2016/BB_0180 DOM/2016/BB_0216 DOM/2016/BB_0433 DOM/2016/BB_0071 DOM/2016/BB_0091 DOM/2016/MA_WGS16_013 JAM/2016/MA_WGS16_038 DOM/2016/BB_0183 DOM/2016/BB_0269 DOM/2016/BB_0436 DOM/2016/BB_0115 DOM/2016/MA_WGS16_014 DOM/2016/MA_WGS16_031 DOM/2016/BB_0076 DOM/2016/MA_WGS16_011 DOM/2016/MA_WGS16_024 DOM/2016/MA_WGS16_040 DOM/2016/MA_WGS16_036 USA/2016/MA_WGS16_034 USA/2016/FL035 DOM/2016/BB_0208 DOM/2016/MA_WGS16_007 JAM/2016/MA_WGS16_041 JAM/2016/MA_WGS16_039 JAM/2016/MA_WGS16_025 DOM/2016/BB_0059 USA/2016/FL029 USA/2016/FL028 HTI/2016/MA_WGS16_022 USA/2016/FL010 BRA/2016/FC_DQ47D1 BRA/2016/FC_DQ131D1 BRA/2016/FC_DQ42D1 BRA/2016/FC_DQ58D1 BRA/2016/FC_DQ28D1 BRA/2016/FC_5790 DOM/2016/BB_0085 BRA/2016/FC_DQ116D1 BRA/2016/FC_DQ49D1 BRA/2016/FC_6696 BRA/2016/FC_6706 BRA/2016/FC_DQ62D2 BRA/2016/FC_DQ62D1 Martinique/2016/FL001 DOM/2016/BB_0127 COL/2016/SU_1856A COL/2016/SU_2293A COL/2016/SU_1810A COL/2016/SU_2724A BRA/2016/FC_6863 BRA/2016/FC_6864 BRA/2016/FC_DQ122D1 PRI/2016/MA_WGS16_005 BRA/2016/FC_DQ75D1 BRA/2016/FC_DQ12D1 PRI/2016/MA_WGS16_004 PRI/2016/MA_WGS16_016 BRA/2016/FC_DQ68D1 BRA/2016/FC_DQ192D1 BRA/2016/FC_6418 BRA/2016/FC_DQ5D1 BRA/2016/FC_5905 HND/2016/HU_ME156 HND/2016/HU_ME58 HND/2016/HU_ME42 HND/2016/HU_ME38 HND/2016/HU_ME33 HND/2016/HU_ME147 HND/2016/HU_ME137 HND/2016/HU_ME180 HND/2016/HU_SZ76 HND/2016/HU_ME171 HND/2016/HU_ME172 HND/2016/HU_ME131 UNK/2016/MA_WGS16_029 HND/2016/HU_ME59 HND/2016/HU_ME152 HND/2016/HU_ME136 HND/2016/HU_ME178 HND/2016/HU_ME50 HND/2016/HU_ME167
Blohm et al,1,Complete Genome Sequences Of Identical Zika Virus Isolates In A Nursing Mother And Her Infant,Genome Announc 5  17  E00231-17  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28450510,VEN/UF_1/2016
Donald et al,1,Full Genome Sequence And Sfrna Interferon Antagonist Activity Of Zika Virus From Recife Brazil,Plos Negl Trop Dis 10  10  E0005048  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27706161,Brazil/PE243/2015
Pyke et al,1,Isolation Of Zika Virus From A Viremic Patient From Australia With Travel To Tonga 2016,Unpublished,unknown,TS17_2016
Mutebi et al,1,Zika Virus  Isolate From Mosquitoes Miami Dade 2016,Unpublished,unknown,MB16_23
Giovanetti et al,1,Zika Virus Complete Genome From Salvador Bahia Brazil,Infect. Genet. Evol. 41 142-145  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27071531,SSABR1
Leguia et al,6,Full-genome Amplification And Sequencing Of Zika Viruses Using A Targeted Amplification Approach,Unpublished,unknown,COL/FCC00093/2015 FPI15198/PERU/Loreto/2016 FPI15263/PERU/Loreto/2016 FVM00318/VEN/Maracay/2016 FHT1166/HON/2016 FHT1175/HON/2016
Prilipov et al,1,Direct Submission,Submitted  13-aug-2017  Molecular Genetics Ivanovsky Virilogy Institute Gamalei Centre Of Microbiology And Epidemiology Gamalei Str. 16 Moscow 123098 Russia,unknown,Dominican_Republic/2016/ZB
White et al,7,Zika Viruses In Haiti During An Outbreak Of Chikungunya Fever In Mid 2014,Unpublished,unknown,mosquito/Haiti/1682/2016 Haiti/0054/2014 Haiti/0029/2014 Haiti/0033/2014 Haiti/0036/2014 Haiti/0097/2014 Haiti/0074/2014
Lanciotti et al,6,Direct Submission,Submitted  23-aug-2016  Diagnostic & Reference Laboratory Arbovirus Diseases Branch Centers For Disease Control & Prevention 3150 Rampart Road Fort Collins Co 80521 Usa,unknown,R114916 PRVABC59 V103451 V8375 V103344 R116265
Naccache et al,6,Distinct Zika Virus Lineage In Salvador Bahia Brazil,Emerging Infect. Dis. 22  10  1788-1792  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27448188,Bahia01 Bahia03 Bahia08 Bahia15 Bahia07 Bahia09
Driggers et al,1,Zika Virus Infection With Prolonged Maternal Viremia And Fetal Brain Abnormalities,Unpublished,unknown,FB_GWUH_2016
Murray et al,1,Prolonged Detection Of Zika Virus In Vaginal Secretions And Whole Blood,Emerging Infect. Dis. 23  1  99-101  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/27748649,HN16
Taira et al,1,The First Case Of Zika Virus Isolated From A Japanese Patient Who Returned To Japan From Fiji In 2016,Jpn. J. Infect. Dis. 70  5  586-589  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28367888,Chiba/S36/2016
Delatorre et al,1,Insights On The Zika Virus Genome Single Nucleotide Polymorphisms Related Neurological Disease,Unpublished,unknown,GB_BR
Iovine et al,1,Coinfection With Zika And Dengue-2 Viruses In A Traveler Returning From Haiti 2016  Clinical Presentation And Genetic Analysis,Clin. Infect. Dis.  2016  In Press,https://www.ncbi.nlm.nih.gov/pubmed/27694479,Haiti/1/2016
Quick et al,5,Multiplex Pcr Method For Minion And Illumina Sequencing Of Zika And Other Virus Genomes Directly From Clinical Samples,Nat Protoc 12  6  1261-1276  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28538739,Colombia/2016/ZC192Se Colombia/2016/ZC199Se Colombia/2016/ZC207Se Colombia/2016/ZC204Se Colombia/2016/ZC188Se
Barrows et al,1,Repurposed Drug Candidates To Treat Zikv Infection In Pregnancy,Unpublished,unknown,MEX_I_7
Chiu et al,3,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,Unpublished,unknown,mex48/Mexico/2016 mex07/Mexico/2016 mex39/Mexico/2016
Tsetsarkin et al,1,A Full-length Infectious Cdna Clone Of Zika Virus From The 2015 Epidemic In Brazil As A Genetic Platform For Studies Of Virus-host Interactions And Vaccine Development,Mbio 7  4  E01114-16  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27555311,Paraiba_01
Ng et al,1,Genome Sequences Of Local Transmitted Zika Viruses In Singapore In 2016,Unpublished,unknown,ZKA_16_291
Guo et al,2,Direct Submission,Submitted  14-dec-2017  Infectious Animal Platform Institute Of Laboratory Animal Sciences Chinese Academy Of Medical Sciences & Comparative Medicine Center Peking Union Medica Pan Jia Yuan Nan Li No. 5 Chao Yang District Beijing Beijing 100021 China,unknown,ZKC2P6 ZKC2P4
Pickett et al,21,Direct Submission,Submitted  28-jul-2017  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,unknown,COL/PAN_00030/2015 COL/PAN_00029/2015 COL/FLR_00012/2015 COL/FLR_00023/2015 COL/FLR_00018/2015 COL/FLR_00021/2015 COL/FLR_00004/2015 COL/FLR_00002/2015 COL/FLR_00006/2015 COL/FLR_00005/2015 COL/FLR_00008/2015 COL/FLR_00016/2015 COL/FLR_00024/2015 COL/FLR_00026/2015 COL/FLR_00025/2015 COL/FLR_00010/2015 COL/FLR_00007/2015 COL/FLR_00022/2015 COL/FLR_00017/2015 COL/FLR_00001/2015 COL/FLR_00020/2015
Swaminathan et al,1,Fatal Zika Virus Infection With Secondary Nonsexual Transmission,N. Engl. J. Med. 375  19  1907-1909  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/27681699,USA/UT_1/2016
Boukadida et al,1,Complete Zika Virus Genome Sequences From A Serum Sample And After Isolation In Vero Cells,Unpublished,unknown,MEX_CIENI551
Ozawa et al,1,Zika Virus Isolate Zikv/hu/yokohama/1/2016,Unpublished,unknown,Yokohama/1/2016
Wise et al,1,Direct Submission,Submitted  31-aug-2017  Research Public Health England Phe Porton Down Manor Farm Road Salisbury Wiltshire Sp4 0jg United Kingdom,unknown,EC/Esmeraldas/121/2016
Ho et al,40,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,Lancet Infect Dis  2017  In Press,unknown,SG_021 SG_018 SG_044 SG_059 SG_046 SG_027 SG_028 SG_113 SG_036 SG_112 SG_064 SG_106 SG_057 SG_086 SG_097 SG_007 SG_005 SG_015 SG_014 SG_056 SG_117 SG_099 SG_060 SG_023 SG_022 SG_055 SG_084 SG_009 SG_038 SG_077 SG_082 SG_090 SG_116 SG_080 SG_067 SG_083 SG_073 SG_091 SG_100 SG_118
Black et al,35,Genetic Characterization Of The Zika Virus Epidemic In The Us Virgin Islands,?,unknown,USVI/42/2016 USVI/28/2016 USVI/20/2016 USVI/19/2016 USVI/41/2016 USVI/22/2016 USVI/7/2016 USVI/36/2016 COL/FH01/2016 Aedes_aegypti/COL/FH03/2016 COL/FH04/2016 COL/FH02/2016 USVI/11/2016 USVI/4/2016 USVI/40/2016 USVI/23/2016 USVI/39/2016 USVI/30/2016 USVI/32/2016 USVI/37/2016 USVI/12/2016 USVI/2/2016 USVI/1/2016 USIV/35/2016 USVI/27/2016 USVI/25/2016 USVI/6/2016 USVI/21/2016 USVI/34/2016 USVI/43/2016 USVI/3/2016 USVI/5/2016 USVI/13/2016 USVI/38/2016 USVI/24/2016
Tong et al,3,A Case Cluster With Of Zika Virus Infection That Was Imported To China In 2016,Unpublished,unknown,ZJ02 ZJ04 ZJ01
Bonaldo et al,3,Zika Virus From Breast Milk,Unpublished,unknown,Rio_S1 Rio_U1 RIO_BM1
Faria et al,44,Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,Nature 546  7658  406-410  2017 ,https://www.ncbi.nlm.nih.gov/pubmed/28538727,Brazil/2016/ZBRC25 Brazil/2016/ZBRC14 Brazil/2015/ZBRC321 Brazil/2016/ZBRX16 BeH823339 Brazil/2015/ZBRA105 Brazil/2016/ZBRY4 Brazil/2016/ZBRY14 Brazil/2016/ZBRY12 Brazil/2016/ZBRY11 Brazil/2015/ZBRD116 BeH828305 Brazil/2016/ZBRY8 Brazil/2016/ZBRX1 Brazil/2016/ZBRX4 Brazil/2016/ZBRX6 Brazil/2016/ZBRX12 Brazil/2016/ZBRX8 Brazil/2016/ZBRX11 Brazil/2016/ZBRX103 Brazil/2016/ZBRX100 Brazil/2016/ZBRX127 Brazil/2016/ZBRE69 Brazil/2016/ZBRX102 Brazil/2016/ZBRX137 Brazil/2016/ZBRX130 Brazil/2016/ZBRY10 Brazil/2015/ZBRC301 Brazil/2015/ZBRD103 Brazil/2015/ZBRD107 Brazil/2016/ZBRX128 Brazil/2016/ZBRC18 Brazil/2015/ZBRC303 Brazil/2016/ZBRY6 Brazil/2016/ZBRC319 Brazil/2016/ZBRX15 Brazil/2015/ZBRC313 Brazil/2016/ZBRC28 Brazil/2015/ZBRC302 Brazil/2016/ZBRX106 Brazil/2016/ZBRC16 Brazil/2016/ZBRY7 Brazil/2016/ZBRY1 Mex03/Mexico/2016
Miranda et al,1,Brazilian Zika Virus Genome Sequence,Unpublished,unknown,V9
Wu et al,5,Large Returning Population Of Oversea Chinese Of Guangdong Province Combined With Tourists Increase The Risks Of Zikv Transmission In Guangdong China,Unpublished,unknown,_CCMU01/2016 SY01_2016 Z16006 ZKC2/2016 Z16019
Atkinson et al,1,Complete Genomic Sequence Of Zika Virus Isolated From A Clinical Semen Sample,Unpublished,unknown,PHE_Guadeloupe
Kneubehl et al,1,Direct Submission,Submitted  26-apr-2017  Molecular Virology And Microbiology Baylor College Of Medicine One Baylor Plaza Houston Tx 77030 Usa,unknown,FLA
Mlakar et al,1,Zika Virus Associated With Microcephaly,N. Engl. J. Med. 374  10  951-958  2016 ,https://www.ncbi.nlm.nih.gov/pubmed/26862926,Natal_RGN
Marques et al,1,Direct Submission,Submitted  14-jun-2017  Institute For Medical Engineering And Science Massachusetts Institute Of Technology 77 Massachusetts Ave Building 48-419 Cambridge Ma 02139 Usa,unknown,PE243
Valdespino-Vazquez et al,1,Extra-cns Spread Of Zika Virus In A Congenitally-infected Newborn,Unpublished,unknown,Mexico/INPER38b/2016
Deng et al,3,Complete Genome Of Zika Virus Gz01 Isolate From China,Unpublished,unknown,SZ01/2016/China SZ_WIV01 GZ01
