"Demand, x","Demand, y","Supply, x; Trace 2, x","Supply, y; Trace 2, y"
"1994.87696067","1264.23474956","1994.42783584","1669.88500002"
"1995.00729242","1748.63599669","1994.71136351","1851.42444657"
"1995.19680489","1595.98942215","1994.92014205","1581.29909504"
"1995.34888803","1353.64755582","1995.24809416","1586.27798752"
"1995.50045843","1107.01253093","1995.44361076","1908.06156967"
"1995.97381639","2223.35687948","1995.73809219","1040.85783128"
"1996.21717788","1532.52229627","1996.00232885","1611.74816769"
"1996.4795362999998","2070.66948299","1996.2530797000002","1788.11681583"
"1996.68839903","1801.37481401","1996.43944167","1658.19295415"
"1996.78472659","1325.79816871","1996.59688033","1947.5347322"
"1996.96433966","850.724103731","1996.74268856","2384.89091996"
"1997.06661182","1702.43733312","1996.98367176","2265.31576271"
"1997.14588739","2165.51360921","1997.25761015","2408.03631763"
"1997.23278393","2680.27322286","1997.49598327","2649.19867906"
"1997.42233171","2518.65466274","1997.74740845","2654.22732493"
"1997.66883563","2285.22337209","1997.96566856","2752.73547674"
"1997.80139684","1662.05885371","1998.11415597","2357.53334077"
"1997.82497136","1398.04271128","1998.20530894","2100.60841992"
"1997.85984173","1126.88406777","1998.25188583","1717.95533458"
"1997.90841311","810.0515107030001","1998.29858908","1303.19395978"
"1997.9639684","436.48991353","1998.34523969","901.811038917"
"1998.18733779","140.587206528","1998.39186923","505.77949963300006"
"1998.67953919","418.632745128","1998.43851984","104.39657877100001"
"1998.72935424","644.695651377","1998.52565011","-275.607188093"
"1998.7959779","894.382837795","1998.71157857","-564.701933795"
"1998.97033673","2399.78764459","1998.87025381","-800.265282184"
"1999.20255542","1387.02997443","1999.00802867","-986.2599625830001"
"1999.44835313","1333.03839526","1999.07505359","-1349.75109802"
"1999.71215929","1503.33417345","1999.23556069","-2004.56055761"
"1999.7888540999998","1216.18150718","1999.3698815000002","-1261.67694216"
"1999.94728254","387.038166319","1999.45542931","-610.6721695819999"
"2000.22398773","1054.40328134","1999.52986262","-244.12778546099997"
"2000.33571075","1467.04092586","1999.7375377","-233.87858780599998"
"2000.45995478","1820.87144948","1999.94570321","-348.240300897"
"2000.60163555","1099.01756963","1999.98583299","-246.588854481"
"2000.72696052","399.37454766900004","1999.99370147","44.520442807200006"
"2000.74177077","71.8612043713","2000.03784579","279.95192963700003"
"2000.92335124","955.257006805","2000.08084227","807.033712427"
"2000.99732713","1358.94722971","2000.16694054","1834.44037012"
"2001.22405707","1349.82786039","2000.18839139","2110.02187006"
"2001.32038991","782.146674695","2000.20963164","2439.11718578"
"2001.36681937","436.95326039400004","2000.29852754","2755.68199063"
"2001.45601299","12.8546261481","2000.44616275","3047.07295851"
"2001.70043358","308.770484358","2000.65743883","3176.42292082"
"2001.97813184","-288.554527997","2000.88497022","2623.30031167"
"2002.19227617","137.983427005","2000.97642858","2288.78035795"
"2002.26414323","332.018198524","2001.02320555","1855.28914763"
"2002.35773929","599.525741993","2001.09318145","1253.21476633"
"2002.44688091","853.657761775","2001.14014798","771.561121815"
"2002.53590669","1137.22238023","2001.1871145","289.907477294"
"2002.62491141","1426.13838027","2001.23517683","-208.891726253"
"2002.92873307","1938.5254482","2001.48619333","-100.020654763"
"2003.03634289","1671.64027107","2001.53074038","-307.733936515"
"2003.2883805","1354.22804569","2001.57365811","-584.400585488"
"2003.69071802","1647.5272215999998","2001.6427005999997","-977.588658047"
"2003.83536929","1921.42321338","2001.72069881","-1351.47114368"
"2003.86172109","2096.93094757","2001.97198095","-1310.09764884"
"2004.07055767","2891.15480027","2002.1510192","-699.6519828889999"
"2004.37501991","3371.56062881","2002.2525252","-370.508495249"
"2004.75981369","2941.86318541","2002.47101009","-329.113677533"
"2004.91855211","2690.24569229","2002.51825388","-103.391597475"
"2005.01430063","2410.84203856","2002.56225779","167.715766537"
"2005.12381891","2068.30240353","2002.6062616999998","438.82313054800005"
"2005.19262178","1764.28086401","2002.65025157","713.4980822780001"
"2005.44186027","1421.63127894","2002.69414316","1013.14614804"
"2005.5151449","1124.04757914","2002.7380207000003","1316.36180151"
"2005.55697037","803.4734503510001","2002.78176486","1653.46953831"
"2005.61045683","422.86392718800005","2002.82536159","2028.03694615"
"2005.75015443","-20.3805603988","2002.86894778","2405.28004477"
"2005.91253977","467.527343395","2003.00134494","3120.67185394"
"2006.20212823","639.837285515","2003.21306586","2790.86078619"
"2006.30052626","832.422556645","2003.48684631","2671.26430605"
"2006.69307826","1514.67256913","2003.58337854","3143.6833739999997"
"2006.80812576","1101.18990126","2003.71311671","3512.23869344"
"2006.98285566","876.318850819","2003.82413695","3081.22155084"
"2007.12945981","1253.87721369","2003.88045423","2660.62418893"
"2007.33700841","1543.79541081","2003.95848336","2323.40927878"
"2007.70684909","1637.1323574","2003.99680777","2128.95132933"
"2007.76327019","1355.90561774","2004.07715602","2681.26473678"
"2007.97147075","520.02052114","2004.1060102000001","3011.85603316"
"2008.21553824","905.6562350869999","2004.1396445","3470.42452575"
"2008.25526276","412.172464571","2004.23654455","3849.38541063"
"2008.3135254000001","8.39626781367","2004.46543057","4025.76827403"
"2008.36699009","-303.41093024","2004.57622603","3651.86446552"
"2008.42451671","-605.2654794069999","2004.62312636","3316.54780352"
"2008.45946991","-897.472890451","2004.63928734","3027.56343083"
"2008.51719872","-1250.70070276","2004.69301802","2735.87894854"
"2008.55241308","-1609.26524536","2004.81046586","2467.91155326"
"2008.60101817","-1934.66001295","2004.94279921","2177.06747"
"2008.64753819","-2302.86436804","2005.22696034","2197.65115683"
"2008.70254327","-2835.96879866","2005.25983516","1864.12936627"
"2008.94855284","-2943.79229127","2005.30612772","1553.71993222"
"2009.2493645999998","-2576.1373944","2005.35247645","1229.0401473"
"2009.26825089","-2308.46639123","2005.39885326","897.225186943"
"2009.28418094","-1822.51517016","2005.44105183","577.574272211"
"2009.30648904","-1390.34941872","2005.47460516","385.444461929"
"2009.38029458","-1056.82880468","2005.71616052","120.489908805"
"2009.43117147","-623.401083257","2005.94239006","971.84853875"
"2009.48661724","-205.673678047","2006.05283813","686.210792021"
"2009.52587325","126.62074558799999","2006.11957697","395.40935451800004"
"2009.56981749","412.89035740199995","2006.20304439","-165.544176731"
"2009.61376173","699.159969216","2006.34874906","499.102519981"
"2009.65773756","977.4025086639999","2006.45625293","1346.05262907"
"2009.70174498","1247.61797575","2006.63168414","831.21348368"
"2009.74579452","1507.13067967","2006.74274525","389.812098517"
"2009.76745599","1729.19836385","2006.95225942","-67.2296191293"
"2009.81151606","1986.03537698","2007.21320705","296.04828751"
"2009.88239128","2300.64972962","2007.47777831","-541.860581628"
"2009.92183474","2585.31685721","2007.6100498","205.46113762099998"
"2010.0154645","2844.26219016","2007.65389224","517.595760391"
"2010.13169717","3086.06845077","2007.69778032","818.1357230780001"
"2010.43661311","3484.01198265","2007.78659198","1156.10605424"
"2010.60568349","3200.92473066","2007.97342903","1578.00471008"
"2010.72730008","2916.57799903","2008.2358275","1572.64200576"
"2010.78940962","2595.45554592","2008.41743171","1194.93928318"
"2010.83561794","2306.45163818","2008.50885848","868.446401828"
"2010.90608578","1988.38167551","2008.55521422","541.982823048"
"2010.96286984","1466.20414849","2008.6013383000002","274.384441617"
"2011.04707962","1064.79680883","2008.64746237","6.78606018658"
"2011.12528028","778.1570123060001","2008.69360049","-264.379908962"
"2011.22061914","553.795963067","2008.73983689","-560.518992138"
"2011.44660755","733.088290796","2008.78618561","-885.1987770589999"
"2011.73114109","436.82853717800003","2008.80243084","-1195.58867606"
"2011.95741198","544.344980317","2008.85620013","-1497.08402458"
"2012.06881721","1037.730495","2008.90507541","-1807.85540585"
"2012.19957269","1414.46791525","2008.9946395","-2342.70075882"
"2012.52029449","836.405874554","2009.25532148","-1911.92527553"
"2012.73624572","1589.66162556","2009.37453785","-1502.77238569"
"2012.93685988","1279.40913447","2009.46330036","-1152.31549752"
"2013.18152765","1512.52109366","2009.52965374","-833.9522475269999"
"2013.50171159","1123.13626926","2009.59594393","-499.534852802"
"2013.69476852","704.710778588","2009.68463274","-130.34812910899998"
"2013.95850405","892.950527933","2009.72845061","188.029772168"
"2014.20906895","370.12116559599997","2009.77223689","514.434745811"
"2014.59371906","794.9225945730001","2009.81584414","886.3264628610001"
"2014.75049176","1042.767382","2009.85948299","1250.19110754"
"2014.83928587","1385.1971978","2009.9030375999998","1635.46127854"
"2015.07459237","1719.50470789","2009.98307315","2064.7563072000003"
"2015.42447892","1570.33082575","2010.19125909","1945.20247283"
"","","2010.47568588","1898.28858301"
"","","2010.55905703","1820.42144575"
"","","2010.69541727","1622.96400257"
"","","2010.93521526","1804.53187962"
"","","2011.11207523","1311.16663589"
"","","2011.23376224","947.639962318"
"","","2011.55611529","1513.98076554"
"","","2011.63777667","1760.09059671"
"","","2011.74941518","2024.01883144"
"","","2011.88360324","2284.36482716"
"","","2012.20445691","2831.77954015"
"","","2012.27724623","2478.63340809"
"","","2012.42561377","1989.68720959"
"","","2012.53954444","1671.20674932"
"","","2012.69854613","1352.69698648"
"","","2012.74476849","1060.12549103"
"","","2012.79108914","742.580881541"
"","","2012.83206135","396.237393025"
"","","2012.97609091","-456.245802035"
"","","2013.2036614","421.956340124"
"","","2013.48588127","935.791548662"
"","","2013.71654508","660.4598606019999"
"","","2013.87026611","1384.04340917"
"","","2013.95241966","1838.91502363"
"","","2014.27329364","2047.35100163"
"","","2014.40736937","2336.23769909"
"","","2014.49642674","2611.77524518"
"","","2014.67863875","3427.22792467"
"","","2014.94240633","3073.99309451"
"","","2015.18238824","3208.83188004"
"","","2015.30680988","2838.68151598"
"","","2015.41631981","2498.26332151"
