"WTI Prices, x","WTI Prices, y","Sep-15 forecast, x","Sep-15 forecast, y","Forward, x","Forward, y","May-15 forecast, x","May-15 forecast, y"
"1.2948906646","74.429381045","8.3516438354","41.2154125522","8.5318162568","47.2470207909","6.4077836003","48.4857327877"
"1.3249194015","73.3974128527","8.4837702777","40.1561605974","8.6639426991","47.4089725361","6.5365735163","47.0894461199"
"1.3609538858","72.2627293192","8.6158967201","39.0969086426","8.7960691415","47.566547207","6.6600249902","45.9338985328"
"1.3969883701","71.0911324601","8.7480231624","38.2039855071","8.9281955838","47.7153677296","6.7729902385","45.0947508803"
"1.4330228544","69.8713877848","8.8801496048","38.519134849","9.0603220262","47.8685653264","6.9122663801","45.6931594522"
"1.4690573386","68.6837416537","9.0122760471","39.0487608264","9.1924484685","48.0042546264","7.0509705458","46.243420208"
"1.5050918229","67.4720216144","9.1444024895","39.6090263232","9.3245749108","48.1399439264","7.1865288438","46.752411407"
"1.5411263072","66.3004247553","9.2765289318","40.3181123426","9.4567013532","48.2712561522","7.3286648651","47.3141359285"
"1.5771607915","65.064630808","9.3966438794","41.4668511476","9.5888277955","48.3894371554","7.4708008864","47.87586045"
"1.6131952758","63.8930339489","9.5047473322","42.5635514038","9.7209542379","48.5076181586","7.6229464867","48.5178313318"
"1.64922976","62.6813139096","9.6128507851","43.6495521454","9.8530806802","48.6257991619","7.76479652","49.0978978785"
"1.6852642443","61.4856431424","9.7329657326","44.738957278","9.9852071226","48.7308489425","7.9172281083","49.9943643597"
"1.7212987286","60.2739231032","9.865092175","44.9709422103","10.1173335649","48.8490299457","8.0493545506","50.7406555097"
"1.7573332129","59.1264001521","9.9972186173","44.9709422103","10.2494600073","48.9540797264","8.1972103313","51.6772451711"
"1.7993734445","58.0009449501","10.1293450597","44.9709422103","10.3815864496","49.0328670619","8.3324254438","52.1738555031"
"1.8474194235","56.839378886","10.261471502","44.9709422103","10.513712892","49.1116543973","8.4645518861","52.424224147"
"1.8954654026","55.6838312989","10.3935979444","44.9709422103","10.6458393343","49.1904417328","8.5966783285","52.7034814805"
"1.9435113816","54.5282837118","10.5257243867","44.9709422103","10.7779657766","49.2692290683","8.7288047708","52.9731092509"
"1.9915573607","53.3968100328","10.6578508291","44.9709422103","10.910092219","49.352393478","8.8609312132","53.2427370212"
"2.0396033397","52.2713548308","10.7899772714","44.9709422103","11.0422186613","49.4355578877","8.9930576555","53.4834761018"
"2.0876493187","51.1097887667","10.9221037138","44.9709422103","11.1743451037","49.5187222973","9.1251840978","53.7434743089"
"2.1356952978","49.9542411796","11.0542301561","44.9709422103","11.306471546","49.6062637812","9.2573105402","54.0323612057"
"2.1837412768","48.7986935925","11.1863565984","44.9709422103","11.4385979884","49.6981823393","9.3894369825","54.2731002863"
"2.257196187","47.6598125572","11.3184830408","44.9709422103","11.5707244307","49.7944779715","9.5215634249","54.5234689302"
"2.3939424351","48.2843873748","11.4506094831","44.9709422103","11.7028508731","49.8863965296","9.6536898672","54.8027262638"
"2.5260688774","49.194818807","11.5827359255","44.9709422103","11.8349773154","49.9783150877","9.7858163096","55.0819835973"
"2.6581953198","50.0964960909","11.7148623678","44.9709422103","11.9671037578","50.0746107199","9.9179427519","55.3419818044"
"2.7903217621","50.4816786199","11.8469888102","44.9709422103","12.0992302001","50.1709063522","10.0500691943","55.6116095747"
"2.9224482045","49.7682155264","11.9791152525","44.9709422103","12.2313566424","50.2628249102","10.1894025335","55.9004964715"
"3.0545746468","49.0066046167","12.1112416949","44.9709422103","12.3634830848","50.3547434683","10.314322079","56.1412355521"
"3.1867010891","48.2493707812","12.2433681372","45.0803690651","12.4956095271","50.4510391006","10.4536554182","56.4381470849"
"3.294804542","48.444463231","12.3754945796","45.7719467877","12.6277359695","50.551711807","10.5857818605","56.6869108016"
"3.3788850053","49.5862542992","12.5076210219","46.5598201425","12.7598624118","50.6436303651","10.710701406","56.9404892999"
"3.4629654686","50.7211671079","12.6397474642","47.3433164232","12.8919888542","50.7399259973","10.8572416421","57.2582648863"
"3.5410401845","51.7597842844","12.7718739066","48.0830419619","13.0241152965","50.8362216296","10.9821611875","57.4973990398"
"3.6191149005","52.8190362393","12.9040003489","48.6301762361","13.1562417389","50.9325172618","11.1142876299","57.7461627564"
"3.7031953638","53.9401925291","13.0361267913","49.1598022135","13.2883681812","51.0244358199","11.2536209691","58.0478890708"
"3.7932815745","55.0278173042","13.1682532336","49.6894281909","13.4204946236","51.1076002296","11.3857474114","58.3078872779"
"3.9013850273","56.0545694831","13.300379676","50.2190541683","13.5526210659","51.1863875651","11.5178738538","58.5775150482"
"4.0214999749","57.200487507","13.4325061183","50.6436303651","13.6847475083","51.2564207522","11.6500002961","58.8182541289"
"4.1356091751","58.2811384912","13.5686363923","51.3264539393","13.7628222242","51.2783061231","11.7821267385","59.0975114624"
"4.2557241227","59.2577123779","13.696759003","51.8341945457","","","11.9142531808","59.3575096695"
"4.4094712556","59.5789896237","13.7688279716","51.9523755489","","","12.0463796232","59.6175078766"
"4.5199770074","59.6472719811","","","","","12.1785060655","59.8967652102"
"4.6521034497","59.7523217618","","","","","12.3106325079","60.0123199689"
"4.7602069025","59.5253392","","","","","12.4427589502","60.0123199689"
"4.8322758711","58.3898761305","","","","","12.5604715988","60.0026904057"
"4.8983390923","57.1362904188","","","","","12.6925980412","59.9930608424"
"4.9644023134","56.0160512302","","","","","12.8247244835","60.0219495321"
"5.0244597872","54.9471697121","","","","","12.9424371322","60.0026904057"
"5.084517261","53.7980418339","","","","","13.0745635745","60.0123199689"
"5.1445747348","52.738789879","","","","","13.2066900169","60.0123199689"
"5.2026302928","51.6955871963","","","","","13.3244026655","60.0219495321"
"5.2646896824","50.719791456","","","","","13.4565291078","60.0026904057"
"5.3307529036","49.6412803748","","","","","13.5886555502","60.0026904057"
"5.4028218721","48.4857327877","","","","","13.7207819925","60.0219495321"
"5.4748908407","47.3301852006","","","","","",""
"5.5469598092","46.1746376135","","","","","",""
"5.6190287778","45.0190900264","","","","","",""
"5.6910977463","43.8635424393","","","","","",""
"5.7931954518","43.1938500877","","","","","",""
"5.9253218941","43.8941819587","","","","","",""
"6.0574483365","44.6557928683","","","","","",""
"6.1895747788","45.4217808522","","","","","",""
"6.2676494948","45.7894550845","","","","","",""
