Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Raw Date,Dtiter,Location,Dtiter Sanofi,Ctiter,Labels
DENV2/INDIA/598/2005,Jq922551,2005-01-01,South Asia,India,Maharashtra,Cecilia Et Al.,unknown,unknown,unknown,2006.00,2005-xx-xx,0.00,Pune,0.00,0.00,Aa: C: N3i M15r L16v K17t N21i R22h Q27h K31q M37k L38f Q39h V51l G64v W69c A102v; Ns4b: Q22p P50s; E: C92r I139l K157n E174a D192n N194h L198s Q200p L207m K310w E311g E314r I322h F337l E338n D341g L351p F373l L387v S390t W391c F392s K393q; M: R57k W117c G132s L153v I154f F155l I156m L157v P163l; Ns2b: V43l T45p V59l E89q E92k R100k G108e S113q; Ns2a: G1e G3e V159m; Ns1: I21v E154k V155g E156g F247l F279l; Ns3: R24g K112r R588k; Ns5: I180v A196t V359s A378p E379k V553g T554a M557l H561p A565y V577g T588p V589l S594l R599g T636i L655f V687e D690v I691l G699e L764q; 2k: V17a;
DENV2/INDIA/NIV1774/2005,Fj538906,2005-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,2005.00,2005-xx-xx,0.00,India,0.00,0.00,Aa: E: N134i G360e; Ns1: S228p K272r E289d;
DENV2/INDIA/IDA/2003,Jn568260,2003-01-01,South Asia,India,India,Northill Et Al.,unknown,unknown,unknown,2003.00,2003-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/INDIA/7557PUNEMH/2005,Fj807636,2005-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,2005.00,2005-xx-xx,0.00,India,0.00,0.00,Aa: E: N149t A150g A173p V197g G296p V382l;
DENV2/INDIA/NIV12383/1990,Fj538924,1990-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1991.00,1990-xx-xx,0.00,India,0.00,0.00,Aa: E: E126k;
DENV2/INDIA/NIV455/1995,Fj538912,1995-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1995.68,1995-xx-xx,0.00,India,0.00,0.00,Aa: E: E126k; Ns1: E110g F279l D327g;
DENV2/SAUDI_ARABIA/1001/1994,Am746225,1994-01-01,West Asia,Saudi Arabia,Makkah,Cardosa Et Al.,unknown,unknown,unknown,1994.00,1994-xx-xx,0.00,Jeddah,0.00,0.00,unknown
DENV2/INDIA/NIV833/1997,Fj538913,1997-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1998.00,1997-xx-xx,0.00,India,0.00,0.00,Aa: E: E126k N134d S331f; Ns1: T140i;
DENV2/INDIA/NIV1294/2004,Fj538905,2004-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/INDIA/DIA/2010,Jn568259,2010-01-01,South Asia,India,India,Northill Et Al.,unknown,unknown,unknown,2010.00,2010-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/INDIA/DIA09ATW/2010,Jf968040,2010-01-01,South Asia,India,India,Chang Et Al.,unknown,unknown,unknown,2010.00,2010-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/SAUDI_ARABIA/1071/1994,Am746224,1994-01-01,West Asia,Saudi Arabia,Makkah,Cardosa Et Al.,unknown,unknown,unknown,1994.00,1994-xx-xx,0.00,Jeddah,0.00,0.00,Aa: E: E202k;
DENV2/PAKISTAN/51/2008,Kf041236,2008-01-01,West Asia,Pakistan,Sindh,Hapuarachchi Et Al.,unknown,unknown,unknown,2009.00,2008-xx-xx,0.00,Karachi,0.00,0.00,Aa: C: A63v T101s; Ns4b: I18t R211k; E: E360g; M: T134a Y142h; Ns2b: I8v R55k; Ns2a: M48l I116m I152t; Ns4a: A36t I89t; Ns3: V208i R337k H451y K466r I600t; Ns5: K375n G631s R698k T880a;
DENV2/SAUDI_ARABIA/6507/2004,Am746222,2004-01-01,West Asia,Saudi Arabia,Makkah,Cardosa Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Jeddah,0.00,0.00,unknown
DENV2/SAUDI_ARABIA/6765/2004,Am746221,2004-01-01,West Asia,Saudi Arabia,Makkah,Cardosa Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Jeddah,0.00,0.00,Aa: E: T359m;
DENV2/INDIA/2197DHULEMH/1994,Fj807634,1994-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1995.00,1994-xx-xx,0.00,India,0.00,0.00,Aa: E: E126k P243t A245d M301i F306l V309g K310r E314a I352l V365d S376c M406v D417c D421y G423r L489m;
DENV2/INDIA/5336HISSARHR/1996,Fj807637,1996-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1996.00,1996-xx-xx,0.00,India,0.00,0.00,Aa: E: E126k M272v S300c M301l V309g I322v Y444s T454c K456q I459m G467a S476p V493g Q494l A495d;
DENV2/CHINA/FJ11/1999,Af359579,1999-01-01,China,China,China,Chen Et Al.,unknown,unknown,unknown,2000.00,1999-xx-xx,0.00,China,0.00,0.00,Aa: C: K76r N96s; Ns4b: Q134r; E: I4s K64r D417g; Ns2a: K199g; Ns1: S59l; Ns3: V140a V406d; Ns5: I462t;
DENV2/CHINA/FJ10/2000,Af276619,2000-01-01,China,China,Fujian,Hu Et Al.,unknown,unknown,unknown,2000.00,2000-xx-xx,0.00,Fujian,0.00,0.00,Aa: Ns4b: T244i; Ns3: G379e;
DENV2/INDIA/NIV12778/1992,Fj538925,1992-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1992.00,1992-xx-xx,0.00,India,0.00,0.00,Aa: E: I129t V141i S390n;
DENV2/INDIA/RR44/2009,Jq955623,2009-01-01,South Asia,India,Delhi,Agarwal Et Al.,unknown,unknown,unknown,2009.00,2009-xx-xx,0.00,Delhi,0.00,0.00,Aa: Ns4b: P23l; E: I380v V484i; M: Y148h; Ns5: N175d D436n I641t Q644h;
DENV2/INDIA/9548JAMMUJK/1993,Fj807639,1993-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1993.56,1993-xx-xx,0.00,India,0.00,0.00,Aa: E: V12a V15a V24f E26q F191s V197a Q200p S229l V251f Q271l M272r L283s D290e V461s;
DENV2/INDIA/2201DHULEMH/1994,Fj807640,1994-01-01,South Asia,India,India,Barde Et Al.,unknown,unknown,unknown,1995.00,1994-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/INDIA/D9201/1996,Jq922549,1996-01-01,South Asia,India,Maharashtra,Cecilia Et Al.,unknown,unknown,unknown,1996.00,1996-xx-xx,0.00,Dhule,0.00,0.00,unknown
DENV2/SRI_LANKA/BIDV2422/2004,Gq252677,2004-01-01,South Asia,Sri Lanka,Sri Lanka,Alvarado Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Sri Lanka,0.00,0.00,Aa: Ns5: G386r;
DENV2/SRI_LANKA/BIDV2421/2003,Gq252676,2003-01-01,South Asia,Sri Lanka,Sri Lanka,Alvarado Et Al.,unknown,unknown,unknown,2003.94,2003-xx-xx,0.00,Sri Lanka,0.00,0.00,unknown
DENV2/PAKISTAN/NA/2010,Kf360005,2010-11-01,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2010.83,2010-11-01,0.00,Pakistan,0.00,0.00,Aa: C: L108r; Ns4b: V147a N208s; E: D98g N103d M260l V324i; Ns2b: I67v; Ns1: K9r; Ns3: W5s D6a W83r T134a; Ns5: K101r M320v I474v G600s D771g E843g Q869r E878g E894d;
DENV2/PAKISTAN/3/2011,Kf041233,2011-01-01,West Asia,Pakistan,Punjab,Hapuarachchi Et Al.,unknown,unknown,unknown,2011.00,2011-xx-xx,0.00,Muridke,0.00,0.00,Aa: Ns2a: V36i; Ns1: S44a; Ns3: R187k; Ns5: P829l;
DENV2/SAUDI_ARABIA/JEDDAH/2014,Kj830750,2014-01-13,West Asia,Saudi Arabia,Saudi Arabia,Abd-alla Et Al.,unknown,unknown,unknown,2014.03,2014-01-13,0.00,Saudi Arabia,0.00,0.00,Aa: C: T71i L92m; Ns4b: T20i I150v; E: E360g; Ns2b: R55k; Ns2a: T119s; Ns1: F178s;
DENV2/PAKISTAN/82/2009,Kf041230,2009-01-01,West Asia,Pakistan,Pakistan,Hapuarachchi Et Al.,unknown,unknown,unknown,2009.89,2009-xx-xx,0.00,Pakistan,0.00,0.00,unknown
DENV2/PAKISTAN/78/2009,Kf041237,2009-01-01,West Asia,Pakistan,Sindh,Hapuarachchi Et Al.,unknown,unknown,unknown,2009.89,2009-xx-xx,0.00,Karachi,0.00,0.00,unknown
DENV2/PAKISTAN/I3/2014,Kt239355,2014-01-01,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Pakistan,0.00,0.00,unknown
DENV2/PAKISTAN/2/2009,Kf041235,2009-01-01,West Asia,Pakistan,Sindh,Hapuarachchi Et Al.,unknown,unknown,unknown,2009.00,2009-xx-xx,0.00,Karachi,0.00,0.00,unknown
DENV2/PAKISTAN/55/2008,Kf041228,2008-01-01,West Asia,Pakistan,Pakistan,Hapuarachchi Et Al.,unknown,unknown,unknown,2008.00,2008-xx-xx,0.00,Pakistan,0.00,0.00,Aa: E: R323k;
DENV2/PAKISTAN/NA/2013,Kj010186,2013-10-02,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2013.75,2013-10-02,0.00,Pakistan,0.00,0.00,Aa: E: K64r N242k; Ns1: K11t E12a M97l P128s; Ns3: P8r P10y;
DENV2/PAKISTAN/4/2011,Kf041234,2011-01-01,West Asia,Pakistan,Punjab,Hapuarachchi Et Al.,unknown,unknown,unknown,2011.18,2011-xx-xx,0.00,Lahore,0.00,0.00,Aa: E: V309i; Ns5: N440d N701s;
DENV2/PAKISTAN/23/2011,Kf041232,2011-01-01,West Asia,Pakistan,Punjab,Hapuarachchi Et Al.,unknown,unknown,unknown,2011.18,2011-xx-xx,0.00,Lahore,0.00,0.00,Aa: E: V491a;
DENV2/PAKISTAN/A2/2011,Km217156,2011-08-01,West Asia,Pakistan,Pakistan,Abouhaider Et Al.,unknown,unknown,unknown,2011.65,2011-08-xx,0.00,Pakistan,0.00,0.00,unknown
DENV2/PAKISTAN/A1/2011,Km217157,2011-08-01,West Asia,Pakistan,Pakistan,Abouhaider Et Al.,unknown,unknown,unknown,2011.65,2011-08-xx,0.00,Pakistan,0.00,0.00,unknown
DENV2/PAKISTAN/NA/2011,Kj010185,2011-10-20,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2011.80,2011-10-20,0.00,Pakistan,0.00,0.00,unknown
DENV2/PAKISTAN/SWAT02/2013,Kj701507,2013-08-27,West Asia,Pakistan,Pakistan,Abouhaider Et Al.,unknown,unknown,unknown,2013.65,2013-08-27,0.00,Pakistan,0.00,0.00,unknown
DENV2/PAKISTAN/SWAT01/2013,Km217158,2013-08-01,West Asia,Pakistan,Pakistan,Abouhaider Et Al.,unknown,unknown,unknown,2013.63,2013-08-xx,0.00,Pakistan,0.00,0.00,unknown
DENV2/INDIA/GWL39DI/2001,Dq448232,2001-01-01,South Asia,India,India,Abhyankar Et Al.,unknown,unknown,unknown,2001.21,2001-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/INDIA/GWL18DI/2001,Dq448231,2001-01-01,South Asia,India,India,Abhyankar Et Al.,unknown,unknown,unknown,2001.44,2001-xx-xx,0.00,India,0.00,0.00,Aa: C: L92m; E: A150t;
DENV2/BANGLADESH/H29/2009,Jn036374,2009-10-02,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2009.75,2009-10-02,0.00,Dhaka,0.00,0.00,unknown
DENV2/BANGLADESH/H127/2007,Jn036378,2007-09-19,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2007.71,2007-09-19,0.00,Dhaka,0.00,0.00,unknown
DENV2/INDIA/DB020/2006,Jf804033,2006-01-01,South Asia,India,India,Colon Et Al.,unknown,unknown,unknown,2006.97,2006-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/INDIA/BIDV2961/2006,Fj898454,2006-01-01,South Asia,India,India,Alvarado Et Al.,unknown,unknown,unknown,2006.97,2006-xx-xx,0.00,India,0.00,0.00,unknown
DENV2/BANGLADESH/H64/2008,Jn036376,2008-09-04,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2008.68,2008-09-04,0.00,Dhaka,0.00,0.00,unknown
DENV2/BANGLADESH/H17/2009,Jn036373,2009-10-01,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2009.75,2009-10-xx,0.00,Dhaka,0.00,0.00,unknown
DENV2/BANGLADESH/H86/2008,Jn036377,2008-08-20,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2008.64,2008-08-20,0.00,Dhaka,0.00,0.00,unknown
DENV2/BANGLADESH/H83/2006,Jn036380,2006-07-19,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2006.54,2006-07-19,0.00,Dhaka,0.00,0.00,unknown
DENV2/BANGLADESH/H21/2006,Jn036379,2006-07-13,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2006.53,2006-07-13,0.00,Dhaka,0.00,0.00,Aa: E: T404a;
DENV2/BANGLADESH/H54/2008,Jn036375,2008-08-13,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2008.62,2008-08-13,0.00,Dhaka,0.00,0.00,Aa: E: Q293r;
DENV2/BANGLADESH/H16/2009,Jn036372,2009-10-01,South Asia,Bangladesh,Bangladesh,Ali Et Al.,unknown,unknown,unknown,2009.75,2009-10-xx,0.00,Dhaka,0.00,0.00,unknown
DENV2/INDIA/2627/2006,Ku509271,2006-01-01,South Asia,India,India,Cadar Et Al.,unknown,unknown,unknown,2007.00,2006-xx-xx,0.00,India,0.00,0.00,Aa: C: G64e; Ns4b: T20a L112f; E: V252i; M: D29n V152a; Ns2b: I116v; Ns2a: T25s; Ns4a: T8a; Ns1: G16v; Ns3: R248k A249t; Ns5: T5k I281v R749k M765i;
DENV2/INDIA/GWL81DI/2001,Dq448234,2001-01-01,South Asia,India,India,Abhyankar Et Al.,unknown,unknown,unknown,2001.00,2001-xx-xx,0.00,India,0.00,0.00,Aa: M: R57k E60g;
DENV2/INDIA/DIA08BTW/2009,Jf967992,2009-01-01,South Asia,India,India,Chang Et Al.,unknown,unknown,unknown,2009.00,2009-xx-xx,0.00,India,0.00,0.00,Aa: E: V358a M492v;
DENV2/INDIA/OD2112/2011,Jq955624,2011-01-01,South Asia,India,Odisha,Agarwal Et Al.,unknown,unknown,unknown,2012.00,2011-xx-xx,0.00,Odisha,0.00,0.00,Aa: Ns4b: L15f; M: T134a Y148h; Ns2a: V12i I133v; Ns1: P128s A141t I188v; Ns3: T168s; Ns5: I462m;
DENV2/INDIA/NIV30971DIA/2010,Kf577806,2010-01-01,South Asia,India,India,Dayaraj Et Al.,unknown,unknown,unknown,2010.00,2010-xx-xx,0.00,India,0.00,0.00,Aa: E: T55i;
DENV2/INDIA/3458DIA/2013,Kj545478,2013-01-01,South Asia,India,India,Ke Et Al.,unknown,unknown,unknown,2013.00,2013-xx-xx,0.00,India,0.00,0.00,Aa: E: Q227r;
DENV2/SAUDI_ARABIA/IARABIA07ATW/2014,Kt175140,2014-01-01,West Asia,Saudi Arabia,Saudi Arabia,Chang Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Saudi Arabia,0.00,0.00,Aa: E: E360g;
DENV2/INDIA/RGCB92/2011,Ky427085,2011-01-03,South Asia,India,India,Anupriya Et Al.,unknown,unknown,unknown,2011.01,2011-01-03,0.00,India,0.00,0.00,Aa: Ns4b: V43a; E: F90y; Ns4a: N5s; Ns1: T146i; Ns5: R326k R599s T637a;
DENV2/CHINA/QHD13CAIQ/2013,Kf479233,2013-01-04,China,China,China,Hu Et Al.,unknown,unknown,unknown,2013.01,2013-01-04,0.00,China,0.00,0.00,Aa: Ns4b: T244a; Ns1: H129q; Ns5: T271i;
DENV2/SINGAPORE/CT35/2013,Kx380828,2013-01-01,Southeast Asia,Singapore,Singapore,Aw Et Al.,unknown,unknown,unknown,2014.00,2013-xx-xx,0.00,Singapore,0.00,0.00,Aa: Ns4b: T20a N144i; E: T236m; Ns2a: V155a; Ns5: K467r R698k;
DENV2/IRELAND/43493IRL/2011,Jq896296,2011-11-29,Europe,Ireland,Ireland,Cartin Et Al.,unknown,unknown,unknown,2011.91,2011-11-29,0.00,Ireland,0.00,0.00,Aa: E: P132s;
DENV2/CHINA/GD31PHILIPPINES/2013,Kj545451,2013-01-01,China,China,China,Ke Et Al.,unknown,unknown,unknown,2014.00,2013-xx-xx,0.00,China,0.00,0.00,Aa: M: T146a Y148x F149x Q150x R151x V152x;
DENV2/CHINA/102126/2015,Kx577684,2015-11-01,China,China,China,Bai Et Al.,unknown,unknown,unknown,2015.83,2015-11-01,0.00,China,0.00,0.00,Aa: E: E49k;
DENV2/CHINA/93003/2015,Kx577653,2015-11-01,China,China,China,Bai Et Al.,unknown,unknown,unknown,2015.83,2015-11-01,0.00,China,0.00,0.00,Aa: E: V491i; M: M111l;
DENV2/CHINA/92911/2015,Kx577649,2015-11-01,China,China,China,Bai Et Al.,unknown,unknown,unknown,2015.83,2015-11-01,0.00,China,0.00,0.00,Aa: C: R32k; E: A259g;
DENV2/CHINA/GZHAIZHU3/2015,Kx082959,2015-08-24,China,China,China,Guo Et Al.,unknown,unknown,unknown,2015.64,2015-08-24,0.00,China,0.00,0.00,unknown
DENV2/CHINA/GZHAIZHU60/2015,Kx082962,2015-09-16,China,China,China,Guo Et Al.,unknown,unknown,unknown,2015.71,2015-09-16,0.00,China,0.00,0.00,unknown
DENV2/CHINA/GZHAIZHU6/2015,Kx082963,2015-09-22,China,China,China,Guo Et Al.,unknown,unknown,unknown,2015.72,2015-09-22,0.00,China,0.00,0.00,unknown
DENV2/CHINA/GZHAIZHU49/2015,Kx082961,2015-08-29,China,China,China,Guo Et Al.,unknown,unknown,unknown,2015.66,2015-08-29,0.00,China,0.00,0.00,Aa: E: T138a;
DENV2/CHINA/GZHAIZHU42/2015,Kx082960,2015-08-25,China,China,China,Guo Et Al.,unknown,unknown,unknown,2015.65,2015-08-25,0.00,China,0.00,0.00,unknown
DENV2/INDONESIA/1016DN/1975,Gq398258,1975-01-01,Southeast Asia,Indonesia,Indonesia,Aw Et Al.,unknown,unknown,unknown,1975.00,1975-xx-xx,0.00,Indonesia,0.00,0.00,Aa: Ns4b: Q21h; Ns2a: R138k; Ns1: S181p R324k; Ns5: I818v;
DENV2/INDONESIA/1127DN/1976,Gq398262,1976-01-01,Southeast Asia,Indonesia,Indonesia,Aw Et Al.,unknown,unknown,unknown,1976.14,1976-xx-xx,0.00,Indonesia,0.00,0.00,Aa: Ns1: K85r;
DENV2/PAPUA_NEW_GUINEA/NA/2003,Jn568266,2003-01-01,Oceania,Papua New Guinea,Papua New Guinea,Northill Et Al.,unknown,unknown,unknown,2003.00,2003-xx-xx,0.00,Papua New Guinea,0.00,0.00,Aa: E: V129i E360g D417e;
DENV2/INDONESIA/1172DN/1976,Gq398261,1976-01-01,Southeast Asia,Indonesia,Indonesia,Aw Et Al.,unknown,unknown,unknown,1977.00,1976-xx-xx,0.00,Indonesia,0.00,0.00,Aa: M: V75i; Ns4a: M10i; Ns1: S297a;
DENV2/SOMALIA/MALIA/1984,L10051,1984-01-01,Subsaharan Africa,Somalia,Somalia,Chang Et Al.,unknown,unknown,unknown,1985.00,1984-xx-xx,0.00,Somalia,0.00,0.00,Aa: E: N124s K291q;
DENV2/SOMALIA/DB123/2011,Kc848581,2011-01-01,Subsaharan Africa,Somalia,Somalia,Colon Et Al.,unknown,unknown,unknown,2011.15,2011-xx-xx,0.00,Somalia,0.00,0.00,Aa: E: E174g;
DENV2/SOMALIA/DB126/2011,Kc848584,2011-01-01,Subsaharan Africa,Somalia,Somalia,Colon Et Al.,unknown,unknown,unknown,2011.06,2011-xx-xx,0.00,Somalia,0.00,0.00,unknown
DENV2/SOMALIA/DB124/2011,Kc848582,2011-01-01,Subsaharan Africa,Somalia,Somalia,Colon Et Al.,unknown,unknown,unknown,2011.06,2011-xx-xx,0.00,Somalia,0.00,0.00,unknown
DENV2/BURKINA_FASO/BURKINAFO/1983,L10042,1983-01-01,Subsaharan Africa,Burkina Faso,Burkina Faso,Chang Et Al.,unknown,unknown,unknown,1983.86,1983-xx-xx,0.00,Burkina Faso,0.00,0.00,Aa: E: I46t N124s;
DENV2/BURKINA_FASO/1349/1983,Eu056810,1983-01-01,Subsaharan Africa,Burkina Faso,Burkina Faso,Fokam Et Al.,unknown,unknown,unknown,1984.00,1983-xx-xx,0.00,Burkina Faso,0.00,0.00,Aa: Ns2a: I120v; Ns5: Q644k;
DENV2/SAUDI_ARABIA/237/1994,Am746226,1994-01-01,West Asia,Saudi Arabia,Makkah,Cardosa Et Al.,unknown,unknown,unknown,1994.00,1994-xx-xx,0.00,Jeddah,0.00,0.00,Aa: E: I46t T171s T359a;
DENV2/BURKINA_FASO/BIDV3502/1986,Gu131843,1986-01-01,Subsaharan Africa,Burkina Faso,Burkina Faso,Alvarado Et Al.,unknown,unknown,unknown,1987.00,1986-xx-xx,0.00,Burkina Faso,0.00,0.00,Aa: C: I59v; Ns4b: L112f; E: E126k T180i; Ns2a: H2y A37t I171v; Ns5: S429n;
DENV2/BURKINA_FASO/ARA6894/1986,Hm234642,1986-01-01,Subsaharan Africa,Burkina Faso,Burkina Faso,Austin Et Al.,unknown,unknown,unknown,1986.00,1986-xx-xx,0.00,Burkina Faso,0.00,0.00,unknown
DENV2/GHANA/F32/2005,Eu005258,2005-01-01,Subsaharan Africa,Ghana,Ghana,Huhtamo Et Al.,unknown,unknown,unknown,2005.00,2005-xx-xx,0.00,Ghana,0.00,0.00,Aa: E: V347i;
DENV2/BURKINA_FASO/BURKINAFONIID125/2016,Lc206003,2016-01-01,Subsaharan Africa,Burkina Faso,Burkina Faso,Hashimoto Et Al.,unknown,unknown,unknown,2016.31,2016-xx-xx,0.00,Burkina Faso,0.00,0.00,unknown
DENV2/BURKINA_FASO/7869191/2016,Ky627762,2016-11-05,Subsaharan Africa,Burkina Faso,Burkina Faso,Baronti Et Al.,unknown,unknown,unknown,2016.85,2016-11-05,0.00,Burkina Faso,0.00,0.00,unknown
DENV2/BURKINA_FASO/7754691/2016,Ky627763,2016-11-21,Subsaharan Africa,Burkina Faso,Burkina Faso,Baronti Et Al.,unknown,unknown,unknown,2016.89,2016-11-21,0.00,Burkina Faso,0.00,0.00,Aa: Ns4b: L112f; Ns3: T352m; Ns5: K861r;
DENV2/INDONESIA/1023DN/1975,Gq398263,1975-01-01,Southeast Asia,Indonesia,Indonesia,Aw Et Al.,unknown,unknown,unknown,1976.00,1975-xx-xx,0.00,Indonesia,0.00,0.00,Aa: E: I322v; Ns1: N145t F178l E340d; Ns5: T271i I276v F413y;
DENV2/INDONESIA/1046DN/1976,Gq398264,1976-01-01,Southeast Asia,Indonesia,Indonesia,Aw Et Al.,unknown,unknown,unknown,1977.00,1976-xx-xx,0.00,Indonesia,0.00,0.00,Aa: Ns1: K211m H269q;
