Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host,Labels
A/Guangdong/1/2013,Epi476702,2013-08-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-10,Human,unknown
A/HuZhou/1/2013,Epi503500,2013-04-03,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Human,Aa: Np: V353g;
A/Chicken/Shenzhen/3780,Epi581859,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Guangdong/24997/2013,Epi628513,2013-11-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human,unknown
A/Guangdong/DG-03/2013,Epi515862,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.95,2018.22,2013-12-xx,Human,unknown
A/Guangdong/3/2013,Epi506219,2013-12-15,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-15,Human,unknown
A/Shenzhen/SP60/2014,Epi577995,2014-01-30,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human,unknown
A/Shenzhen/SP38/2014,Epi583264,2014-01-22,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-22,Human,Aa: Np: Q357r;
A/Shenzhen/SP58/2014,Epi578159,2014-01-25,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.07,2018.22,2014-01-25,Human,unknown
A/GD-46/2014/H7N9/2014-01-16,Epi655975,2014-01-16,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.04,2018.22,2014-01-16,Human,unknown
A/Shenzhen/SP49/2014,Epi583285,2014-01-25,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.07,2018.22,2014-01-25,Human,Aa: Np: S50n;
A/silkiechicken/Shenzhen/919/2013,Epi577939,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken,unknown
A/silkiechicken/Shenzhen/918/2013,Epi577933,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken,unknown
A/Guangdong/46/2014,Epi627929,2014-01-17,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.04,2018.22,2014-01-17,Human,unknown
A/Shenzhen/SP16/2014,Epi583257,2014-01-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-18,Human,unknown
A/Silkiechicken/Shenzhen/3782,Epi581874,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Shenzhen/3734,Epi581852,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/GD-48/2014/H7N9/2014-01-19,Epi655983,2014-01-19,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.05,2018.22,2014-01-19,Human,unknown
A/Guangdong/48/2014,Epi628001,2014-01-20,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human,unknown
A/Shenzhen/SP17/2014,Epi583236,2014-01-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human,unknown
A/Chicken/Shenzhen/3733,Epi581845,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/GD-110/2014/H7N9/2014-02-13,Epi656109,2014-02-13,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.12,2018.22,2014-02-13,Human,unknown
A/Chicken/Shenzhen/2293,Epi581596,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken,unknown
A/Chicken/Shenzhen/2201,Epi581589,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken,unknown
A/chicken/Shenzhen/898/2013,Epi577926,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken,unknown
A/chicken/Shenzhen/801/2013,Epi583299,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken,unknown
A/chicken/Shenzhen/727/2013,Epi577898,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken,unknown
A/chicken/Shenzhen/747/2013,Epi577912,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken,unknown
A/HongKong/734/2014,Epi498793,2014-01-07,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.02,2018.22,2014-01-07,Human,unknown
A/Shenzhen/SP26/2014,Epi583243,2014-01-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human,unknown
A/Chicken/Shenzhen/1665,Epi577953,2013-12-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-12,Chicken,unknown
A/Silkiechicken/Shenzhen/3781,Epi581866,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/1075,Epi596934,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,Aa: Np: M352i;
A/GD-31/2014/H7N9/2014-01-11,Epi655927,2014-01-11,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-11,Human,Aa: Np: R246q N247k;
A/GD-35/2014/H7N9/2014-01-12,Epi655959,2014-01-12,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-12,Human,unknown
A/Guangdong/35/2014,Epi628465,2014-01-13,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.03,2018.22,2014-01-13,Human,unknown
A/Silkiechicken/Dongguan/3528,Epi581763,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3487,Epi581718,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3894,Epi581880,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,Aa: Np: M352i;
A/Chicken/Dongguan/3935,Epi581894,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Silkiechicken/Dongguan/3980,Epi581917,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3544,Epi581769,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3582,Epi581783,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,Aa: Np: G5d;
A/Silkiechicken/Dongguan/3606,Epi581839,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Silkiechicken/Dongguan/3605,Epi581833,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3563,Epi581776,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/GD-43/2014/H7N9/2014-01-15,Epi655967,2014-01-15,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.04,2018.22,2014-01-15,Human,Aa: Np: R355k;
A/Guangdong/YJ-04/2013,Epi515870,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.95,2018.22,2013-12-xx,Human,unknown
A/Guangdong/4/2013,Epi506226,2013-12-16,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Human,unknown
A/Guangdong/5/2013,Epi506234,2013-12-17,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-17,Human,unknown
A/Guangdong/YJ-05/2013,Epi515878,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.96,2018.22,2013-12-xx,Human,unknown
A/Guangdong/2/2013,Epi499908,2013-11-04,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.84,2018.22,2013-11-04,Human,unknown
A/Guangdong/DG-02/2013,Epi515854,2013-11-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.84,2018.22,2013-11-xx,Human,unknown
A/Chicken/Dongguan/3917,Epi581887,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Silkiechicken/Dongguan/3275,Epi581675,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken,unknown
A/Silkiechicken/Dongguan/3284,Epi581687,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken,unknown
A/Chicken/Dongguan/3464,Epi581711,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/chicken/Dongguan/851/2014,Epi597346,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/Chicken/Dongguan/1143,Epi596941,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,Aa: Np: I197v;
A/silkiechicken/Dongguan/963/2014,Epi596891,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/silkiechicken/Dongguan/967/2014,Epi597388,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/GD-62/2014/H7N9/2014-01-27,Epi655991,2014-01-27,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.07,2018.22,2014-01-27,Human,Aa: Np: V406i;
A/Guangdong/71/2014,Epi627985,2014-01-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human,unknown
A/Guangdong/74/2014,Epi627961,2014-01-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human,unknown
A/GD-71/2014/H7N9/2014-01-30,Epi656031,2014-01-30,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human,unknown
A/GD-74/2014/H7N9/2014-01-31,Epi656047,2014-01-31,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.08,2018.22,2014-01-31,Human,unknown
A/Environment/Guangdong/2500,Epi628521,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Environment,unknown
A/Environmental/Guangdong/32,Epi627977,2013-12-16,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-16,Environment,unknown
A/Guangdong/2124/2014,Epi628489,2014-01-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.01,2018.22,2014-01-04,Human,unknown
A/Guangdong/12/2014,Epi628089,2014-01-04,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.01,2018.22,2014-01-04,Human,unknown
A/GD-13/2014/H7N9/2014-01-03,Epi655879,2014-01-03,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.01,2018.22,2014-01-03,Human,unknown
A/GD-12/2014/H7N9/2014-01-03,Epi655871,2014-01-03,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.01,2018.22,2014-01-03,Human,unknown
A/Chicken/Dongguan/4094,Epi581950,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/4119,Epi583292,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3219,Epi581650,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken,unknown
A/Silkiechicken/Dongguan/4127,Epi581979,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,Aa: Np: R452g T472m N482s F488l;
A/Chicken/Dongguan/1526,Epi597118,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,Aa: Np: H82r;
A/chicken/Shenzhen/138/2014,Epi578086,2014-02-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.13,2018.22,2014-02-19,Chicken,unknown
A/Chicken/Dongguan/1358,Epi592209,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1312,Epi596980,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Huaian/1/2015,Epi895534,2015-01-23,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2015.06,2018.22,2015-01-23,Human,unknown
A/Huaian/74/2014,Epi895538,2014-03-02,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2014.16,2018.22,2014-03-02,Human,Aa: Np: G127e;
A/chicken/Huaian/003/2015,Epi895530,2015-02-05,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2015.10,2018.22,2015-02-05,Chicken,unknown
A/Huaian/2/2015,Epi895535,2015-02-03,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2015.09,2018.22,2015-02-03,Human,unknown
A/Silkiechicken/Dongguan/4126,Epi581973,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/4040,Epi583319,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/4048,Epi581936,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/3972,Epi581908,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/4037,Epi581929,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Chicken/Dongguan/4102,Epi581959,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/Silkiechicken/Dongguan/3281,Epi581681,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken,unknown
A/Chicken/Dongguan/4063,Epi581943,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken,unknown
A/chicken/Dongguan/850/2014,Epi597339,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,Aa: Np: L154i;
A/chicken/Dongguan/568/2014,Epi596811,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,Aa: Np: V463a;
A/chicken/Dongguan/575/2014,Epi578079,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/chicken/Dongguan/843/2014,Epi597332,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/Chicken/Dongguan/1100,Epi578146,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/silkiechicken/Dongguan/953/2014,Epi578134,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Silkiechicken/Dongguan/1274,Epi596967,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Silkiechicken/Dongguan/1519,Epi578153,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Silkiechicken/Dongguan/1268,Epi596961,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/chicken/Dongguan/748/2014,Epi597266,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,Aa: Np: S84n;
A/Chicken/Dongguan/1188,Epi597475,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,Aa: Np: I371t;
A/Silkiechicken/Dongguan/1271,Epi597497,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,Aa: Np: P95s;
A/chicken/Dongguan/449/2014,Epi596790,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/chicken/Dongguan/836/2014,Epi597325,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/chicken/Dongguan/856/2014,Epi596855,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/chicken/Dongguan/934/2014,Epi597374,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/chicken/Dongguan/584/2014,Epi596818,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/chicken/Dongguan/803/2014,Epi597304,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/Chicken/Dongguan/1382,Epi597552,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Silkiechicken/Dongguan/1516,Epi597085,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1318,Epi597527,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1393,Epi597559,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1533,Epi578179,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1527,Epi578172,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1433,Epi597592,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1057,Epi596927,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1096,Epi592202,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Silkiechicken/Dongguan/1264,Epi596955,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Dongguan/1307,Epi597513,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Guangdong/CHN/023/2016,Epi866570,2016-02-15,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2016.12,2018.22,2016-02-15,Human,Aa: Np: E114d;
