#data from https://doi.org/10.1371/journal.pntd.0001039.s001 Table S3
Strongyloides_contig_number,p-value,log2_(L3i/L1)_signal_ratio,annotation,PFAM_database_id,
115,0.00027500834,2.61168,met,Biotin_carb_C,
116,1.08E-05,3.17661,met,Aminotran_1_2,
117,0.0011272108,1.51923,met,Aminotran_1_2,
118,0.010721136,1.15257,met,Aminotran_1_2,
119,0.013396096,0.609,tm,Ribosomal_L11,
120,0.0019407185,1.31132,tm,Ribosomal_L13,
121,0.98909787,-0.0025,pm,U-box,
122,0.72867011,0.02909,pm,TPR_1,
123,5.32E-06,2.52287,unk,ODC_AZ,
124,0.076786983,0.14766,tr,Snf7,
125,0.054267856,-0.27848,extmat,Collagen,
126,0.88843736,-0.03593,extmat,Collagen,
127,0.033909314,0.64535,nr,Histone,
128,0.0081301527,2.61881,unk,DUF781,
129,0.0038664364,2.44791,unk, ,
130,0.57405626,0.06825,tm,S10_plectin,
131,0.0068546747,1.45257,tm,Ribosomal_L24e,
132,0.0011315134,1.15349,st,DSPc,
133,0.0072987758,0.86775,pm,HSP70,
134,0.00020346975,1.72914,tr,Arf,
135,0.0013856637,-1.27452,unk,Pox_A32,
136,0.18737306,-0.19346,tm,Ribosomal_S9,
137,0.082539656,-0.30946,unk,DUF1672,
138,0.0085962211,-0.47011,tm,Ribosomal_S26e,
139,0.00078562694,2.17171,unk,GBP,
140,0.00026595956,0.68222,cs,Tropomyosin,
141,0.012150185,0.38906,prot,Ribosomal_S27,
142,0.073431745,-0.20319,tr,Snf7,
143,0.00022722576,1.94955,nr,Helicase_C,
144,0.0099780361,1.91341,cs,Myosin_tail_1,
145,0.14547593,0.28269,cs,Troponin,
146,0.87044841,0.01777,unk,Serpentine_recp,
147,0.00011170823,2.15661,tr,Ras,
148,5.23E-05,1.58402,tm,Ribosomal_L16,
149,0.00067202922,1.42172,tr,Synaptobrevin,
150,4.82E-06,3.49199,unk,MpPF26,
151,0.001328873,0.85343,ps,eIF3_subunit,
152,4.73E-05,2.8864,unk,PT,
153,0.21800607,-0.16566,ps,Plus-3,
154,0.014940689,0.28485,extmat,Collagen,
155,5.96E-05,1.54997,em,COX5A,
156,1.00E-05,2.11332,unk,Pepsin-I3,
157,0.022367214,0.8375,tr,Ras,
158,0.046428974,-0.40139,tm,Ribosomal_S24e,
159,0.033897937,2.26724,pm,7TMR-DISM_7TM,
160,0.0088891729,0.69433,unk,DUF862,
161,0.21774722,0.08471,em,COX4,
162,0.076368824,0.71757,tm,Ribosomal_S4e,
163,3.01E-05,2.64287,em,Globin,
164,7.97E-05,2.57221,em,Globin,
165,0.010124568,0.5332,tm,Ribosomal_S8,
166,0.0014039977,0.66321,tm,Ribosomal_L7Ae,
167,0.0015528381,1.84111,tf,NAC,
168,0.020132463,-0.80728,nr,Drf_FH1,
169,0.0013875047,2.89325,st,DSPc,
170,0.088862623,0.22878,nr,DUF148,
171,0.15694551,-0.4336,tm,Ribosomal_L23,
172,0.00088281853,-0.44977,cs,Tubulin,
173,0.29067685,-0.20137,cs,Tubulin,
174,0.00018752708,-0.63693,tm,Ribosomal_S19,
175,7.28E-05,2.11443,tm,Ribosomal_S15,
176,0.019644365,-0.73434,pm,Asp,
177,0.00011720323,2.96017,pm,GSHPx,
178,0.066377353,0.65253,tm,Ribosomal_S3_C,
179,0.0056359288,0.76751,met,YfhO,
180,0.00045582233,2.53681,st,Y_phosphatase,
181,0.040772734,0.30347,tm,Ribosomal_L19e,
182,0.18411334,-0.21898,nr,Filament,
183,9.36E-06,3.05279,st,UPF0005,
184,0.029703245,0.39611,cs,Calponin,
185,0.13991244,0.54227,cs,Calponin,
186,0.019003722,-0.23321,tm,Ribosomal_L39,
187,0.086601027,0.56091,cs,TCTP,
188,0.010087781,0.78552,tm,Ribosomal_L13e,
189,0.0012024244,1.42986,em,Renin_r,
190,0.00055531942,2.55062,imm,MIF,
191,0.70199296,-0.05005,unk,HHV6-IE,
192,0.0012779423,2.45413,st,ATP-synt_A,
193,0.0073595286,-0.65746,ps,Ribosomal_S7,
194,0.031133578,-0.36628,ps,Ribosomal_S7,
195,3.47E-06,2.09154,unk,Amidinotransf,
196,0.00094731369,1.36615,met,IPK,
197,0.021091078,1.05371,em,ATP-synt_ab,
198,0.1779672,0.17905,em,ATP-synt_ab_N,
199,7.24E-06,3.0555,pm,DnaJ,
200,0.0011089921,1.14533,tm,Ribosomal_L18e,
201,0.058832978,-0.65107,extmat,Collagen,
202,0.00049808571,1.69237,unk,Upf2,
203,7.74E-05,-0.7126,ps,Ribosomal_L41,
204,0.0089290493,-0.47732,ps,eIF-5a,
205,0.13305699,-0.16698,tm,Ribosomal_L30,
206,0.0024094561,2.0348,tf,NAC,
207,0.0030565372,2.18088,met,AMP-binding,
208,0.16537974,0.35072,em,Mito_carr,
209,0.0078422785,-0.21279,em,Mito_carr,
210,0.00030662544,2.69475,unk,UPF0005,
211,0.013077597,0.39413,tm,Ribosomal_L3,
212,0.0057004171,1.64259,tm,Ribosomal_L14e,
213,8.63E-05,1.34876,pm,Skp1,
214,0.0027319799,1.94573,pm,Cpn60_TCP1,
215,0.00020616768,1.5411,tr,ASC,
216,0.64679395,-0.03909,cs,Myosin_tail_1,
217,0.0070667213,1.61142,em,CBS,
218,0.23674737,0.30556,st,efhand,
219,0.0004991831,2.65693,unk,TACC,
220,0.00027573313,2.77226,tr,Cation_ATPase_C,
221,0.46750392,0.10166,pm,Pro_isomerase,
222,0.014442867,-2.01657,unk,COX1,
223,0.085441232,0.23839,tm,Ribosomal_S17,
224,0.068544154,-0.42883,tf,EF1_GNE,
225,0.078497776,0.61064,tm,Ribosomal_L6e,
226,0.039243531,-0.88536,unk,Clat_adaptor_s,
227,0.051190802,-0.51045,unk,Extensin_2,
228,0.0027923038,-0.67517,tm,KOW,
229,0.0013828752,1.94385,met,KH_1,
230,0.012671399,-0.62256,extmat,Collagen,
231,3.86E-05,2.07685,st,Pkinase,
232,0.31399739,0.1563,tm,Ribosomal_L27e,
233,7.95E-05,1.05547,st,cNMP_binding,
234,0.011197985,1.76371,st,Plasmod_Pvs28,
235,0.91361917,-0.01149,em,Mt_ATP-synt_B,
236,0.081516783,0.4917,unk,Chitin_synth_2,
237,0.0002758195,2.15621,cs,efhand,
238,0.0028712365,1.77844,tr,Mtap_PNP,
239,8.01E-05,1.90678,nr,Linker_histone,
240,0.00026722514,1.59521,cs/st,CAP_C,
241,0.093634997,-0.31426,pm,zf-CCHC,
242,0.00078733474,1.49861,unk,PqiA,
243,7.48E-05,2.59138,unk,DUF1461,
244,0.0030766145,0.53847,pm,HSP20,
245,0.18846833,-0.12781,tr,DUF612,
246,0.00010050229,1.26828,unk,Spheroidin,
247,4.66E-05,1.55492,pm,HSP20,
248,0.046186941,0.64709,unk,RUN,
249,0.00082148286,1.90389,unk,XisI,
250,0.0019500781,1.82494,met,Carboxyl_trans,
251,0.5364982,0.09614,tr,Hydrolase,
252,0.17585236,-0.15783,unk,Reprolysin,
253,0.0017400163,0.81037,tf,zf-C4,
254,0.00029084623,3.87482,met,Gln-synt_C,
255,0.00026380533,0.81621,em,ATP-synt_C,
256,0.00037788651,0.9016,met,SSP160,
257,0.00045173388,2.20611,met,Peptidase_S10,
258,0.0017764378,-1.1238,em,ATP-synt,
259,0.49836896,0.1558,em,ATP-synt,
260,0.76219108,-0.06534,tm,Ribosomal_S7e,
261,0.0034414338,1.00969,unk,Pox_ser-thr_kin,
262,0.0045287095,0.85835,unk, ,
263,0.00754138,1.2236,st,efhand,
264,0.00018986627,3.09857,st,Serpentine_recp,
265,0.0011030264,0.86747,st,efhand,
266,0.039741472,0.87367,pm,GST_N,
267,0.019406318,0.55401,tf,EAP30,
268,0.17314896,-0.2874,unk,Borrelia_orfA,
269,0.10258479,-0.42852,tr,Ras,
270,0.00065224463,1.12149,unk,Serpentine_recp,
271,0.0016986367,2.54224,st,Secretogranin_V,
272,9.40E-05,2.88613,unk,DUF2013,
273,0.0051799576,0.88404,tm,Ribosomal_L18ae,
274,0.00019559293,2.82207,tr,Ras,
275,0.11198806,-0.33335,tm,Ribosomal_S28e,
276,0.14851175,-0.22997,em,Iso_dh,
277,0.036139799,-0.36893,tf,Fork_head,
278,0.88595951,0.02547,tf,Fork_head,
279,0.0085146238,0.49272,cs,MAP7,
280,0.00026964059,2.48577,ps,HGTP_anticodon,
281,0.30973585,-0.33131,tm,Ribosomal_L38e,
282,0.02054335,1.75174,st,Y_phosphatase,
283,0.028192566,-0.38156,em,ATP-synt_G,
284,0.0082217885,-0.46971,tr,COPI_C,
285,0.098838054,-0.59216,extmat,Collagen,
286,0.010950532,-0.76542,extmat,Collagen,
287,0.00033557181,2.98664,unk,DUF290,
288,0.3375466,-0.14283,extmat,Collagen,
289,0.14399921,-0.70165,extmat,Collagen,
290,3.78E-05,2.13707,em,ATP-synt_C,
291,0.0019841118,1.66785,unk, ,
292,0.16797897,0.72471,cs,Calponin,
293,0.14298749,0.84557,tm,Ribosomal_L22e,
294,0.0030165285,-1.22858,pm,DUF753,
295,0.082940971,0.28816,unk,Serpentine_recp,
296,0.066521522,0.39801,unk,OATP,
297,0.027872666,0.47617,nr,DUF148,
298,0.020528998,-0.3842,cs,Myosin_tail_1,
299,0.023511418,-0.6019,tm,Ribosomal_S25,
300,0.59069543,-0.0737,unk,Serpentine_recp,
301,0.00068620054,1.88569,nr,RRM_1,
302,0.00098136652,2.6228,cs,Cas_TM1802,
303,0.033213458,2.24828,st,PP2C,
304,0.00081592302,1.93781,met,AMPKBI,
305,0.22521341,0.35998,cs,Tubulin,
306,6.56E-05,1.35186,nr,DUF1897,
307,0.0060775838,1.39908,cs,Tropomodulin,
308,0.6910232,0.10355,unk,ecTbetaR2,
309,0.45940358,-0.07926,unk,MatK_N,
310,0.010982085,1.28755,unk,7TMR-DISM_7TM,
311,0.0049754344,0.83882,tm,Ribosomal_L6,
312,0.00029412702,2.11456,tm,W2,
313,0.0010172761,2.46837,extmat,Gal-bind_lectin,
314,0.0019027317,-1.13941,tr,SRP72,
315,0.00085587883,2.12317,tr,Sod_Cu,
316,0.025324838,0.73523,em,V-ATPase_G,
317,0.0030941942,2.22381,unk,PA,
318,0.00032960225,1.86823,met,PhyH,
319,0.00016655578,1.72389,pm,HSP20,
320,0.0010557352,1.93716,tr,PRA1,
321,0.21547229,-0.30939,tf,Homeobox,
322,0.015525427,1.33162,pm,Proteasome,
323,0.0057216596,1.35533,unk,Marek_SORF3,
324,0.12352487,-0.36184,pm,HSP70,
325,0.10216776,0.54417,met,Sod_Fe_N,
326,9.09E-05,1.88213,em,Lyase_1,
327,0.014021994,0.86739,em,PEPCK,
328,0.0034027386,1.64652,nr,KAR9,
329,0.066986711,-1.35027,em,COX2,
330,0.085891436,0.30136,cs,SCP-1,
331,0.51438761,-0.13474,unk,Herpes_glycop_H,
332,0.028514718,-0.36979,extmat,Col_cuticle_N,
333,8.41E-05,2.21743,tf,PABP,
334,0.016666363,1.16119,tm,Ribosomal_L3,
335,0.22335284,0.21882,pm,Peptidase_S8,
336,0.012328747,-0.50153,em,Mito_carr,
337,0.6399439,-0.03539,em,Mito_carr,
338,0.0057826988,1.17607,cs,Myosin_tail_1,
339,0.10280417,-0.31035,met,Glycolytic,
340,0.063942325,0.84573,tr,EMP24_GP25L,
341,0.17005464,-0.26845,unk,Glyco_hydro_25,
342,0.02942101,0.44521,tm,Ribosomal_L7Ae,
343,0.033071211,1.09268,tr,Na_K-ATPase,
344,0.15103703,-0.58138,tr,Drf_FH3,
345,0.065422462,-0.53893,met,adh_short,
346,0.12435638,0.27019,met,adh_short,
347,0.0014279565,0.66797,unk,Lactamase_B,
348,0.023567599,-0.3719,unk,Innexin,
349,0.019904847,-0.46614,tr,Ras,
350,0.012108442,0.77682,extmat,Collagen,
351,0.0004085976,-0.2212,tm,Ribosomal_S10,
352,0.12674132,-0.18438,nr,G-alpha,
353,0.0016581024,0.90838,prot,UQ_con,
354,0.010780334,0.67488,st,Sec7,
355,0.56268999,0.13171,ps,Serpentine_recp,
356,0.42367676,0.11626,tr,ChaC,
357,0.18509104,-0.1903,unk,Polysacc_synt,
358,0.00011979597,3.05003,unk,Pkinase,
359,0.86694569,-0.02475,unk,Cwf_Cwc_15,
360,0.011196779,0.50841,prot,UQ_con,
361,0.0092998808,-0.68826,nr,VAR1,
362,3.74E-05,2.28044,unk,zf-AN1,
363,0.08626452,0.44521,met,3HCDH_N,
364,0.1195717,0.30713,ps,Ribosomal_S13,
365,6.03E-06,1.21886,imm,MARVEL,
366,0.014011933,0.54525,tr,Arf,
367,0.044719684,1.39115,nr,RFC1,
368,0.021077359,1.1203,nr,Cyclin,
369,0.0031862914,1.8356,met,AMP-binding,
370,0.0020719322,3.09566,unk,Herpes_U26,
371,0.0034375882,-2.92434,em,NADHdh,
372,0.72986845,-0.03022,pm,AhpC-TSA,
373,0.00023418659,2.0716,unk,Hema_stalk,
374,0.007000352,0.69803,tm,CUT,
375,0.00042853597,2.51928,st,COesterase,
376,0.0066364972,-0.98663,tf,GAL11,
377,0.018604396,-0.64722,unk,Na_H_Exchanger,
378,0.0058111783,1.65474,tm,Ribosomal_L22,
379,0.00074836963,2.00335,st,TspO_MBR,
380,0.29396139,-0.14642,st,MAD,
381,0.00036724026,1.23117,met,PfkB,
382,0.057475941,-0.4469,pm,Cpn60_TCP1,
383,0.0056924487,-0.8212,em,ATP-synt_ab,
384,0.065725793,-0.55449,unk,adh_short,
385,0.61593977,-0.06084,unk,Glyco_hydro_25,
386,0.073408272,0.20207,unk,DUF877,
387,0.0027605049,-1.80912,em,Oxidored_q1,
388,9.51E-05,2.16142,nr,Serpentine_recp,
389,0.029938679,-0.48915,pm,Pro_isomerase,
390,0.051721568,0.59462,pm,Pro_isomerase,
391,0.023381114,-0.73711,tr,TRAP_alpha,
392,0.0018263526,-1.47744,unk, ,
393,0.0030595718,-1.34684,cs,Caldesmon,
394,0.054571809,0.91578,cs,Myosin_head,
395,0.0037365264,-1.01429,pm,Asp,
396,3.97E-05,1.87663,met,Cation_ATPase_C,
397,0.033592582,0.37447,st,ShK,
398,0.0071133833,0.23123,tm,Ribosomal_L36e,
399,0.012774911,0.51594,tr,NDK,
400,0.0003703397,1.18785,tm,Ribosomal_L1,
401,0.16940374,0.25047,unk,DOMON,
402,0.00027404089,1.91101,em,Ldh_1_C,
403,0.00030059316,1.32669,met,Acyl-CoA_dh_N,
404,0.003185854,-1.35184,unk,SPRY,
405,0.13022584,-0.56204,cs,Myosin_tail_1,
406,0.067059689,-0.17555,tm,Ribosomal_L2_C,
407,0.062845618,0.84498,pm,SelP_N,
408,2.70E-05,2.74013,tr,Plasmodium_HRP,
409,0.08631557,-0.44878,cs,F_actin_cap_B,
410,0.0032601587,1.8436,met,Glyoxalase,
411,0.0043734349,-0.61755,ps,eIF-5_eIF-2B,
412,0.056593184,-0.4634,cs,FERM_N,
413,0.0020267704,1.49989,st,B56,
414,0.69927502,-0.03542,extmat,Collagen,
415,0.00049905487,-0.91697,unk,BCS1_N,
416,0.014349018,-0.5648,st,Pkinase,
417,0.0042627539,-0.54955,met,AdoHcyase,
418,0.032620297,-0.33186,tr,Ribonuc_red_sm,
419,0.20210579,0.17173,st,BAR,
420,0.00035326219,-1.62474,unk,FA_desaturase,
421,0.43459764,-0.10844,nr,CSD,
422,0.47110853,0.33555,unk,COX6C,
423,0.037217919,0.73128,extmat,PPP4R2,
424,0.00013545805,1.88133,nr,RRM_1,
425,0.15357619,-0.37047,tr_st,FYVE,
426,0.44835914,0.12354,st,COesterase,
427,0.00023139408,3.05756,cs,SCP-1,
428,1.53E-05,-0.6238,em,UCR_14kD,
429,0.00017287614,2.87787,pm,HSP90,
430,0.0014904041,2.36302,pm,AAA,
431,0.00071901869,-1.49075,em,ATP-synt_E,
432,0.018007419,0.37079,st,Ded_cyto,
433,0.34417032,0.22996,unk,Serpentine_recp,
434,0.93329575,-0.02112,pm,Proteasome,
435,0.020272015,1.39522,unk,SPB_interacting,
436,0.00029930982,0.754,pm,zf-C3HC4,
437,0.00039758036,1.47779,unk,Myosin_tail_1,
438,0.00066253893,2.55502,nr,Histone,
439,0.13317444,0.17719,unk,GPI2,
440,0.00021110472,1.55683,unk,TatC,
441,0.31849911,0.17524,pm,HSP20,
442,0.001415935,1.12311,pm,Proteasome,
443,0.076927473,-0.30849,nr,RRM_1,
444,0.00058574274,2.12441,unk,ARM_1,
445,0.002519084,1.30457,tf,TSC22,
446,0.00072156872,1.21868,tf,TSC22,
447,0.0018258278,-1.10172,cs,Tctex-1,
448,0.00017150105,3.47451,unk,DUF290,
449,1.77E-05,2.13114,unk,DUF1777,
450,3.26E-05,2.67959,unk,ARD,
451,0.0048881191,-1.43436,st,efhand,
452,0.042926493,0.61986,unk,Caldesmon,
453,0.012269155,0.93065,tm,Serpentine_recp,
454,0.0039773601,1.42685,unk,DUF724,
455,0.28736392,0.40674,tm,Ribosomal_L21e,
456,0.00017418657,2.36839,unk,7TMR-DISM_7TM,
457,0.090228657,0.09648,tm,Ribosomal_L37e,
458,5.68E-07,3.14568,unk,YfhO,
459,0.00013612265,1.55735,unk,SCP,
460,0.0086431451,0.85393,st,RIO1,
461,0.0002392324,0.73624,unk,SSP160,
462,0.10652631,-0.41478,unk,VKG_Carbox,
463,0.0072409035,0.92347,nr,zf-C2H2,
464,0.000108375,2.68042,unk,Pept_tRNA_hydro,
465,0.074988159,-0.39399,unk,Aminotran_5,
466,0.094928706,0.40957,nr,TatC,
467,0.00090558024,1.13225,st,Endosulfine,
468,0.0005385874,1.80605,unk,Ras,
469,0.022331938,-0.44053,cs,7TMR-DISM_7TM,
470,0.011045397,2.26314,unk,VAR1,
471,0.11034203,0.60094,unk,VAR1,
472,0.012666675,-0.32071,nr,SART-1,
473,0.45755236,0.11611,unk,LysR_substrate,
474,0.0031922611,-0.63808,met,S-AdoMet_synt_N,
475,0.22841009,-0.22659,em,ATP-synt_ab,
476,0.62465435,0.08998,pm,AAA,
477,0.022304886,-1.00708,em,ATP-synt_ab,
478,8.25E-05,-1.17126,tr,DUF1630,
479,0.92419307,-0.01773,pm,AAA,
480,0.0091810395,1.40295,em,NifU_N,
481,0.37029962,0.11627,pm,Serpentine_recp,
482,0.18102406,-0.2418,unk,TPR_1,
483,0.025001643,0.12154,cs,CAP_N,
484,0.039436053,0.45542,cs,CAP_N,
485,0.10667457,-0.3247,extmat,Gal-bind_lectin,
486,0.61945769,0.16106,unk, ,
487,0.29593314,0.3338,nr,Glutenin_hmw,
488,0.0093212901,-0.31341,unk,ATG16,
489,0.0035607222,-1.26403,unk,CD47,
490,0.092195211,0.83535,met,Thioesterase,
491,0.47584432,0.09085,ps,GTP_EFTU,
492,0.0098275499,-0.64031,em,Cytochrom_C1,
493,0.012147977,0.66378,imm,Bap31,
494,0.00033645169,-1.03549,em,ATP-synt_DE_N,
495,0.020828475,-0.46251,pm,TatC,
496,0.011245708,-0.88093,unk,DUF1421,
497,0.075608063,0.44536,tm,Ribosomal_S17e,
498,0.00082257865,-1.37613,unk,TPMT,
499,0.18198759,0.50297,nr,RRM_1,
500,0.46034972,-0.14362,unk,Baculo_LEF5,
501,0.65565207,0.09948,unk,DUF1430,
502,0.079081652,0.25677,tm,Ribosomal_L31e,
503,0.068528063,1.22027,tr,Cation_ATPase_C,
504,0.011569127,-0.86467,unk,Cullin,
505,0.002456501,1.21367,tm,Ribosomal_L15e,
506,0.080046891,-0.41706,pm,FKBP_C,
507,0.0027376156,-1.02962,pm,FKBP_C,
508,0.0010112616,1.17683,tm,Ribosomal_L32e,
509,0.20255561,0.09696,em,vATP-synt_AC39,
510,0.25828727,-0.16192,unk,WD40,
511,0.054475579,0.27877,em,Complex1_LYR,
512,0.53447907,0.10075,unk,Sporozoite_P67,
513,0.01665258,-0.32684,unk,Tetraspannin,
514,0.0026560026,0.69138,unk,DUF290,
515,0.16913612,0.66587,tr,Clathrin,
516,0.0034065245,2.0687,unk,PIG-P,
517,0.88424815,0.02373,st,Pkinase,
518,0.52325876,-0.12888,unk,YMF19,
519,0.0065259924,1.55157,unk,Serpentine_recp,
520,0.022726645,-0.49774,st,IF-2B,
521,0.045562439,0.78213,pm,HSP90,
522,0.079052229,-0.66048,extmat,Collagen,
523,0.21758317,0.30051,unk,F-box,
524,0.044279804,-0.39714,met,Abhydrolase_1,
525,0.0014078123,-1.2143,nr,WD40,
526,0.11661252,0.27357,unk,CobW_C,
527,0.090751352,-0.37079,em,ETF_QO,
528,0.74973261,0.03555,em,DRIM,
529,0.84935513,0.03312,met,Glycolytic,
530,0.23895483,0.39557,tm,Helicase_C,
531,0.013173366,-0.59855,cs,Calponin,
532,0.13515122,-0.28367,st,7tm_4,
533,0.025566854,1.22763,unk,DUF290,
534,0.0064348093,-0.62073,cs,PMT,
535,0.11012745,-0.04934,tr,Sec62,
536,0.0048177137,0.74635,tf,PC4,
537,0.0050335872,1.06016,unk,Roughex,
538,0.045534055,0.93904,pm,HSP70,
539,0.00084547357,0.90745,met,AMP-binding,
540,0.030022814,0.68372,unk,YfhO,
541,0.059604191,0.64098,unk,Globin,
542,0.0023876839,0.76645,st, ,
543,0.11698239,-0.16596,tr,Zip,
544,0.7062742,0.03297,met,AMP-binding,
545,0.057186509,0.28185,nr,DUF1167,
546,0.0095253534,-0.31454,tr,Clathrin_lg_ch,
547,0.0069486198,-0.76843,unk,LuxE,
548,0.11535443,0.71446,pm,PCI,
549,0.010646438,-0.4104,tr,Gelsolin,
550,0.00030747319,1.94857,st,LIM,
551,0.025157546,0.82362,met,Thiolase_N,
552,0.023593159,-0.39575,unk,Ground-like,
553,0.15331619,-0.20954,extmat,Collagen,
554,0.028816781,-0.36826,met,ELFV_dehydrog_N,
555,0.95615281,-0.00808,cs,Ras,
556,0.0193289,0.31413,unk,VAR1,
557,0.031788703,0.78044,met,MIP,
558,0.0028699501,-1.47035,unk,7TMR-DISM_7TM,
559,0.0058386953,1.12637,unk,Sec1,
560,0.00071403524,-0.85351,tm,Ribosomal_L34e,
561,0.033886214,0.75096,tr,VPS28,
