Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Labels
Zhejiang.CHN/10.11/2/H1,Kj755982,2011-03-10,China,China,China,Jin Et Al,Unpublished,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,https://www.ncbi.nlm.nih.gov/nuccore/KJ755982,2011.19,Genbank,2011-03-10,Aa: C: L113s;
Guizhou.CHN/29.13/H1,Kt588921,2013-07-14,China,China,China,Zou Et Al,Unpublished,Unbiased Metagenomic Sequencing Facilitated Measles Virus Identification In A 1-month Infant With Unexplained Pneumonia,https://www.ncbi.nlm.nih.gov/nuccore/KT588921,2013.53,Genbank,2013-07-14,Aa: F: R81g D273n; H: I84v S285g G312r; P: T105a; V: T105a;
Venice.ITA/06.11/1/G3,Kc164758,2011-02-01,Europe,Italy,Italy,Franchin Et Al,Unpublished,Measles Virus In Veneto Region Italy,https://www.ncbi.nlm.nih.gov/nuccore/KC164758,2011.16,Genbank,2011-02-xx,Aa: C: A54t K84e Q90r S166y; F: T17a N92d; H: P18s T174a T176a R212q S240n F276l N481s H495n I559m; L: S83t S115l H619r S621n R639q V1569i A1747v G1841s I1916v I1930m L1942i D2072e K2119r; N: P62s I406t R439k A447p; P: S61n R79c E91g G143r A221t R355k I390l; V: S61n R79c E91g G143r A221t;
Amsterdam.NLD/49.97/G2,Mg912591,2013-01-01,Europe,Netherlands,Netherlands,Phan Et Al,Unpublished,Complete Genome Sequences Of Six Measles Virus Strains,https://www.ncbi.nlm.nih.gov/nuccore/MG912591,2013.00,Genbank,2013-xx-xx,Aa: C: M118t L175w; F: I38v H419y; H: I146v R195s G243r E303g K375r L393p; M: V59l V144i; L: V34i I62v F321v S322f D1446e F1865y T1890a S2010n I2060t H2106y I2121v I2130v; N: S142f P456h H466d S505p; P: C50r S133p K205r S238l G270e I282m V388i M422v D476e; V: C50r S133p K205r S238l G270e I282m;
Lyon.FRA/77,Hm562899,1977-01-01,Europe,France,France,Moulin Et Al,J. Med. Virol. 83  9  1614-1623  2011 ,Molecular Characterization Of Measles Virus Strains Causing Subactute Sclerosing Panencephalitis In France In 1977 And 2007,https://www.ncbi.nlm.nih.gov/nuccore/HM562899,1977.00,Genbank,1977-xx-xx,Aa: L: P420s K482r T542k N566t H619d A820p V1276m V1305i I1375m L1514w H1544n A1696s S1701g D1723n G1841d V1860m I2014v R2069g I2117v;
Bilthoven.NLD/1991/C2,Mg912589,1991-01-01,Europe,Netherlands,Netherlands,Phan Et Al,Unpublished,Complete Genome Sequences Of Six Measles Virus Strains,https://www.ncbi.nlm.nih.gov/nuccore/MG912589,1992.00,Genbank,1991-xx-xx,Aa: C: P41l; F: V101f; H: E303g L339f V367i N405h V421a V451e V562i R616s; M: T123i P202h I305v; L: V68i D122n I145t D317y S621n V637i D645n N649s R914q S1519f F1865y I1995v; N: A415s S425n N427s L432w R438m G470d; P: E30q T49a G56s G207r P215l P218l A280v M422i; V: E30q T49a G56s G207r P215l P218l A280v;
Gambia/1993,Ef565859,1993-01-01,Africa,Gambia,Gambia,Druelle Et Al,Virol. J. 5 22  2008 ,Wild Type Measles Virus Attenuation Independent Of Type I Ifn,https://www.ncbi.nlm.nih.gov/nuccore/EF565859,1993.00,Genbank,1993-xx-xx,Aa: L: V68i H82n R623k G1301s R1632k V2009i;
KS,Hm439386,1997-01-01,Africa,Sudan,Sudan,Lemon Et Al,Plos Pathog. 7  1  E1001263  2011 ,Early Target Cells Of Measles Virus After Aerosol Infection Of Non-human Primates,https://www.ncbi.nlm.nih.gov/nuccore/HM439386,1997.90,Genbank,1997-xx-xx,Aa: L: I928v;
Khartoum.SUD/34.97/B3,Mg912590,1997-01-01,Africa,Sudan,Sudan,Phan Et Al,Unpublished,Complete Genome Sequences Of Six Measles Virus Strains,https://www.ncbi.nlm.nih.gov/nuccore/MG912590,1997.90,Genbank,1997-xx-xx,unknown
New_Jersey.USA/45.05,Jn635408,2005-11-05,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635408,2005.84,Genbank,2005-11-05,Aa: L: I1900v;
Manchester.GBR/7.12/2/B3,Kt732214,2012-02-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732214,2012.08,Genbank,2012-02-xx,Aa: H: G211s T231s Q520r; L: D1446e; N: T46i;
Calais.FRA/01.16/B3,Kx838946,2016-01-01,Europe,France,France,Dina Et Al,Unpublished,Complete Genome Characterization Of A Wild-type Measles Virus Isolated From A Healthcare Worker During A 2016 Outbreak In A Refugee Settlement In France,https://www.ncbi.nlm.nih.gov/nuccore/KX838946,2016.00,Genbank,2016-01-01,Aa: C: R3k; F: A128s; H: A165t M222i N282d Q311r; M: S229n; L: N55t S115l E242d V609i V1125i G1195s N1745s V1857i M1903l; N: G448r; P: P26t L141f N222d G270e C275y V414i; V: P26t L141f N222d G270e C275y;
Manchester.GBR/31.13/B3,Kt732215,2013-07-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732215,2013.58,Genbank,2013-07-xx,Aa: F: K292r; M: E210d; L: S617p;
Dartford.GBR/2.14/B3,Kt732218,2014-01-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732218,2014.08,Genbank,2014-01-xx,Aa: C: E180k; H: F319l; P: G187e R479c; V: G187e;
London.GBR/41.13/B3,Kt732217,2013-10-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732217,2013.75,Genbank,2013-10-xx,unknown
NewcastleuponTyne.GBR/35.13/B3,Kt732216,2013-08-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732216,2013.66,Genbank,2013-08-xx,unknown
London.GBR/3.14/2/B3,Kt732220,2014-01-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732220,2014.08,Genbank,2014-01-xx,unknown
California.USA/08.14/3/B3,Ky969478,2014-02-19,North America,USA,USA,Espinosa Et Al,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969478,2014.13,Genbank,2014-02-19,Aa: H: I194v; L: E143g;
London.GBR/3.14/B3,Kt732219,2014-01-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732219,2014.00,Genbank,2014-01-xx,unknown
NewcastleuponTyne.GBR/9.14/B3,Kt732224,2014-02-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732224,2014.16,Genbank,2014-02-xx,unknown
London.GBR/3.14/3/B3,Kt732221,2014-01-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732221,2014.08,Genbank,2014-01-xx,Aa: M: E210g;
Luton.GBR/4.14/B3,Kt732222,2014-01-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732222,2014.00,Genbank,2014-01-xx,Aa: L: I596v P721s;
Alabama.USA/13.14/B3,Ky969481,2014-03-26,North America,USA,USA,Scott Et Al,Submitted  20-apr-2017  Wisconsin State Laboratory Of Hygiene University Of Wisconsin-madison 2601 Agriculture Dr. Madison Wi 53718 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969481,2014.23,Genbank,2014-03-26,unknown
London.GBR/4.14/2/B3,Kt732223,2014-01-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732223,2014.08,Genbank,2014-01-xx,Aa: L: A718s N1582d T1624a;
California.USA/05.14/B3,Ky969477,2014-01-29,North America,USA,USA,Espinosa Et Al,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969477,2014.08,Genbank,2014-01-29,unknown
Arizona.USA/11.08/2,Jn635406,2008-03-11,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635406,2008.19,Genbank,2008-03-11,Aa: H: V322i P486s;
Washington.USA/18.08/1,Jn635405,2008-01-01,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635405,2008.00,Genbank,2008-xx-xx,Aa: C: I92t; L: E368k V1700i; P: A35t; V: A35t;
California.USA/19.10/D9,Ky969476,2010-05-07,North America,USA,USA,Espinosa Et Al,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969476,2010.34,Genbank,2010-05-07,Aa: C: P14s D37g E91k G169d; F: L3f V14m N92t A105t; H: I65v Q152r R175s V220t N282h A400e K424t V451m E503g Q575k V608a; L: S39n N55t S102a L116m V120i F125l E143g I212m T622a N641d R794q R881k G905d T922s L1095s S1270t E1351k H1722y I1732v G1744v S1745g A1753v H1936y L1998t S2010r Q2135r; N: D135g R143g I320l R516k; P: A21v R98k L135p D138y N202s S219i Q253h C254y R256l P259l P265l G270e N271s S277n I488v; V: A21v R98k L135p D138y N202s S219i Q253h C254y R256l P259l P265l G270e N271s S277n;
T11,Ab481088,1989-01-01,Japan Korea,Japan,Japan,Okada Et Al,J. Virol. 83  17  8713-8721  2009 ,Previously Unrecognized Amino Acid Substitutions In The Hemagglutinin And Fusion Proteins Of Measles Virus Modulate Cell-cell Fusion Hemadsorption Virus Growth And Penetration Rate,https://www.ncbi.nlm.nih.gov/nuccore/AB481088,1990.00,Genbank,1989-xx-xx,Aa: F: D439e G464w; H: Q334r N481y H495r Q575k; L: L204f L431i V1698a K1727e N1887t I2130v; N: S443g R516g; P: I155l E186k R235k; V: I155l E186k R235k;
California.USA/8.04,Jn635409,2004-02-19,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635409,2004.13,Genbank,2004-02-19,Aa: F: I10v K523r; H: V562f R610q; L: V171i D317e Y613f I1551v H1552y N1969d D2054n H2106y; P: D266n; V: D266n;
Tokyo.JPN/37.99_Y___MV99Y_,Gq376026,1999-01-01,Japan Korea,Japan,Japan,Dong Et Al,Virus Genes 39  3  330-334  2009 ,Adaptation Of Wild-type Measles Virus To Cotton Rat Lung Cells  E89k Mutation In Matrix Protein Contributes To Its Fitness,https://www.ncbi.nlm.nih.gov/nuccore/GQ376026,1999.48,Genbank,1999-xx-xx,unknown
Tokyo.JPN/37.99_Y_C7__MV99YC7_,Gq376027,1999-01-01,Japan Korea,Japan,Japan,Dong Et Al,Virus Genes 39  3  330-334  2009 ,Adaptation Of Wild-type Measles Virus To Cotton Rat Lung Cells  E89k Mutation In Matrix Protein Contributes To Its Fitness,https://www.ncbi.nlm.nih.gov/nuccore/GQ376027,1999.94,Genbank,1999-xx-xx,Aa: M: E89k;
Florida.USA/19.09,Jn635403,2009-05-07,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635403,2009.34,Genbank,2009-05-07,Aa: H: A400t; L: I179v; N: R452k;
Treviso.ITA/03.10/1/D4,Kc164757,2010-01-01,Europe,Italy,Italy,Franchin Et Al,Unpublished,Measles Virus In Veneto Region Italy,https://www.ncbi.nlm.nih.gov/nuccore/KC164757,2010.08,Genbank,2010-01-xx,Aa: C: P14l; F: H419y; L: H719r; P: L60f G219s D233n; V: L60f G219s D233n;
New_York.USA/26.09/3,Jn635402,2009-06-25,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635402,2009.48,Genbank,2009-06-25,Aa: L: K100r;
Paris.FRA/18.11/D4,Mf449469,2011-05-03,Europe,France,France,Mura Et Al,J. Virol.  2017  In Press,Non-encapsidated 5  Copy-back Defective-interfering Genomes Produced By Recombinant Measles Viruses Are Recognized By Rig-i And Lgp2 But Not Mda5,https://www.ncbi.nlm.nih.gov/nuccore/MF449469,2011.33,Genbank,2011-05-03,unknown
Amsterdam.NLD/19.11/D4,Mg912593,2011-01-01,Europe,Netherlands,Netherlands,Phan Et Al,Unpublished,Complete Genome Sequences Of Six Measles Virus Strains,https://www.ncbi.nlm.nih.gov/nuccore/MG912593,2011.54,Genbank,2011-xx-xx,unknown
London.GBR/19.11/5/D4,Kt732225,2011-05-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732225,2011.33,Genbank,2011-05-xx,Aa: H: N238t F276l; L: I1891t;
London.GBR/20.11/2/D4,Kt732226,2011-05-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732226,2011.41,Genbank,2011-05-xx,Aa: L: G2112v;
California.USA/47.13/D4,Ky969479,2013-11-19,North America,USA,USA,Espinosa Et Al,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969479,2013.88,Genbank,2013-11-19,Aa: F: G23c; H: V415a; M: L294s; L: T365a S1932y; P: A459v;
Brighton.GBR/49.11/D4,Kt732227,2011-12-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732227,2011.91,Genbank,2011-12-xx,Aa: L: E628g;
Brighton.GBR/12.12/7/D4,Kt732228,2011-03-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732228,2011.24,Genbank,2011-03-xx,unknown
London.GBR/20.12/D4,Kt732229,2012-05-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732229,2012.33,Genbank,2012-05-xx,unknown
California.USA/16.12/D4,Ky656518,2012-04-15,North America,USA,USA,Espinosa Et Al,Submitted  24-feb-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY656518,2012.29,Genbank,2012-04-15,unknown
California.USA/16.03,Jn635410,2003-04-16,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635410,2003.29,Genbank,2003-04-16,Aa: C: D5g R47k; F: G2d L504i; H: R195k I308v E492k; M: L178i; L: S39n F57y V194a E368d S610p T612p N624s A628e P635s H636r A970s D1037n K1203r S1254n I1663t D1724n A1747t E2043d D2072e I2130t; N: E426g N427s K435r R441g P485l; P: K62e S104g M175l T209i N217s S238l I243t E274g I293t D305e D314e T423a M446v K489r; V: K62e S104g M175l T209i N217s S238l I243t E274g I293t;
Vicenza.ITA/12.10/2/D8,Kc117298,2010-03-26,Europe,Italy,Italy,Franchin Et Al,Unpublished,Measles Virus In Veneto Region Italy,https://www.ncbi.nlm.nih.gov/nuccore/KC117298,2010.23,Genbank,2010-03-26,Aa: C: P21q E91a Q96r L172p; F: G2v S107r; H: V37a A159t G316d V412i K445r K477r D574e H593q; M: P67l; L: V1698a A1747t C1777s K1909r S1931n; N: A409s L473i P485l; P: P76s I95v R98s N424s; V: P76s I95v R98s;
Virginia.USA/15.09,Jn635404,2009-04-09,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635404,2009.27,Genbank,2009-04-09,Aa: H: R34k M251i E535d D612g; L: R1167q I1913v;
London.GBR/22.12/3/D8,Kt732231,2012-05-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732231,2012.33,Genbank,2012-05-xx,Aa: L: I918v M973i A1726v V1875m; N: I20t S144f; P: E72k G74s A171t L281p R296g; V: E72k G74s A171t L281p R296g;
California.USA/49.10/D8,Ky969480,2010-12-03,North America,USA,USA,Espinosa Et Al,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969480,2010.92,Genbank,2010-12-03,Aa: H: D283g; L: Q2122k; N: Q442k L459s L473p; P: P218l V276a A323t; V: P218l V276a;
Texas.USA/4.07,Jn635407,2007-01-01,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635407,2008.00,Genbank,2007-xx-xx,Aa: L: S621g D641g; N: I237v;
London.GBR/28.12/D8,Kt732232,2012-07-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732232,2012.58,Genbank,2012-07-xx,Aa: P: S103p; V: S103p;
Muenchen.DEU/19.13/D8,Kj410048,2013-05-10,Europe,Germany,Germany,Sparrer Et Al,Genome Announc 2  2  E00157-14  2014 ,Complete Genome Sequence Of A Wild-type Measles Virus Isolated During The Spring 2013 Epidemic In Germany,https://www.ncbi.nlm.nih.gov/nuccore/KJ410048,2013.35,Genbank,2013-05-10,unknown
DongThap.VNM/08.14/D8,Ku728743,2014-08-29,Southeast Asia,Vietnam,Vietnam,Oude Munnink Et Al,Genome Announc 4  2   2016 ,Complete Genome Characterization Of Two Wild-type Measles Viruses From Vietnamese Infants During The 2014 Outbreak,https://www.ncbi.nlm.nih.gov/nuccore/KU728743,2014.66,Genbank,2014-08-29,Aa: H: P408l; L: R1172q;
DongThap.VNM/06.14/D8,Ku728742,2014-06-25,Southeast Asia,Vietnam,Vietnam,Oude Munnink Et Al,Genome Announc 4  2   2016 ,Complete Genome Characterization Of Two Wild-type Measles Viruses From Vietnamese Infants During The 2014 Outbreak,https://www.ncbi.nlm.nih.gov/nuccore/KU728742,2014.48,Genbank,2014-06-25,unknown
BritishColumbia.CAN/13.10/1/D8,Kj018971,2010-03-31,North America,Canada,Canada,Gardy Et Al,J. Infect. Dis.  2015  In Press,Whole-genome Sequencing Of Measles Virus Genotypes H1 And D8 During Outbreaks Of Infection Following The 2010 Olympic Winter Games Reveals Viral Transmission Routes,https://www.ncbi.nlm.nih.gov/nuccore/KJ018971,2010.24,Genbank,2010-03-31,Aa: F: E72g;
Llandudno.GBR/7.12/2/D8,Kt732230,2012-02-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732230,2012.08,Genbank,2012-02-xx,Aa: H: S211n A359d; L: D641n; P: S460p;
Hull.GBR/47.12/D8,Kt732240,2012-11-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732240,2012.84,Genbank,2012-11-xx,unknown
Derby.GBR/47.12/D8,Kt732241,2012-11-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732241,2012.91,Genbank,2012-11-xx,Aa: F: I467v; H: T372a; L: S2076n;
Sheffield.GBR/32.12/3/D8,Kt732234,2012-08-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732234,2012.67,Genbank,2012-08-xx,Aa: C: D155g;
Sheffield.GBR/32.12/D8,Kt732233,2012-08-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732233,2012.67,Genbank,2012-08-xx,unknown
Gloucester.GBR/46.12/D8,Kt732237,2012-11-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732237,2012.88,Genbank,2012-11-xx,unknown
