Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Muv Genotype,Labels
Ohio.USA/13.14/10/G,Broad Sequence 59,2014-03-30,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.24,Broad,2014-03-30,G,Aa: I: G104d; P: G104d; V: G104d;
Ohio.USA/13.14/6/G,Broad Sequence 56,2014-03-26,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.23,Broad,2014-03-26,G,unknown
Ohio.USA/12.14/9/G,Broad Sequence 58,2014-03-21,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.22,Broad,2014-03-21,G,unknown
Michigan.USA/12.14/G,Broad Sequence 48,2014-03-20,North America,USA,Michigan,Wohl Et Al,?,Unpublished,?,2014.21,Broad,2014-03-20,G,unknown
Ohio.USA/16.14/2/G,Broad Sequence 61,2014-04-15,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.28,Broad,2014-04-15,G,unknown
Ohio.USA/16.14/1/G,Broad Sequence 60,2014-04-15,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.28,Broad,2014-04-15,G,unknown
Ohio.USA/13.14/7/G,Broad Sequence 57,2014-03-25,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.23,Broad,2014-03-25,G,unknown
Ohio.USA/11.14/2/G,Broad Sequence 55,2014-03-16,North America,USA,Ohio,Wohl Et Al,?,Unpublished,?,2014.20,Broad,2014-03-16,G,unknown
Ontario.CAN/38.09/2/G,Ky680537,2009-09-17,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680537,2009.71,Genbank,2009-09-17,?,unknown
Ontario.CAN/40.09/1/G,Ky680538,2009-09-28,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680538,2009.74,Genbank,2009-09-28,?,unknown
New_York.USA/53.09/3,Jx287387,2010-01-07,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287387,2010.02,Genbank,2010-01-07,?,unknown
New_York.USA/40.09/1,Jx287390,2009-09-21,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287390,2009.72,Genbank,2009-09-21,?,Aa: L: V1408i;
Ontario.CAN/37.09/G,Ky006856,2009-09-13,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,A Review Of Laboratory Testing During A Mumps Outbreak In Ontario Canada,https://www.ncbi.nlm.nih.gov/nuccore/KY006856,2009.70,Genbank,2009-09-13,?,unknown
BritishColumbia.CAN/14.11/2/G,Bccdc26,2011-04-03,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2011.25,Bccdc,2011-04-03,G,Aa: F: T280a; I: Q7*; L: M242i L508r K569r F699l A1147s Y1237c E1264* D2246a; P: Q7*; Hn: S490g; V: Q7*;
Massachusetts.USA/26.15/1/G,Mf965222,2015-07-04,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965222,2015.50,Genbank,2015-07-04,G,Aa: Hn: F370l;
NewJersey.USA/49.14/G,Broad Sequence 50,2014-12-06,North America,USA,New Jersey,Wohl Et Al,?,Unpublished,?,2014.93,Broad,2014-12-06,G,unknown
Virginia.USA/51.14/G,Broad Sequence 63,2014-12-19,North America,USA,Virginia,Wohl Et Al,?,Unpublished,?,2014.96,Broad,2014-12-19,G,unknown
Pennsylvania.USA/51.14/G,Broad Sequence 62,2014-12-16,North America,USA,Pennsylvania,Wohl Et Al,?,Unpublished,?,2014.96,Broad,2014-12-16,G,unknown
NewYork.USA/51.14/G,Broad Sequence 54,2014-12-16,North America,USA,New York,Wohl Et Al,?,Unpublished,?,2014.96,Broad,2014-12-16,G,unknown
BritishColumbia.CAN/28.16/6/G,Bccdc100,2016-07-14,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.53,Bccdc,2016-07-14,G,Aa: L: I90m A852t C894y;
BritishColumbia.CAN/29.16/5/G,Bccdc90,2016-07-22,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.56,Bccdc,2016-07-22,G,unknown
BritishColumbia.CAN/26.16/1/G,Bccdc85,2016-06-27,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.49,Bccdc,2016-06-27,G,Aa: L: I1129m;
BritishColumbia.CAN/36.16/G,Bccdc101,2016-09-07,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.68,Bccdc,2016-09-07,G,Aa: L: S721* G747c R883s;
BritishColumbia.CAN/25.16/5/G,Bccdc48,2016-06-22,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.47,Bccdc,2016-06-22,G,unknown
BritishColumbia.CAN/21.16/6/G,Bccdc34,2016-05-25,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.40,Bccdc,2016-05-25,G,Aa: L: L2192m;
BritishColumbia.CAN/21.16/2/G,Bccdc33,2016-05-23,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.39,Bccdc,2016-05-23,G,unknown
BritishColumbia.CAN/28.16/4/G,Bccdc68,2016-07-13,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.53,Bccdc,2016-07-13,G,Aa: L: C664s S806r Q851h E1029*;
BritishColumbia.CAN/18.16/G,Bccdc30,2016-05-04,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.34,Bccdc,2016-05-04,G,unknown
BritishColumbia.CAN/20.16/1/G,Bccdc71,2016-05-22,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.39,Bccdc,2016-05-22,G,unknown
BritishColumbia.CAN/33.16/2/G,Bccdc91,2016-08-18,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.63,Bccdc,2016-08-18,G,Aa: F: A136v;
BritishColumbia.CAN/19.16/3/G,Bccdc83,2016-05-10,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.36,Bccdc,2016-05-10,G,unknown
BritishColumbia.CAN/27.16/4/G,Bccdc58,2016-07-06,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.51,Bccdc,2016-07-06,G,unknown
BritishColumbia.CAN/18.16/3/G,Bccdc81,2016-05-09,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.35,Bccdc,2016-05-09,G,unknown
BritishColumbia.CAN/19.16/2/G,Bccdc82,2016-05-10,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.36,Bccdc,2016-05-10,G,Aa: P: A333t;
BritishColumbia.CAN/22.16/2/G,Bccdc72,2016-05-31,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.41,Bccdc,2016-05-31,G,unknown
BritishColumbia.CAN/24.16/2/G,Bccdc19,2016-06-13,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-13,G,Aa: F: S318g; L: T786s;
BritishColumbia.CAN/21.16/4/G,Bccdc53,2016-05-25,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.40,Bccdc,2016-05-25,G,Aa: I: A76v; P: A76v; V: A76v;
BritishColumbia.CAN/23.16/1/G,Bccdc73,2016-06-06,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.43,Bccdc,2016-06-06,G,unknown
BritishColumbia.CAN/19.16/1/G,Bccdc70,2016-05-10,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.36,Bccdc,2016-05-10,G,unknown
BritishColumbia.CAN/19.16/5/G,Bccdc32,2016-05-10,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.36,Bccdc,2016-05-10,G,unknown
BritishColumbia.CAN/18.16/2/G,Bccdc52,2016-05-07,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.35,Bccdc,2016-05-07,G,unknown
BritishColumbia.CAN/18.16/4/G,Bccdc31,2016-05-08,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.35,Bccdc,2016-05-08,G,unknown
BritishColumbia.CAN/34.16/3/G,Bccdc106,2016-08-28,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.66,Bccdc,2016-08-28,G,Aa: L: I1968v;
BritishColumbia.CAN/29.16/3/G,Bccdc105,2016-07-22,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.56,Bccdc,2016-07-22,G,unknown
BritishColumbia.CAN/24.16/3/G,Bccdc55,2016-06-14,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-14,G,unknown
BritishColumbia.CAN/27.16/3/G,Bccdc57,2016-07-07,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.51,Bccdc,2016-07-07,G,unknown
BritishColumbia.CAN/28.16/1/G,Bccdc94,2016-07-11,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.53,Bccdc,2016-07-11,G,unknown
BritishColumbia.CAN/25.16/3/G,Bccdc102,2016-06-20,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.47,Bccdc,2016-06-20,G,Aa: Hn: M58k;
BritishColumbia.CAN/16.16/4/G,Bccdc25,2016-04-21,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.30,Bccdc,2016-04-21,G,unknown
BritishColumbia.CAN/27.16/7/G,Bccdc93,2016-07-09,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.52,Bccdc,2016-07-09,G,unknown
BritishColumbia.CAN/17.16/G,Bccdc10,2016-04-29,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.33,Bccdc,2016-04-29,G,unknown
BritishColumbia.CAN/28.16/5/G,Bccdc89,2016-07-13,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.53,Bccdc,2016-07-13,G,unknown
BritishColumbia.CAN/26.16/5/G,Bccdc99,2016-06-30,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.50,Bccdc,2016-06-30,G,unknown
BritishColumbia.CAN/27.16/?/?,Bccdc65,2016-07-07,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.51,Bccdc,2016-07-07,?,unknown
BritishColumbia.CAN/29.16/4/G,Bccdc103,2016-07-24,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.56,Bccdc,2016-07-24,G,unknown
BritishColumbia.CAN/24.16/5/G,Bccdc64,2016-06-14,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-14,G,Aa: L: S764p E2240g;
BritishColumbia.CAN/23.16/2/G,Bccdc80,2016-06-12,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-12,G,unknown
BritishColumbia.CAN/24.16/1/G,Bccdc69,2016-06-13,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-13,G,Aa: F: I273v;
BritishColumbia.CAN/31.16/4/G,Bccdc59,2016-08-04,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.59,Bccdc,2016-08-04,G,unknown
BritishColumbia.CAN/29.16/6/G,Bccdc40,2016-07-21,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.55,Bccdc,2016-07-21,G,unknown
BritishColumbia.CAN/13.16/G,Bccdc15,2016-04-01,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.25,Bccdc,2016-04-01,G,Aa: L: L849s;
BritishColumbia.CAN/42.16/G,Bccdc60,2016-10-17,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.79,Bccdc,2016-10-17,G,unknown
BritishColumbia.CAN/24.16/7/G,Bccdc56,2016-06-15,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-15,G,Aa: M: P9s;
BritishColumbia.CAN/24.16/4/G,Bccdc38,2016-06-15,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-15,G,Aa: P: G276e;
BritishColumbia.CAN/21.16/3/G,Bccdc84,2016-05-24,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.39,Bccdc,2016-05-24,G,unknown
BritishColumbia.CAN/30.16/2/G,Bccdc4,2016-07-31,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.58,Bccdc,2016-07-31,G,unknown
BritishColumbia.CAN/30.16/3/G,Bccdc8,2016-07-27,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.57,Bccdc,2016-07-27,G,unknown
BritishColumbia.CAN/31.16/2/G,Bccdc95,2016-08-04,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.59,Bccdc,2016-08-04,G,unknown
BritishColumbia.CAN/31.16/1/G,Bccdc17,2016-08-02,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.59,Bccdc,2016-08-02,G,unknown
BritishColumbia.CAN/30.16/1/G,Bccdc16,2016-07-31,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.58,Bccdc,2016-07-31,G,unknown
Illinois.USA/26.15/2/G,Broad Sequence 64,2015-06-24,North America,USA,Illinois,Wohl Et Al,?,Unpublished,?,2015.48,Broad,2015-06-24,G,unknown
Massachusetts.USA/12.16/5/G,Mf965290,2016-03-22,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965290,2016.22,Genbank,2016-03-22,G,Aa: M: A23t;
Texas.USA/27.17/G,Broad Sequence 85,2017-07-03,North America,USA,Texas,Wohl Et Al,?,Unpublished,?,2017.50,Broad,2017-07-03,G,Aa: L: Q486r A2246d;
Louisiana.USA/29.17/G,Broad Sequence 86,2017-07-21,North America,USA,Louisiana,Wohl Et Al,?,Unpublished,?,2017.55,Broad,2017-07-21,G,Aa: F: S298g; L: R2244h;
Michigan.USA/4.16/G,Broad Sequence 65,2016-01-26,North America,USA,Michigan,Wohl Et Al,?,Unpublished,?,2016.07,Broad,2016-01-26,G,unknown
Massachusetts.USA/21.16/1/G,Mf965260,2016-05-24,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965260,2016.39,Genbank,2016-05-24,G,unknown
BritishColumbia.CAN/8.17/3/G,Bccdc35,2017-02-22,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2017.14,Bccdc,2017-02-22,G,Aa: L: E1264*; P: S258c;
Massachusetts.USA/45.16/5/G,Mf965300,2016-11-13,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965300,2016.87,Genbank,2016-11-13,G,unknown
Massachusetts.USA/45.16/7/G,Mf965271,2016-11-15,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965271,2016.87,Genbank,2016-11-15,G,unknown
Texas.USA/15.17/G,Broad Sequence 78,2017-04-13,North America,USA,Texas,Wohl Et Al,?,Unpublished,?,2017.28,Broad,2017-04-13,G,Aa: F: I376v; Nc: P420t; L: I695m; P: A288g;
Texas.USA/18.17/G,Broad Sequence 84,2017-05-05,North America,USA,Texas,Wohl Et Al,?,Unpublished,?,2017.34,Broad,2017-05-05,G,unknown
Massachusetts.USA/46.16/4/G,Mf965217,2016-11-15,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965217,2016.87,Genbank,2016-11-15,G,unknown
Massachusetts.USA/46.16/2/G,Mf965212,2016-11-14,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965212,2016.87,Genbank,2016-11-14,G,unknown
Pennsylvania.USA/19.16/G,Broad Sequence 69,2016-05-10,North America,USA,Pennsylvania,Wohl Et Al,?,Unpublished,?,2016.36,Broad,2016-05-10,G,Aa: Nc: V316l; L: I455t; Hn: Q354k;
Massachusetts.USA/19.16/6/G,Mf965315,2016-05-09,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965315,2016.35,Genbank,2016-05-09,G,unknown
Massachusetts.USA/16.16/12/G,Mf965258,2016-04-21,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965258,2016.30,Genbank,2016-04-21,G,unknown
Massachusetts.USA/10.16/10/G,Mf965219,2016-03-12,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965219,2016.19,Genbank,2016-03-12,G,Aa: F: T412m; L: H426n P696h; Sh: L14s I22t;
Massachusetts.USA/11.16/6/G,Mf965281,2016-03-22,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965281,2016.22,Genbank,2016-03-22,G,unknown
Massachusetts.USA/14.16/3/G,Mf965297,2016-04-12,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965297,2016.28,Genbank,2016-04-12,G,Aa: F: K74r;
Massachusetts.USA/11.16/2/G,Mf965220,2016-03-15,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965220,2016.20,Genbank,2016-03-15,G,unknown
Massachusetts.USA/10.16/14/G,Mf965248,2016-03-15,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965248,2016.20,Genbank,2016-03-15,G,unknown
NewHampshire.USA/8.16/1/G,Broad Sequence 67,2016-02-25,North America,USA,New Hampshire,Wohl Et Al,?,Unpublished,?,2016.15,Broad,2016-02-25,G,unknown
Massachusetts.USA/13.16/3/G,Mf965292,2016-03-31,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965292,2016.25,Genbank,2016-03-31,G,Aa: Nc: L368i;
Massachusetts.USA/9.16/3/G,Mf965286,2016-03-05,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965286,2016.18,Genbank,2016-03-05,G,unknown
Massachusetts.USA/11.16/1/G,Mf965215,2016-03-14,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965215,2016.20,Genbank,2016-03-14,G,unknown
Massachusetts.USA/9.16/2/G,Mf965302,2016-03-06,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965302,2016.18,Genbank,2016-03-06,G,unknown
Massachusetts.USA/13.16/2/G,Mf965267,2016-03-30,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965267,2016.24,Genbank,2016-03-30,G,unknown
Massachusetts.USA/12.16/1/G,Mf965287,2016-03-23,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965287,2016.22,Genbank,2016-03-23,G,unknown
Massachusetts.USA/10.16/6/G,Mf965205,2016-03-09,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965205,2016.19,Genbank,2016-03-09,G,unknown
Springdale_730/2016/G,Ky996510,2016-01-01,North America,USA,Arkansas,Wongsurawat Et Al,Unpublished,Three Complete Genome Sequences Of Genotype G Mumps Virus From The 2016 Outbreak In Arkansas Usa,https://www.ncbi.nlm.nih.gov/nuccore/KY996510,2017.00,Genbank,2016-xx-xx,?,Aa: Hn: N441t;
Springdale_745/2016/G,Ky996511,2016-01-01,North America,USA,Arkansas,Wongsurawat Et Al,Unpublished,Three Complete Genome Sequences Of Genotype G Mumps Virus From The 2016 Outbreak In Arkansas Usa,https://www.ncbi.nlm.nih.gov/nuccore/KY996511,2016.46,Genbank,2016-xx-xx,?,Aa: Hn: V125i;
Springdale_754/2016/G,Ky996512,2016-01-01,North America,USA,Arkansas,Wongsurawat Et Al,Unpublished,Three Complete Genome Sequences Of Genotype G Mumps Virus From The 2016 Outbreak In Arkansas Usa,https://www.ncbi.nlm.nih.gov/nuccore/KY996512,2016.85,Genbank,2016-xx-xx,?,Aa: M: N22s; P: I369t;
Kansas.USA/8.17/4/G,Broad Sequence 74,2017-02-23,North America,USA,Kansas,Wohl Et Al,?,Unpublished,?,2017.15,Broad,2017-02-23,G,Aa: L: I324v;
Washington.USA/2017195/6.17/3/G,Washington Outbreak 22,2017-02-15,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.12,Fh,2017-02-15,G,Aa: Sh: R46g; Hn: S121n L388f;
Washington.USA/2017013/49.16/3/G,Washington Outbreak 1,2016-12-07,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2016.93,Fh,2016-12-07,G,unknown
BritishColumbia.CAN/18.17/2/G,Bccdc3,2017-05-05,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2017.34,Bccdc,2017-05-05,G,Aa: F: I106v I479v; I: K142r; L: F810s E1264*; P: K142r; V: K142r;
Washington.USA/2017025/50.16/3/G,Washington Outbreak 3,2016-12-12,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2016.95,Fh,2016-12-12,G,unknown
Washington.USA/2017147/4.17/5/G,Washington Outbreak 15,2017-01-30,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.08,Fh,2017-01-30,G,Aa: Nc: A11v;
Washington.USA/2017067/1.17/8/G,Washington Outbreak 7,2017-01-06,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.01,Fh,2017-01-06,G,unknown
Washington.USA/2017178/5.17/2/G,Washington Outbreak 19,2017-02-08,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.10,Fh,2017-02-08,G,unknown
Washington.USA/2017177/5.17/4/G,Washington Outbreak 18,2017-02-08,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.10,Fh,2017-02-08,G,unknown
Washington.USA/2017059/52.17/G,Washington Outbreak 5,2017-01-03,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.01,Fh,2017-01-03,G,unknown
Washington.USA/2017174/5.17/G,Washington Outbreak 17,2017-02-04,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.09,Fh,2017-02-04,G,unknown
Washington.USA/2017088/1.17/4/G,Washington Outbreak 9,2017-01-12,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.03,Fh,2017-01-12,G,unknown
Washington.USA/2017023/49.16/G,Washington Outbreak 2,2016-12-13,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2016.95,Fh,2016-12-13,G,unknown
Washington.USA/2017304/15.17/G,Washington Outbreak 27,2017-04-13,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.28,Fh,2017-04-13,G,unknown
