,Country,Milk - Excluding Butter,Oilcrops,Eggs,Starchy Roots,Meat,Vegetables,Fruits - Excluding Wine,"Aquatic Products, Other",Treenuts,Spices,Pulses,Alcoholic Beverages,Cereals - Excluding Beer,Animal fats,Vegetable Oils,Offals,Sugar & Sweeteners,"Fish, Seafood",Stimulants,Obesity,total_cases_per_million,total_deaths_per_million,life_expectancy,human_development_index,population_density,median_age,gdp_per_capita,cardiovasc_death_rate,Alcoholic Beverages above avg,Vegetables above avg,Obesity above avg,id,iso_a3
16,Lithuania,350.67,1.86,15.01,48.82,81.27,94.45,51.48,0.02,1.18,1.17,9.41,118.84,138.81,11.4,10.56,2.79,96.54,33.09,4.64,28.4,76645.00200000001,1272.458,75.93,0.882,45.135,43.5,29524.265,342.98900000000003,1,0,1,LTU,LTU
17,Luxembourg,148.25,3.28,15.58,43.66,80.07,96.03,88.72,0.1,0.61,1.16,0.79,159.98,101.63,10.77,11.14,2.05,160.5,32.15,25.37,24.2,94180.927,1140.619,82.25,0.9159999999999999,231.447,39.7,94277.965,128.275,1,0,0,LUX,LUX
18,Malta,111.33,5.16,11.95,36.65,82.05,200.88,82.43,0.03,2.2,0.59,3.91,69.51,140.61,3.67,8.65,1.33,92.85,31.9,3.74,31.0,63197.135,835.7130000000001,82.53,0.895,1454.037,42.4,36513.323,168.71099999999998,0,1,1,MLT,MLT
19,Netherlands,340.35,2.1,14.12,80.6,75.81,61.6,93.06,0.21,3.0,1.21,1.61,82.99,93.92,6.32,16.04,0.75,44.32,21.77,5.49,23.1,70700.67,956.821,82.28,0.9440000000000001,508.54400000000004,43.2,48472.545,109.361,0,0,0,NLD,NLD
20,Poland,178.39,1.46,6.77,101.74,88.7,125.56,55.01,0.0,0.87,0.37,2.01,124.73,144.54,18.0,7.24,0.31,45.31,10.69,2.76,25.6,53814.602,1298.901,78.73,0.88,124.027,41.8,27216.445,227.331,1,1,1,POL,POL
21,Portugal,216.44,2.01,8.44,64.68,94.06,152.78,135.62,0.01,4.83,0.36,3.37,98.18,131.16,8.49,15.09,4.33,36.06,56.84,5.59,23.2,80131.75200000001,1643.864,82.05,0.8640000000000001,112.37100000000001,46.2,27936.896,127.84200000000001,0,1,0,PRT,PRT
22,Romania,238.92,2.04,14.35,98.76,63.91,196.22,88.25,0.0,2.29,2.67,2.19,99.91,168.5,7.28,15.3,3.34,29.6,5.96,2.93,24.5,46411.413,1150.45,76.05,0.828,85.12899999999999,43.0,23313.199,370.94599999999997,0,1,0,ROU,ROU
23,Slovakia,157.93,2.83,12.93,50.69,59.34,62.79,48.83,0.0,1.54,0.58,1.34,84.36,74.39,18.67,19.8,2.83,75.96,9.7,3.46,22.4,63730.174000000006,1644.43,77.54,0.86,113.12799999999999,41.2,30155.152000000002,287.959,0,0,0,SVK,SVK
24,Slovenia,225.02,2.36,9.87,49.27,76.39,91.83,118.17,0.01,3.62,1.03,2.03,91.67,140.16,20.65,8.7,3.45,45.74,11.96,4.8,22.5,98853.161,1908.191,81.32,0.917,102.619,44.5,31400.84,153.493,0,0,0,SVN,SVN
25,Spain,180.02,4.97,13.73,58.09,100.25,146.54,90.64,0.02,8.04,0.13,5.0,99.68,113.55,4.42,28.36,3.01,34.66,42.47,4.18,27.1,68705.955,1559.4129999999998,83.56,0.904,93.105,45.5,34272.36,99.40299999999999,0,1,1,ESP,ESP
26,Sweden,304.12,3.18,13.5,52.66,77.06,85.67,65.78,0.0,1.85,0.9,1.74,82.18,115.05,19.4,7.37,0.16,46.84,32.81,10.28,22.1,73695.62400000001,1313.164,82.8,0.945,24.718000000000004,41.0,46949.282999999996,133.982,0,0,0,SWE,SWE
