,0,1,2,3,4,5,6,7,8,9,10,11,topic_id,topic_txt,topics,title,filename,x,y,citations,journal,pub_date,authors,cited_by,n_cites
25,0.0,0.20926885306835166,0.0,0.14199373126029968,0.0,0.0,0.0,0.4030083417892456,0.0,0.0869254395365715,0.15193918347358704,0.0,7,protein; bind; cell; domain; receptor; activity; membrane; peptide; structure; fusion,Topic: 7,"noa36 protein contains a highly conserved nucleolar localization signal capable of directing functional proteins to the nucleolus, in mammalian cells",df783d511b145a10e7f609a87392eb50799d2b2b.json,-7.571962400000001,-17.317907,,PLoS One,2013-03-13,"de Melo, Ivan S.; Jimenez-Nuñez, Maria D.; Iglesias, Concepción; Campos-Caro, Antonio; Moreno-Sanchez, David; Ruiz, Felix A.; Bolívar, Jorge",2795,1
27,0.0,0.0,0.03166286274790764,0.09234976023435593,0.4815277457237244,0.0,0.05760926753282548,0.10638388246297836,0.0,0.13804253935813904,0.053006995469331734,0.03725336119532585,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,expression of hiv-1 antigens in plants as potential subunit vaccines,1b7c700ee3a33c0a675a5f7e71a20ce62467b900.json,-5.342537999999999,3.344264,,BMC Biotechnol,2008-06-23,"Meyers, Ann; Chakauya, Ereck; Shephard, Enid; Tanzer, Fiona L; Maclean, James; Lynch, Alisson; Williamson, Anna-Lise; Rybicki, Edward P","1788,2943,4694",3
28,0.13274773955345154,0.0,0.24465519189834595,0.0,0.2110731303691864,0.0,0.04176700860261917,0.0,0.0,0.3612950146198273,0.0,0.0,9,base; drug; high; system; approach; develop; use; activity; dna; hcv,Topic: 9,design and validation with influenza a virus of an aerosol transmission chamber for ferrets,5eb20deb48c231973cf0a796ca1c6898cbf2d07d.json,-0.8684459999999999,-1.8571779999999998,,Int J Environ Res Public Health,2019-02-19,"Turgeon, Nathalie; Hamelin, Marie-Ève; Verreault, Daniel; Lévesque, Ariane; Rhéaume, Chantal; Carbonneau, Julie; Checkmahomed, Liva; Girard, Matthieu; Boivin, Guy; Duchaine, Caroline",3071,1
31,0.0,0.1660040318965912,0.0,0.0,0.0,0.0,0.0,0.6095536351203918,0.11521293967962265,0.10077740997076036,0.0,0.0,7,protein; bind; cell; domain; receptor; activity; membrane; peptide; structure; fusion,Topic: 7,dual host-virus arms races shape an essential housekeeping protein,dca48fcd1b8a28f470494d64ea3811707e28766b.json,-12.211333999999999,-19.813843,4708,PLoS Biol,2013-05-28,"Demogines, Ann; Abraham, Jonathan; Choe, Hyeryun; Farzan, Michael; Sawyer, Sara L.","365,575,575,886,934,3219,3329,3675,4340,4688",10
32,0.09298212826251984,0.17577706277370453,0.0,0.0,0.03750057145953178,0.04936862736940384,0.0,0.0,0.5392689704895021,0.0,0.0,0.09768552333116533,8,cov; sars; mers; bat; coronavirus; human; mers_cov; respiratory; syndrome; respiratory_syndrome,Topic: 8,prevalence of korean cats with natural feline coronavirus infections,704a894ab79031263de39fc49d954f7d13aa1bf2.json,12.28617,3.9047004999999997,,Virol J,2011-09-28,"An, Dong-Jun; Jeoung, Hye-Young; Jeong, WooSeog; Park, Jee-Yong; Lee, Myoung-Heon; Park, Bong-Kyun","2522,2935,3874,4709",4
33,0.0,0.0,0.05528886616230011,0.0,0.4817934930324554,0.0,0.0,0.08021339774131775,0.3753350973129273,0.0,0.0,0.0,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,mers-cov virus-like particles produced in insect cells induce specific humoural and cellular imminity in rhesus macaques,7aec817203fd739cf21556a51e240c4cbbec5dc2.json,-6.489329,-5.2620195999999995,1656,Oncotarget,2016-03-30,"Wang, Chong; Zheng, Xuexing; Gai, Weiwei; Zhao, Yongkun; Wang, Hualei; Wang, Haijun; Feng, Na; Chi, Hang; Qiu, Boning; Li, Nan; Wang, Tiecheng; Gao, Yuwei; Yang, Songtao; Xia, Xianzhu","1063,1623,1762,2161,2679,3426,3534,3941,4022,4187",10
34,0.136508971452713,0.0,0.07207713276147842,0.0,0.5670501589775085,0.2199601233005524,0.0,0.0,0.0,0.0,0.0,0.0,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,effect of porcine epidemic diarrhea virus infectious doses on infection outcomes in naïve conventional neonatal and weaned pigs,6f06d1fd7c4ae1397b0a8f5192e9f0c7dc5e62df.json,-2.1110252999999997,6.9447737000000025,"1620,2155",PLoS One,2015-10-06,"Thomas, Joseph T.; Chen, Qi; Gauger, Phillip C.; Giménez-Lirola, Luis G.; Sinha, Avanti; Harmon, Karen M.; Madson, Darin M.; Burrough, Eric R.; Magstadt, Drew R.; Salzbrenner, Holly M.; Welch, Michael W.; Yoon, Kyoung-Jin; Zimmerman, Jeffrey J.; Zhang, Jianqiang","256,395,533,3346,4241,4671",6
38,0.0,0.0,0.0,0.0,0.0,0.26869359612464905,0.0,0.21194785833358765,0.0,0.4790589213371277,0.0,0.0,9,base; drug; high; system; approach; develop; use; activity; dna; hcv,Topic: 9,aptamers in diagnostics and treatment of viral infections,ad04f777044b7de892dbc174e31e88e63a160c3c.json,2.5392346000000003,-17.176111,779,Viruses,2015-02-16,"Wandtke, Tomasz; Woźniak, Joanna; Kopiński, Piotr","2754,3969",2
39,0.0713120773434639,0.0,0.0,0.15607011318206787,0.08397076278924942,0.0,0.2391630411148072,0.1442626267671585,0.0,0.12391826510429382,0.17766596376895905,0.0,6,infection; response; viral; host; gene; immune; protein; ifn; pathway; expression,Topic: 6,small interfering rna targeting m2 gene induces effective and long term inhibition of influenza a virus replication,404bf0836c388f561f796369c26d0bbf6f37b407.json,-17.818775,-9.044013,,PLoS One,2009-05-22,"Sui, Hong-Yan; Zhao, Guang-Yu; Huang, Jian-Dong; Jin, Dong-Yan; Yuen, Kwok-Yung; Zheng, Bo-Jian","1575,3022,3053,3906",4
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07658123224973679,0.8562691211700441,0.0,0.0,9,base; drug; high; system; approach; develop; use; activity; dna; hcv,Topic: 9,bat-mouse bone marrow chimera: a novel animal model for dissecting the uniqueness of the bat immune system,dc3df0a30a76ca925a5cc4466528ea0c4dab9638.json,11.173917999999999,-22.877703,3584,Sci Rep,2018-03-16,"Yong, Kylie Su Mei; Ng, Justin Han Jia; Her, Zhisheng; Hey, Ying Ying; Tan, Sue Yee; Tan, Wilson Wei Sheng; Irac, Sergio Erdal; Liu, Min; Chan, Xue Ying; Gunawan, Merry; Foo, Randy Jee Hiang; Low, Dolyce Hong Wen; Mendenhall, Ian Hewitt; Chionh, Yok Teng; Dutertre, Charles-Antoine; Chen, Qingfeng; Wang, Lin-Fa",714,1
44,0.035263359546661384,0.2971062064170837,0.5087345242500305,0.0,0.0,0.0,0.0,0.0,0.0,0.15376080572605133,0.0,0.0,2,disease; health; outbreak; model; public; datum; transmission; infectious; epidemic; country,Topic: 2,bayesian phylogeography finds its roots,f06b500cbbffe7641b716dbbb90f0d40ed7839d6.json,17.82358,-4.647371,,PLoS Comput Biol,2009-09-25,"Lemey, Philippe; Rambaut, Andrew; Drummond, Alexei J.; Suchard, Marc A.","675,855,1034,1038,1077,1285,1378,1432,1565,1796,2276,2382,2788,3125,3322,3437,4040,4109,4111,4363,4411,4522",22
45,0.0,0.4867248833179474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2917843461036682,0.2140897363424301,0.0,1,sequence; gene; strain; genome; specie; genetic; genotype; host; region; identify,Topic: 1,mapping overlapping functional elements embedded within the protein-coding regions of rna viruses,08c1093aa1c393ee5364089d26278781dc3a3405.json,9.367189,-11.547051,"4008,4421,1530,3485,2681",Nucleic Acids Res,2014-11-10,"Firth, Andrew E.","1239,1549,1935,2437,4273,4360",6
47,0.046631839126348495,0.27056828141212463,0.0,0.0,0.16829164326190948,0.0,0.0,0.2000390738248825,0.0,0.0,0.30769136548042303,0.0,10,rna; viral; protein; replication; cell; host; infection; genome; dengue; strand,Topic: 10,modification of pcv-2 virulence by substitution of the genogroup motif of the capsid protein,21a539cc5e6c5ce8c39d80a59033791d7860a8b0.json,5.647308,-13.284945,,Vet Res,2011-03-24,"Allemandou, Aude; Grasland, Béatrice; Hernandez-Nignol, Anne-Cécile; Kéranflec'h, André; Cariolet, Roland; Jestin, André",4430,1
48,0.0,0.0,0.12688492238521576,0.0,0.0,0.4219297170639038,0.0,0.0,0.0,0.09496169537305832,0.0,0.3487170934677124,5,sample; pcr; assay; detection; detect; rt; test; time; positive; ibv,Topic: 5,evaluation of four commercial multiplex molecular tests for the diagnosis of acute respiratory infections,5a575cf8c90efa9e40cfbf87f2a202bb39d68951.json,0.25515237,13.746965,"3231,800",PLoS One,2015-06-24,"Salez, Nicolas; Vabret, Astrid; Leruez-Ville, Marianne; Andreoletti, Laurent; Carrat, Fabrice; Renois, Fanny; de Lamballerie, Xavier","692,2587",2
50,0.0,0.06925910711288452,0.0,0.11885101348161695,0.5414817929267883,0.0,0.0,0.14247490465641022,0.0,0.12352246046066286,0.0,0.0,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,physiological level production of antigen-specific human immunoglobulin in cloned transchromosomic cattle,bdfce208ef62424bc68fdb610364dab6416365e1.json,-5.389409,2.5950248,,PLoS One,2013-10-24,"Sano, Akiko; Matsushita, Hiroaki; Wu, Hua; Jiao, Jin-An; Kasinathan, Poothappillai; Sullivan, Eddie J.; Wang, Zhongde; Kuroiwa, Yoshimi","1547,3513",2
52,0.0,0.2730666399002075,0.09861233085393906,0.0,0.03427835553884506,0.0,0.1826755255460739,0.04132596775889397,0.2073073089122772,0.1181805431842804,0.04224459454417229,0.0,1,sequence; gene; strain; genome; specie; genetic; genotype; host; region; identify,Topic: 1,de novo transcriptome reconstruction and annotation of the egyptian rousette bat,c3461b2484a2c1b0532e47afba87d235e350b9e7.json,10.809407,0.2949565,,BMC Genomics,2015-12-07,"Lee, Albert K.; Kulcsar, Kirsten A.; Elliott, Oliver; Khiabanian, Hossein; Nagle, Elyse R.; Jones, Megan E.B.; Amman, Brian R.; Sanchez-Lockhart, Mariano; Towner, Jonathan S.; Palacios, Gustavo; Rabadan, Raul","80,298,714,2823",4
54,0.0,0.08509655296802521,0.027904652059078217,0.20861664414405826,0.0,0.04888564720749855,0.5065517425537109,0.0724884644150734,0.0,0.04843362048268318,0.0,0.0,6,infection; response; viral; host; gene; immune; protein; ifn; pathway; expression,Topic: 6,interferon lambda: modulating immunity in infectious diseases,7ed1dcfad7266bfda122685c0009ec526f77909f.json,-27.346190999999997,-7.920897,"4265,610",Front Immunol,2017-02-28,"Syedbasha, Mohammedyaseen; Egli, Adrian","2191,2453,4704",3
55,0.0,0.4006548225879669,0.04577277973294258,0.0,0.0,0.4137141704559326,0.0,0.0,0.09497501701116562,0.03328757360577583,0.0,0.0,5,sample; pcr; assay; detection; detect; rt; test; time; positive; ibv,Topic: 5,novel coronavirus and astrovirus in delaware bay shorebirds,cf750714decab335f8990db7d0ca100506fa99fa.json,6.3449855,2.72631,"2688,4067",PLoS One,2014-04-03,"Honkavuori, Kirsi S.; Briese, Thomas; Krauss, Scott; Sanchez, Maria D.; Jain, Komal; Hutchison, Stephen K.; Webster, Robert G.; Lipkin, W. Ian","945,2216,2725,3074,3419",5
57,0.4752103388309479,0.0,0.3685118854045868,0.0,0.0,0.0,0.0,0.0,0.12120971083641052,0.024656398221850395,0.0,0.0,0,influenza; risk; text; 95; factor; patient; high; ci; increase; group,Topic: 0,risk of mers importation and onward transmission: a systematic review and analysis of cases reported to who,3c20c596797997337c0e8ed472cf7847dc467c65.json,20.557194,16.147638,"4654,1205",BMC Infect Dis,2016-08-25,"Poletto, Chiara; Boëlle, Pierre-Yves; Colizza, Vittoria","747,938,3047,3504,4415",5
62,0.2687960267066956,0.0,0.699935793876648,0.0,0.0,0.0,0.023425718769431114,0.0,0.0,0.0,0.0,0.0,2,disease; health; outbreak; model; public; datum; transmission; infectious; epidemic; country,Topic: 2,including the public in pandemic planning: a deliberative approach,797c6ecb7d0eb5d6eb5ea5f081a3c4cc78be5bd2.json,29.269562,2.7807302000000003,,BMC Public Health,2010-08-19,"Braunack-Mayer, Annette J; Street, Jackie M; Rogers, Wendy A; Givney, Rodney; Moss, John R; Hiller, Janet E",4317,1
63,0.0,0.15778452157974246,0.04448777437210083,0.0,0.15101227164268494,0.0,0.3366031050682068,0.0,0.0,0.3042408227920532,0.0,0.0,6,infection; response; viral; host; gene; immune; protein; ifn; pathway; expression,Topic: 6,de-novo transcriptome sequencing of a normalized cdna pool from influenza infected ferrets,71a82ecd1070ef91422c1ed772c73ad189ea4c0e.json,-0.6931337,-13.681516,341,PLoS One,2012-05-11,"Camp, Jeremy V.; Svensson, Thomas L.; McBrayer, Alexis; Jonsson, Colleen B.; Liljeström, Peter; Bruder, Carl E.",1363,1
64,0.08691366761922836,0.0,0.1771414279937744,0.0,0.0,0.0,0.0,0.0,0.0,0.27234867215156555,0.0,0.4558846056461334,11,respiratory; patient; infection; child; viral; clinical; rsv; pneumonia; influenza; acute,Topic: 11,update on the management of acute pharyngitis in children,6606f7964096d15ffdcb9772acbe40ae415dcb97.json,2.7825034,20.510379999999998,,Ital J Pediatr,2011-01-31,"Regoli, Marta; Chiappini, Elena; Bonsignori, Francesca; Galli, Luisa; de Martino, Maurizio",3425,1
65,0.0,0.04710046201944351,0.0,0.0,0.0,0.0,0.05890145897865296,0.5375515818595886,0.0,0.057760167866945274,0.29420438408851624,0.0,7,protein; bind; cell; domain; receptor; activity; membrane; peptide; structure; fusion,Topic: 7,a compact viral processing proteinase/ubiquitin hydrolase from the otu family,6f779376c8f76658fa6ab19c24748a56ee00aa49.json,-9.293077,-20.739944,,PLoS Pathog,2013-08-15,"Lombardi, Charlotte; Ayach, Maya; Beaurepaire, Lionel; Chenon, Mélanie; Andreani, Jessica; Guerois, Raphaël; Jupin, Isabelle; Bressanelli, Stéphane","151,383,2675,3517,3838,4404",6
67,0.0,0.0,0.7365847229957581,0.0,0.0,0.0,0.0,0.0,0.16721202433109286,0.016745178028941154,0.0,0.07285652309656143,2,disease; health; outbreak; model; public; datum; transmission; infectious; epidemic; country,Topic: 2,"strategy and technology to prevent hospital-acquired infections: lessons from sars, ebola, and mers in asia and west africa",39e643e0263bee019519c0c51f4ae17f1fe1a0a5.json,23.303085,-1.9094186000000002,"4654,1213,2828,4240,774",Mil Med Res,2017-10-27,"Rajakaruna, Sanjeewa Jayachandra; Liu, Wen-Bin; Ding, Yi-Bo; Cao, Guang-Wen","72,1414",2
70,0.0,0.4971680045127869,0.030778953805565838,0.0,0.08792593330144882,0.016644394025206566,0.0,0.0,0.32309490442276,0.0,0.03936181217432022,0.0,1,sequence; gene; strain; genome; specie; genetic; genotype; host; region; identify,Topic: 1,genomic characterization and infectivity of a novel sars-like coronavirus in chinese bats,aeaf5bd4725051f6926d06450566673d1cc4a639.json,11.466486999999999,-1.227544,96,Emerg Microbes Infect,2018-09-12,"Hu, Dan; Zhu, Changqiang; Ai, Lele; He, Ting; Wang, Yi; Ye, Fuqiang; Yang, Lu; Ding, Chenxi; Zhu, Xuhui; Lv, Ruicheng; Zhu, Jin; Hassan, Bachar; Feng, Youjun; Tan, Weilong; Wang, Changjun","1361,3150",2
71,0.5722490549087524,0.0,0.14223578572273254,0.0,0.02725914679467678,0.0,0.0,0.037173591554164886,0.0,0.0,0.0,0.217899352312088,0,influenza; risk; text; 95; factor; patient; high; ci; increase; group,Topic: 0,teacher led school-based surveillance can allow accurate tracking of emerging infectious diseases -evidence from serial cross-sectional surveys of febrile respiratory illness during the h1n1 2009 influenza pandemic in singapore,1008bb267f9b05fcec7b715eab47f4a5c659c7dd.json,14.134215,20.397024,4425,BMC Infect Dis,2012-12-04,"Chen, Mark IC; Chong, Chia Yin",889,1
74,0.0,0.028221758082509037,0.0,0.12651754915714264,0.3171358108520508,0.0,0.17244312167167666,0.0,0.012742639519274237,0.0,0.33852463960647583,0.0,10,rna; viral; protein; replication; cell; host; infection; genome; dengue; strand,Topic: 10,characterization of rift valley fever virus mp-12 strain encoding nss of punta toro virus or sandfly fever sicilian virus,7d9f6bae2b7ced5834b4e92e7ef805d85fdea405.json,-9.0334015,1.4595298,"2658,1966",PLoS Negl Trop Dis,2013-04-18,"Lihoradova, Olga A.; Indran, Sabarish V.; Kalveram, Birte; Lokugamage, Nandadeva; Head, Jennifer A.; Gong, Bin; Tigabu, Bersabeh; Juelich, Terry L.; Freiberg, Alexander N.; Ikegami, Tetsuro","647,1705",2
75,0.02721017226576805,0.0,0.8481414318084717,0.0,0.0,0.0,0.0,0.0,0.0,0.12031137198209765,0.0,0.0,2,disease; health; outbreak; model; public; datum; transmission; infectious; epidemic; country,Topic: 2,bringing together emerging and endemic zoonoses surveillance: shared challenges and a common solution,59532e3fbb23c6bca0ad86898cdf50817b38633f.json,26.625390999999997,-9.540405,,Philos Trans R Soc Lond B Biol Sci,2012-10-19,"Halliday, Jo; Daborn, Chris; Auty, Harriet; Mtema, Zacharia; Lembo, Tiziana; Bronsvoort, Barend M. deC.; Handel, Ian; Knobel, Darryn; Hampson, Katie; Cleaveland, Sarah","523,1537,2454",3
76,0.18189606070518494,0.0,0.05208045989274978,0.0,0.5589163899421692,0.07246343791484833,0.0,0.0,0.0,0.13089194893836975,0.0,0.0,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,phase 1 study of pandemic h1 dna vaccine in healthy adults,95ab4b0ddc015a430ed865c9cdd105f1e50faf31.json,-3.4808470000000002,6.1917443,,PLoS One,2015-04-17,"Crank, Michelle C.; Gordon, Ingelise J.; Yamshchikov, Galina V.; Sitar, Sandra; Hu, Zonghui; Enama, Mary E.; Holman, LaSonji A.; Bailer, Robert T.; Pearce, Melissa B.; Koup, Richard A.; Mascola, John R.; Nabel, Gary J.; Tumpey, Terrence M.; Schwartz, Richard M.; Graham, Barney S.; Ledgerwood, Julie E.","1297,2517",2
77,0.0,0.08823118358850479,0.08555316925048828,0.0619446374475956,0.07206002622842789,0.0,0.1934760957956314,0.0,0.4714553356170654,0.0,0.0,0.02292794547975064,8,cov; sars; mers; bat; coronavirus; human; mers_cov; respiratory; syndrome; respiratory_syndrome,Topic: 8,comparative pathogenesis of three human and zoonotic sars-cov strains in cynomolgus macaques,5d2c1aaad487ae9b76099721947c8948a57ebba3.json,0.9855838,-2.305853,"4612,4604,3046",PLoS One,2011-04-20,"Rockx, Barry; Feldmann, Friederike; Brining, Douglas; Gardner, Don; LaCasse, Rachel; Kercher, Lisa; Long, Dan; Rosenke, Rebecca; Virtaneva, Kimmo; Sturdevant, Daniel E.; Porcella, Stephen F.; Mattoon, John; Parnell, Michael; Baric, Ralph S.; Feldmann, Heinz",2792,1
78,0.0,0.0,0.08702663332223892,0.0,0.0,0.2951603829860687,0.0,0.0,0.02185454778373241,0.0,0.0,0.5909757018089294,11,respiratory; patient; infection; child; viral; clinical; rsv; pneumonia; influenza; acute,Topic: 11,viral etiologies of lower respiratory tract infections among egyptian children under five years of age,25d4af008525a27cff170cac5381937b1a65dc83.json,-3.5460596,22.42387,,BMC Infect Dis,2012-12-13,"Shafik, Caroline F; Mohareb, Emad W; Yassin, Aymen S; Amin, Madgy A; El Kholy, Amani; El-Karaksy, Hanaa; Youssef, Fouad G","53,357,1188,1879,1955,4406,4489,4726",8
80,0.0,0.08199241012334824,0.0,0.10206320881843567,0.03523097187280655,0.0,0.5131366252899171,0.0,0.19092519581317904,0.05716795101761817,0.015736645087599754,0.0,6,infection; response; viral; host; gene; immune; protein; ifn; pathway; expression,Topic: 6,transcriptomic signatures of tacaribe virus-infected jamaican fruit bats,c383b8dedcefbf78e370b0152058176d9219330e.json,-24.803407999999997,-10.433010000000001,"2473,52",mSphere,2017-09-27,"Gerrard, Diana L.; Hawkinson, Ann; Sherman, Tyler; Modahl, Cassandra M.; Hume, Gretchen; Campbell, Corey L.; Schountz, Tony; Frietze, Seth","2349,4114",2
81,0.11765094101428986,0.0,0.7987510561943054,0.0,0.0,0.0,0.0,0.0,0.0,0.06761157512664795,0.0,0.011396766640245914,2,disease; health; outbreak; model; public; datum; transmission; infectious; epidemic; country,Topic: 2,comparing national infectious disease surveillance systems: china and the netherlands,3115260ab0b83020627a59f8e6c47d8e33337d3d.json,27.600934999999996,-5.3139142999999995,777,BMC Public Health,2017-05-08,"Vlieg, Willemijn L.; Fanoy, Ewout B.; van Asten, Liselotte; Liu, Xiaobo; Yang, Jun; Pilot, Eva; Bijkerk, Paul; van der Hoek, Wim; Krafft, Thomas; van der Sande, Marianne A.; Liu, Qi-Yong",2707,1
82,0.0,0.0,0.0,0.1861530989408493,0.4102567732334137,0.0,0.0,0.0,0.3962703347206116,0.0,0.0,0.0,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,a neutralizing human monoclonal antibody protects against lethal disease in a new ferret model of acute nipah virus infection,74813899dfd7ad7de15228fd014c735c3410d9d9.json,-6.8556365999999995,-5.505242,,PLoS Pathog,2009-10-30,"Bossart, Katharine N.; Zhu, Zhongyu; Middleton, Deborah; Klippel, Jessica; Crameri, Gary; Bingham, John; McEachern, Jennifer A.; Green, Diane; Hancock, Timothy J.; Chan, Yee-Peng; Hickey, Andrew C.; Dimitrov, Dimiter S.; Wang, Lin-Fa; Broder, Christopher C.","9,400,643,783,1088,1103,1367,2038,2792,2838,3005,3118,3686,3963,4653",15
