,Sort ,State,FIPS ,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover
12,13,AL,01025,Clarke,Grove Hill,"25,833","3,207.609","1,238.465",36.543,14.109,"3,244.152","1,252.574",31.685521,-87.818624,Clarke<br>AL<br>01025
13,14,AL,01027,Clay,Ashland,"13,932","1,564.252",603.961,5.285,2.040,"1,569.537",606.001,33.267809,-85.862051,Clay<br>AL<br>01027
14,15,AL,01029,Cleburne,Heflin,"14,972","1,450.653",560.100,2.366,0.913,"1,453.018",561.013,33.671981,-85.516109,Cleburne<br>AL<br>01029
15,16,AL,01031,Coffee,"Elba, Enterprise","49,948","1,758.529",678.972,3.945,1.523,"1,762.474",680.495,31.402183,-85.989201,Coffee<br>AL<br>01031
16,17,AL,01033,Colbert,Tuscumbia,"54,428","1,534.877",592.619,76.431,29.510,"1,611.308",622.129,34.703112,-87.801457,Colbert<br>AL<br>01033
17,18,AL,01035,Conecuh,Evergreen,"13,228","2,201.895",850.156,6.645,2.566,"2,208.540",852.722,31.428293,-86.992029,Conecuh<br>AL<br>01035
18,19,AL,01037,Coosa,Rockford,"11,539","1,685.891",650.926,39.947,15.423,"1,725.838",666.349,32.931445,-86.243482,Coosa<br>AL<br>01037
19,20,AL,01039,Covington,Andalusia,"37,765","2,668.870","1,030.456",34.526,13.331,"2,703.396","1,043.787",31.243987,-86.448721,Covington<br>AL<br>01039
20,21,AL,01041,Crenshaw,Luverne,"13,906","1,576.888",608.840,5.376,2.076,"1,582.264",610.916,31.732826,-86.319222,Crenshaw<br>AL<br>01041
21,22,AL,01043,Cullman,Cullman,"80,406","1,903.228",734.841,52.267,20.180,"1,955.495",755.021,34.131923,-86.869267,Cullman<br>AL<br>01043
22,23,AL,01045,Dale,Ozark,"50,251","1,453.371",561.150,4.016,1.551,"1,457.388",562.701,31.430654,-85.609476,Dale<br>AL<br>01045
23,24,AL,01047,Dallas,Selma,"43,820","2,534.807",978.695,39.135,15.110,"2,573.942",993.805,32.333540,-87.114356,Dallas<br>AL<br>01047
24,25,AL,01049,DeKalb,Fort Payne,"71,109","2,012.662",777.093,4.124,1.592,"2,016.786",778.685,34.460929,-85.803992,DeKalb<br>AL<br>01049
25,26,AL,01051,Elmore,Wetumpka,"79,303","1,601.868",618.485,99.863,38.557,"1,701.730",657.042,32.597229,-86.142739,Elmore<br>AL<br>01051
26,27,AL,01053,Escambia,Brewton,"38,319","2,447.747",945.080,20.873,8.059,"2,468.620",953.139,31.121748,-87.168429,Escambia<br>AL<br>01053
27,28,AL,01055,Etowah,Gadsden,"104,430","1,385.619",534.991,35.323,13.638,"1,420.942",548.629,34.047638,-86.034420,Etowah<br>AL<br>01055
28,29,AL,01057,Fayette,Fayette,"17,241","1,625.632",627.660,4.393,1.696,"1,630.024",629.356,33.732249,-87.752049,Fayette<br>AL<br>01057
29,30,AL,01059,Franklin,Russellville,"31,704","1,641.588",633.821,32.898,12.702,"1,674.486",646.523,34.441988,-87.842815,Franklin<br>AL<br>01059
30,31,AL,01061,Geneva,Geneva,"26,790","1,487.710",574.408,11.765,4.543,"1,499.476",578.951,31.090866,-85.824346,Geneva<br>AL<br>01061
31,32,AL,01063,Greene,Eutaw,"9,045","1,676.007",647.110,33.231,12.831,"1,709.238",659.941,32.844497,-87.964201,Greene<br>AL<br>01063
32,33,AL,01065,Hale,Greensboro,"15,760","1,667.804",643.943,32.526,12.558,"1,700.330",656.501,32.752796,-87.623061,Hale<br>AL<br>01065
33,34,AL,01067,Henry,Abbeville,"17,302","1,454.926",561.750,16.987,6.559,"1,471.913",568.309,31.516978,-85.239971,Henry<br>AL<br>01067
34,35,AL,01069,Houston,Dothan,"101,547","1,501.738",579.824,4.740,1.830,"1,506.478",581.654,31.158193,-85.296398,Houston<br>AL<br>01069
35,36,AL,01071,Jackson,Scottsboro,"53,227","2,791.665","1,077.868",126.657,48.903,"2,918.322","1,126.771",34.763522,-85.977400,Jackson<br>AL<br>01071
36,37,AL,01073,Jefferson,Birmingham,"658,466","2,878.192","1,111.276",32.474,12.538,"2,910.667","1,123.814",33.553444,-86.896536,Jefferson<br>AL<br>01073
37,38,AL,01075,Lamar,Vernon,"14,564","1,566.545",604.846,1.601,0.618,"1,568.145",605.464,33.787085,-88.087431,Lamar<br>AL<br>01075
38,39,AL,01077,Lauderdale,Florence,"92,709","1,729.328",667.697,138.027,53.293,"1,867.355",720.990,34.904122,-87.650997,Lauderdale<br>AL<br>01077
39,40,AL,01079,Lawrence,Moulton,"34,339","1,788.847",690.678,68.688,26.521,"1,857.535",717.199,34.529776,-87.321865,Lawrence<br>AL<br>01079
40,41,AL,01081,Lee,Opelika,"140,247","1,573.511",607.536,21.530,8.313,"1,595.041",615.849,32.604064,-85.353048,Lee<br>AL<br>01081
41,42,AL,01083,Limestone,Athens,"82,782","1,450.228",559.936,122.382,47.252,"1,572.610",607.188,34.810239,-86.981400,Limestone<br>AL<br>01083
42,43,AL,01085,Lowndes,Hayneville,"11,299","1,854.200",715.911,23.724,9.160,"1,877.923",725.071,32.147888,-86.650586,Lowndes<br>AL<br>01085
43,44,AL,01087,Macon,Tuskegee,"21,452","1,577.005",608.885,11.194,4.322,"1,588.199",613.207,32.387027,-85.692887,Macon<br>AL<br>01087
44,45,AL,01089,Madison,Huntsville,"334,811","2,076.117",801.593,28.771,11.109,"2,104.888",812.702,34.764238,-86.551080,Madison<br>AL<br>01089
45,46,AL,01091,Marengo,Linden,"21,027","2,530.112",976.882,14.995,5.789,"2,545.107",982.671,32.247591,-87.791091,Marengo<br>AL<br>01091
46,47,AL,01093,Marion,Hamilton,"30,776","1,922.527",742.292,3.313,1.279,"1,925.840",743.571,34.138219,-87.881551,Marion<br>AL<br>01093
47,48,AL,01095,Marshall,Guntersville,"93,019","1,465.523",565.842,148.503,57.337,"1,614.026",623.179,34.309564,-86.321668,Marshall<br>AL<br>01095
48,49,AL,01097,Mobile,Mobile,"412,992","3,184.223","1,229.435","1,073.751",414.577,"4,257.974","1,644.012",30.684573,-88.196568,Mobile<br>AL<br>01097
49,50,AL,01099,Monroe,Monroeville,"23,068","2,656.485","1,025.675",22.643,8.743,"2,679.128","1,034.418",31.580332,-87.383266,Monroe<br>AL<br>01099
50,51,AL,01101,Montgomery,Montgomery,"229,363","2,031.191",784.247,40.571,15.665,"2,071.762",799.912,32.203651,-86.203831,Montgomery<br>AL<br>01101
51,52,AL,01103,Morgan,Decatur,"119,490","1,500.476",579.337,51.065,19.716,"1,551.541",599.053,34.454484,-86.846402,Morgan<br>AL<br>01103
52,53,AL,01105,Perry,Marion,"10,591","1,863.920",719.664,10.919,4.216,"1,874.839",723.880,32.639005,-87.293827,Perry<br>AL<br>01105
53,54,AL,01107,Pickens,Carrollton,"19,746","2,282.837",881.408,22.578,8.717,"2,305.415",890.125,33.296809,-88.096878,Pickens<br>AL<br>01107
54,55,AL,01109,Pike,Troy,"32,899","1,740.716",672.094,2.363,0.912,"1,743.078",673.006,31.798726,-85.941997,Pike<br>AL<br>01109
55,56,AL,01111,Randolph,Wedowee,"22,913","1,503.617",580.550,9.285,3.585,"1,512.902",584.135,33.296475,-85.464068,Randolph<br>AL<br>01111
56,57,AL,01113,Russell,Phenix City,"52,947","1,660.546",641.140,15.673,6.052,"1,676.219",647.192,32.289811,-85.186980,Russell<br>AL<br>01113
57,58,AL,01115,St. Clair,"Ashville, Pell City","83,593","1,636.619",631.902,56.300,21.738,"1,692.919",653.640,33.712963,-86.315663,St. Clair<br>AL<br>01115
58,59,AL,01117,Shelby,Columbiana,"195,085","2,032.960",784.930,63.701,24.595,"2,096.661",809.525,33.262937,-86.678104,Shelby<br>AL<br>01117
59,60,AL,01119,Sumter,Livingston,"13,763","2,341.057",903.887,24.436,9.435,"2,365.494",913.322,32.597481,-88.200057,Sumter<br>AL<br>01119
60,61,AL,01121,Talladega,Talladega,"82,291","1,908.240",736.775,60.944,23.531,"1,969.184",760.306,33.369277,-86.175805,Talladega<br>AL<br>01121
61,62,AL,01123,Tallapoosa,Dadeville,"41,616","1,855.780",716.521,128.809,49.733,"1,984.589",766.254,32.863369,-85.799553,Tallapoosa<br>AL<br>01123
62,63,AL,01125,Tuscaloosa,Tuscaloosa,"194,656","3,423.329","1,321.755",76.396,29.497,"3,499.725","1,351.252",33.290202,-87.522860,Tuscaloosa<br>AL<br>01125
63,64,AL,01127,Walker,Jasper,"67,023","2,049.177",791.192,36.264,14.002,"2,085.441",805.194,33.791571,-87.301092,Walker<br>AL<br>01127
64,65,AL,01129,Washington,Chatom,"17,581","2,797.722","1,080.207",21.651,8.359,"2,819.373","1,088.566",31.406974,-88.202078,Washington<br>AL<br>01129
65,66,AL,01131,Wilcox,Camden,"11,670","2,301.200",888.498,48.985,18.913,"2,350.185",907.411,31.990330,-87.302205,Wilcox<br>AL<br>01131
66,67,AL,01133,Winston,Double Springs,"24,484","1,587.608",612.979,48.923,18.889,"1,636.531",631.868,34.155888,-87.364147,Winston<br>AL<br>01133
67,68,AK,02013,Aleutians East,Sand Point,"3,141","18,083.149","6,981.943","20,792.209","8,027.917","38,875.358","15,009.860",55.243722,-161.950749,Aleutians East<br>AK<br>02013
68,69,AK,02016,Aleutians West ,—,"5,561","11,370.763","4,390.276","25,190.644","9,726.162","36,561.406","14,116.438",51.959447,178.338813,Aleutians West <br>AK<br>02016
69,70,AK,02020,Anchorage,Anchorage,"291,826","4,415.109","1,704.683",663.861,256.318,"5,078.970","1,961.001",61.177549,-149.274354,Anchorage<br>AK<br>02020
70,71,AK,02050,Bethel ,—,"17,013","105,075.823","40,570.003","12,779.524","4,934.202","117,855.346","45,504.205",60.928916,-160.153350,Bethel <br>AK<br>02050
71,72,AK,02060,Bristol Bay,Naknek,997,"1,304.947",503.843,993.830,383.720,"2,298.777",887.563,58.731373,-156.986612,Bristol Bay<br>AK<br>02060
72,73,AK,02068,Denali,Healy,"1,826","33,026.001","12,751.411",66.069,25.509,"33,092.069","12,776.920",63.682732,-150.026719,Denali<br>AK<br>02068
73,74,AK,02070,Dillingham ,—,"4,847","48,092.913","18,568.778","6,077.224","2,346.429","54,170.136","20,915.207",59.824816,-158.602233,Dillingham <br>AK<br>02070
74,75,AK,02090,Fairbanks North Star,Fairbanks,"97,581","19,005.874","7,338.209",273.188,105.479,"19,279.063","7,443.688",64.690832,-146.599867,Fairbanks North Star<br>AK<br>02090
75,76,AK,02100,Haines,Haines,"2,508","6,005.147","2,318.600","1,053.875",406.903,"7,059.022","2,725.503",59.099905,-135.578102,Haines<br>AK<br>02100
76,77,AK,02105,Hoonah-Angoon ,—,"2,150","19,489.439","7,524.915","8,778.085","3,389.238","28,267.524","10,914.153",58.076434,-135.185100,Hoonah-Angoon <br>AK<br>02105
77,78,AK,02110,Juneau,Juneau,"31,275","6,997.969","2,701.931","1,429.575",551.962,"8,427.544","3,253.893",58.372700,-134.178781,Juneau<br>AK<br>02110
78,79,AK,02122,Kenai Peninsula,Soldotna,"55,400","41,634.915","16,075.331","22,473.290","8,676.986","64,108.206","24,752.317",60.366373,-152.321973,Kenai Peninsula<br>AK<br>02122
79,80,AK,02130,Ketchikan Gateway,Ketchikan,"13,477","12,583.233","4,858.414","4,649.414","1,795.149","17,232.647","6,653.563",55.449938,-131.106685,Ketchikan Gateway<br>AK<br>02130
80,81,AK,02150,Kodiak Island,Kodiak,"13,592","16,963.332","6,549.579","14,173.062","5,472.250","31,136.394","12,021.829",57.553611,-153.630911,Kodiak Island<br>AK<br>02150
81,82,AK,02164,Lake and Peninsula,King Salmon ,"1,631","61,258.419","23,652.009","24,010.457","9,270.490","85,268.877","32,922.499",58.205065,-156.705188,Lake and Peninsula<br>AK<br>02164
82,83,AK,02170,Matanuska-Susitna,Palmer,"88,995","63,734.160","24,607.898","1,682.737",649.709,"65,416.898","25,257.607",62.182174,-149.407974,Matanuska-Susitna<br>AK<br>02170
83,84,AK,02180,Nome ,—,"9,492","59,470.686","22,961.761","13,768.012","5,315.859","73,238.698","28,277.620",64.783686,-164.188912,Nome <br>AK<br>02180
84,85,AK,02185,North Slope,Barrow,"9,430","229,720.054","88,695.413","15,801.179","6,100.870","245,521.234","94,796.283",69.449343,-153.472830,North Slope<br>AK<br>02185
85,86,AK,02188,Northwest Arctic,Kotzebue,"7,523","92,132.565","35,572.584","13,406.688","5,176.351","105,539.253","40,748.935",67.005066,-160.021086,Northwest Arctic<br>AK<br>02188
86,87,AK,02195,Petersburg ,—,"3,815","8,500.294","3,281.982","6,221.368","2,402.084","14,721.662","5,684.066",56.639612,-133.527996,Petersburg <br>AK<br>02195
87,88,AK,02198,Prince of Wales-Hyder ,—,"5,559","10,160.194","3,922.873","9,739.418","3,760.411","19,899.612","7,683.284",55.415683,-132.875734,Prince of Wales-Hyder <br>AK<br>02198
88,89,AK,02220,Sitka,Sitka,"8,881","7,434.144","2,870.339","5,027.404","1,941.092","12,461.548","4,811.431",57.142509,-135.332624,Sitka<br>AK<br>02220
89,90,AK,02230,Skagway,Skagway,968,"1,171.516",452.325,30.331,11.711,"1,201.847",464.036,59.575097,-135.335418,Skagway<br>AK<br>02230
90,91,AK,02240,Southeast Fairbanks ,—,"7,029","64,150.915","24,768.808",752.795,290.656,"64,903.711","25,059.464",63.864997,-143.218628,Southeast Fairbanks <br>AK<br>02240
91,92,AK,02261,Valdez-Cordova ,—,"9,636","88,680.877","34,239.880","15,799.690","6,100.295","104,480.567","40,340.175",61.349840,-145.023141,Valdez-Cordova <br>AK<br>02261
92,93,AK,02270,Wade Hampton ,—,"7,459","44,240.706","17,081.433","6,711.999","2,591.518","50,952.705","19,672.951",62.283174,-163.190950,Wade Hampton <br>AK<br>02270
93,94,AK,02275,Wrangell,Wrangell,"2,369","6,582.411","2,541.483","2,384.276",920.574,"8,966.687","3,462.057",56.279121,-132.040326,Wrangell<br>AK<br>02275
94,95,AK,02282,Yakutat,Yakutat,662,"19,812.002","7,649.457","4,696.710","1,813.410","24,508.712","9,462.867",59.999083,-140.239593,Yakutat<br>AK<br>02282
95,96,AK,02290,Yukon-Koyukuk ,—,"5,588","376,855.656","145,504.789","5,956.564","2,299.842","382,812.220","147,804.631",65.376131,-151.576855,Yukon-Koyukuk <br>AK<br>02290
96,97,AZ,04001,Apache,St. Johns,"71,518","29,001.444","11,197.521",54.176,20.917,"29,055.620","11,218.438",35.385845,-109.493747,Apache<br>AZ<br>04001
97,98,AZ,04003,Cochise,Bisbee,"131,346","15,969.064","6,165.690",137.025,52.906,"16,106.089","6,218.596",31.881793,-109.754120,Cochise<br>AZ<br>04003
98,99,AZ,04005,Coconino,Flagstaff,"134,421","48,222.689","18,618.885",109.964,42.457,"48,332.653","18,661.342",35.829692,-111.773728,Coconino<br>AZ<br>04005
99,100,AZ,04007,Gila,Globe,"53,597","12,322.989","4,757.933",97.112,37.495,"12,420.101","4,795.428",33.789618,-110.811870,Gila<br>AZ<br>04007
100,101,AZ,04009,Graham,Safford,"37,220","11,972.471","4,622.597",47.834,18.469,"12,020.305","4,641.066",32.931828,-109.878310,Graham<br>AZ<br>04009
101,102,AZ,04011,Greenlee,Clifton,"8,437","4,773.674","1,843.126",13.745,5.307,"4,787.419","1,848.433",33.238872,-109.242323,Greenlee<br>AZ<br>04011
102,103,AZ,04012,La Paz,Parker,"20,489","11,653.984","4,499.629",36.582,14.124,"11,690.566","4,513.753",33.727625,-114.038793,La Paz<br>AZ<br>04012
103,104,AZ,04013,Maricopa,Phoenix,"3,817,117","23,828.260","9,200.143",62.796,24.246,"23,891.056","9,224.389",33.346541,-112.495534,Maricopa<br>AZ<br>04013
104,105,AZ,04015,Mohave,Kingman,"200,186","34,475.547","13,311.084",387.371,149.565,"34,862.918","13,460.649",35.717705,-113.749689,Mohave<br>AZ<br>04015
105,106,AZ,04017,Navajo,Holbrook,"107,449","25,771.473","9,950.422",24.078,9.297,"25,795.551","9,959.719",35.390934,-110.320908,Navajo<br>AZ<br>04017
106,107,AZ,04019,Pima,Tucson,"980,263","23,794.312","9,187.036",5.338,2.061,"23,799.649","9,189.097",32.128237,-111.783018,Pima<br>AZ<br>04019
107,108,AZ,04021,Pinal,Florence,"375,770","13,896.870","5,365.612",22.332,8.622,"13,919.201","5,374.234",32.918910,-111.367257,Pinal<br>AZ<br>04021
108,109,AZ,04023,Santa Cruz,Nogales,"47,420","3,203.599","1,236.916",3.088,1.192,"3,206.687","1,238.108",31.525904,-110.845190,Santa Cruz<br>AZ<br>04023
109,110,AZ,04025,Yavapai,Prescott,"211,033","21,039.765","8,123.499",11.502,4.441,"21,051.267","8,127.940",34.630044,-112.573745,Yavapai<br>AZ<br>04025
110,111,AZ,04027,Yuma,Yuma,"195,751","14,281.174","5,513.992",13.254,5.117,"14,294.428","5,519.109",32.773942,-113.910905,Yuma<br>AZ<br>04027
111,112,AR,05001,Arkansas,"De Witt, Stuttgart","19,019","2,560.903",988.770,116.496,44.979,"2,677.398","1,033.749",34.289574,-91.376547,Arkansas<br>AR<br>05001
112,113,AR,05003,Ashley,Hamburg,"21,853","2,396.642",925.349,39.311,15.178,"2,435.953",940.527,33.190835,-91.772267,Ashley<br>AR<br>05003
113,114,AR,05005,Baxter,Mountain Home,"41,513","1,435.588",554.283,83.997,32.432,"1,519.585",586.715,36.280710,-92.330438,Baxter<br>AR<br>05005
114,115,AR,05007,Benton,Bentonville,"221,339","2,194.645",847.357,94.662,36.549,"2,289.307",883.906,36.337825,-94.256187,Benton<br>AR<br>05007
115,116,AR,05009,Boone,Harrison,"36,903","1,528.692",590.231,30.044,11.600,"1,558.737",601.831,36.304308,-93.079204,Boone<br>AR<br>05009
116,117,AR,05011,Bradley,Warren,"11,508","1,681.500",649.231,9.547,3.686,"1,691.047",652.917,33.463819,-92.168164,Bradley<br>AR<br>05011
117,118,AR,05013,Calhoun,Hampton,"5,368","1,628.017",628.581,9.926,3.833,"1,637.943",632.414,33.560460,-92.513879,Calhoun<br>AR<br>05013
118,119,AR,05015,Carroll,"Berryville, Eureka Springs","27,446","1,631.917",630.087,22.566,8.713,"1,654.484",638.800,36.337774,-93.541663,Carroll<br>AR<br>05015
119,120,AR,05017,Chicot,Lake Village,"11,800","1,668.740",644.304,120.392,46.483,"1,789.132",690.787,33.267139,-91.297158,Chicot<br>AR<br>05017
120,121,AR,05019,Clark,Arkadelphia,"22,995","2,243.122",866.074,43.396,16.755,"2,286.518",882.829,34.053312,-93.176205,Clark<br>AR<br>05019
121,122,AR,05021,Clay,"Piggott, Corning","16,083","1,656.206",639.465,5.106,1.971,"1,661.312",641.436,36.367302,-90.418704,Clay<br>AR<br>05021
122,123,AR,05023,Cleburne,Heber Springs,"25,970","1,434.056",553.692,99.015,38.230,"1,533.071",591.922,35.566288,-92.059974,Cleburne<br>AR<br>05023
123,124,AR,05025,Cleveland,Rison,"8,689","1,548.252",597.783,2.500,0.965,"1,550.752",598.748,33.893201,-92.188714,Cleveland<br>AR<br>05025
124,125,AR,05027,Columbia,Magnolia,"24,552","1,984.067",766.053,1.814,0.700,"1,985.880",766.753,33.215070,-93.226901,Columbia<br>AR<br>05027
125,126,AR,05029,Conway,Morrilton,"21,273","1,430.320",552.250,37.343,14.418,"1,467.662",566.668,35.265702,-92.689248,Conway<br>AR<br>05029
126,127,AR,05031,Craighead,"Lake City, Jonesboro","96,443","1,831.656",707.206,14.162,5.468,"1,845.818",712.674,35.828268,-90.630411,Craighead<br>AR<br>05031
127,128,AR,05033,Crawford,Van Buren,"61,948","1,536.107",593.094,28.874,11.148,"1,564.981",604.242,35.583041,-94.236224,Crawford<br>AR<br>05033
128,129,AR,05035,Crittenden,Marion,"50,902","1,579.272",609.760,68.939,26.617,"1,648.211",636.377,35.211878,-90.315331,Crittenden<br>AR<br>05035
129,130,AR,05037,Cross,Wynne,"17,870","1,596.418",616.381,15.349,5.926,"1,611.767",622.307,35.291259,-90.773894,Cross<br>AR<br>05037
130,131,AR,05039,Dallas,Fordyce,"8,116","1,728.523",667.386,1.864,0.720,"1,730.387",668.106,33.967823,-92.653999,Dallas<br>AR<br>05039
131,132,AR,05041,Desha,Arkansas City,"13,008","1,989.504",768.152,133.058,51.374,"2,122.563",819.526,33.828748,-91.244427,Desha<br>AR<br>05041
132,133,AR,05043,Drew,Monticello,"18,509","2,145.431",828.356,18.921,7.305,"2,164.352",835.661,33.587242,-91.722778,Drew<br>AR<br>05043
133,134,AR,05045,Faulkner,Conway,"113,237","1,678.013",647.884,41.927,16.188,"1,719.940",664.072,35.146356,-92.324654,Faulkner<br>AR<br>05045
134,135,AR,05047,Franklin,"Charleston, Ozark","18,125","1,576.932",608.857,27.934,10.785,"1,604.866",619.642,35.508573,-93.887672,Franklin<br>AR<br>05047
135,136,AR,05049,Fulton,Salem,"12,245","1,601.114",618.194,5.527,2.134,"1,606.642",620.328,36.383443,-91.819239,Fulton<br>AR<br>05049
136,137,AR,05051,Garland,Hot Springs,"96,024","1,755.445",677.781,147.214,56.840,"1,902.659",734.621,34.578861,-93.146915,Garland<br>AR<br>05051
137,138,AR,05053,Grant,Sheridan,"17,853","1,636.377",631.809,2.904,1.121,"1,639.281",632.930,34.288063,-92.423984,Grant<br>AR<br>05053
138,139,AR,05055,Greene,Paragould,"42,090","1,496.233",577.699,4.827,1.864,"1,501.060",579.563,36.119922,-90.565241,Greene<br>AR<br>05055
139,140,AR,05057,Hempstead,Hope,"22,609","1,884.268",727.520,35.372,13.657,"1,919.640",741.177,33.728611,-93.665809,Hempstead<br>AR<br>05057
140,141,AR,05059,Hot Spring,Malvern,"32,923","1,593.367",615.202,18.053,6.970,"1,611.420",622.172,34.315177,-92.944147,Hot Spring<br>AR<br>05059
141,142,AR,05061,Howard,Nashville,"13,789","1,524.347",588.554,17.509,6.760,"1,541.856",595.314,34.083179,-93.990988,Howard<br>AR<br>05061
142,143,AR,05063,Independence,Batesville,"36,647","1,978.629",763.953,19.594,7.565,"1,998.223",771.518,35.737499,-91.559942,Independence<br>AR<br>05063
143,144,AR,05065,Izard,Melbourne,"13,696","1,503.686",580.577,8.913,3.441,"1,512.599",584.018,36.094879,-91.913625,Izard<br>AR<br>05065
144,145,AR,05067,Jackson,Newport,"17,997","1,641.893",633.938,19.588,7.563,"1,661.481",641.501,35.596605,-91.223178,Jackson<br>AR<br>05067
145,146,AR,05069,Jefferson,Pine Bluff,"77,435","2,255.221",870.746,111.448,43.030,"2,366.668",913.776,34.277696,-91.930701,Jefferson<br>AR<br>05069
146,147,AR,05071,Johnson,Clarksville,"25,540","1,708.883",659.804,59.416,22.940,"1,768.299",682.744,35.573359,-93.466322,Johnson<br>AR<br>05071
147,148,AR,05073,Lafayette,Lewisville,"7,645","1,368.208",528.268,43.539,16.811,"1,411.748",545.079,33.240660,-93.611643,Lafayette<br>AR<br>05073
148,149,AR,05075,Lawrence,Walnut Ridge,"17,415","1,521.913",587.614,12.245,4.728,"1,534.158",592.342,36.041098,-91.101153,Lawrence<br>AR<br>05075
149,150,AR,05077,Lee,Marianna,"10,424","1,560.781",602.621,43.722,16.881,"1,604.503",619.502,34.779750,-90.779288,Lee<br>AR<br>05077
150,151,AR,05079,Lincoln,Star City,"14,134","1,454.321",561.517,27.631,10.668,"1,481.952",572.185,33.957665,-91.727624,Lincoln<br>AR<br>05079
151,152,AR,05081,Little River,Ashdown,"13,171","1,378.530",532.253,84.208,32.513,"1,462.737",564.766,33.699497,-94.229774,Little River<br>AR<br>05081
152,153,AR,05083,Logan,"Booneville, Paris","22,353","1,834.034",708.125,60.696,23.435,"1,894.731",731.560,35.218550,-93.720563,Logan<br>AR<br>05083
153,154,AR,05085,Lonoke,Lonoke,"68,356","1,996.177",770.728,83.170,32.112,"2,079.347",802.840,34.755114,-91.894132,Lonoke<br>AR<br>05085
154,155,AR,05087,Madison,Huntsville,"15,717","2,160.711",834.255,7.316,2.825,"2,168.028",837.080,36.012545,-93.724053,Madison<br>AR<br>05087
155,156,AR,05089,Marion,Yellville,"16,653","1,546.245",597.009,112.175,43.311,"1,658.420",640.320,36.266656,-92.678588,Marion<br>AR<br>05089
156,157,AR,05091,Miller,Texarkana,"43,462","1,620.240",625.578,31.264,12.071,"1,651.504",637.649,33.305505,-93.901509,Miller<br>AR<br>05091
157,158,AR,05093,Mississippi,"Blytheville, Osceola","46,480","2,332.476",900.574,49.826,19.238,"2,382.302",919.812,35.766943,-90.052209,Mississippi<br>AR<br>05093
158,159,AR,05095,Monroe,Clarendon,"8,149","1,572.439",607.122,36.715,14.176,"1,609.154",621.298,34.679513,-91.203314,Monroe<br>AR<br>05095
159,160,AR,05097,Montgomery,Mount Ida,"9,487","2,019.880",779.880,52.860,20.409,"2,072.740",800.289,34.545652,-93.664147,Montgomery<br>AR<br>05097
160,161,AR,05099,Nevada,Prescott,"8,997","1,600.190",617.837,7.258,2.802,"1,607.447",620.639,33.666699,-93.305072,Nevada<br>AR<br>05099
161,162,AR,05101,Newton,Jasper,"8,330","2,126.110",820.896,5.932,2.290,"2,132.042",823.186,35.910063,-93.215084,Newton<br>AR<br>05101
162,163,AR,05103,Ouachita,Camden,"26,120","1,897.900",732.783,18.050,6.969,"1,915.950",739.752,33.591158,-92.878418,Ouachita<br>AR<br>05103
163,164,AR,05105,Perry,Perryville,"10,445","1,428.126",551.402,23.649,9.131,"1,451.775",560.533,34.946363,-92.926877,Perry<br>AR<br>05105
164,165,AR,05107,Phillips,Helena-West Helena,"21,757","1,801.758",695.663,82.056,31.682,"1,883.814",727.345,34.425842,-90.848386,Phillips<br>AR<br>05107
