"","LAT","LON","SPEED","LENGTH","SHIPNAME","SHIP_ID","SHIPTYPE","GT_SHIPTYPE","WIDTH","DWT","DATETIME","PORT","port","date","ship_type","is_parked"
"15",54.52191,18.55034,0,26,"HEL-125",1198107,2,NA,7,NA,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Fishing",1
"16",54.53632,18.51679,5,50,"OCEANOGRAF",4190565,2,NA,14,NA,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Fishing",0
"17",54.70457,20.48367,0,104,"NIVENSKOYE",345587,2,140,16,1810,2016-12-19 10:01:02,"kalingrad","Kalingrad",2016-12-19,"Fishing",1
"18",55.67901,21.1461,1,25,"LBB-6931",353313,2,NA,6,NA,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Fishing",1
"19",59.86835,30.2174,0,25,"ALBATROSS",352381,2,43,6,36,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Fishing",1
"20",54.37538,18.65899,0,97,"CRESTWAY",126010,3,73,21,8180,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"21",54.38783,18.66563,0,35,"BOA ODIN",196066,3,54,15,232,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"22",54.37524,18.66146,1,140,"JAMES COOK",297592,3,81,25,16895,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"23",54.39486,18.67397,0,48,"OCEANIA",315663,3,59,9,106,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"24",54.39945,18.69563,1,35,"ARES",315672,3,54,9,120,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"25",54.39063,18.66908,0,35,"AGIS",315676,3,54,9,100,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"26",54.3903,18.6687,0,36,"ARGO",315677,3,54,9,175,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"27",54.35949,18.67063,0,59,"SM PRC 105",315816,3,113,9,1084,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"28",54.39867,18.69267,0,58,"SM PRC 108",315820,3,113,9,1084,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"29",54.40558,18.66767,0,30,"TAURUS",315869,3,54,10,125,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"30",54.40568,18.65252,2,12,"PILOT21",316052,3,NA,4,NA,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"31",54.4032,18.7298,3,19,"VEGA",352928,3,54,9,52,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"32",54.35615,18.67465,0,64,"GRANIT",466414,3,95,13,999,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"33",54.37695,18.6608,0,101,"SEVEN OSPREY",752901,3,34,21,3104,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"34",54.35734,18.67247,1,71,"SYLUR",753262,3,132,16,3350,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"35",54.39894,18.67906,0,22,"STRAZAK 6",3851201,3,NA,6,NA,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Tug",1
"36",54.40557,18.66765,0,30,"TAURUS",315869,3,54,10,125,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"37",54.41268,18.71997,84,19,"VEGA",352928,3,54,9,52,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",0
"38",54.52402,18.55471,0,91,"BOA BISON",2962,3,28,22,3863,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"39",54.52141,18.55328,0,27,"MEWO NAVIGATOR",201975,3,59,6,0,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"40",54.52202,18.55288,0,59,"OPAL",284483,3,93,15,1343,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"41",54.53592,18.52666,0,55,"MAJA",315660,3,127,25,1018,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"42",54.52379,18.54966,0,16,"PILOT-3",315703,3,NA,5,NA,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"43",54.52044,18.55031,0,22,"TUCANA",315719,3,NA,6,NA,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"44",54.52935,18.52587,0,35,"ODYS",315731,3,54,9,0,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"45",54.52857,18.53045,0,56,"HORYZONT II",316954,3,59,11,288,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"46",54.54311,18.55489,0,85,"ORP BALTYK",316969,3,NA,13,NA,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"47",54.54214,18.55812,5,62,"ORP ARCTOWSKI",317044,3,NA,11,NA,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",0
"48",54.52914,18.53196,0,35,"FAIRPLAY-26",365512,3,54,10,290,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"49",54.53162,18.52297,0,32,"SERVAL",468665,3,54,9,203,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"50",54.53038,18.52861,1,26,"FAIRPLAY IV",917997,3,54,8,0,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"51",54.52427,18.55552,0,91,"BOA JARL",3434115,3,28,22,3790,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Tug",1
"52",54.70116,20.46304,0,138,"TIDEWAY ROLLINGSTONE",262503,3,35,32,14310,2016-12-20 10:11:02,"kalingrad","Kalingrad",2016-12-20,"Tug",1
"53",54.68917,20.38293,0,22,"NADEZHDA",3532420,3,NA,6,NA,2016-12-20 10:11:02,"kalingrad","Kalingrad",2016-12-20,"Tug",1
"54",55.70055,21.12595,0,33,"TAK-9",353357,3,54,11,689,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Tug",1
"55",55.66534,21.14815,0,20,"JURINIS",353576,3,NA,4,NA,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Tug",1
"56",55.70809,21.11389,66,24,"LOTAS",353637,3,NA,6,NA,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Tug",0
"57",55.69947,21.12786,2,28,"TAK-10",3483512,3,54,10,443,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Tug",1
"58",55.7191,21.10164,0,26,"A.BARAUSKAS",3484933,3,NA,6,NA,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Tug",1
"59",55.65938,21.15421,0,60,"NATO WARSHIP M53",3656084,3,NA,9,NA,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Tug",1
"60",55.67995,21.13388,1,32,"T-2",3751563,3,NA,4,NA,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Tug",1
"61",59.88615,30.21156,0,68,"SEMYON DEZHNEV",345244,3,39,18,1141,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"62",59.8894,30.20947,0,129,"KAPITAN NIKOLAEV",345268,3,39,26,4836,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"63",59.88223,30.19495,0,141,"KAPITAN SOROKIN",345312,3,39,31,5138,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"64",59.88914,30.20927,0,135,"ERMAK",345344,3,39,26,7560,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"65",59.91243,30.22547,22,25,"VIKHREVOY",346012,3,54,8,110,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",0
"66",59.90987,30.22301,23,25,"MOSCHNYI",346047,3,54,8,110,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",0
"67",59.91294,30.24337,0,78,"KAPITAN PLAKHIN",346057,3,39,16,258,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"68",59.90913,30.22377,0,30,"TYPHOON",346151,3,NA,9,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"69",59.87813,30.23802,0,29,"GRIFON 3",346161,3,54,8,57,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"70",59.91403,30.2355,65,30,"TORNADO",346208,3,NA,10,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",0
"71",59.90619,30.22101,0,25,"AKMAL",346266,3,54,9,124,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"72",59.91464,30.25965,0,16,"KONSTANTIN",347019,3,NA,4,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"73",59.87828,30.23763,0,25,"GRIFON7",347042,3,54,9,120,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"74",59.87603,30.2024,0,114,"SANKT-PETERBURG",347225,3,39,28,6430,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"75",59.88338,30.18834,0,33,"ARKTUR",347718,3,NA,9,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"76",59.91247,30.23858,0,43,"DMITRY SIROTKIN",348645,3,111,10,266,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"77",59.90639,30.22061,0,30,"BALTIETS",350026,3,NA,6,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"78",59.91011,30.22642,0,110,"GIBRALTAR",350211,3,73,20,6433,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"79",59.87359,30.20345,0,33,"MERKURIY",350530,3,54,10,89,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"80",59.91297,30.24436,0,35,"URAN",350631,3,54,9,89,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"81",59.91276,30.24019,0,74,"KARU",350675,3,39,18,733,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"82",59.91255,30.2419,0,73,"KAPITAN ZARUBIN",350708,3,39,16,262,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"83",59.89727,30.22543,0,20,"LOTSMAN FEDOROV",350882,3,NA,5,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"84",59.90711,30.21811,0,104,"PROFESSOR LOGACHEV",350901,3,59,16,1592,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"85",59.9118,30.24537,0,20,"BGK-326 RIF",350957,3,NA,4,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"86",59.911,30.2365,0,55,"BOGATYR 4",351012,3,127,25,1018,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"87",59.87848,30.19819,0,111,"MUDYUG",351699,3,54,22,2920,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"88",59.88908,30.20896,0,35,"SVIR",987831,3,30,8,455,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"89",59.91128,30.23177,0,28,"LOOKMAN",1039931,3,54,10,575,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"90",59.87519,30.20419,0,119,"VLADIVOSTOK",3562991,3,39,28,5610,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"91",59.87419,30.20608,0,119,"MURMANSK",3611326,3,39,28,5048,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"92",59.93029,30.27216,0,33,"C",3653787,3,54,12,0,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Tug",1
"93",54.35757,18.70431,0,37,"RUBIN",315695,6,23,11,81,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Passenger",1
"94",54.52425,18.5592,0,66,"GLOMAR WAVE",1037103,6,185,14,1321,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Passenger",1
"95",55.71962,21.10498,79,154,"PATRIA SEAWAYS",353350,6,116,24,4758,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Passenger",0
"96",55.65931,21.1437,0,186,"OPTIMA SEAWAYS",353411,6,116,25,7500,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Passenger",1
"97",59.92561,30.23437,0,176,"PRINCESS ANASTASIA",149677,6,116,32,4000,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Passenger",1
"98",59.95503,30.27147,1,99,"MOSKVA-3",348160,6,NA,13,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Passenger",1
"99",59.91051,30.23086,0,130,"VIKING HELGI",349350,6,NA,16,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Passenger",1
"100",59.9108,30.22499,0,129,"VIKING INGVAR",349456,6,NA,17,NA,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Passenger",1
"101",54.38005,18.65504,0,187,"FINNPULP",5628,7,12,26,11170,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"102",54.39222,18.71154,0,289,"ARETHOUSA",123147,7,6,44,169770,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"103",54.3865,18.71267,0,184,"VITIM",145203,7,11,25,22749,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"104",54.37297,18.65725,0,142,"ANGLIA SEAWAYS",156758,7,12,23,4650,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"105",54.40428,18.66745,0,82,"PHANTOM",204427,7,9,12,4500,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"106",54.39253,18.67088,0,133,"DONGEBORG",260071,7,144,15,8867,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"107",54.38665,18.67145,0,82,"THEA MARIEKE",265510,7,9,12,3149,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"108",54.36332,18.66631,0,88,"ALANA EVITA",268459,7,9,11,3261,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"109",54.35763,18.67404,0,59,"SM-PRC-107",316156,7,9,10,1104,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"110",54.38206,18.65624,0,143,"NURI SONAY",335231,7,9,21,12996,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"111",54.37488,18.6593,0,190,"VICTORIA",687226,7,8,32,46931,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"112",54.38363,18.67445,0,224,"HEINA",691174,7,6,32,76598,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"113",54.38732,18.71881,0,368,"APL MERLION",726008,7,11,51,150166,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"114",54.37331,18.64264,0,74,"AGNETHE ARCTICA",4003834,7,9,16,2700,2016-12-20 10:11:02,"gdansk","Gdańsk",2016-12-20,"Cargo",1
"115",54.40436,18.66747,0,82,"PHANTOM",204427,7,9,12,4500,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"116",54.54374,18.50502,0,125,"IDUNA",122006,7,11,21,8820,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"117",54.52525,18.54961,0,210,"CATHARINA SCHULTE",150705,7,11,30,34600,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"118",54.53367,18.54383,0,99,"KAREN C",195991,7,9,15,6250,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"119",54.52887,18.52655,0,89,"WILSON HOLLA",362411,7,9,13,4338,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"120",54.54141,18.52987,0,89,"FRANCISCA",363336,7,9,12,3452,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"121",54.53367,18.53776,0,179,"SEASTAR ENDURANCE",406999,7,6,28,33500,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"122",54.53037,18.53538,1,77,"NINA 1",469525,7,9,9,1485,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"123",54.53637,18.52003,0,94,"FJORDVIK",698727,7,70,14,4081,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"124",54.53463,18.52813,0,225,"LORD BYRON",711847,7,6,32,76838,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"125",54.53923,18.51748,0,190,"PETER PAN",4252519,7,12,29,6555,2016-12-20 09:59:07,"gdynia","Gdynia",2016-12-20,"Cargo",1
"126",54.70414,20.45655,0,151,"NORDIC PHILIP",144106,7,11,23,13031,2016-12-20 10:01:03,"kalingrad","Kalingrad",2016-12-20,"Cargo",1
"127",55.71939,21.10948,0,199,"KONYA",2006,7,6,32,63200,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"128",55.64439,21.16407,0,171,"ANGORA",3062,7,6,27,30046,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"129",55.65423,21.1579,0,107,"EMSRUNNER",124457,7,9,16,5499,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"130",55.66621,21.14716,0,143,"ESL AFRICA",254047,7,9,21,17356,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"131",55.69009,21.13388,0,186,"STRANDJA",285833,7,6,23,29800,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"132",55.71245,21.12027,0,89,"BIRYUZA",348832,7,9,14,5024,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"133",55.64793,21.16299,0,119,"CEMISLE",364500,7,70,16,7121,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"134",55.7036,21.12756,0,81,"BOMAR MOON",364937,7,9,13,2803,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"135",55.71466,21.11522,1,63,"AGOT",377957,7,134,11,1150,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"136",55.69658,21.12828,0,179,"PACIFIC CALM",411868,7,6,29,38123,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"137",55.65109,21.15482,0,189,"AFRICAN CENDANA",687849,7,6,30,46834,2016-12-20 10:11:06,"klaipeda","Klaipeda",2016-12-20,"Cargo",1
"138",59.91423,30.24157,0,180,"POLA UGLICH",2934,7,6,30,37666,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"139",59.89147,30.21502,0,188,"FINNTIDE",5558,7,12,26,11029,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"140",59.89161,30.23556,1,153,"SEAGARD",6046,7,12,20,7226,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"141",59.87917,30.18933,0,158,"EIRA",6065,7,9,24,19625,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"142",59.87014,30.21037,0,134,"X-PRESS ETNA",121902,7,11,22,11257,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"143",59.87977,30.18783,0,199,"BLUEBILL",125326,7,6,23,37332,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"144",59.8932,30.22755,0,134,"RUTH",145641,7,11,22,11253,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"145",59.87077,30.20812,0,121,"BF FORTALEZA",145981,7,11,18,7202,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"146",59.86865,30.21619,0,102,"EYSTNES",182353,7,12,16,4450,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"147",59.89058,30.21352,0,88,"VINGAREN",182428,7,9,13,4748,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"148",59.88178,30.22521,0,89,"FRI PORSGRUNN",204772,7,9,13,3792,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"149",59.90143,30.2227,1,89,"LISTER",205767,7,9,13,4113,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"150",59.87408,30.19664,0,161,"WYBELSUM",205994,7,11,25,17083,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"151",59.91466,30.24981,0,173,"ATLANTIC RUNNER",284882,7,12,23,18731,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"152",59.8953,30.22205,0,98,"KAPITAN MIRONOV",288897,7,9,17,4678,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"153",59.91059,30.23621,0,88,"KAIE",300784,7,9,13,4161,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"154",59.89823,30.21874,0,119,"SORMOVSKIY-3056",346077,7,9,13,3804,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"155",59.90811,30.23159,0,114,"SORMOVSKIY-53",346635,7,9,13,3353,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"156",59.89081,30.20845,0,180,"SEVERNAYA ZEMLYA",347415,7,6,22,23645,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"157",59.88365,30.20643,0,89,"LAZURITE",347528,7,9,14,5026,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"158",59.89773,30.21792,0,88,"BRIN NAVOLOK",347965,7,9,12,1140,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"159",59.87177,30.21339,0,128,"GEOR.POBEDONOSETS",348607,7,9,16,5440,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"160",59.91914,30.26155,0,56,"PL 2",350158,7,12,13,318,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"161",59.9144,30.24477,0,89,"OSTEREMS",359922,7,144,13,3714,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"162",59.89401,30.22038,1,89,"FEHN POLLUX",364663,7,9,13,4250,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"163",59.91375,30.22945,0,178,"HOOD ISLAND",368866,7,21,25,14140,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"164",59.87152,30.20657,0,216,"VALENCIA EXPRESS",370837,7,11,32,34330,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"165",59.90669,30.22186,0,158,"AVELONA STAR",375318,7,21,23,12714,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"166",59.87385,30.20194,0,237,"MSC SANTHYA",416514,7,11,32,46600,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"167",59.89656,30.2239,0,150,"BALTIC PRIME",468082,7,21,22,10742,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"168",59.89594,30.22648,0,189,"KNOSSOS",547677,7,6,32,56763,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"169",59.88212,30.19687,0,178,"BOMAR VALOUR",714523,7,11,26,22300,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
"170",59.91063,30.22342,23,149,"BALTIC HEATHER",755883,7,21,22,10114,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",0
"171",59.8695,30.2185,0,150,"BALTIC PIONEER",756184,7,21,22,10532,2016-12-20 10:11:04,"st_petersburg","St. Petersburg",2016-12-20,"Cargo",1
