year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro
1876,NL,PHN,ATH,,7,60,,14,45,,,N,,378,2387,646,79,35,7,27.0,36.0,,,,,534,197,3.22,53,1,2,1650,783,2,41,22,456,32,0.839,Philadelphia Athletics,Jefferson Street Grounds,,104,104,ATH,PHN,PHN
1876,NL,SL3,SBS,,3,64,,45,19,,,N,,386,2478,642,73,27,2,59.0,63.0,,,,,229,78,1.22,63,16,0,1731,472,3,39,103,268,33,0.902,St. Louis Brown Stockings,Sportsman's Park I,,93,92,STL,SL3,SL3
1877,NL,BSN,ATL,,1,61,,42,18,,,Y,,419,2368,700,91,37,4,65.0,121.0,,,,,263,131,2.15,61,7,0,1644,557,5,38,177,290,36,0.889,Boston Red Caps,South End Grounds I,,104,100,BSN,BSN,BSN
1877,NL,CHN,CHC,,5,60,,26,33,,,N,,366,2273,633,79,30,0,57.0,111.0,,,,,375,200,3.37,45,3,3,1602,630,7,58,92,313,43,0.883,Chicago White Stockings,23rd Street Grounds,,112,106,CHC,CHN,CHN
1877,NL,CN1,CNR,,6,58,,15,42,,,N,,291,2135,545,72,34,6,78.0,110.0,,,,,485,240,4.19,48,1,1,1545,747,4,61,85,394,33,0.851,Cincinnati Reds,Avenue Grounds,,89,94,CIN,CN1,CN1
1877,NL,HAR,HAR,,3,60,,31,27,,,N,,341,2358,637,63,31,4,30.0,97.0,,,,,311,140,2.32,59,4,0,1632,572,2,56,99,313,32,0.885,Hartford Dark Blues,Union Grounds (Brooklyn),,90,87,HAR,HAR,HAR
1877,NL,LS1,LGR,,2,61,,35,25,,,N,,339,2355,659,75,36,9,58.0,140.0,,,,,288,140,2.25,61,4,0,1677,617,4,41,141,267,37,0.904,Louisville Grays,Louisville Baseball Park,,117,117,LOU,LS1,LS1
1877,NL,SL3,SBS,,4,60,,28,32,,,N,,284,2178,531,51,36,1,57.0,147.0,,,,,318,160,2.66,52,1,0,1623,582,2,92,132,281,29,0.892,St. Louis Brown Stockings,Sportsman's Park I,,95,93,STL,SL3,SL3
1878,NL,BSN,ATL,,1,60,,41,19,,,Y,,298,2220,535,75,25,2,35.0,154.0,,,,,241,140,2.32,58,9,0,1632,595,6,38,184,228,48,0.914,Boston Red Caps,South End Grounds I,,108,102,BSN,BSN,BSN
1878,NL,CHN,CHC,,4,61,,30,30,,,N,,371,2333,677,91,20,3,88.0,157.0,,,,,331,145,2.37,61,1,0,1653,577,4,35,175,304,37,0.891,Chicago White Stockings,Lake Front Park I,,106,105,CHC,CHN,CHN
1878,NL,CN1,CNR,,2,61,,37,23,,,N,,333,2281,629,67,22,5,58.0,141.0,,,,,281,112,1.84,61,6,0,1644,546,2,63,220,269,37,0.9,Cincinnati Reds,Avenue Grounds,,91,92,CIN,CN1,CN1
1878,NL,IN1,IBL,,5,63,,24,36,,,N,,293,2300,542,76,15,3,64.0,197.0,,,,,328,149,2.32,59,2,1,1734,621,3,87,182,290,37,0.898,Indianapolis Blues,South Street Park,,87,89,IND,IN1,IN1
1878,NL,ML2,MLG,,6,61,,15,45,,,N,,256,2212,552,65,20,2,69.0,214.0,,,,,386,158,2.6,54,1,0,1641,589,3,55,147,376,32,0.866,Milwaukee Grays,Eclipse Park II,,106,113,MLG,ML2,ML2
1878,NL,PRO,PRO,,3,62,,33,27,,,N,,353,2298,604,107,30,8,50.0,218.0,,,,,337,147,2.38,59,6,0,1668,609,5,86,173,311,42,0.892,Providence Grays,Messer Street Grounds,,100,96,PRO,PRO,PRO
1879,NL,BFN,BUF,,3,79,,46,32,,,N,,394,2906,733,105,54,2,78.0,314.0,,,,,365,185,2.34,78,8,0,2139,698,3,47,198,331,62,0.906,Buffalo Bisons,Riverside Park,,102,105,BUF,BFN,BFN
1879,NL,BSN,ATL,,2,84,,54,30,,,N,,562,3217,883,138,51,20,90.0,222.0,,,,,348,183,2.19,79,13,0,2259,757,9,46,230,319,58,0.913,Boston Red Caps,South End Grounds I,,102,100,BSN,BSN,BSN
1879,NL,CHN,CHC,,4,83,,46,33,,,N,,437,3116,808,167,32,3,73.0,294.0,,,,,411,203,2.46,82,6,0,2232,762,5,57,211,381,52,0.9,Chicago White Stockings,Lake Front Park I,,106,103,CHC,CHN,CHN
1879,NL,CL2,CBL,,6,82,,27,55,,,N,,322,2987,666,116,29,4,37.0,214.0,,,,,461,218,2.65,79,3,0,2223,818,4,116,287,406,42,0.889,Cleveland Blues,Kennard Street Park,,99,100,CLV,CL2,CL2
1879,NL,CN1,CNR,,5,81,,43,37,,,N,,485,3085,813,127,53,8,66.0,207.0,,,,,464,185,2.29,79,4,0,2178,756,11,81,246,450,48,0.878,Cincinnati Reds,Avenue Grounds,,95,94,CIN,CN1,CN1
1879,NL,PRO,PRO,,1,85,,59,25,,,Y,,612,3392,1003,142,55,12,91.0,172.0,,,,,355,188,2.18,73,3,2,2328,765,9,62,329,382,41,0.902,Providence Grays,Messer Street Grounds,,99,95,PRO,PRO,PRO
1879,NL,SR1,SYR,,7,71,,22,48,,,N,,276,2611,592,61,19,5,28.0,238.0,,,,,462,230,3.19,64,5,0,1947,775,4,52,132,398,37,0.873,Syracuse Stars,Newell Park,,89,95,SYR,SR1,SR1
1879,NL,TRN,TRT,,8,77,,19,56,,,N,,321,2841,673,102,24,4,45.0,182.0,,,,,543,216,2.8,75,3,0,2085,840,13,47,210,460,44,0.875,Troy Trojans,Putnam Grounds,,93,100,TRO,TRN,TRN
1880,NL,BFN,BUF,,7,85,,24,58,,,N,,331,2962,669,104,37,3,90.0,327.0,,,,,502,254,3.09,72,6,1,2217,879,10,78,186,408,55,0.891,Buffalo Bisons,Riverside Park,,102,103,BUF,BFN,BFN
1880,NL,BSN,ATL,,6,86,,40,44,,,N,,416,3080,779,134,41,20,105.0,221.0,,,,,456,255,3.08,70,4,0,2234,840,2,86,187,367,54,0.901,Boston Red Caps,South End Grounds I,,97,96,BSN,BSN,BSN
1880,NL,CHN,CHC,,1,86,,67,17,,,Y,,538,3135,876,164,39,4,104.0,217.0,,,,,317,166,1.93,80,8,3,2325,622,8,129,367,329,41,0.913,Chicago White Stockings,Lake Front Park I,,106,102,CHC,CHN,CHN
1880,NL,CL2,CBL,,3,85,,47,37,,,N,,387,3002,726,130,52,7,76.0,237.0,,,,,337,160,1.9,83,7,1,2279,685,4,98,289,330,52,0.91,Cleveland Blues,Kennard Street Park,,98,99,CLV,CL2,CL2
1880,NL,CN1,CNR,,8,83,,21,59,,,N,,296,2895,649,91,36,7,75.0,267.0,,,,,472,193,2.44,79,3,0,2140,785,10,88,208,437,49,0.877,Cincinnati Reds,Bank Street Grounds,,98,104,CIN,CN1,CN4
1880,NL,PRO,PRO,,2,87,,52,32,,,N,,419,3196,793,114,34,8,89.0,186.0,,,,,299,146,1.64,75,13,3,2397,663,7,51,286,357,53,0.91,Providence Grays,Messer Street Grounds,,97,93,PRO,PRO,PRO
1880,NL,TRN,TRT,,4,83,,41,42,,,N,,392,3007,755,114,37,5,120.0,260.0,,,,,438,225,2.74,81,4,0,2214,760,8,112,169,366,58,0.9,Troy Trojans,Haymakers' Grounds,,105,106,TRO,TRN,TRN
1880,NL,WOR,WOR,,5,85,,40,43,,,N,,412,3024,699,129,52,8,81.0,278.0,,,,,370,192,2.27,68,7,5,2288,709,13,97,297,355,49,0.906,Worcester Ruby Legs,Worcester Driving Park Grounds,,108,109,WOR,WOR,WOR
1881,NL,BFN,BUF,,3,83,,45,38,,,N,,440,3019,797,157,50,12,108.0,270.0,,,,,447,234,2.84,72,5,0,2227,881,9,89,185,408,48,0.892,Buffalo Bisons,Riverside Park,,99,100,BUF,BFN,BFN
1881,NL,BSN,ATL,,6,83,,38,45,,,N,,347,2916,733,121,27,5,110.0,193.0,,,,,410,220,2.71,72,6,3,2192,763,9,143,199,325,54,0.909,Boston Red Caps,South End Grounds I,,96,96,BSN,BSN,BSN
1881,NL,CHN,CHC,,1,84,,56,28,,,Y,,550,3114,918,157,36,12,140.0,224.0,,,,,380,201,2.43,81,9,0,2234,722,14,122,228,309,54,0.916,Chicago White Stockings,Lake Front Park I,,105,99,CHC,CHN,CHN
1881,NL,CL2,CBL,,7,85,,36,48,,,N,,392,3117,796,120,39,7,132.0,224.0,,,,,414,226,2.68,82,2,0,2280,737,9,126,240,348,68,0.904,Cleveland Blues,Kennard Street Park,,95,95,CLV,CL2,CL2
1881,NL,DTN,DTN,,4,84,,41,43,,,N,,440,2995,780,131,53,17,136.0,250.0,,,,,429,219,2.65,83,10,0,2234,785,8,137,265,338,80,0.906,Detroit Wolverines,Recreation Park,,104,105,DTN,DTN,DTN
1881,NL,PRO,PRO,,2,85,,47,37,,,N,,447,3077,780,144,37,11,146.0,214.0,,,,,426,202,2.4,76,7,0,2273,756,5,138,264,390,66,0.896,Providence Grays,Messer Street Grounds,,98,96,PRO,PRO,PRO
1881,NL,TRN,TRT,,5,85,,39,45,,,N,,399,3046,754,124,31,5,140.0,240.0,,,,,427,254,2.96,85,8,0,2313,805,11,161,207,311,70,0.917,Troy Trojans,Haymakers' Grounds,,105,106,TRO,TRN,TRN
1881,NL,WOR,WOR,,8,83,,32,50,,,N,,410,3093,781,114,31,7,121.0,169.0,,,,,492,290,3.54,80,5,0,2212,882,11,120,196,353,50,0.903,Worcester Ruby Legs,Worcester Driving Park Grounds,,105,108,WOR,WOR,WOR
1882,NL,BFN,BUF,,3,84,,45,39,,,N,,500,3128,858,146,47,18,116.0,228.0,,,,,461,266,3.25,79,3,0,2211,778,16,114,287,315,42,0.91,Buffalo Bisons,Riverside Park,,102,101,BUF,BFN,BFN
1882,AA,BL2,BLO,,6,74,,19,54,,,N,,272,2579,537,58,23,4,73.0,217.0,,,,,513,278,3.88,64,1,0,1936,755,15,110,112,490,39,0.859,Baltimore Orioles,Newington Park,,90,100,BAL,BL2,BL5
1882,NL,BSN,ATL,,3,85,,45,39,,,N,,472,3118,823,114,50,15,134.0,244.0,,,,,414,233,2.8,81,4,0,2247,738,10,77,352,314,37,0.91,Boston Red Caps,South End Grounds I,,100,98,BSN,BSN,BSN
1882,NL,CHN,CHC,,1,84,,55,29,,,Y,,604,3225,892,209,54,15,142.0,262.0,,,,,353,188,2.22,83,7,0,2291,667,13,102,279,376,54,0.898,Chicago White Stockings,Lake Front Park I/Lake Front Park II,,105,99,CHC,CHN,CHN
1882,NL,CL2,CBL,,5,84,,42,40,,,N,,402,3009,716,139,40,20,122.0,261.0,,,,,411,230,2.75,81,4,0,2255,743,22,132,232,358,71,0.905,Cleveland Blues,Kennard Street Park,,97,97,CLV,CL2,CL2
1882,AA,CN2,CIN,,1,80,,55,25,,,Y,,489,3007,795,95,47,5,102.0,204.0,,,,,268,132,1.65,77,11,0,2164,609,7,125,165,332,41,0.907,Cincinnati Red Stockings,Bank Street Grounds,,106,99,CIN,CN2,CN2
1882,NL,DTN,DTN,,5,86,,42,41,,,N,,407,3144,724,117,44,19,122.0,308.0,,,,,488,263,2.98,82,7,0,2379,808,19,129,354,396,44,0.893,Detroit Wolverines,Recreation Park,,100,101,DTN,DTN,DTN
1882,AA,LS2,LOU,,2,79,,42,38,,,N,,443,2806,728,110,28,9,128.0,193.0,,,,,352,156,2.03,73,6,0,2080,637,6,112,240,385,57,0.893,Louisville Eclipse,Eclipse Park I,,95,93,LOU,LS2,LS2
1882,AA,PH4,PHA,,3,75,,41,34,,,N,,406,2707,660,89,21,5,125.0,164.0,,,,,389,219,2.97,72,2,0,1989,682,13,99,190,361,36,0.895,Philadelphia Athletics,Oakdale Park,,110,110,PHA,PH4,PH4
1882,NL,PRO,PRO,,2,84,,52,32,,,N,,463,3104,776,121,53,11,102.0,255.0,,,,,356,190,2.27,80,10,1,2256,690,12,87,273,371,67,0.901,Providence Grays,Messer Street Grounds,,100,98,PRO,PRO,PRO
1882,AA,PT1,PIT,,4,79,,39,39,,,N,,426,2889,725,106,59,18,92.0,182.0,,,,,417,216,2.8,77,2,0,2086,696,4,83,253,394,40,0.889,Pittsburg Alleghenys,Exposition Park I,,100,99,PIT,PT1,PT1
1882,AA,SL4,STL,,5,79,,37,43,,,N,,399,2865,663,87,41,11,112.0,226.0,,,,,496,223,2.92,75,3,1,2065,729,7,103,225,446,41,0.875,St. Louis Brown Stockings,Sportsman's Park I,,104,104,STL,SL4,SL4
1882,NL,TRN,TRT,,7,85,,35,48,,,N,,430,3057,747,116,59,12,109.0,298.0,,,,,522,259,3.08,81,6,0,2274,836,13,165,184,432,70,0.887,Troy Trojans,Troy Ball Club Grounds,,95,98,TRO,TRN,TRN
1882,NL,WOR,WOR,,8,84,,18,66,,,N,,379,2984,689,109,57,16,113.0,303.0,,,,,652,308,3.75,75,0,0,2215,964,21,151,195,468,66,0.878,Worcester Ruby Legs,Worcester Driving Park Grounds,,102,107,WOR,WOR,WOR
1883,NL,BFN,BUF,,5,98,,52,45,,,N,,614,3729,1058,184,59,8,147.0,342.0,,,,,576,317,3.32,90,5,2,2578,971,12,101,362,445,52,0.896,Buffalo Bisons,Riverside Park,,102,101,BUF,BFN,BFN
