Author,n (strains),publication title,journal,publication URL,strains
Alvarez et al.,5,?,,unknown,DENV2/VENEZUELA/61154/2007 DENV2/VENEZUELA/61115/2007 DENV2/VENEZUELA/61136/2007 DENV2/VENEZUELA/61069/2006 DENV2/CUBA/BA205/1997
Birren et al.,3,?,,unknown,DENV2/MEXICO/BIDV7542/2007 DENV2/MEXICO/BIDV8199/2011 DENV2/MEXICO/BIDV7537/2010
Cartin et al.,3,?,,unknown,DENV2/IRELAND/43493IRL/2011 DENV2/IRELAND/03996IRL/2011 DENV2/IRELAND/080388IRL/2010
Abhyankar et al.,3,?,,unknown,DENV2/INDIA/GWL39DI/2001 DENV2/INDIA/GWL18DI/2001 DENV2/INDIA/GWL81DI/2001
Tan et al.,1,?,,unknown,DENV2/CHINA/ZH1340/2008
Lardo et al.,1,?,,unknown,DENV2/INDONESIA/JKTAD001A/2013
Deng et al.,2,?,,unknown,DENV2/CHINA/GZ40/2010 DENV2/CHINA/GZ32/2010
Aung et al.,2,?,,unknown,DENV2/MYANMAR/MYEIK33/2015 DENV2/MYANMAR/MANDALAY146/2015
Cadar et al.,7,?,,unknown,DENV2/INDIA/766/2015 DENV2/INDIA/2627/2006 DENV2/PHILIPPINES/3519/2010 DENV2/PHILIPPINES/973/2009 DENV2/PHILIPPINES/14706/2010 DENV2/TANZANIA/6478/2014 DENV2/GUATEMALA/30/2010
Munoz-Jordan et al.,3,?,,unknown,DENV2/FIJI/FIDB181/2014 DENV2/FIJI/FIDB180/2014 DENV2/FIJI/FIDB179/2014
Alvarado et al.,125,?,,unknown,DENV2/SRI_LANKA/BIDV2416/1996 DENV2/SRI_LANKA/BIDV2422/2004 DENV2/SRI_LANKA/BIDV2421/2003 DENV2/INDIA/BIDV2961/2006 DENV2/BURKINA_FASO/BIDV3502/1986 DENV2/GUAM/BIDV2950/2001 DENV2/VIETNAM/BIDV735/2006 DENV2/USA/BIDV5411/2006 DENV2/USA/BIDV5412/2007 DENV2/THAILAND/BIDV1498/1994 DENV2/THAILAND/BIDV2305/2001 DENV2/THAILAND/BIDV3499/1996 DENV2/CAMBODIA/BIDV3924/2008 DENV2/CAMBODIA/BIDV4265/2007 DENV2/THAILAND/BIDV2299/2001 DENV2/VIETNAM/BIDV1003/2006 DENV2/VIETNAM/BIDV1511/2007 DENV2/CAMBODIA/BIDV3799/2008 DENV2/CAMBODIA/BIDV2068/2008 DENV2/CAMBODIA/BIDV2024/2002 DENV2/VIETNAM/BIDV2947/1988 DENV2/PUERTO_RICO/BIDV1164/1986 DENV2/PUERTO_RICO/BIDV1163/1986 DENV2/PUERTO_RICO/BIDV1170/1987 DENV2/PUERTO_RICO/BIDV1167/1987 DENV2/PUERTO_RICO/BIDV851/1990 DENV2/PUERTO_RICO/BIDV855/1992 DENV2/PUERTO_RICO/BIDV684/1994 DENV2/PUERTO_RICO/BIDV1356/1993 DENV2/PUERTO_RICO/BIDV1188/1990 DENV2/PUERTO_RICO/BIDV1183/1990 DENV2/PUERTO_RICO/BIDV1060/1989 DENV2/PUERTO_RICO/BIDV1179/1989 DENV2/PUERTO_RICO/BIDV1178/1989 DENV2/PUERTO_RICO/BIDV1360/1993 DENV2/PUERTO_RICO/BIDV1176/1988 DENV2/PUERTO_RICO/BIDV690/1988 DENV2/PUERTO_RICO/BIDV685/1988 DENV2/USA/BIDV2948/1990 DENV2/PUERTO_RICO/BIDV1378/1996 DENV2/PUERTO_RICO/BIDV1385/1996 DENV2/PUERTO_RICO/BIDV1427/1999 DENV2/PUERTO_RICO/BIDV1376/1996 DENV2/PUERTO_RICO/BIDV1367/1995 DENV2/PUERTO_RICO/BIDV1409/1997 DENV2/PUERTO_RICO/BIDV1392/1998 DENV2/PUERTO_RICO/BIDV1461/2000 DENV2/PUERTO_RICO/BIDV1464/2000 DENV2/PUERTO_RICO/BIDV1463/2000 DENV2/PUERTO_RICO/BIDV591/2002 DENV2/PUERTO_RICO/BIDV1469/2001 DENV2/PUERTO_RICO/BIDV592/2002 DENV2/PUERTO_RICO/BIDV1432/2004 DENV2/PUERTO_RICO/BIDV1492/2003 DENV2/PUERTO_RICO/BIDV1487/2003 DENV2/PUERTO_RICO/BIDV1486/2003 DENV2/PUERTO_RICO/BIDV1497/2005 DENV2/PUERTO_RICO/BIDV1045/2005 DENV2/PUERTO_RICO/BIDV1435/2004 DENV2/PUERTO_RICO/BIDV1436/2004 DENV2/PUERTO_RICO/BIDV1440/2005 DENV2/PUERTO_RICO/BIDV594/2006 DENV2/PUERTO_RICO/BIDV1031/2006 DENV2/PUERTO_RICO/BIDV1036/2006 DENV2/PUERTO_RICO/BIDV1412/2007 DENV2/VENEZUELA/BIDV3496/1990 DENV2/VENEZUELA/BIDV3365/1991 DENV2/VENEZUELA/BIDV3364/1991 DENV2/VENEZUELA/BIDV1456/1996 DENV2/VENEZUELA/BIDV3497/1991 DENV2/SPAIN/BIDV3368/1998 DENV2/PUERTO_RICO/BIDV1373/1995 DENV2/BRAZIL/BIDV2376/2000 DENV2/PUERTO_RICO/BIDV1087/1991 DENV2/PUERTO_RICO/BIDV1166/1987 DENV2/BRAZIL/BIDV2390/2004 DENV2/BRAZIL/BIDV2379/2001 DENV2/BRAZIL/BIDV2396/2006 DENV2/BRAZIL/BIDV2386/2003 DENV2/BRAZIL/BIDV2385/2003 DENV2/BRAZIL/BIDV2382/2002 DENV2/SPAIN/BIDV3369/1999 DENV2/VENEZUELA/BIDV1457/1996 DENV2/VENEZUELA/BIDV2942/2000 DENV2/VENEZUELA/BIDV2161/2001 DENV2/VENEZUELA/BIDV2216/2003 DENV2/VENEZUELA/BIDV2262/2006 DENV2/SPAIN/BIDV3374/2007 DENV2/SPAIN/BIDV3375/2007 DENV2/COLOMBIA/BIDV3372/2005 DENV2/SPAIN/BIDV3370/2004 DENV2/VENEZUELA/BIDV2944/2005 DENV2/VENEZUELA/BIDV2246/2005 DENV2/VENEZUELA/BIDV2424/2004 DENV2/BELIZE/BIDV2952/2002 DENV2/MEXICO/BIDV3768/2004 DENV2/NICARAGUA/BIDV3227/2008 DENV2/NICARAGUA/BIDV1721/2008 DENV2/NICARAGUA/BIDV4915/2009 DENV2/NICARAGUA/BIDV1225/2007 DENV2/NICARAGUA/BIDV2596/2006 DENV2/NICARAGUA/BIDV1755/2007 DENV2/NICARAGUA/BIDV2599/2006 DENV2/NICARAGUA/BIDV571/2006 DENV2/SPAIN/BIDV2666/2000 DENV2/SPAIN/BIDV2344/2000 DENV2/SPAIN/BIDV2346/2000 DENV2/NICARAGUA/BIDV2674/2001 DENV2/NICARAGUA/BIDV2657/2000 DENV2/SPAIN/BIDV2361/2001 DENV2/NICARAGUA/BIDV2673/2001 DENV2/NICARAGUA/BIDV2362/2000 DENV2/NICARAGUA/BIDV2658/2000 DENV2/NICARAGUA/BIDV528/2005 DENV2/NICARAGUA/BIDV668/2004 DENV2/NICARAGUA/BIDV627/2004 DENV2/NICARAGUA/BIDV533/2005 DENV2/NICARAGUA/BIDV4914/2009 DENV2/PUERTO_RICO/BIDV1033/1998 DENV2/PUERTO_RICO/BIDV1425/1999 DENV2/PUERTO_RICO/BIDV1428/1999 DENV2/PUERTO_RICO/BIDV1413/2007 DENV2/USA/BIDV2960/2005 DENV2/BRAZIL/BIDV3481/2008 DENV2/BRAZIL/BIDV3648/2008
Galan-Huertas et al.,4,?,,unknown,DENV2/MEXICO/DB152/2011 DENV2/MEXICO/DB149/2011 DENV2/MEXICO/DB153/2012 DENV2/MEXICO/DB148/2012
AbouHaider et al.,4,?,,unknown,DENV2/PAKISTAN/A2/2011 DENV2/PAKISTAN/A1/2011 DENV2/PAKISTAN/SWAT02/2013 DENV2/PAKISTAN/SWAT01/2013
Lo et al.,2,?,,unknown,DENV2/SINGAPORE/1158/2008 DENV2/SINGAPORE/0099/2007
Ke et al.,3,?,,unknown,DENV2/INDIA/3458DIA/2013 DENV2/CHINA/GD31PHILIPPINES/2013 DENV2/CHINA/GD3205FOSHAN/2013
Li et al.,3,?,,unknown,DENV2/CHINA/4003/2014 DENV2/CHINA/4070/2014 DENV2/CHINA/4115/2014
Giang et al.,21,?,,unknown,DENV2/VIETNAM/A064/2009 DENV2/VIETNAM/FG6448/2009 DENV2/VIETNAM/A087/2009 DENV2/VIETNAM/A034/2009 DENV2/VIETNAM/FG6430/2009 DENV2/VIETNAM/A006/2009 DENV2/VIETNAM/FG6429/2009 DENV2/VIETNAM/FG6019/2008 DENV2/VIETNAM/MD116HN/2008 DENV2/VIETNAM/MD002HN/2008 DENV2/VIETNAM/MD060HN/2008 DENV2/VIETNAM/MD053HN/2008 DENV2/VIETNAM/FG6284/2008 DENV2/VIETNAM/FG6275/2009 DENV2/VIETNAM/FG6064/2008 DENV2/VIETNAM/FG6069/2008 DENV2/VIETNAM/FG6229/2008 DENV2/VIETNAM/FG6307/2009 DENV2/VIETNAM/FG6339/2009 DENV2/VIETNAM/FG6428/2009 DENV2/VIETNAM/A089/2009
Anupriya et al.,2,?,,unknown,DENV2/INDIA/RGCB880/2010 DENV2/INDIA/RGCB92/2011
Balmaseda et al.,2,?,,unknown,DENV2/NICARAGUA/BIDV2921/1999 DENV2/NICARAGUA/BIDV645/2005
Alfonso et al.,1,?,,unknown,DENV2/BRAZIL/RPRMB/2009
Ali et al.,9,?,,unknown,DENV2/BANGLADESH/H29/2009 DENV2/BANGLADESH/H127/2007 DENV2/BANGLADESH/H64/2008 DENV2/BANGLADESH/H17/2009 DENV2/BANGLADESH/H86/2008 DENV2/BANGLADESH/H83/2006 DENV2/BANGLADESH/H21/2006 DENV2/BANGLADESH/H54/2008 DENV2/BANGLADESH/H16/2009
Yan et al.,1,?,,unknown,DENV2/CHINA/D07035/2007
Nakayama et al.,1,?,,unknown,DENV2/INDONESIA/NIID24/2015
Camacho-Nuez et al.,1,?,,unknown,DENV2/MEXICO/OAX1038/2005
Bhamarapravati et al.,1,?,,unknown,DENV2/THAILAND/PDK53/1983
Anez et al.,1,?,,unknown,DENV2/GUATEMALA/GUFDAGUA/2009
Santos et al.,1,?,,unknown,DENV2/BRAZIL/NA/2001
Alonso et al.,1,?,,unknown,DENV2/SINGAPORE/Y98PPP1/2009
An et al.,3,?,,unknown,DENV2/CHINA/GZ615/2014 DENV2/CHINA/GZ574/2014 DENV2/CHINA/GZ571/2014
Hapuarachchi et al.,12,?,,unknown,DENV2/PAKISTAN/51/2008 DENV2/PAKISTAN/3/2011 DENV2/PAKISTAN/82/2009 DENV2/PAKISTAN/78/2009 DENV2/PAKISTAN/2/2009 DENV2/PAKISTAN/55/2008 DENV2/PAKISTAN/4/2011 DENV2/PAKISTAN/23/2011 DENV2/SINGAPORE/09423/2014 DENV2/SINGAPORE/09087/2015 DENV2/SINGAPORE/0466/2007 DENV2/SINGAPORE/03157/2013
Amreeta et al.,3,?,,unknown,DENV2/MALAYSIA/TM132/2014 DENV2/MALAYSIA/TM107/2014 DENV2/MALAYSIA/TM38/2014
Choudhary et al.,3,?,,unknown,DENV2/INDIA/ILBS02/2015 DENV2/INDIA/ILBS07/2015 DENV2/INDIA/ILBS05/2015
Couissinier-Paris et al.,1,?,,unknown,DENV2/MARTINIQUE/IMTSSAMART703/1998
Araujo et al.,18,?,,unknown,DENV2/BRAZIL/SJRP350/2008 DENV2/BRAZIL/DGV34/2010 DENV2/BRAZIL/ACS721/2010 DENV2/BRAZIL/ACS538/2010 DENV2/BRAZIL/ACS542/2010 DENV2/BRAZIL/DGV69/2010 DENV2/BRAZIL/DGV106/2010 DENV2/BRAZIL/SJRP779/2013 DENV2/BRAZIL/SJRP869/2013 DENV2/BRAZIL/SJRP846/2013 DENV2/BRAZIL/SJRP327/2006 DENV2/BRAZIL/SJRP572/2012 DENV2/BRAZIL/SJRP615/2013 DENV2/BRAZIL/SJRP567/2012 DENV2/BRAZIL/DGV91/2010 DENV2/BRAZIL/ACS380/2010 DENV2/BRAZIL/DGV37/2010 DENV2/BRAZIL/SJRP2298/2014
Medina et al.,8,?,,unknown,DENV2/MICRONESIA/YPDB106/2011 DENV2/MICRONESIA/YPDB105/2011 DENV2/PUERTO_RICO/DB096/2010 DENV2/PUERTO_RICO/DB097/2010 DENV2/EL_SALVADOR/DB1/2012 DENV2/PUERTO_RICO/DB188/2013 DENV2/PUERTO_RICO/DB189/2013 DENV2/PUERTO_RICO/DB190/2013
Corwin et al.,2,?,,unknown,DENV2/INDONESIA/900663/1998 DENV2/INDONESIA/900665/1998
Escobar-Gutierrez et al.,1,?,,unknown,DENV2/MEXICO/CAM7786/2002
Aaskov et al.,6,?,,unknown,DENV2/AUSTRALIA/QML16/2015 DENV2/THAILAND/16681PDK53/1983 DENV2/CAMBODIA/D2T0601085/2009 DENV2/VIETNAM/AC21/2003 DENV2/VIETNAM/AC20/2003 DENV2/BRAZIL/BR161/2004
Abd-Alla et al.,1,?,,unknown,DENV2/SAUDI_ARABIA/JEDDAH/2014
Akari et al.,2,?,,unknown,DENV2/JAPAN/MALDIVES77NIID/2008 DENV2/JAPAN/JAMAICA77NIID/2007
Agarwal et al.,3,?,,unknown,DENV2/INDIA/1392/2009 DENV2/INDIA/RR44/2009 DENV2/INDIA/OD2112/2011
Broos et al.,1,?,,unknown,DENV2/PAPUA_NEW_GUINEA/NA/2009
Harris et al.,1,?,,unknown,DENV2/BRAZIL/64022/1998
Northill et al.,12,?,,unknown,DENV2/INDIA/IDA/2003 DENV2/INDIA/DIA/2010 DENV2/PAPUA_NEW_GUINEA/NA/2003 DENV2/AUSTRALIA/CAIRNS/2008 DENV2/AUSTRALIA/TOWNSVILLEA/2010 DENV2/AUSTRALIA/CAIRNS/2006 DENV2/AUSTRALIA/CAIRNS/2004 DENV2/AUSTRALIA/TORRESSTRAIT/2003 DENV2/PAPUA_NEW_GUINEA/B/2010 DENV2/PAPUA_NEW_GUINEA/A/2010 DENV2/AUSTRALIA/KURANDA/2002 DENV2/AUSTRALIA/CAIRNSB/2003
Chinnawirotpisan et al.,42,?,,unknown,DENV2/THAILAND/0133/1978 DENV2/THAILAND/0306/1977 DENV2/THAILAND/0038/1974 DENV2/THAILAND/0144/1977 DENV2/THAILAND/0051/1978 DENV2/THAILAND/0004/1981 DENV2/THAILAND/0299/1979 DENV2/THAILAND/0498/1984 DENV2/THAILAND/0195/1982 DENV2/THAILAND/0025/1981 DENV2/THAILAND/0014/1979 DENV2/THAILAND/0168/1979 DENV2/THAILAND/0184/1980 DENV2/THAILAND/0015/1984 DENV2/THAILAND/0191/1981 DENV2/THAILAND/0099/1982 DENV2/THAILAND/0010/1982 DENV2/THAILAND/0185/1983 DENV2/THAILAND/0188/1985 DENV2/THAILAND/0183/1980 DENV2/THAILAND/0501/1984 DENV2/THAILAND/0021/1986 DENV2/THAILAND/0263/1992 DENV2/THAILAND/0169/1986 DENV2/THAILAND/0433/1985 DENV2/THAILAND/0026/1988 DENV2/THAILAND/0327/1985 DENV2/THAILAND/0914/1997 DENV2/THAILAND/0055/1999 DENV2/THAILAND/0738/1987 DENV2/THAILAND/0263/1995 DENV2/THAILAND/1121/1987 DENV2/THAILAND/0405/1991 DENV2/THAILAND/K0194/1990 DENV2/THAILAND/0562/1991 DENV2/THAILAND/1136/1990 DENV2/THAILAND/0017/1998 DENV2/THAILAND/0021/1992 DENV2/THAILAND/0240/1991 DENV2/THAILAND/0078/2001 DENV2/THAILAND/0372/1988 DENV2/THAILAND/0284/1990
Anzai et al.,2,?,,unknown,DENV2/DOMINICAN_REPUBLIC/DR59/2001 DENV2/DOMINICAN_REPUBLIC/DR23/2001
Barrett et al.,1,?,,unknown,DENV2/VIETNAM/CNS36/1995
Chen et al.,36,?,,unknown,DENV2/CHINA/FJ11/1999 DENV2/TAIWAN/1008/2004 DENV2/TAIWAN/22080913/2002 DENV2/TAIWAN/19450818/2002 DENV2/TAIWAN/21910912/2002 DENV2/CHINA/ZJ02/2010 DENV2/CHINA/CZ23/2015 DENV2/CHINA/CZ5/2015 DENV2/CHINA/FJ368/2007 DENV2/CHINA/FJ399/2007 DENV2/CHINA/FJ091/2007 DENV2/TAIWAN/PL046/2005 DENV2/PERU/FSL699/2002 DENV2/PERU/NFI52/2002 DENV2/PERU/FMD1337/2007 DENV2/PERU/FMD2303/2009 DENV2/PERU/FPI0492/2011 DENV2/PERU/FPI0120/2011 DENV2/PERU/FPI01695/2011 DENV2/PERU/FPY00016/2010 DENV2/PERU/FPI1617/2011 DENV2/PERU/FPI01345/2011 DENV2/PERU/IDA108/2011 DENV2/PERU/FPI01851/2011 DENV2/PERU/FPI1049/2011 DENV2/PERU/IQA2080/2010 DENV2/PERU/FPI0191/2011 DENV2/PERU/FPI00174/2011 DENV2/PERU/NFI1159/2010 DENV2/PERU/FSL4862/2010 DENV2/PERU/FPI01399/2011 DENV2/PERU/FPI00073/2010 DENV2/PERU/IQA2042/2010 DENV2/PERU/IQA1995/2010 DENV2/PERU/FPI00154/2010 DENV2/PERU/FPI01777/2011
Leitmeyer et al.,6,?,,unknown,DENV2/THAILAND/K0010/1994 DENV2/THAILAND/K0008/1994 DENV2/THAILAND/C0167/1996 DENV2/THAILAND/C0166/1996 DENV2/THAILAND/C0371/1995 DENV2/VENEZUELA/MARA4/1990
Igarashi et al.,3,?,,unknown,DENV2/THAILAND/NHP11/1993 DENV2/THAILAND/NH7/1993 DENV2/THAILAND/NH63/1993
Chang et al.,18,?,,unknown,DENV2/TRINIDAD_AND_TOBAGO/NA/1953 DENV2/SEYCHELLES/NA/1977 DENV2/SRI_LANKA/SRILANKA/1990 DENV2/SRI_LANKA/SRILANKA/1985 DENV2/SRI_LANKA/SRILANKA/1989 DENV2/INDIA/DIA09ATW/2010 DENV2/INDIA/DIA08BTW/2009 DENV2/SAUDI_ARABIA/IARABIA07ATW/2014 DENV2/SOMALIA/MALIA/1984 DENV2/BURKINA_FASO/BURKINAFO/1983 DENV2/TAIWAN/807KH1008A/2010 DENV2/TAIWAN/802KH1208A/2012 DENV2/TAIWAN/929PT81APL046/1981 DENV2/TAIWAN/NA/1987 DENV2/TAIWAN/247TP9810A/1998 DENV2/TAIWAN/802KH1108C/2011 DENV2/TAIWAN/900PT0910A/2009 DENV2/TAIWAN/704TN0510A/2005
Cordeiro et al.,12,?,,unknown,DENV2/BRAZIL/72144PE/2000 DENV2/BRAZIL/87086PE/2002 DENV2/BRAZIL/37473PE/1997 DENV2/BRAZIL/3337PE/1995 DENV2/BRAZIL/3275PE/1995 DENV2/BRAZIL/3311PE/1995 DENV2/BRAZIL/57135PE/1999 DENV2/BRAZIL/47913PE/1998 DENV2/BRAZIL/51347PE/1998 DENV2/BRAZIL/9479PE/2010 DENV2/BRAZIL/14905PE/2010 DENV2/BRAZIL/19190PE/2010
Kawashima et al.,2,?,,unknown,DENV2/PHILIPPINES/ST68B/2000 DENV2/PHILIPPINES/ST2/2000
Capobianchi et al.,1,?,,unknown,DENV2/TANZANIA/K2RIJ059DARESSALAAM/2014
Duan et al.,1,?,,unknown,DENV2/CHINA/44/1989
Burke et al.,1,?,,unknown,DENV2/PAPUA_NEW_GUINEA/CGA/1988
Bai et al.,11,?,,unknown,DENV2/CHINA/102126/2015 DENV2/CHINA/93003/2015 DENV2/CHINA/92911/2015 DENV2/CHINA/GD19/2001 DENV2/CHINA/GD/2001 DENV2/CHINA/GD01/2003 DENV2/CHINA/GD06/1993 DENV2/CHINA/GD09/1993 DENV2/CHINA/GD05/1998 DENV2/CHINA/GD08/1998 DENV2/CHINA/SERUM/2012
Biedrzycka et al.,3,?,,unknown,DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944 DENV2/THAILAND/PUO218/1980 DENV2/AUSTRALIA/NEWGUINEACPUO218HYBRID/1997
Delecluse et al.,1,?,,unknown,DENV2/THAILAND/BANGKOK/1974
Brisse et al.,20,?,,unknown,DENV2/FRENCH_GUIANA/FGUJUN/1997 DENV2/FRENCH_GUIANA/FGUFEV/1998 DENV2/FRENCH_GUIANA/FGUAUG/1998 DENV2/FRENCH_GUIANA/FGUDEC/2001 DENV2/FRENCH_GUIANA/FGUAPR/2002 DENV2/FRENCH_GUIANA/FGUOCT/2005 DENV2/FRENCH_GUIANA/FGUFEB/1993 DENV2/FRENCH_GUIANA/FGUMAY/1999 DENV2/MARTINIQUE/MARSEP/2005 DENV2/MARTINIQUE/MARJUN/2005 DENV2/MARTINIQUE/MAROCT/2005 DENV2/GUADELOUPE/GUASEP/2006 DENV2/MARTINIQUE/MARNOV/2005 DENV2/MARTINIQUE/MARAUG/2005 DENV2/SURINAME/OCT/2005 DENV2/SURINAME/AUG/2005 DENV2/FRENCH_GUIANA/FGUMAR/2006 DENV2/FRENCH_GUIANA/FGUAPR1/2006 DENV2/GUADELOUPE/GUAOCT/2006 DENV2/FRENCH_GUIANA/FGUAPR2/2006
Austin et al.,1,?,,unknown,DENV2/BURKINA_FASO/ARA6894/1986
Gao et al.,3,?,,unknown,DENV2/INDONESIA/CN18/2014 DENV2/PHILIPPINES/CN77/2015 DENV2/PAPUA_NEW_GUINEA/CN10/2013
Jiang et al.,1,?,,unknown,DENV2/CHINA/GZ2572001/2005
Hu et al.,4,?,,unknown,DENV2/CHINA/FJ10/2000 DENV2/CHINA/QHD13CAIQ/2013 DENV2/CHINA/43/1987 DENV2/CHINA/04/1985
Lou et al.,1,?,,unknown,DENV2/CHINA/ZJSX12/2015
Dharmana et al.,1,?,,unknown,DENV2/INDONESIA/SMGSE001/2012
Aubry et al.,26,?,,unknown,DENV2/FRENCH_POLYNESIA/130219164/1996 DENV2/FRENCH_POLYNESIA/2959/1996 DENV2/FRENCH_POLYNESIA/27014747/1997 DENV2/FRENCH_POLYNESIA/0706672/1997 DENV2/FRENCH_POLYNESIA/300243158/1996 DENV2/FRENCH_POLYNESIA/33066/1996 DENV2/NEW_CALEDONIA/4755/1996 DENV2/NEW_CALEDONIA/060854/1997 DENV2/FRENCH_POLYNESIA/2102153/1997 DENV2/NEW_CALEDONIA/0301110/1997 DENV2/FRENCH_POLYNESIA/030184181/1997 DENV2/NEW_CALEDONIA/1658/1997 DENV2/NEW_CALEDONIA/1204106/1998 DENV2/NEW_CALEDONIA/1704138/1998 DENV2/NEW_CALEDONIA/06057/1998 DENV2/NEW_CALEDONIA/1704141/1998 DENV2/NEW_CALEDONIA/07074/1998 DENV2/NEW_CALEDONIA/0208/1999 DENV2/NEW_CALEDONIA/01496/1997 DENV2/FRENCH_POLYNESIA/150105/1998 DENV2/NEW_CALEDONIA/1202056/1999 DENV2/NEW_CALEDONIA/0301985/1999 DENV2/MICRONESIA/21018132/2011 DENV2/FRENCH_POLYNESIA/14020/2017 DENV2/FRENCH_POLYNESIA/13013/2017 DENV2/FRENCH_POLYNESIA/13014/2017
Laiton-Donato et al.,4,?,,unknown,DENV2/COLOMBIA/434321META/2014 DENV2/COLOMBIA/427516CALD/2013 DENV2/COLOMBIA/425334PUTUMAYOC/2013 DENV2/COLOMBIA/428702TOLIMA/2014
Aslett et al.,4,?,,unknown,DENV2/VIETNAM/MD863/2002 DENV2/VIETNAM/404/1999 DENV2/VIETNAM/MD861/2002 DENV2/VIETNAM/727/2003
Barde et al.,15,?,,unknown,DENV2/INDIA/742295/1974 DENV2/INDIA/NIV6379/1983 DENV2/INDIA/NIV6584/1991 DENV2/INDIA/NIV315/1993 DENV2/INDIA/NIV1774/2005 DENV2/INDIA/7557PUNEMH/2005 DENV2/INDIA/NIV12383/1990 DENV2/INDIA/NIV455/1995 DENV2/INDIA/NIV833/1997 DENV2/INDIA/NIV1294/2004 DENV2/INDIA/2197DHULEMH/1994 DENV2/INDIA/5336HISSARHR/1996 DENV2/INDIA/NIV12778/1992 DENV2/INDIA/9548JAMMUJK/1993 DENV2/INDIA/2201DHULEMH/1994
Guzman et al.,3,?,,unknown,DENV2/CUBA/BAA15/1981 DENV2/CUBA/BAA169/1981 DENV2/CUBA/BAA35/1981
Huhtamo et al.,1,?,,unknown,DENV2/GHANA/F32/2005
Falgout et al.,1,?,,unknown,DENV2/THAILAND/S16803/1974
Chua et al.,18,?,,unknown,DENV2/SINGAPORE/14864/2011 DENV2/SINGAPORE/24200/2011 DENV2/SINGAPORE/20800/2011 DENV2/SINGAPORE/17690/2011 DENV2/SINGAPORE/NUHMDCVARIANT/2016 DENV2/SINGAPORE/86998/2010 DENV2/SINGAPORE/15575/2011 DENV2/SINGAPORE/19572/2011 DENV2/SINGAPORE/10927/2011 DENV2/SINGAPORE/DC389/2011 DENV2/SINGAPORE/24031/2011 DENV2/SINGAPORE/DC430/2011 DENV2/SINGAPORE/23248/2011 DENV2/SINGAPORE/DC380/2011 DENV2/SINGAPORE/DC619/2012 DENV2/SINGAPORE/DC710/2012 DENV2/SINGAPORE/20306/2011 DENV2/SINGAPORE/DC621/2012
Fokam et al.,1,?,,unknown,DENV2/BURKINA_FASO/1349/1983
