# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-GEOD-38612
# Selected columns: 4 (all)
# Timestamp: Wed, 14-Nov-2018 15:43:17
Gene ID	Gene Name	leaf	flower	fruit	root
AT1G02380	AT1G02380	4.0	8.0	3.0	5.0
AT1G02390	GPAT2	2.0	3.0	1.0	4.0
AT1G02400	GA2OX6	3.0	7.0	3.0	39.0
AT1G02405	AT1G02405		0.3	1.0	0.1
AT1G02410	COX11	24.0	36.0	28.0	29.0
AT1G02420	AT1G02420	1.0	2.0	2.0	2.0
AT1G02430	ATARFD1B	0.2	0.5	0.4	3.0
AT1G02440	ATARFD1A	0.1	0.4	0.1	0.7
AT1G02450	NIMIN-1	0.2	10.0	5.0	0.1
AT1G02460	AT1G02460	0.8	1.0	1.0	8.0
AT1G02470	AT1G02470	3.0	67.0	2.0	0.4
AT1G02475	AT1G02475	81.0	57.0	67.0	9.0
AT1G02480	AT1G02480		0.2		
AT1G02490	AT1G02490	1.0	1.0	0.2	0.7
AT1G02500	SAM1	223.0	273.0	516.0	632.0
AT1G02510	TPK4		3.0		
AT1G02520	ABCB11	0.5	6.0	2.0	30.0
AT1G02530	ABCB12	0.1	4.0	31.0	0.6
AT1G02540	AT1G02540		0.1		
AT1G02550	AT1G02550		0.2	0.2	
AT1G02560	CLPP5	345.0	205.0	189.0	72.0
AT1G02570	AT1G02570		0.1	4.0	7.0
AT1G02575	AT1G02575			0.1	2.0
AT1G02580	MEA		0.6	2.0	1.0
AT1G02610	AT1G02610	33.0	9.0	6.0	20.0
AT1G02620	AT1G02620	5.0	0.3	0.4	0.7
AT1G02630	ETN8	0.9	4.0	8.0	0.3
AT1G02640	BXL2	31.0	25.0	97.0	49.0
AT1G02650	AT1G02650	2.0	0.7	0.6	0.4
AT1G02660	AT1G02660	37.0	29.0	32.0	7.0
AT1G02670	AT1G02670	1.0	5.0	3.0	0.6
AT1G02680	TAF13	19.0	32.0	24.0	26.0
AT1G02690	IMPA-6	14.0	35.0	15.0	41.0
AT1G02700	AT1G02700	0.7	0.5	0.9	0.4
AT1G02705	AT1G02705	2.0	1.0	1.0	0.5
AT1G02720	GATL5	8.0	14.0	13.0	10.0
AT1G02730	CSLD5	37.0	62.0	15.0	30.0
AT1G02740	MRG2	11.0	14.0	12.0	14.0
AT1G02750	DI19-2	17.0	14.0	15.0	22.0
AT1G02770	AT1G02770	0.5	5.0	19.0	0.2
AT1G02780	RPL19A	633.0	1050.0	650.0	1187.0
AT1G02790	PGA3		905.0	52.0	
AT1G02800	CEL2	3.0	44.0	7.0	
AT1G02810	PME7	0.4	8.0	3.0	63.0
AT1G02813	AT1G02813	0.1	78.0	0.6	0.5
AT1G02816	AT1G02816	13.0	28.0	25.0	24.0
AT1G02820	LEA2	14.0	16.0	7.0	0.6
AT1G02830	RPL22A		0.5	0.1	
AT1G02840	SR34	87.0	112.0	66.0	157.0
AT1G02850	BGLU11	25.0	33.0	3.0	27.0
AT1G02860	BAH1	17.0	10.0	15.0	58.0
AT1G02870	AT1G02870	23.0	41.0	22.0	63.0
AT1G02880	TPK1	10.0	17.0	12.0	31.0
AT1G02890	AT1G02890	44.0	47.0	42.0	71.0
AT1G02900	RALF1	3.0	9.0	2.0	150.0
AT1G02910	LPA1	72.0	41.0	38.0	22.0
AT1G02920	GSTF7	53.0	0.5	0.5	404.0
AT1G02930	GSTF6	55.0	14.0	716.0	166.0
AT1G02940	ATGSTF5	0.1	2.0	47.0	
AT1G02950	ATGSTF4	10.0	12.0	15.0	29.0
AT1G02952	AT1G02952	0.1	0.6	0.2	0.4
AT1G02960	AT1G02960	23.0	27.0	23.0	26.0
AT1G02965	AT1G02965		0.3	0.1	0.1
AT1G02970	WEE1	3.0	5.0	6.0	5.0
AT1G02980	CUL2		3.0	22.0	0.2
AT1G02990	AT1G02990	14.0	14.0	10.0	19.0
AT1G03000	PEX6	23.0	20.0	19.0	19.0
AT1G03010	AT1G03010	0.4	1.0	4.0	6.0
AT1G03020	GRXS1	5.0	0.6	2.0	0.1
AT1G03030	AT1G03030	16.0	25.0	23.0	24.0
AT1G03040	AT1G03040	33.0	57.0	58.0	41.0
AT1G03050	AT1G03050		76.0	6.0	
AT1G03055	D27	7.0	5.0	7.0	0.2
AT1G03060	SPI	16.0	20.0	15.0	35.0
AT1G03070	LFG4	0.8	6.0	4.0	6.0
AT1G03080	NET1D	26.0	62.0	35.0	75.0
AT1G03090	MCCA	74.0	36.0	31.0	82.0
AT1G03100	AT1G03100	1.0	1.0	0.8	2.0
AT1G03103	AT1G03103		0.1		
AT1G03106	AT1G03106	0.1	0.6	0.3	1.0
AT1G03110	TRM82	11.0	25.0	12.0	26.0
AT1G03120	ATRAB28	1.0	7.0	2.0	0.6
AT1G03130	PSAD2	2077.0	575.0	1138.0	13.0
AT1G03140	AT1G03140	59.0	58.0	44.0	74.0
AT1G03150	NAA20	32.0	32.0	27.0	31.0
AT1G03160	FZL	41.0	33.0	30.0	11.0
AT1G03165	AT1G03165	1.0	0.9	0.7	1.0
AT1G03170	FAF2	0.2	30.0	12.0	0.2
AT1G03180	AT1G03180	3.0	8.0	3.0	6.0
AT1G03190	XPD	7.0	13.0	10.0	11.0
AT1G03200	AT1G03200	11.0	17.0	15.0	36.0
AT1G03210	AT1G03210	21.0	27.0	17.0	88.0
AT1G03220	AT1G03220	82.0	23.0	54.0	563.0
AT1G03230	AT1G03230	27.0	13.0	2.0	92.0
AT1G03240	AT1G03240	0.2	0.6	0.1	0.9
AT1G03250	AT1G03250	26.0	30.0	26.0	24.0
AT1G03260	AT1G03260	9.0	14.0	14.0	15.0
AT1G03270	CBSDUF4	4.0	9.0	8.0	3.0
AT1G03280	AT1G03280	35.0	39.0	29.0	47.0
AT1G03290	AT1G03290	10.0	27.0	21.0	22.0
AT1G03310	ISA2	33.0	31.0	43.0	7.0
AT1G03320	AT1G03320	0.5	0.7	0.4	0.1
AT1G03325	AT1G03325				0.1
AT1G03330	LSM2	44.0	77.0	55.0	76.0
AT1G03340	AT1G03340	3.0	3.0	1.0	4.0
AT1G03350	AT1G03350	35.0	62.0	59.0	62.0
AT1G03360	RRP4	11.0	27.0	12.0	26.0
AT1G03365	RF4	13.0	19.0	14.0	16.0
AT1G03370	AT1G03370	14.0	12.0	12.0	36.0
AT1G03380	ATG18G	28.0	15.0	18.0	48.0
AT1G03390	AT1G03390	0.1	6.0		0.2
AT1G03400	AT1G03400	20.0	8.0	6.0	3.0
AT1G03410	2A6	1.0	2.0	1.0	0.4
AT1G03430	AHP5	20.0	20.0	12.0	28.0
AT1G03440	AT1G03440	20.0	12.0	8.0	6.0
AT1G03445	BSU1	0.1	0.5	4.0	0.1
AT1G03457	AT1G03457	7.0	10.0	3.0	19.0
AT1G03470	NET3A	12.0	20.0	8.0	15.0
AT1G03475	CPX1	211.0	140.0	120.0	42.0
AT1G03490	NAC006	0.1	0.7		
AT1G03495	AT1G03495	3.0	4.0	3.0	4.0
AT1G03502	AT1G03502	2.0	4.0	3.0	5.0
AT1G03506	AT1G03506	3.0	4.0	3.0	5.0
AT1G03510	PCMP-E3	2.0	3.0	2.0	2.0
AT1G03520	AT1G03520	16.0	19.0	19.0	15.0
AT1G03530	ATNAF1	9.0	15.0	9.0	21.0
AT1G03540	PCMP-E4	2.0	4.0	2.0	3.0
AT1G03545	AT1G03545	2.0	4.0	3.0	4.0
AT1G03550	SCAMP2	3.0	8.0	5.0	12.0
AT1G03560	AT1G03560	7.0	8.0	8.0	10.0
AT1G03590	PPC6-6	33.0	54.0	40.0	35.0
AT1G03600	PSB27-1	450.0	188.0	223.0	8.0
AT1G03610	AT1G03610	83.0	39.0	25.0	74.0
AT1G03620	AT1G03620	2.0	4.0	2.0	7.0
AT1G03630	PORC	187.0	127.0	179.0	4.0
AT1G03650	AT1G03650	4.0	4.0	3.0	8.0
AT1G03660	AT1G03660	2.0	4.0	0.9	3.0
AT1G03670	AT1G03670		0.2		
AT1G03680	ATHM1	418.0	180.0	271.0	18.0
AT1G03687	AT1G03687	14.0	17.0	13.0	16.0
AT1G03700	AT1G03700	0.1	1.0	0.2	8.0
AT1G03710	AT1G03710	0.1	29.0	30.0	
AT1G03720	AT1G03720		2.0	0.4	
AT1G03730	AT1G03730	9.0	8.0	9.0	30.0
AT1G03740	AT1G03740	27.0	9.0	11.0	77.0
AT1G03743	AT1G03743		0.1	0.1	
AT1G03746	AT1G03746	0.1	0.4	0.3	0.4
AT1G03750	SWI2	5.0	9.0	7.0	12.0
AT1G03760	AT1G03760	9.0	17.0	11.0	21.0
AT1G03770	RING1B	3.0	8.0	7.0	11.0
AT1G03780	TPX2	14.0	30.0	7.0	15.0
AT1G03790	SOM	0.1	2.0		0.8
AT1G03800	ERF10	0.7	1.0	1.0	0.3
AT1G03810	AT1G03810		0.3		
AT1G03820	AT1G03820	6.0	33.0	20.0	45.0
AT1G03830	AT1G03830	7.0	13.0	10.0	12.0
AT1G03840	MGP	0.5	2.0	0.4	12.0
AT1G03850	AT1G03850	8.0	4.0	2.0	84.0
AT1G03860	PHB2	49.0	70.0	50.0	99.0
AT1G03870	FLA9	84.0	46.0	20.0	166.0
AT1G03880	CRB				7.0
AT1G03890	CRD			0.1	0.3
AT1G03900	ATNAP4	52.0	86.0	84.0	175.0
AT1G03905	ABCI19	2.0	5.0	6.0	12.0
AT1G03910	CTN	36.0	52.0	35.0	58.0
AT1G03920	AT1G03920	1.0	10.0	12.0	9.0
AT1G03930	CKL9	37.0	29.0	30.0	24.0
AT1G03935	AT1G03935	11.0	15.0	12.0	19.0
AT1G03940	3AT1	3.0	5.0	4.0	5.0
AT1G03950	VPS2.3	21.0	24.0	29.0	35.0
AT1G03960	B''EPSILON	10.0	13.0	10.0	12.0
AT1G03970	GBF4	21.0	25.0	32.0	31.0
AT1G03980	ATPCS2	0.4	0.8	0.8	2.0
AT1G03987	AT1G03987	0.2	0.5	0.2	
AT1G03990	FAO1	2.0	3.0	3.0	3.0
AT1G03997	AT1G03997		0.2		
AT1G04000	AT1G04000	7.0	10.0	24.0	8.0
AT1G04003	AT1G04003				0.1
AT1G04007	AT1G04007	9.0	12.0	9.0	10.0
AT1G04010	PSAT	4.0	12.0	12.0	12.0
AT1G04013	AT1G04013	5.0	1.0	2.0	0.4
AT1G04020	ATBARD1	8.0	13.0	13.0	11.0
AT1G04027	AT1G04027	3.0	7.0	6.0	5.0
AT1G04030	AT1G04030	5.0	15.0	17.0	15.0
AT1G04033	AT1G04033	0.1	0.2		0.2
AT1G04037	AT1G04037	3.0	6.0	2.0	2.0
AT1G04040	AT1G04040	52.0	14.0	45.0	379.0
AT1G04047	AT1G04047	3.0	4.0	3.0	4.0
AT1G04050	SUVR1	2.0	8.0	5.0	4.0
AT1G04053	AT1G04053	1.0	1.0	1.0	2.0
AT1G04057	AT1G04057			0.1	
AT1G04070	TOM9-1	6.0	19.0	16.0	19.0
AT1G04073	AT1G04073	4.0	3.0	1.0	2.0
AT1G04080	PRP39	59.0	71.0	52.0	71.0
AT1G04083	AT1G04083	0.5	0.9	0.9	0.9
AT1G04087	AT1G04087		0.2		
AT1G04090	AT1G04090	0.5	6.0	2.0	1.0
AT1G04093	AT1G04093	0.3	0.5	0.1	0.1
AT1G04097	AT1G04097	0.2	0.5	0.5	0.6
AT1G04100	IAA10	4.0	7.0	8.0	8.0
AT1G04105	AT1G04105		0.1	0.1	
AT1G04110	SBT1.2	9.0	6.0	0.5	0.1
AT1G04117	AT1G04117	0.7	1.0	0.8	1.0
AT1G04120	ABCC5	24.0	77.0	68.0	69.0
AT1G04123	AT1G04123	0.1	0.1	0.1	0.3
AT1G04127	AT1G04127		0.4	0.4	1.0
AT1G04130	TPR2	6.0	22.0	19.0	13.0
AT1G04133	AT1G04133	0.7		0.1	0.1
AT1G04140	AT1G04140	61.0	65.0	55.0	100.0
AT1G04143	AT1G04143			0.1	
AT1G04147	AT1G04147	2.0	0.5	0.8	5.0
AT1G04150	AT1G04150	0.1	2.0	0.9	0.7
AT1G04153	AT1G04153	0.1	0.6	0.2	0.7
AT1G04157	AT1G04157	1.0	0.4	0.1	0.5
AT1G04160	XI-B	4.0	12.0	9.0	9.0
AT1G04167	AT1G04167	0.1	0.1	0.2	0.1
AT1G04170	EIF2 GAMMA	74.0	115.0	89.0	131.0
AT1G04173	AT1G04173	1.0	0.7	1.0	0.2
AT1G04180	YUC9	0.3	0.1	0.1	10.0
AT1G04183	AT1G04183	0.1	0.2	0.1	
AT1G04187	AT1G04187	3.0	2.0	2.0	5.0
AT1G04190	TPR3	26.0	51.0	35.0	61.0
AT1G04193	AT1G04193	0.9	2.0	0.7	2.0
AT1G04197	AT1G04197	3.0	4.0	3.0	6.0
AT1G04200	AT1G04200	15.0	26.0	31.0	38.0
AT1G04203	AT1G04203	0.1	0.1		0.1
AT1G04207	AT1G04207		0.1		
AT1G04210	AT1G04210	32.0	44.0	27.0	47.0
AT1G04217	AT1G04217	6.0	9.0	9.0	12.0
AT1G04220	KCS2	0.5	25.0	32.0	9.0
AT1G04223	AT1G04223	5.0	6.0	5.0	9.0
AT1G04230	AT1G04230	9.0	16.0	15.0	16.0
AT1G04237	AT1G04237	1.0	0.2	0.7	4.0
AT1G04240	SHY2	28.0	22.0	21.0	21.0
AT1G04243	AT1G04243		0.1	0.1	
AT1G04247	AT1G04247	0.1	5.0	6.0	2.0
AT1G04250	IAA17	20.0	31.0	66.0	133.0
AT1G04257	AT1G04257		0.2	0.8	0.1
AT1G04260	PRA1D	11.0	18.0	18.0	20.0
AT1G04263	AT1G04263		0.2		
AT1G04267	AT1G04267	3.0	8.0	4.0	6.0
AT1G04270	RPS15A	375.0	678.0	424.0	787.0
AT1G04273	AT1G04273	4.0	10.0	7.0	7.0
AT1G04277	AT1G04277	6.0	11.0	6.0	8.0
AT1G04280	AT1G04280	35.0	12.0	5.0	38.0
AT1G04290	AT1G04290	8.0	22.0	13.0	8.0
AT1G04293	AT1G04293		5.0		
AT1G04295	AT1G04295	0.3	0.4	0.4	0.3
AT1G04297	AT1G04297	0.3	0.9	0.5	0.7
AT1G04300	AT1G04300	42.0	45.0	36.0	65.0
AT1G04303	AT1G04303	0.9	2.0	0.8	1.0
AT1G04307	AT1G04307		0.2		
AT1G04310	ERS2	6.0	22.0	17.0	14.0
AT1G04313	AT1G04313	4.0	0.2		
AT1G04323	AT1G04323	6.0	0.3		
AT1G04327	AT1G04327		0.1		
AT1G04330	AT1G04330	0.3	0.5	0.4	3.0
AT1G04340	AT1G04340	20.0	52.0	45.0	57.0
AT1G04347	AT1G04347	0.9	2.0	1.0	2.0
AT1G04350	AT1G04350	52.0	33.0	28.0	5.0
AT1G04353	AT1G04353	0.4	0.3	0.5	3.0
AT1G04357	AT1G04357	3.0	4.0	2.0	2.0
AT1G04360	ATL1	3.0	1.0	0.5	13.0
AT1G04367	AT1G04367	0.3	0.4	0.1	
AT1G04373	AT1G04373			0.1	
AT1G04380	AT1G04380	0.1	0.4	17.0	0.3
AT1G04383	AT1G04383				0.1
AT1G04387	AT1G04387		0.1	0.1	
AT1G04390	AT1G04390	9.0	10.0	7.0	10.0
AT1G04393	AT1G04393		0.3	0.1	3.0
AT1G04397	AT1G04397	0.1			0.2
AT1G04400	CRY2	137.0	106.0	77.0	120.0
AT1G04410	MDH1	783.0	630.0	759.0	1609.0
AT1G04413	AT1G04413	0.1	0.4	0.2	0.5
AT1G04417	AT1G04417	0.1	0.5	0.2	0.3
AT1G04420	AT1G04420	128.0	62.0	87.0	8.0
AT1G04423	AT1G04423	2.0	2.0	3.0	2.0
AT1G04425	AT1G04425	19.0	16.0	12.0	18.0
AT1G04427	AT1G04427	0.5	2.0	2.0	1.0
AT1G04430	AT1G04430	66.0	70.0	100.0	109.0
AT1G04433	AT1G04433	0.7	0.7		
AT1G04437	AT1G04437	0.4	1.0	0.8	1.0
AT1G04440	CKL13	47.0	41.0	42.0	117.0
AT1G04443	AT1G04443		0.1		
AT1G04445	AT1G04445		0.2	3.0	0.9
AT1G04450	RIC3		12.0	0.4	
AT1G04455	AT1G04455	0.1	0.5	0.8	0.1
AT1G04467	AT1G04467	2.0	0.4	2.0	0.4
AT1G04470	AT1G04470		34.0	4.0	
AT1G04473	AT1G04473	1.0	2.0	2.0	2.0
AT1G04477	AT1G04477	4.0	4.0	4.0	4.0
AT1G04480	RPL23A	152.0	269.0	194.0	283.0
AT1G04483	AT1G04483	0.5	0.5	0.2	0.1
AT1G04490	AT1G04490	0.2	1.0	1.0	5.0
AT1G04493	AT1G04493		0.2		0.1
AT1G04500	AT1G04500	0.3	4.0	1.0	
AT1G04510	PRP19A	44.0	64.0	46.0	69.0
AT1G04513	AT1G04513	0.1	0.1		0.1
AT1G04517	AT1G04517				1.0
AT1G04520	CRRSP3	16.0	44.0	13.0	27.0
AT1G04523	AT1G04523				0.2
AT1G04530	TPR4	75.0	85.0	54.0	46.0
AT1G04533	AT1G04533		0.3	0.1	0.1
AT1G04540	AT1G04540	1.0	47.0	11.0	5.0
AT1G04547	AT1G04547	0.1	0.1	0.1	0.1
AT1G04550	IAA12	26.0	46.0	26.0	24.0
AT1G04555	AT1G04555	7.0	15.0	18.0	17.0
AT1G04557	AT1G04557	0.1	0.2		0.1
AT1G04560	AT1G04560	0.1	0.2	0.4	6.0
AT1G04563	AT1G04563	0.3	0.3	0.4	2.0
AT1G04567	AT1G04567	0.2	2.0	0.8	1.0
AT1G04570	AT1G04570	0.8	5.0	11.0	1.0
AT1G04573	AT1G04573			0.1	
AT1G04577	AT1G04577	0.3	0.6	0.8	0.7
AT1G04580	AAO4		12.0	37.0	
AT1G04587	AT1G04587	2.0	2.0	2.0	3.0
AT1G04590	AT1G04590	19.0	38.0	27.0	32.0
AT1G04593	AT1G04593		0.1		
AT1G04597	AT1G04597		0.5		
AT1G04600	XI-A	0.2	5.0	1.0	0.9
AT1G04610	YUC3	0.8	3.0	2.0	25.0
AT1G04620	HCAR	14.0	5.0	13.0	8.0
AT1G04623	AT1G04623		2.0		
AT1G04625	AT1G04625	0.1	0.2	0.1	0.1
AT1G04630	MEE4	52.0	65.0	67.0	63.0
AT1G04635	EMB1687	3.0	8.0	5.0	8.0
AT1G04640	LIP2	36.0	18.0	20.0	10.0
AT1G04645	SPH5		11.0	80.0	
AT1G04647	AT1G04647	0.1	0.1	0.2	0.3
AT1G04650	AT1G04650	2.0	3.0	3.0	3.0
AT1G04653	AT1G04653				0.1
AT1G04657	AT1G04657		0.1	0.1	
AT1G04660	AT1G04660	0.5	16.0	19.0	0.3
AT1G04670	AT1G04670		30.0		0.2
AT1G04673	AT1G04673		0.1	0.1	0.1
AT1G04680	AT1G04680	40.0	132.0	216.0	79.0
AT1G04683	AT1G04683		0.2		0.4
AT1G04690	KAB1	86.0	129.0	139.0	124.0
AT1G04693	AT1G04693		0.1		
AT1G04697	AT1G04697	0.5	0.3	0.1	0.1
AT1G04700	AT1G04700	1.0	12.0	3.0	5.0
AT1G04710	KAT1	18.0	33.0	30.0	10.0
AT1G04723	AT1G04723	0.4	0.5	0.4	0.1
AT1G04730	CTF18	5.0	9.0	5.0	7.0
AT1G04737	AT1G04737	0.1	0.1		0.2
AT1G04747	AT1G04747		1.0	0.4	
