Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host,Labels
A/Chicken/HuZhou/3765,Epi582349,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/4076,Epi582985,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/4067,Epi582946,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/4141,Epi583016,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/Chicken/HuZhou/3802,Epi582907,2013-10-24,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.81,2018.22,2013-10-24,Chicken,unknown
A/chicken/Hunan/SD019/2014,Epi1090487,2014-02-18,unknown,China,Hunan,Other Database Import,unknown,unknown,unknown,2014.13,2018.22,2014-02-18,Chicken,Aa: Na: A19t I20t L23f;
A/Environment/Zhejiang/2/2014,Epi533261,2014-02-25,unknown,China,Zhejiang,Zhejiang Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.15,2018.22,2014-02-25,Environment,unknown
A/Zhejiang/2/2014,Epi628375,2014-01-09,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.02,2018.22,2014-01-09,Human,unknown
A/Zhejiang/8/2014,Epi533252,2014-02-27,unknown,China,Zhejiang,Zhejiang Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.16,2018.22,2014-02-27,Human,unknown
A/Zhejiang/7/2014,Epi533245,2014-02-24,unknown,China,Zhejiang,Zhejiang Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.15,2018.22,2014-02-24,Human,unknown
A/chicken/Zhejiang/S4135/2013,Epi1090671,2013-12-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.93,2018.22,2013-12-08,Chicken,unknown
A/duck/Wenzhou/YJYF24/2015,Epi683030,2015-01-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2015.00,2018.22,2015-01-xx,Duck,Aa: Na: R75s V110i A210s;
A/Chicken/Jiangxi/1355,Epi592290,2014-04-11,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.27,2018.22,2014-04-11,Chicken,unknown
A/Chicken/Jiangxi/1354,Epi592587,2014-04-06,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.26,2018.22,2014-04-06,Chicken,Aa: Na: V441i;
A/Chicken/Jiangxi/1322,Epi592124,2014-03-30,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.24,2018.22,2014-03-30,Chicken,unknown
A/Chicken/Jiangxi/1325,Epi592153,2014-03-30,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.24,2018.22,2014-03-30,Chicken,unknown
A/Chicken/Jiangxi/1351,Epi592253,2014-04-11,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.27,2018.22,2014-04-11,Chicken,unknown
A/Chicken/Jiangxi/1350,Epi592232,2014-04-06,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.26,2018.22,2014-04-06,Chicken,unknown
A/Chicken/Jiangxi/1356,Epi592627,2014-04-06,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.26,2018.22,2014-04-06,Chicken,unknown
A/Zhejiang/21/2014,Epi627552,2014-02-10,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.11,2018.22,2014-02-10,Human,unknown
A/Hangzhou/49/2014,Epi535178,2014-01-29,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.08,2018.22,2014-01-29,Human,unknown
A/Hunan/7833/2014,Epi628279,2014-01-27,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.07,2018.22,2014-01-27,Human,unknown
A/Zhejiang/7803/2014,Epi628311,2014-01-23,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,Aa: Na: R289k;
A/Environment/Zhejiang/781,Epi628263,2013-12-19,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Environment,unknown
A/Environment/Shandong/YT002/2014,Epi627823,2014-05-21,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,unknown
A/Environment/Shandong/YT005/2014,Epi627887,2014-05-21,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,unknown
A/Environment/Shandong/YT004/2014,Epi627895,2014-05-21,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,unknown
A/Environment/Shandong/YT001/2014,Epi627903,2014-05-21,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,unknown
A/Environment/Shandong/YT003/2014,Epi627815,2014-05-21,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,unknown
A/Shandong/1/2014,Epi627807,2014-05-22,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.39,2018.22,2014-05-22,Human,Aa: Na: F127s R289k;
A/Environment/Shandong/YT009/2014,Epi627871,2014-05-21,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,unknown
A/Environment/Shandong/YT007/2014,Epi627879,2014-05-21,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment,unknown
A/environment/Shanghai/PD-JZ-01/2014,Epi576625,2014-01-21,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-21,Environment,Aa: Na: I17t P48s;
A/chicken/Shanghai/PD-CN-02/2014,Epi576612,2014-01-21,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-21,Chicken,unknown
A/Zhejiang/6/2015,Epi627032,2015-01-28,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.07,2018.22,2015-01-28,Human,Aa: Na: T266i I300v;
A/Environment/GD-MZ_238/H7N9/2014-4,Epi654145,2014-04-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.25,2018.22,2014-04-01,Environment,Aa: Na: I259v;
A/Chicken/Dongguan/1177,Epi596949,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,Aa: Na: N69k;
A/silkiechicken/Dongguan/969/2014,Epi597395,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/silkiechicken/Dongguan/991/2014,Epi596915,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Jiangsu/9049/2014,Epi628231,2014-02-05,unknown,China,Jiangsu,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.10,2018.22,2014-02-05,Human,Aa: Na: S366l;
A/Chicken/Dongguan/1230,Epi597483,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Anhui/1882/2014,Epi627424,2014-04-26,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.31,2018.22,2014-04-26,Human,unknown
A/Anhui/1883/2014,Epi627432,2014-04-26,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.31,2018.22,2014-04-26,Human,unknown
A/Anhui/9188/2014,Epi628071,2014-02-07,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.10,2018.22,2014-02-07,Human,unknown
A/Chicken/Jiangxi/1353,Epi592563,2014-04-06,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.26,2018.22,2014-04-06,Chicken,unknown
A/Chicken/Jiangxi/1227,Epi592434,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Chicken/Jiangxi/1220,Epi592026,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Chicken/Jiangxi/1221,Epi592349,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Chicken/Jiangxi/1225,Epi592398,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Chicken/Jiangxi/1226,Epi592082,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Chicken/Jiangxi/1223,Epi592363,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Chicken/Jiangxi/1320,Epi592110,2014-03-30,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.24,2018.22,2014-03-30,Chicken,unknown
A/Chicken/Jiangxi/1276,Epi592096,2014-03-22,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.22,2018.22,2014-03-22,Chicken,unknown
A/Chicken/Jiangxi/1224,Epi592061,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Chicken/Jiangxi/1222,Epi592054,2014-03-16,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.20,2018.22,2014-03-16,Chicken,unknown
A/Zhejiang/36/2014,Epi627128,2014-12-28,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.99,2018.22,2014-12-28,Human,Aa: Na: G40d Q71k A153t A210t;
A/chicken/Shanghai/S1458/2014,Epi707969,2014-05-13,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2014.36,2018.22,2014-05-13,Chicken,unknown
A/chicken/Shanghai/S1267/2014,Epi707966,2014-05-13,unknown,China,Shanghai,Other Database Import,unknown,unknown,unknown,2014.36,2018.22,2014-05-13,Chicken,unknown
A/Chicken/Jiangxi/1447,Epi592647,2014-04-20,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.30,2018.22,2014-04-20,Chicken,unknown
A/Chicken/Jiangxi/1451,Epi593162,2014-04-20,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.30,2018.22,2014-04-20,Chicken,Aa: Na: M72i A354t;
A/Chicken/Jiangxi/1403,Epi592659,2014-04-13,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.28,2018.22,2014-04-13,Chicken,unknown
A/Chicken/Zhangzhou/8585,Epi593647,2014-06-23,unknown,China,Fujian,Other Database Import,unknown,unknown,unknown,2014.47,2018.22,2014-06-23,Chicken,unknown
A/Zhejiang/1/2016,Epi1102972,2016-03-07,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2016.18,2018.22,2016-03-07,Human,Aa: Na: H45n R75k I191v T266n N341s T447a R460k;
A/Chicken/Zhangzhou/8829,Epi593654,2014-06-30,unknown,China,Fujian,Other Database Import,unknown,unknown,unknown,2014.49,2018.22,2014-06-30,Chicken,unknown
A/Zhejiang/34/2014,Epi627152,2014-12-25,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.98,2018.22,2014-12-25,Human,Aa: Na: N79y;
A/Zhejiang/35/2014,Epi627144,2014-12-26,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.98,2018.22,2014-12-26,Human,unknown
A/Chicken/Jiangxi/1455,Epi593190,2014-04-20,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.30,2018.22,2014-04-20,Chicken,unknown
A/Chicken/Jiangxi/1448,Epi592654,2014-04-20,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.30,2018.22,2014-04-20,Chicken,unknown
A/Chicken/Jiangxi/1321,Epi592441,2014-03-30,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.24,2018.22,2014-03-30,Chicken,unknown
A/Chicken/Jiangxi/1323,Epi592138,2014-03-30,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.24,2018.22,2014-03-30,Chicken,unknown
A/Chicken/Jiangxi/1326,Epi592455,2014-03-30,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.24,2018.22,2014-03-30,Chicken,unknown
A/Chicken/Jiangxi/1552,Epi593280,2014-05-05,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.34,2018.22,2014-05-05,Chicken,unknown
A/Duck/Jiangxi/1504,Epi593246,2014-04-27,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.32,2018.22,2014-04-27,Chicken,unknown
A/Hangzhou/19/2014,Epi535122,2014-01-18,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.05,2018.22,2014-01-18,Human,Aa: Na: I16t;
A/Hangzhou/17-1/2014,Epi509673,2014-01-18,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.05,2018.22,2014-01-18,Human,unknown
A/Hangzhou/10-1/2014,Epi509670,2014-01-13,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-13,Human,unknown
A/Hangzhou/38/2014,Epi535154,2014-01-23,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,unknown
A/Shaoxing/70/2014,Epi535186,2014-02-03,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.09,2018.22,2014-02-03,Human,unknown
A/chicken/Taizhou/TZJF02/2015,Epi683026,2015-01-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2015.00,2018.22,2015-01-xx,Chicken,unknown
A/duck/Wenzhou/RAQL10/2015,Epi683025,2015-01-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2015.00,2018.22,2015-01-xx,Duck,unknown
A/Zhejiang/7807/2014,Epi628303,2014-01-19,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.05,2018.22,2014-01-19,Human,unknown
A/Zhejiang/14/2014,Epi627560,2014-01-14,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.04,2018.22,2014-01-14,Human,unknown
A/Zhejiang/20/2014,Epi627600,2014-02-03,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.09,2018.22,2014-02-03,Human,Aa: Na: K98r I284v;
A/Hunan/9191/2014,Epi628063,2014-02-11,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.11,2018.22,2014-02-11,Human,unknown
A/Zhejiang/22/2014,Epi627544,2014-02-08,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.10,2018.22,2014-02-08,Human,unknown
A/Zhejiang/LS01/2014,Epi542095,2014-02-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2014.10,2018.22,2014-02-08,Human,unknown
A/Zhejiang/23/2014,Epi627536,2014-02-09,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.11,2018.22,2014-02-09,Human,unknown
A/Hangzhou/112/2014,Epi535194,2014-02-09,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.11,2018.22,2014-02-09,Human,unknown
A/Zhejiang/16/2014,Epi627576,2014-02-03,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.09,2018.22,2014-02-03,Human,unknown
A/Jiangxi/27569/2014,Epi627839,2014-04-21,unknown,China,Jiangxi,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.30,2018.22,2014-04-21,Human,Aa: Na: L23i V115e;
A/Anhui/1881/2014,Epi627416,2014-04-13,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.28,2018.22,2014-04-13,Human,unknown
A/Anhui/1879/2014,Epi627448,2014-04-02,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.25,2018.22,2014-04-02,Human,unknown
A/Anhui/1878/2014,Epi627408,2014-04-02,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.25,2018.22,2014-04-02,Human,unknown
A/Jiangsu/9043/2014,Epi628239,2014-01-26,unknown,China,Jiangsu,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.07,2018.22,2014-01-26,Human,unknown
A/Hunan/12173/2014,Epi628143,2014-02-17,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.13,2018.22,2014-02-17,Human,unknown
A/Chicken/Jilin/1319,Epi528353,2014-02-20,unknown,China,Jilin,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,Aa: Na: R207k;
A/Chicken/Jilin/05/2014,Epi528337,2014-02-21,unknown,China,Jilin,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Chicken/Jilin/1318,Epi528345,2014-02-20,unknown,China,Jilin,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken,unknown
A/Chicken/Jilin/1320,Epi528361,2014-02-21,unknown,China,Jilin,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken,unknown
A/Jilin/10117/2014,Epi528297,2014-02-19,unknown,China,Jilin,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.13,2018.22,2014-02-19,Human,unknown
A/Hangzhou/40/2014,Epi535170,2014-01-24,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.06,2018.22,2014-01-24,Human,unknown
A/Zhejiang/24/2014,Epi627528,2014-01-24,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.06,2018.22,2014-01-24,Human,unknown
A/Zhejiang/15/2014,Epi627584,2014-01-25,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.07,2018.22,2014-01-25,Human,unknown
A/Zhejiang/19/2014,Epi627568,2014-01-23,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human,unknown
A/Zhejiang/6/2014,Epi628343,2014-01-15,unknown,China,Zhejiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.04,2018.22,2014-01-15,Human,unknown
A/Hangzhou/118/2014,Epi535202,2014-02-10,unknown,China,Zhejiang,Hangzhou Center For Disease Control And Prevention,unknown,unknown,unknown,2014.11,2018.22,2014-02-10,Human,unknown
A/Hunan/8963/2014,Epi628295,2014-02-02,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.09,2018.22,2014-02-02,Human,unknown
A/Anhui/9212/2014,Epi628047,2014-02-13,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.12,2018.22,2014-02-13,Human,unknown
A/Fujian/14/2015,Epi627248,2015-01-11,unknown,China,Fujian,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.03,2018.22,2015-01-11,Human,Aa: Na: R75s V110i;
