City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival,AvgTemperature
Singapore,Singapore,5.33,6.66,1.11,3.66,1859.98,1174.57,97.79,28.85,88.55,2988.12,0.57,0.56,0.67,0.71,0.33,11.39552116,0.910268962,76.80458069,0.926645339,0.3307865969999999,0.109784193,1.3,103.8,5745000.0,0.98,0.6599999999999999,0.98,0.05,0.4,0.86,0.31,0.06,0.1,0.26,0.35,0.12,0.4,0.19,0.11,26.86816258462764
Auckland,New Zealand,6.57,5.68,1.31,2.83,1127.81,947.13,99.55,49.79,37.68,2344.96,0.57,0.54,0.54,0.73,0.3,10.50094318,0.949118972,73.20262909,0.936217487,0.492505446,0.22113885,-36.85,174.7833,1467800.0,0.71,0.78,0.6,0.29,0.72,0.25,0.39,0.7,0.48,0.93,0.95,0.95,0.3,0.2,0.77,14.451312795129995
Tokyo,Japan,5.7,4.1,1.07,3.21,1013.36,636.07,162.41,38.33,77.29,2657.42,0.61,0.51,0.77,0.81,0.43,10.57968903,0.883545935,75.00096893,0.809961379,0.0539970239999999,0.654558063,35.6897,139.6922,37977000.0,0.9,0.13,0.9,0.15,0.24,0.78,0.05,0.1399999999999999,0.09,0.05,0.2,0.25,0.4,0.6799999999999999,0.06,15.625712223360074
Boston,United States,7.18,6.29,1.58,3.6,2275.95,1716.68,119.59,61.7,51.97,4132.08,0.6,0.66,0.64,0.75,0.27,10.92576885,0.914219022,68.29949951,0.842619538,0.450799107,0.699715316,42.3188,-71.0846,4688346.0,0.7,0.99,0.3,0.03,0.9,0.3,0.12,0.3,0.6,0.4,0.4,0.5900000000000001,0.06,0.15,0.37,11.676210744154291
Chicago,United States,7.18,4.94,2.08,3.69,1702.25,1100.17,117.08,57.23,42.52,3717.02,0.54,0.71,0.35,0.66,0.44,10.92576885,0.914219022,68.29949951,0.842619538,0.450799107,0.699715316,41.8373,-87.6862,8604203.0,0.4599999999999999,0.86,0.37,0.12,0.74,0.3,0.2299999999999999,0.8099999999999999,0.6,0.4,0.4,0.27,0.36,0.35,0.58,9.759535543608122
Oslo,Norway,11.12,9.0,1.7,4.28,1280.03,990.78,158.58,45.73,42.44,2985.88,0.71,0.55,0.65,0.76,0.24,11.08780384,0.952486575,73.20078278,0.955750287,0.4354400029999999,0.263218194,59.9111,10.7528,693494.0,0.95,0.62,0.6799999999999999,0.2299999999999999,1.0,0.76,0.0699999999999999,0.93,0.53,0.98,0.8300000000000001,0.6,0.1,0.01,0.54,4.3211337970074535
Bogotá,Colombia,4.4,0.96,0.77,1.18,341.45,245.33,76.59,29.06,23.8,306.08,0.22,0.15,0.37,0.64,0.7,9.500369072,0.884440243,67.69958496,0.836179912,0.1396717279999999,0.86457181,4.6126,-74.0705,9464000.0,0.25,0.21,0.1399999999999999,0.95,0.04,0.53,0.98,0.02,0.38,0.5,0.24,0.1399999999999999,0.8800000000000001,0.98,0.08,12.849386982989133
Munich,Germany,8.0,3.8,0.58,2.98,1198.0,873.39,242.66,34.09,34.69,2627.51,0.55,0.6,0.82,0.78,0.25,10.7328186,0.898874462,72.20201874,0.867371082,0.381086759,0.456422031,48.1372,11.5755,1471508.0,0.94,0.92,0.63,0.3399999999999999,0.95,0.5,0.58,0.38,0.26,0.9,0.6,0.9,0.76,0.6599999999999999,0.21,8.665048659846255
London,United Kingdom,7.0,5.83,0.91,3.3,2015.24,1420.02,186.96,37.07,46.02,2756.93,0.58,0.53,0.47,0.71,0.59,10.60013485,0.93668282,72.30160522,0.834743679,0.564639866,0.435915917,51.5072,-0.1275,10979000.0,0.54,0.8400000000000001,0.99,0.11,0.67,0.65,0.65,0.3399999999999999,0.95,0.7,0.5,0.82,0.98,0.21,0.2,10.548244865449165
Los Angeles,United States,7.18,5.39,1.77,4.01,1980.11,1564.78,111.99,55.74,36.78,3968.48,0.55,0.66,0.52,0.61,0.66,10.92576885,0.914219022,68.29949951,0.842619538,0.450799107,0.699715316,34.1139,-118.4068,12750807.0,0.39,0.94,0.8099999999999999,0.1,0.2299999999999999,0.3,0.21,0.92,0.6,0.4,0.4,0.75,0.5,0.3399999999999999,0.38,17.37452032485635
Seoul,South Korea,5.06,3.11,1.17,3.72,714.76,465.05,150.79,19.76,55.64,2120.34,0.59,0.47,0.74,0.82,0.58,10.51056671,0.799387157,73.6027298,0.612965107,0.257503341,0.789067447,37.5833,127.0,21794000.0,0.86,0.16,0.91,0.27,0.47,0.15,0.04,0.55,0.3,0.03,0.26,0.36,0.6,0.71,0.16,11.368069067531428
Warsaw,Poland,4.72,2.36,0.5,2.49,616.05,467.73,147.35,12.7,25.97,979.42,0.31,0.35,0.74,0.61,0.6,10.26512432,0.874257445,69.31113434,0.862055779,0.0958233019999999,0.686927021,52.2167,21.0333,1790658.0,0.43,0.5,0.15,0.85,0.5900000000000001,0.16,0.97,0.45,0.06,0.52,0.12,0.15,0.4,0.8300000000000001,0.15,9.63300869033396
Prague,Czechia,5.55,1.59,0.53,2.17,805.86,593.84,177.27,19.95,34.67,1183.75,0.35,0.4,0.76,0.75,0.35,10.40416336,0.914430678,70.04793549,0.818537354,0.0700458579999999,0.85844624,50.0833,14.4167,1324277.0,0.8800000000000001,0.5900000000000001,0.8800000000000001,0.82,0.91,0.19,0.9,0.95,0.4,0.18,0.22,0.13,0.98,0.92,0.24,8.835884607726003
Kuala Lumpur,Malaysia,3.32,3.32,0.52,2.53,478.24,273.76,48.02,26.76,38.52,923.24,0.28,0.41,0.35,0.67,0.67,10.26251888,0.816509426,67.10215759,0.894626856,0.4156341699999999,0.839302301,3.1478,101.6953,8285000.0,0.91,0.72,0.94,0.86,0.6799999999999999,0.1699999999999999,0.85,0.26,0.15,0.06,0.09,0.0699999999999999,0.4,0.73,0.4,26.68171651874609
Copenhagen,Denmark,10.04,6.69,1.07,5.21,1234.4,919.12,196.67,34.45,36.85,2803.98,0.65,0.57,0.72,0.78,0.21,10.77400112,0.955990791,72.40250397,0.951444268,0.3671091489999999,0.168489456,55.6786,12.5635,1085000.0,0.49,0.8099999999999999,0.25,0.1399999999999999,0.48,0.3299999999999999,0.3299999999999999,0.73,0.24,0.73,0.85,0.5,0.8800000000000001,0.09,0.61,8.249621664675429
Hong Kong,Hong Kong,4.05,5.78,1.57,4.15,2041.88,1405.71,176.27,21.61,68.37,2387.66,0.53,0.42,0.78,0.66,0.67,10.9346714,0.845969081,76.77170563,0.779833794,0.4358872769999999,0.420607209,22.305,114.185,7347000.0,0.92,0.47,0.89,0.04,0.29,0.02,0.2,0.0699999999999999,1.0,0.1,0.05,0.4,0.4,0.3299999999999999,0.12,23.570474199237648
Portland,United States,6.74,4.49,1.75,3.85,1399.8,1045.69,150.98,60.86,39.9,3403.15,0.52,0.67,0.51,0.74,0.31,10.92576885,0.914219022,68.29949951,0.842619538,0.450799107,0.699715316,45.5372,-122.65,2074775.0,0.5900000000000001,0.9,0.39,0.13,0.6,0.3,0.18,0.89,0.6,0.4,0.4,0.71,0.3,0.42,0.5599999999999999,10.397814437901806
Lisbon,Portugal,6.0,2.0,0.63,1.44,886.21,619.04,99.29,32.35,34.6,913.81,0.37,0.31,0.72,0.72,0.36,10.26374245,0.886590719,72.40202332,0.888747811,0.0801930719999999,0.892629504,38.7452,-9.1604,506654.0,0.1,0.76,0.7,0.76,0.8300000000000001,0.74,0.8800000000000001,0.2799999999999999,0.42,0.58,0.73,0.73,0.6,0.89,0.8300000000000001,15.152953789042497
Beijing,China,4.56,1.95,0.56,3.99,946.89,575.19,55.03,12.43,42.04,1137.26,0.32,0.38,0.66,0.65,0.85,9.688568115,0.798760593,69.2891922,0.898517907,0.1194816229999999,0.7539711,39.905,116.3914,19433000.0,0.99,0.24,0.77,0.32,0.42,0.02,0.79,0.18,1.0,0.1,0.05,0.01,0.4,1.0,0.04,12.136242319508447
Cape Town,South Africa,3.74,2.18,1.02,1.73,695.92,468.15,62.35,61.33,34.45,1140.76,0.28,0.45,0.26,0.71,0.39,9.403370857,0.852532268,56.50601196,0.759330094,0.1911300489999999,0.843423843,-33.925,18.425,433688.0,0.05,0.82,0.1699999999999999,0.73,0.05,0.01,0.8699999999999999,0.05,0.42,0.8,0.38,0.18,0.3,0.8400000000000001,0.97,15.826009486829378
Budapest,Hungary,4.79,1.5,0.34,1.41,480.55,356.04,147.94,13.06,37.85,755.32,0.3,0.34,0.64,0.49,0.54,10.24924374,0.921934128,67.60997009,0.718964577,0.1065843549999999,0.892916501,47.4983,19.0408,1752286.0,0.6,0.39,0.64,0.91,0.6599999999999999,0.11,0.93,0.49,0.3399999999999999,0.09,0.16,0.08,0.6,0.93,0.72,10.823792811628833
Barcelona,Spain,7.0,2.5,0.61,1.79,950.28,725.42,136.65,42.57,41.14,1444.48,0.44,0.38,0.54,0.78,0.65,10.46292686,0.921125412,74.40270996,0.751989543,0.249945659,0.765859902,41.3825,2.1769,4588000.0,0.06,0.6900000000000001,0.86,0.65,0.71,0.8300000000000001,0.67,0.6599999999999999,0.22,0.6,0.76,0.92,0.6,0.75,0.42,15.37608593616658
San Francisco,United States,8.98,6.29,1.74,4.06,3131.06,2527.11,127.73,60.0,77.08,6532.21,0.62,0.85,0.44,0.65,0.47,10.92576885,0.914219022,68.29949951,0.842619538,0.450799107,0.699715316,37.7562,-122.443,3592294.0,0.67,1.0,0.75,0.01,0.99,0.3,0.03,0.1,0.6,0.4,0.4,0.98,0.3,0.1399999999999999,0.8,14.757469989190414
Seattle,United States,7.19,5.39,1.68,3.81,1919.17,1450.04,144.15,58.46,48.94,4741.65,0.6,0.81,0.51,0.73,0.29,10.92576885,0.914219022,68.29949951,0.842619538,0.450799107,0.699715316,47.6211,-122.3244,3789215.0,0.76,0.98,0.61,0.0699999999999999,0.53,0.3,0.09,0.91,0.6,0.4,0.4,0.6799999999999999,0.1,0.36,0.35,11.92384792626728
Bucharest,Romania,4.19,1.78,0.51,1.87,401.41,268.02,89.13,8.47,35.84,658.66,0.29,0.32,0.72,0.54,0.76,10.107584,0.825161517,67.20723724,0.842823207,0.1030921629999999,0.934300244,44.4,26.0833,1883425.0,0.96,0.4,0.1,0.96,0.8400000000000001,0.0699999999999999,0.99,0.8800000000000001,0.18,0.19,0.08,0.05,0.6,0.91,0.41,11.665223018717642
Madrid,Spain,8.0,3.0,0.71,1.76,933.23,703.38,119.87,41.89,35.57,1578.77,0.44,0.41,0.71,0.79,0.53,10.46292686,0.921125412,74.40270996,0.751989543,0.249945659,0.765859902,40.4189,-3.6919,3266126.0,0.0699999999999999,0.52,0.79,0.45,0.82,0.8300000000000001,0.6799999999999999,0.41,0.22,0.6,0.76,0.8300000000000001,0.6,0.6900000000000001,0.18,14.422157151391021
Vienna,Austria,7.25,4.0,0.54,3.19,858.37,621.65,158.45,30.86,27.44,1900.43,0.48,0.58,0.75,0.79,0.18,10.7428236,0.928045869,73.00250244,0.899989486,0.386336594,0.499954879,48.2083,16.3731,1840573.0,0.47,0.38,0.8300000000000001,0.49,0.8699999999999999,0.8,0.41,0.8699999999999999,0.44,0.2799999999999999,0.64,0.3399999999999999,0.6,0.58,0.73,10.991206548330203
Taipei,Taiwan,3.91,1.77,1.12,2.64,487.78,323.83,68.8,20.55,40.35,1340.77,0.45,0.39,0.87,0.87,0.49,10.77568531,0.894309103,69.59999847,0.77153033,0.2277086749999999,0.73188293,25.0478,121.5319,2684567.0,0.8699999999999999,0.35,0.92,0.5,0.63,0.04,0.1,0.2299999999999999,0.78,0.1,0.04,0.39,0.3299999999999999,0.9,0.2299999999999999,22.629306053365188
Shanghai,China,4.56,1.3,0.61,3.82,970.31,477.33,51.7,14.26,44.9,1111.52,0.35,0.37,0.66,0.61,0.77,9.688568115,0.798760593,69.2891922,0.898517907,0.1194816229999999,0.7539711,31.1667,121.4667,22120000.0,0.82,0.08,0.85,0.35,0.38,0.02,0.55,0.04,1.0,0.1,0.05,0.09,0.1,0.78,0.02,16.599213460772596
Stockholm,Sweden,7.6,6.55,1.61,3.64,1167.36,804.1,75.9,27.98,37.83,2476.17,0.58,0.54,0.55,0.67,0.2,10.75879383,0.926311195,72.60076904,0.939144194,0.412521995,0.250880182,59.3294,18.0686,972647.0,0.45,0.64,0.36,0.25,0.76,0.48,0.13,0.51,0.13,0.96,0.8800000000000001,0.96,0.4,0.08,0.48,6.75544248165216
Buenos Aires,Argentina,4.94,1.5,0.85,1.46,245.13,197.02,68.07,24.79,25.9,483.99,0.26,0.24,0.37,0.68,0.52,9.810955048,0.900567949,68.80380249,0.831132412,0.1059935089999999,0.842009842,-34.5997,-58.3819,16157000.0,0.29,0.06,0.35,0.8300000000000001,0.37,0.08,0.75,0.21,0.5,0.5599999999999999,0.6799999999999999,0.99,0.8300000000000001,0.82,0.43,15.839207131478636
São Paulo,Brazil,5.92,1.97,0.61,1.46,448.08,294.58,54.21,24.2,25.41,470.25,0.24,0.22,0.3,0.58,0.8,9.56643486,0.896723807,66.48016357,0.799804807,0.1990949809999999,0.770601273,-23.5504,-46.6339,22046000.0,0.24,0.22,0.48,0.8,0.21,0.06,0.78,0.32,0.74,0.16,0.2799999999999999,0.7,0.76,0.85,0.1399999999999999,19.32037357057519
Dublin,Ireland,8.0,5.8,1.41,3.2,1692.24,1405.38,169.12,54.01,40.22,2531.16,0.57,0.45,0.5,0.52,0.4,11.16097832,0.942081571,72.30078888,0.886982977,0.446692347,0.357184172,53.3425,-6.2658,1173179.0,0.44,0.8699999999999999,0.78,0.26,0.43,0.6,0.62,0.9,0.2,0.95,1.0,0.49,0.1,0.3,0.65,8.549075851965638
Zürich,Switzerland,12.94,6.24,1.13,4.66,1701.77,1263.69,162.87,48.71,76.33,5714.8,0.9,0.79,0.84,0.76,0.17,10.97993279,0.942846596,74.10244751,0.921336651,0.4068184119999999,0.303728431,47.3786,8.54,434008.0,0.8300000000000001,0.8300000000000001,0.43,0.09,0.6900000000000001,0.58,0.01,0.82,0.7,0.92,0.7,0.5599999999999999,0.9,0.06,0.98,9.216344157137168
Brisbane,Australia,7.43,4.95,1.34,2.8,1041.75,757.35,108.52,47.06,40.03,3030.03,0.56,0.65,0.65,0.82,0.22,10.72059631,0.944854617,73.60453796,0.915431738,0.4913675329999999,0.41516912,-27.4678,153.0281,2514184.0,0.65,0.49,0.3299999999999999,0.3,0.19,0.38,0.5,0.2,0.36,0.36,0.9,0.65,0.2,0.31,0.13,19.490545528247143
Brussels,Belgium,8.2,4.0,0.94,3.17,838.2,686.19,122.98,43.43,26.11,2289.69,0.53,0.58,0.49,0.75,0.62,10.6736393,0.911632538,72.00164795,0.813582063,0.222216174,0.612297952,50.8467,4.3517,185103.0,0.13,0.54,0.5599999999999999,0.51,0.89,0.55,0.38,0.44,0.72,0.65,0.6599999999999999,0.26,0.76,0.48,0.49,10.00014792057803
Melbourne,Australia,7.12,5.57,1.28,2.63,1134.86,859.46,127.87,43.28,46.28,2791.96,0.55,0.68,0.56,0.75,0.26,10.72059631,0.944854617,73.60453796,0.915431738,0.4913675329999999,0.41516912,-37.8136,144.9631,5078193.0,0.61,0.5700000000000001,0.51,0.21,0.41,0.38,0.3399999999999999,0.47,0.36,0.36,0.9,0.6599999999999999,0.8300000000000001,0.12,0.3299999999999999,17.73044710417022
Perth,Australia,7.32,5.9,1.68,2.86,897.5,639.56,129.02,43.78,39.32,2493.77,0.56,0.66,0.58,0.78,0.23,10.72059631,0.944854617,73.60453796,0.915431738,0.4913675329999999,0.41516912,-31.9522,115.8589,2059484.0,0.8,0.3,0.22,0.3299999999999999,0.0699999999999999,0.38,0.2799999999999999,0.39,0.36,0.36,0.9,0.72,0.06,0.04,0.39,17.747306849860614
Sydney,Australia,7.15,4.97,1.29,2.48,1568.39,1140.67,110.7,43.51,47.37,3018.36,0.59,0.64,0.66,0.78,0.27,10.72059631,0.944854617,73.60453796,0.915431738,0.4913675329999999,0.41516912,-33.865,151.2094,5312163.0,0.6799999999999999,0.67,0.71,0.08,0.13,0.38,0.35,0.16,0.36,0.36,0.9,0.85,0.1,0.18,0.31,13.637456619445864
