Date,Calibre Index Fund,"""Nasdaq Composite, x""","""Nasdaq Composite, y""","""MSCI EAFE Index Fund (ETF), x""",MSCI EAFE Index Fund (ETF),"""Dow Jones Industrial Average, y""","""S&amp;P 500 Index, y"""
2008-02-04,127.230003,,,2008-02-05,69.46,12635.160156,1380.819946
2008-02-05,123.16999799999999,,,2008-02-06,69.4,12265.129883,1336.640015
2008-02-06,122.279999,,,2008-02-07,69.05,12200.099609,1326.449951
2008-02-07,123.279999,,,2008-02-08,68.34,12247.0,1336.910034
2008-02-08,122.760002,,,2008-02-11,68.7,12182.129883,1331.290039
2008-02-11,123.489998,,,2008-02-12,70.18,12240.009766,1339.130005
2008-02-12,124.389999,,,2008-02-13,70.66,12373.410156,1348.859985
2008-02-13,126.129997,,,2008-02-14,70.34,12552.240234,1367.209961
2008-02-14,124.440002,,,2008-02-15,70.6,12376.980469,1348.859985
2008-02-15,124.550003,,,2008-02-19,71.29,12348.209961,1349.98999
2008-02-19,124.449997,,,2008-02-20,70.92,12337.219727,1348.780029
2008-02-20,125.489998,,,2008-02-21,70.79,12427.259766,1360.030029
2008-02-21,123.91999799999999,,,2008-02-22,71.69,12284.299805,1342.530029
2008-02-22,124.910004,,,2008-02-25,72.83,12381.019531,1353.109985
2008-02-25,126.639999,,,2008-02-26,73.91,12570.219727,1371.800049
2008-02-26,127.519997,,,2008-02-27,74.15,12684.919922,1381.290039
2008-02-27,127.43,,,2008-02-28,73.44,12694.280273,1380.02002
2008-02-28,126.300003,,,2008-02-29,71.6,12582.179688,1367.680054
2008-02-29,122.889999,,,2008-03-03,71.81,12266.389648,1330.630005
2008-03-03,122.949997,,,2008-03-04,70.72,12258.900391,1331.339966
2008-03-04,122.529999,,,2008-03-05,71.57,12213.799805,1326.75
2008-03-05,123.230003,,,2008-03-06,70.55,12254.990234,1333.699951
2008-03-06,120.540001,,,2008-03-07,69.72,12040.389648,1304.339966
2008-03-07,119.519997,,,2008-03-10,69.37,11893.69043,1293.369995
2008-03-10,117.690002,,,2008-03-11,71.56,11740.150391,1273.369995
2008-03-11,122.059998,,,2008-03-12,71.56,12156.80957,1320.650024
2008-03-12,120.989998,,,2008-03-13,71.68,12110.240234,1308.77002
2008-03-13,121.620003,,,2008-03-14,69.95,12145.740234,1315.47998
2008-03-14,119.089996,,,2008-03-17,68.89,11951.089844,1288.140015
2008-03-17,118.040001,,,2008-03-18,71.0,11972.25,1276.599976
2008-03-18,123.050003,,,2008-03-19,68.43,12392.660156,1330.73999
2008-03-19,120.059998,,,2008-03-20,69.46,12099.660156,1298.420044
2008-03-20,122.940002,,,2008-03-24,70.73,12361.320313,1329.51001
2008-03-24,124.82,,,2008-03-25,71.76,12548.639648,1349.880005
2008-03-25,125.110001,,,2008-03-26,71.76,12532.599609,1352.98999
2008-03-26,124.019997,,,2008-03-27,71.7,12422.860352,1341.130005
2008-03-27,122.019997,,,2008-03-28,71.64,12302.459961,1325.76001
2008-03-28,121.059998,,,2008-03-31,71.9,12216.400391,1315.219971
2008-03-31,121.75,,,2008-04-01,74.17,12262.889648,1322.699951
2008-04-01,126.120003,,,2008-04-02,74.33,12654.360352,1370.180054
2008-04-02,125.900002,,,2008-04-03,74.55,12608.919922,1367.530029
2008-04-03,126.059998,,,2008-04-04,74.8,12626.030273,1369.310059
2008-04-04,126.160004,,,2008-04-07,75.26,12609.419922,1370.400024
2008-04-07,126.360001,,,2008-04-08,74.47,12612.429688,1372.540039
2008-04-08,125.760002,,,2008-04-09,73.86,12576.44043,1365.540039
2008-04-09,124.75,,,2008-04-10,73.63,12527.259766,1354.48999
2008-04-10,125.309998,,,2008-04-11,72.64,12581.980469,1360.550049
2008-04-11,122.769997,,,2008-04-14,72.8,12325.419922,1332.829956
2008-04-14,122.349998,,,2008-04-15,73.31,12302.05957,1328.319946
2008-04-15,122.91999799999999,,,2008-04-16,75.62,12362.469727,1334.430054
2008-04-16,125.720001,,,2008-04-17,74.78,12619.269531,1364.709961
2008-04-17,125.809998,,,2008-04-18,75.31,12620.490234,1365.560059
2008-04-18,128.080002,,,2008-04-21,75.9,12849.360352,1390.329956
2008-04-21,127.889999,,,2008-04-22,75.11,12825.019531,1388.170044
2008-04-22,126.760002,,,2008-04-23,75.5,12720.230469,1375.939941
2008-04-23,127.129997,,,2008-04-24,75.01,12763.219727,1379.930054
2008-04-24,127.949997,,,2008-04-25,75.63,12848.950195,1388.819946
2008-04-25,128.779999,,,2008-04-28,76.07,12891.860352,1397.839966
2008-04-28,128.649994,,,2008-04-29,75.4,12871.75,1396.369995
2008-04-29,128.149994,,,2008-04-30,75.81,12831.94043,1390.939941
2008-04-30,127.66999799999999,,,2008-05-01,76.27,12820.129883,1385.589966
2008-05-01,129.880005,,,2008-05-02,76.48,13010.0,1409.339966
2008-05-02,130.300003,,,2008-05-05,76.61,13058.200195,1413.900024
2008-05-05,129.720001,,,2008-05-06,77.18,12969.540039,1407.48999
2008-05-06,130.71000700000002,,,2008-05-07,75.83,13020.830078,1418.26001
2008-05-07,128.399994,,,2008-05-08,76.49,12814.349609,1392.569946
2008-05-08,128.869995,,,2008-05-09,75.88,12866.780273,1397.680054
2008-05-09,128.029999,,,2008-05-12,76.64,12745.879883,1388.280029
2008-05-12,129.449997,,,2008-05-13,76.38,12876.30957,1403.579956
2008-05-13,129.429993,,,2008-05-14,76.38,12832.179688,1403.040039
2008-05-14,129.970001,,,2008-05-15,77.68,12898.379883,1408.660034
2008-05-15,131.369995,,,2008-05-16,78.52,12992.660156,1423.569946
2008-05-16,131.53999299999998,,,2008-05-19,78.2,12986.799805,1425.349976
2008-05-19,131.669998,,,2008-05-20,77.48,13028.160156,1426.630005
2008-05-20,130.449997,,,2008-05-21,76.6,12828.679688,1413.400024
2008-05-21,128.360001,,,2008-05-22,77.49,12601.19043,1390.709961
2008-05-22,128.720001,,,2008-05-23,76.61,12625.620117,1394.349976
2008-05-23,127.019997,,,2008-05-27,76.46,12479.629883,1375.930054
2008-05-27,127.889999,,,2008-05-28,76.45,12548.349609,1385.349976
2008-05-28,128.419998,,,2008-05-29,76.28,12594.030273,1390.839966
2008-05-29,129.119995,,,2008-05-30,76.71,12646.219727,1398.26001
2008-05-30,129.309998,,,2008-06-02,75.91,12638.320313,1400.380005
2008-06-02,127.959999,,,2008-06-03,75.75,12503.820313,1385.670044
2008-06-03,127.220001,,,2008-06-04,75.31,12402.849609,1377.650024
2008-06-04,127.239998,,,2008-06-05,76.56,12390.480469,1377.199951
2008-06-05,129.729996,,,2008-06-06,74.36,12604.450195,1404.050049
2008-06-06,125.739998,,,2008-06-09,74.26,12209.80957,1360.680054
2008-06-09,125.839996,,,2008-06-10,73.0,12280.320313,1361.76001
2008-06-10,125.540001,,,2008-06-11,72.07,12289.759766,1358.439941
2008-06-11,123.440002,,,2008-06-12,71.82,12083.769531,1335.48999
2008-06-12,123.860001,,,2008-06-13,72.48,12141.580078,1339.869995
2008-06-13,125.720001,,,2008-06-16,72.85,12307.349609,1360.030029
2008-06-16,125.730003,,,2008-06-17,73.07,12269.080078,1360.140015
2008-06-17,124.879997,,,2008-06-18,72.47,12160.299805,1350.930054
2008-06-18,123.66999799999999,,,2008-06-19,72.33,12029.05957,1337.810059
2008-06-19,124.16999799999999,,,2008-06-20,70.75,12063.089844,1342.829956
2008-06-20,121.870003,,,2008-06-23,70.74,11842.69043,1317.930054
2008-06-23,121.870003,,,2008-06-24,70.42,11842.360352,1318.0
2008-06-24,121.529999,,,2008-06-25,69.85,11807.429688,1314.290039
2008-06-25,122.25,,,2008-06-26,68.08,11811.830078,1321.969971
2008-06-26,118.120003,,,2008-06-27,68.26,11453.419922,1283.150024
2008-06-27,117.68,,,2008-06-30,68.67,11346.509766,1278.380005
2008-06-30,117.83000200000001,,,2008-07-01,67.93,11350.009766,1280.0
2008-07-01,118.309998,,,2008-07-02,66.85,11382.259766,1284.910034
2008-07-02,116.160004,,,2008-07-03,67.28,11215.509766,1261.52002
2008-07-03,116.290001,,,2008-07-07,66.7,11288.540039,1262.900024
2008-07-07,115.32,,,2008-07-08,67.05,11231.959961,1252.310059
2008-07-08,117.33000200000001,,,2008-07-09,66.18,11384.209961,1273.699951
2008-07-09,114.66999799999999,,,2008-07-10,66.75,11147.44043,1244.689941
2008-07-10,115.470001,,,2008-07-11,65.7,11229.019531,1253.390015
2008-07-11,114.199997,,,2008-07-14,65.56,11100.540039,1239.48999
2008-07-14,113.16999799999999,,,2008-07-15,64.51,11055.19043,1228.300049
2008-07-15,111.940002,,,2008-07-16,65.7,10962.540039,1214.910034
2008-07-16,114.760002,,,2008-07-17,66.7,11239.280273,1245.359985
2008-07-17,116.139999,,,2008-07-18,67.13,11446.660156,1260.319946
2008-07-18,116.18,,,2008-07-21,67.52,11496.570313,1260.680054
2008-07-21,116.120003,,,2008-07-22,67.75,11467.339844,1260.0
2008-07-22,117.690002,,,2008-07-23,68.0,11602.5,1277.0
2008-07-23,118.160004,,,2008-07-24,66.76,11632.379883,1282.189941
2008-07-24,115.43,,,2008-07-25,66.9,11349.280273,1252.540039
2008-07-25,115.91999799999999,,,2008-07-28,65.78,11370.69043,1257.76001
2008-07-28,113.760002,,,2008-07-29,66.43,11131.080078,1234.369995
2008-07-29,116.43,,,2008-07-30,67.05,11397.55957,1263.199951
2008-07-30,118.379997,,,2008-07-31,66.39,11583.69043,1284.26001
2008-07-31,116.849998,,,2008-08-01,65.4,11378.019531,1267.380005
2008-08-01,116.199997,,,2008-08-04,64.78,11326.320313,1260.310059
2008-08-04,115.160004,,,2008-08-05,66.42,11284.150391,1249.01001
2008-08-05,118.470001,,,2008-08-06,66.44,11615.769531,1284.880005
2008-08-06,118.93,,,2008-08-07,65.11,11656.070313,1289.189941
2008-08-07,116.809998,,,2008-08-08,65.38,11431.429688,1266.069946
2008-08-08,119.599998,,,2008-08-11,65.32,11734.320313,1296.319946
2008-08-11,120.459999,,,2008-08-12,64.85,11782.349609,1305.319946
2008-08-12,119.010002,,,2008-08-13,63.83,11642.469727,1289.589966
2008-08-13,118.709999,,,2008-08-14,63.58,11532.959961,1285.829956
2008-08-14,119.370003,,,2008-08-15,63.16,11615.929688,1292.930054
2008-08-15,119.870003,,,2008-08-18,62.84,11659.900391,1298.199951
2008-08-18,118.07,,,2008-08-19,62.13,11479.389648,1278.599976
2008-08-19,116.980003,,,2008-08-20,62.5,11348.549805,1266.689941
2008-08-20,117.709999,,,2008-08-21,62.75,11417.429688,1274.540039
2008-08-21,118.010002,,,2008-08-22,63.04,11430.209961,1277.719971
2008-08-22,119.360001,,,2008-08-25,62.05,11628.05957,1292.199951
2008-08-25,117.019997,,,2008-08-26,62.36,11386.25,1266.839966
2008-08-26,117.449997,,,2008-08-27,62.95,11412.870117,1271.51001
2008-08-27,118.410004,,,2008-08-28,63.76,11502.509766,1281.660034
2008-08-28,120.18,,,2008-08-29,63.57,11715.179688,1300.680054
2008-08-29,118.540001,,,2008-09-02,62.59,11543.959961,1282.829956
2008-09-02,118.050003,,,2008-09-03,62.33,11516.919922,1277.579956
2008-09-03,117.870003,,,2008-09-04,59.66,11532.879883,1274.97998
2008-09-04,114.349998,,,2008-09-05,59.44,11188.230469,1236.829956
2008-09-05,114.860001,,,2008-09-08,60.77,11220.959961,1242.310059
2008-09-08,117.230003,,,2008-09-09,58.8,11510.740234,1267.790039
2008-09-09,113.230003,,,2008-09-10,59.37,11230.730469,1224.51001
2008-09-10,113.93,,,2008-09-11,59.24,11268.919922,1232.040039
2008-09-11,115.540001,,,2008-09-12,60.4,11433.709961,1249.050049
2008-09-12,115.790001,,,2008-09-15,57.83,11421.990234,1251.699951
2008-09-15,110.360001,,,2008-09-16,57.4,10917.509766,1192.699951
2008-09-16,112.269997,,,2008-09-17,55.21,11059.019531,1213.599976
2008-09-17,106.980003,,,2008-09-18,57.72,10609.660156,1156.390015
2008-09-18,111.639999,,,2008-09-19,61.81,11019.69043,1206.51001
2008-09-19,116.139999,,,2008-09-22,59.7,11388.44043,1255.079956
2008-09-22,111.709999,,,2008-09-23,58.86,11015.69043,1207.089966
2008-09-23,109.959999,,,2008-09-24,59.03,10854.169922,1188.219971
2008-09-24,109.75,,,2008-09-25,60.39,10825.169922,1185.869995
2008-09-25,111.269997,,,2008-09-26,59.75,11022.05957,1209.180054
2008-09-26,111.650002,,,2008-09-29,53.08,11143.129883,1213.27002
2008-09-29,101.849998,,,2008-09-30,56.3,10365.450195,1106.420044
2008-09-30,107.370003,,,2008-10-01,55.88,10850.660156,1166.359985
2008-10-01,106.900002,,,2008-10-02,53.44,10831.070313,1161.060059
2008-10-02,102.610001,,,2008-10-03,53.23,10482.849609,1114.280029
2008-10-03,101.230003,,,2008-10-06,50.22,10325.379883,1099.22998
2008-10-06,97.33000200000001,,,2008-10-07,47.87,9955.5,1056.890015
2008-10-07,91.739998,,,2008-10-08,46.8,9447.110352,996.2299800000001
2008-10-08,90.75,,,2008-10-09,44.0,9258.099609,984.9400019999999
2008-10-09,83.839996,,,2008-10-10,42.36,8579.19043,909.919983
2008-10-10,82.870003,,,2008-10-13,49.09,8451.19043,899.2199710000001
2008-10-13,92.459999,,,2008-10-14,48.08,9387.610352,1003.349976
2008-10-14,91.970001,,,2008-10-15,42.95,9310.990234,998.01001
2008-10-15,83.66999799999999,,,2008-10-16,45.48,8577.910156,907.840027
2008-10-16,87.230003,,,2008-10-17,44.51,8979.259766,946.429993
2008-10-17,86.690002,,,2008-10-20,47.35,8852.219727,940.5499880000001
2008-10-20,90.82,,,2008-10-21,44.68,9265.429688,985.400024
2008-10-21,88.029999,,,2008-10-22,41.18,9033.660156,955.0499880000001
2008-10-22,82.66999799999999,,,2008-10-23,42.33,8519.209961,896.7800289999999
2008-10-23,83.720001,,,2008-10-24,39.59,8691.25,908.1099849999999
2008-10-24,80.82,,,2008-10-27,37.51,8378.950195,876.7700199999999
2008-10-27,78.25,,,2008-10-28,42.68,8175.77002,848.919983
2008-10-28,86.699997,,,2008-10-29,42.78,9065.120117,940.51001
2008-10-29,85.75,,,2008-10-30,44.28,8990.959961,930.090027
2008-10-30,87.989998,,,2008-10-31,44.57,9180.69043,954.090027
2008-10-31,89.339996,,,2008-11-03,44.75,9325.009766,968.75
2008-11-03,89.120003,,,2008-11-04,47.82,9319.830078,966.2999880000001
2008-11-04,92.75,,,2008-11-05,45.22,9625.280273,1005.75
2008-11-05,87.91999799999999,,,2008-11-06,42.3,9139.269531,952.7700199999999
2008-11-06,83.519997,,,2008-11-07,44.69,8695.790039,904.8800050000001
2008-11-07,85.959999,,,2008-11-10,44.02,8943.80957,930.98999
2008-11-10,84.889999,,,2008-11-11,42.57,8870.540039,919.2100220000001
2008-11-11,83.010002,,,2008-11-12,40.28,8693.959961,898.9500119999999
2008-11-12,78.75,,,2008-11-13,43.71,8282.660156,852.2999880000001
2008-11-13,84.199997,,,2008-11-14,41.2,8835.25,911.2899779999999
2008-11-14,80.699997,,,2008-11-17,40.45,8497.30957,873.2899779999999
2008-11-17,78.629997,,,2008-11-18,40.52,8273.580078,850.75
2008-11-18,79.43,,,2008-11-19,37.81,8424.75,859.1199949999999
2008-11-19,74.58000200000001,,,2008-11-20,35.73,7997.279785,806.580017
2008-11-20,69.57,,,2008-11-21,38.27,7552.290039,752.4400019999999
2008-11-21,73.989998,,,2008-11-24,40.56,8046.419922,800.030029
2008-11-24,78.779999,,,2008-11-25,41.3,8443.389648,851.8099980000001
2008-11-25,79.300003,,,2008-11-26,41.75,8479.469727,857.3900150000001
2008-11-26,82.139999,,,2008-11-28,41.73,8726.610352,887.679993
2008-11-28,82.93,,,2008-12-01,38.32,8829.040039,896.23999
2008-12-01,75.540001,,,2008-12-02,40.4,8149.089844,816.210022
2008-12-02,78.559998,,,2008-12-03,40.94,8419.089844,848.8099980000001
2008-12-03,80.629997,,,2008-12-04,39.68,8591.69043,870.73999
2008-12-04,78.269997,,,2008-12-05,40.18,8376.240234,845.2199710000001
2008-12-05,81.120003,,,2008-12-08,42.09,8635.419922,876.070007
2008-12-08,84.25,,,2008-12-09,41.7,8934.179688,909.7000119999999
2008-12-09,82.309998,,,2008-12-10,42.8,8691.330078,888.669983
2008-12-10,83.290001,,,2008-12-11,42.61,8761.419922,899.23999
2008-12-11,80.940002,,,2008-12-12,43.03,8565.089844,873.590027
2008-12-12,81.510002,,,2008-12-15,43.14,8629.679688,879.7299800000001
2008-12-15,80.489998,,,2008-12-16,45.62,8564.530273,868.570007
2008-12-16,84.620003,,,2008-12-17,45.49,8924.139648,913.179993
2008-12-17,83.809998,,,2008-12-18,44.0,8824.339844,904.419983
2008-12-18,82.050003,,,2008-12-19,43.36,8604.990234,885.2800289999999
2008-12-19,82.269997,,,2008-12-22,43.06,8579.110352,887.8800050000001
2008-12-22,80.779999,,,2008-12-23,42.2,8519.69043,871.6300050000001
2008-12-23,80.0,,,2008-12-24,42.76,8419.490234,863.159973
2008-12-24,80.5,,,2008-12-26,42.96,8468.480469,868.150024
2008-12-26,80.230003,,,2008-12-29,42.97,8515.549805,872.7999880000001
2008-12-29,79.970001,,,2008-12-30,44.26,8483.929688,869.419983
2008-12-30,81.93,,,2008-12-31,44.86,8668.389648,890.6400150000001
2008-12-31,83.089996,,,2009-01-02,45.44,8776.389648,903.25
2009-01-02,85.75,,,2009-01-05,44.71,9034.69043,931.7999880000001
2009-01-05,85.349998,,,2009-01-06,45.19,8952.889648,927.4500119999999
2009-01-06,86.019997,,,2009-01-07,44.41,9015.099609,934.7000119999999
2009-01-07,83.480003,,,2009-01-08,45.07,8769.700195,906.650024
2009-01-08,83.769997,,,2009-01-09,43.51,8742.459961,909.7299800000001
2009-01-09,81.980003,,,2009-01-12,42.46,8599.179688,890.349976
2009-01-12,80.139999,,,2009-01-13,41.68,8473.969727,870.26001
2009-01-13,80.279999,,,2009-01-14,39.97,8448.55957,871.7899779999999
2009-01-14,77.599998,,,2009-01-15,40.33,8200.139648,842.6199949999999
2009-01-15,77.709999,,,2009-01-16,40.57,8212.490234,843.73999
2009-01-16,78.300003,,,2009-01-20,37.6,8281.219727,850.1199949999999
2009-01-20,74.16999799999999,,,2009-01-21,39.44,7949.089844,805.219971
2009-01-21,77.400002,,,2009-01-22,38.52,8228.099609,840.23999
2009-01-22,76.230003,,,2009-01-23,38.25,8122.799805,827.5
2009-01-23,76.639999,,,2009-01-26,39.0,8077.560059,831.950012
2009-01-26,77.059998,,,2009-01-27,39.76,8116.029785,836.570007
2009-01-27,77.910004,,,2009-01-28,40.93,8174.72998,845.7100220000001
2009-01-28,80.529999,,,2009-01-29,39.07,8375.450195,874.090027
2009-01-29,77.870003,,,2009-01-30,38.7,8149.009765999999,845.1400150000001
2009-01-30,76.099998,,,2009-02-02,38.32,8000.859863,825.880005
2009-02-02,76.050003,,,2009-02-03,39.42,7936.75,825.4400019999999
2009-02-03,77.260002,,,2009-02-04,39.22,8078.359863,838.51001
2009-02-04,76.739998,,,2009-02-05,39.78,7956.660156,832.22998
2009-02-05,78.0,,,2009-02-06,40.7,8063.069823999999,845.849976
2009-02-06,80.129997,,,2009-02-09,40.69,8280.589844,868.599976
2009-02-09,80.25,,,2009-02-10,38.67,8270.870117,869.8900150000001
2009-02-10,76.309998,,,2009-02-11,39.09,7888.879883,827.159973
2009-02-11,76.949997,,,2009-02-12,38.97,7939.529785,833.73999
2009-02-12,77.099998,,,2009-02-13,38.55,7932.759765999999,835.1900019999999
2009-02-13,76.33000200000001,,,2009-02-17,36.5,7850.410156,826.840027
2009-02-17,72.870003,,,2009-02-18,36.47,7552.600098000001,789.169983
2009-02-18,72.809998,,,2009-02-19,36.42,7555.629883,788.419983
2009-02-19,71.989998,,,2009-02-20,35.89,7465.950195,778.9400019999999
2009-02-20,71.190002,,,2009-02-23,34.52,7365.669922,770.049988
2009-02-23,68.720001,,,2009-02-24,35.96,7114.779785,743.330017
2009-02-24,71.470001,,,2009-02-25,34.97,7350.939941,773.1400150000001
2009-02-25,70.730003,,,2009-02-26,34.68,7270.890137,764.900024
2009-02-26,69.629997,,,2009-02-27,34.68,7182.080078,752.830017
2009-02-27,67.989998,,,2009-03-02,32.69,7062.930176000001,735.090027
2009-03-02,64.83000200000001,,,2009-03-03,32.56,6763.290039,700.820007
2009-03-03,64.400002,,,2009-03-04,34.01,6726.02002,696.330017
2009-03-04,65.959999,,,2009-03-05,32.64,6875.839844,712.869995
2009-03-05,63.16,,,2009-03-06,32.58,6594.439941,682.549988
2009-03-06,63.259997999999996,,,2009-03-09,31.7,6626.939941,683.380005
2009-03-09,62.650002,,,2009-03-10,33.83,6547.049805,676.530029
2009-03-10,66.629997,,,2009-03-11,34.02,6926.490234000001,719.599976
2009-03-11,66.82,,,2009-03-12,34.79,6930.399901999999,721.3599849999999
2009-03-12,69.550003,,,2009-03-13,35.02,7170.060059,750.73999
2009-03-13,70.089996,,,2009-03-16,35.4,7223.97998,756.549988
2009-03-16,69.839996,,,2009-03-17,36.33,7216.970215,753.8900150000001
2009-03-17,72.08000200000001,,,2009-03-18,37.37,7395.700195,778.119995
2009-03-18,73.57,,,2009-03-19,37.35,7486.580078,794.349976
2009-03-19,72.629997,,,2009-03-20,36.83,7400.799805,784.039978
2009-03-20,71.199997,,,2009-03-23,39.48,7278.379883,768.539978
2009-03-23,76.239998,,,2009-03-24,38.24,7775.859863,822.919983
2009-03-24,74.690002,,,2009-03-25,38.83,7659.970215,806.119995
2009-03-25,75.410004,,,2009-03-26,39.35,7749.810059,813.880005
2009-03-26,76.639999,,,2009-03-27,38.09,7924.560059,832.8599849999999
2009-03-27,75.110001,,,2009-03-30,36.64,7776.180176000001,815.9400019999999
2009-03-30,72.489998,,,2009-03-31,37.59,7522.02002,787.530029
2009-03-31,73.440002,,,2009-04-01,38.57,7608.919922,797.869995
2009-04-01,74.66999799999999,,,2009-04-02,40.31,7761.600098000001,811.080017
2009-04-02,76.82,,,2009-04-03,40.54,7978.080078,834.380005
2009-04-03,77.57,,,2009-04-06,39.7,8017.589844,842.5
2009-04-06,76.91999799999999,,,2009-04-07,38.87,7975.850098000001,835.47998
2009-04-07,75.139999,,,2009-04-08,39.26,7789.560059,815.549988
2009-04-08,76.029999,,,2009-04-09,40.31,7837.109863,825.159973
2009-04-09,78.91999799999999,,,2009-04-13,40.71,8083.379883,856.5599980000001
2009-04-13,79.110001,,,2009-04-14,40.32,8057.810059,858.7299800000001
2009-04-14,77.519997,,,2009-04-15,40.85,7920.180176000001,841.5
2009-04-15,78.5,,,2009-04-16,41.11,8029.620117,852.0599980000001
2009-04-16,79.720001,,,2009-04-17,40.97,8125.430176000001,865.2999880000001
2009-04-17,80.120003,,,2009-04-20,39.29,8131.330078,869.599976
2009-04-20,76.709999,,,2009-04-21,40.19,7841.72998,832.3900150000001
2009-04-21,78.33000200000001,,,2009-04-22,39.87,7969.560059,850.080017
2009-04-22,77.739998,,,2009-04-23,40.87,7886.569823999999,843.5499880000001
2009-04-23,78.519997,,,2009-04-24,41.5,7957.060059,851.919983
2009-04-24,79.839996,,,2009-04-27,41.01,8076.290039,866.2299800000001
2009-04-27,79.040001,,,2009-04-28,40.62,8025.0,857.51001
2009-04-28,78.82,,,2009-04-29,41.66,8016.950195,855.159973
2009-04-29,80.529999,,,2009-04-30,41.92,8185.72998,873.6400150000001
2009-04-30,80.459999,,,2009-05-01,42.41,8168.120117,872.8099980000001
2009-05-01,80.900002,,,2009-05-04,44.17,8212.410156,877.5200199999999
2009-05-04,83.639999,,,2009-05-05,43.73,8426.740234,907.23999
2009-05-05,83.339996,,,2009-05-06,44.79,8410.650391,903.7999880000001
2009-05-06,84.800003,,,2009-05-07,44.04,8512.280273,919.5300289999999
2009-05-07,83.699997,,,2009-05-08,45.95,8409.849609,907.3900150000001
2009-05-08,85.699997,,,2009-05-11,44.78,8574.650391,929.2299800000001
2009-05-11,83.910004,,,2009-05-12,45.26,8418.769531,909.23999
2009-05-12,83.83000200000001,,,2009-05-13,43.72,8469.110352,908.349976
2009-05-13,81.610001,,,2009-05-14,44.15,8284.889648,883.919983
2009-05-14,82.459999,,,2009-05-15,43.75,8331.320313,893.070007
2009-05-15,81.550003,,,2009-05-18,45.42,8268.639648,882.8800050000001
2009-05-18,84.029999,,,2009-05-19,45.83,8504.080078,909.7100220000001
2009-05-19,83.900002,,,2009-05-20,46.13,8474.849609,908.1300050000001
2009-05-20,83.470001,,,2009-05-21,45.78,8422.040039,903.4699710000001
2009-05-21,82.099998,,,2009-05-22,46.04,8292.129883,888.330017
2009-05-22,81.980003,,,2009-05-26,46.96,8277.320313,887.0
2009-05-26,84.139999,,,2009-05-27,46.05,8473.490234,910.330017
2009-05-27,82.559998,,,2009-05-28,46.52,8300.019531,893.0599980000001
2009-05-28,83.839996,,,2009-05-29,47.45,8403.799805,906.830017
2009-05-29,84.980003,,,2009-06-01,48.62,8500.330078,919.1400150000001
2009-06-01,87.16999799999999,,,2009-06-02,49.04,8721.44043,942.8699949999999
2009-06-02,87.349998,,,2009-06-03,47.58,8740.870117,944.73999
2009-06-03,86.16999799999999,,,2009-06-04,47.88,8675.240234,931.76001
2009-06-04,87.18,,,2009-06-05,47.29,8750.240234,942.4600220000001
2009-06-05,86.959999,,,2009-06-08,47.19,8763.129883,940.090027
2009-06-08,86.900002,,,2009-06-09,47.77,8764.490234,939.1400150000001
2009-06-09,87.209999,,,2009-06-10,47.86,8763.05957,942.429993
