Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Raw Date,Dtiter,Location,Dtiter Sanofi,Ctiter
DENV4/CHINA/GD09/1990,Fj196850,1990-01-01,China,China,Guangdong,Bai Et Al.,unknown,unknown,unknown,1991.00,1990-xx-xx,0.00,Guangzhou,0.00,0.00
DENV4/CHINA/B5/2000,Af289029,2000-01-01,China,China,Guangdong,Geng Et Al.,unknown,unknown,unknown,2000.00,2000-xx-xx,0.00,Guangzhou,0.00,0.00
DENV4/INDIA/NIV36/1979,Jq686058,1979-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,1979.95,1979-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/6/1979,Jq922559,1979-01-01,South Asia,India,India,Cecilia Et Al.,unknown,unknown,unknown,1979.95,1979-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/ND73/2007,Hm237348,2007-01-01,South Asia,India,Telangana,Dash Et Al.,unknown,unknown,unknown,2007.00,2007-xx-xx,0.00,Hyderabad,0.00,0.00
DENV4/INDIA/LLMD237RGCB/2012,Kj938503,2012-05-01,South Asia,India,Kerala,Fulmali Et Al.,unknown,unknown,unknown,2012.33,2012-05-xx,0.00,Kerala,0.00,0.00
DENV4/INDIA/LLMD236RGCB/2012,Kj938507,2012-05-01,South Asia,India,Kerala,Fulmali Et Al.,unknown,unknown,unknown,2012.33,2012-05-xx,0.00,Kerala,0.00,0.00
DENV4/INDIA/LLMD230RGCB/2012,Kj938506,2012-05-01,South Asia,India,Kerala,Fulmali Et Al.,unknown,unknown,unknown,2012.41,2012-05-xx,0.00,Kerala,0.00,0.00
DENV4/PAKISTAN/I4/2014,Kt239366,2014-01-01,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Pakistan,0.00,0.00
DENV4/INDIA/ND110/2007,Hm237349,2007-01-01,South Asia,India,Telangana,Dash Et Al.,unknown,unknown,unknown,2007.00,2007-xx-xx,0.00,Hyderabad,0.00,0.00
DENV4/PAKISTAN/150/2009,Kf041260,2009-01-01,West Asia,Pakistan,Sindh,Hapuarachchi Et Al.,unknown,unknown,unknown,2010.00,2009-xx-xx,0.00,Karachi,0.00,0.00
DENV4/PAKISTAN/07ATW/2009,Jf967773,2009-01-01,West Asia,Pakistan,Pakistan,Chang Et Al.,unknown,unknown,unknown,2010.00,2009-xx-xx,0.00,Pakistan,0.00,0.00
DENV4/PAKISTAN/I1/2014,Kt239363,2014-01-01,West Asia,Pakistan,Pakistan,Afzal Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Pakistan,0.00,0.00
DENV4/INDIA/DIA09ATW/2010,Jf967790,2010-01-01,South Asia,India,India,Chang Et Al.,unknown,unknown,unknown,2010.00,2010-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/3274/2009,Ku509287,2009-01-01,South Asia,India,India,Cadar Et Al.,unknown,unknown,unknown,2010.00,2009-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/UOH23916/2015,Kx845005,2015-01-01,South Asia,India,India,Gandikota Et Al.,unknown,unknown,unknown,2015.21,2015-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/NIV52326/2009,Jq686067,2009-01-01,South Asia,India,India,Bhagat Et Al.,unknown,unknown,unknown,2009.91,2009-xx-xx,0.00,India,0.00,0.00
DENV4/INDIA/D52326/2009,Jq922560,2009-01-01,South Asia,India,Maharashtra,Cecilia Et Al.,unknown,unknown,unknown,2009.91,2009-xx-xx,0.00,Pune,0.00,0.00
DENV4/THAILAND/0087/1977,Ay618991,1977-01-01,Southeast Asia,Thailand,Bangkok,Holmes Et Al.,unknown,unknown,unknown,1977.00,1977-xx-xx,0.00,Bangkok,0.00,0.00
DENV4/THAILAND/D85052/1985,Ay780644,1985-01-01,Southeast Asia,Thailand,Thailand,Blaney Et Al.,unknown,unknown,unknown,1985.00,1985-xx-xx,0.00,Thailand,0.00,0.00
DENV4/SRI_LANKA/NO17SRILANKA/1978,Ay550909,1978-01-01,South Asia,Sri Lanka,Sri Lanka,Hasebe Et Al.,unknown,unknown,unknown,1979.00,1978-xx-xx,0.00,Sri Lanka,0.00,0.00
DENV4/CAMBODIA/BIDV2056/2005,Kf955511,2005-01-01,Southeast Asia,Cambodia,Cambodia,Berlin Et Al.,unknown,unknown,unknown,2006.00,2005-xx-xx,0.00,Cambodia,0.00,0.00
DENV4/CAMBODIA/BIDV2055/2002,Kf955510,2002-01-01,Southeast Asia,Cambodia,Cambodia,Berlin Et Al.,unknown,unknown,unknown,2002.00,2002-xx-xx,0.00,Cambodia,0.00,0.00
DENV4/THAILAND/BIDV4330/2006,Kf955521,2006-01-01,Southeast Asia,Thailand,Thailand,Berlin Et Al.,unknown,unknown,unknown,2006.00,2006-xx-xx,0.00,Thailand,0.00,0.00
DENV4/CAMBODIA/BIDV4318/2007,Kf955515,2007-01-01,Southeast Asia,Cambodia,Cambodia,Berlin Et Al.,unknown,unknown,unknown,2008.00,2007-xx-xx,0.00,Cambodia,0.00,0.00
DENV4/CAMBODIA/BIDV4322/2008,Kf955516,2008-01-01,Southeast Asia,Cambodia,Cambodia,Berlin Et Al.,unknown,unknown,unknown,2008.11,2008-xx-xx,0.00,Cambodia,0.00,0.00
DENV4/VIETNAM/TV1363/1998,Ay786191,1998-01-01,Southeast Asia,Vietnam,Vietnam,Ha Et Al.,unknown,unknown,unknown,1998.53,1998-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/VIETNAM/BD2017/1999,Ay786190,1999-01-01,Southeast Asia,Vietnam,Vietnam,Ha Et Al.,unknown,unknown,unknown,1999.00,1999-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/VIETNAM/AG2703/2000,Ay786188,2000-01-01,Southeast Asia,Vietnam,Vietnam,Ha Et Al.,unknown,unknown,unknown,2000.87,2000-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/VIETNAM/SG5426/2002,Ay786196,2002-01-01,Southeast Asia,Vietnam,Vietnam,Ha Et Al.,unknown,unknown,unknown,2002.00,2002-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/VIETNAM/VL2777/2000,Ay786194,2000-01-01,Southeast Asia,Vietnam,Vietnam,Ha Et Al.,unknown,unknown,unknown,2000.00,2000-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/VIETNAM/13DX3779/2012,Jx644008,2012-01-01,Southeast Asia,Vietnam,Vietnam,Anders Et Al.,unknown,unknown,unknown,2012.00,2012-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/VIETNAM/BT3976/2011,Jx556926,2011-01-01,Southeast Asia,Vietnam,Mekong Delta,Bui Et Al.,unknown,unknown,unknown,2012.00,2011-xx-xx,0.00,Mekong Delta,0.00,0.00
DENV4/SINGAPORE/25178/2011,Kp792537,2011-06-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2011.49,2011-06-xx,0.00,Singapore,0.00,0.00
DENV4/VIETNAM/13DX3741/2012,Jx644006,2012-01-01,Southeast Asia,Vietnam,Vietnam,Anders Et Al.,unknown,unknown,unknown,2012.47,2012-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/VIETNAM/E577/2013,Kp292928,2013-01-01,Southeast Asia,Vietnam,Vietnam,Bui Et Al.,unknown,unknown,unknown,2013.00,2013-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/THAILAND/0348/1991,Ay618990,1991-01-01,Southeast Asia,Thailand,Bangkok,Holmes Et Al.,unknown,unknown,unknown,1991.00,1991-xx-xx,0.00,Bangkok,0.00,0.00
DENV4/BRAZIL/BHI3581/2011,Jq513345,2011-03-18,South America,Brazil,Bahia,Abecasis Et Al.,unknown,unknown,unknown,2011.21,2011-03-18,0.00,Bahia,0.00,0.00
DENV4/VIETNAM/08CTW/2010,Jf967788,2010-01-01,Southeast Asia,Vietnam,Vietnam,Chang Et Al.,unknown,unknown,unknown,2010.85,2010-xx-xx,0.00,Vietnam,0.00,0.00
DENV4/THAILAND/0485/2001,Ay618992,2001-01-01,Southeast Asia,Thailand,Bangkok,Holmes Et Al.,unknown,unknown,unknown,2001.73,2001-xx-xx,0.00,Bangkok,0.40,0.40
DENV4/THAILAND/AILAND08ATW/2003,Eu448457,2003-01-01,Southeast Asia,Thailand,Thailand,Chang Et Al.,unknown,unknown,unknown,2003.00,2003-xx-xx,0.00,Thailand,0.40,0.40
DENV4/THAILAND/1666/2011,Kr922405,2011-01-01,Southeast Asia,Thailand,Thailand,Chaiyo Et Al.,unknown,unknown,unknown,2011.61,2011-xx-xx,0.00,Thailand,0.40,0.40
DENV4/THAILAND/BIDV4331/2006,Kf955522,2006-01-01,Southeast Asia,Thailand,Thailand,Berlin Et Al.,unknown,unknown,unknown,2007.00,2006-xx-xx,0.00,Thailand,0.40,0.40
DENV4/THAILAND/BIDV4328/2005,Kf955519,2005-01-01,Southeast Asia,Thailand,Thailand,Berlin Et Al.,unknown,unknown,unknown,2005.92,2005-xx-xx,0.00,Thailand,0.40,0.40
DENV4/THAILAND/AILANDKPPKDS00265NB02201I02/2004,Jq993299,2004-01-01,Southeast Asia,Thailand,Thailand,Aldstadt Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Thailand,0.40,0.40
DENV4/THAILAND/BIDV4334/2006,Kf955533,2006-01-01,Southeast Asia,Thailand,Thailand,Berlin Et Al.,unknown,unknown,unknown,2006.00,2006-xx-xx,0.00,Thailand,0.40,0.40
DENV4/CAMBODIA/BIDV2057/2007,Kf955512,2007-01-01,Southeast Asia,Cambodia,Cambodia,Berlin Et Al.,unknown,unknown,unknown,2008.00,2007-xx-xx,0.00,Cambodia,0.40,0.40
DENV4/CAMBODIA/PATIENT/2007,Jn638571,2007-01-01,Southeast Asia,Cambodia,Cambodia,Buchy Et Al.,unknown,unknown,unknown,2008.00,2007-xx-xx,0.00,Cambodia,0.40,0.40
DENV4/CAMBODIA/NA/2010,Kf543272,2010-08-11,Southeast Asia,Cambodia,Cambodia,Buchy Et Al.,unknown,unknown,unknown,2010.61,2010-08-11,0.00,Cambodia,0.40,0.40
DENV4/CAMBODIA/AC33/2011,Kt452802,2011-01-01,Southeast Asia,Cambodia,Cambodia,Aaskov Et Al.,unknown,unknown,unknown,2011.47,2011-xx-xx,0.00,Cambodia,0.40,0.40
DENV4/CAMBODIA/V0624301/2011,Kf543273,2011-06-24,Southeast Asia,Cambodia,Cambodia,Buchy Et Al.,unknown,unknown,unknown,2011.48,2011-06-24,0.00,Cambodia,0.40,0.40
DENV4/CHINA/RL498/2014,Ky038921,2014-01-01,China,China,Yunnan,Fan Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Yunnan,0.00,0.00
DENV4/MYANMAR/RL169/2013,Kj470764,2013-10-01,Southeast Asia,Myanmar,Myanmar,Guo Et Al.,unknown,unknown,unknown,2013.75,2013-10-xx,0.00,Myanmar,0.00,0.00
DENV4/THAILAND/CTI2/2013,Ky234182,2013-06-01,Southeast Asia,Thailand,Chanthaburi,Sittivicharpinyo Et Al.,unknown,unknown,unknown,2013.49,2013-06-xx,0.00,Chanthaburi,0.00,0.00
DENV4/MYANMAR/MYEIK11/2015,Kx357895,2015-01-01,Southeast Asia,Myanmar,Myanmar,Aung Et Al.,unknown,unknown,unknown,2015.58,2015-xx-xx,0.00,Myanmar,0.00,0.00
DENV4/CHINA/YNDGR9/2015,Kx262922,2015-06-23,China,China,Yunnan,Hu Et Al.,unknown,unknown,unknown,2015.47,2015-06-23,0.00,Yunnan,0.00,0.00
DENV4/CHINA/YNDGR35/2015,Kx262921,2015-07-27,China,China,Yunnan,Hu Et Al.,unknown,unknown,unknown,2015.57,2015-07-27,0.00,Yunnan,0.00,0.00
DENV4/CHINA/YNDGR394/2015,Kx262926,2015-10-08,China,China,Yunnan,Hu Et Al.,unknown,unknown,unknown,2015.77,2015-10-08,0.00,Yunnan,0.00,0.00
DENV4/MYANMAR/RL196/2013,Kj470765,2013-10-01,Southeast Asia,Myanmar,Myanmar,Guo Et Al.,unknown,unknown,unknown,2013.83,2013-10-xx,0.00,Myanmar,0.00,0.00
DENV4/MYANMAR/MANDALAY36/2015,Kx357897,2015-01-01,Southeast Asia,Myanmar,Myanmar,Aung Et Al.,unknown,unknown,unknown,2015.34,2015-xx-xx,0.00,Myanmar,0.00,0.00
DENV4/MYANMAR/MDY230/2013,Kr051897,2013-01-01,Southeast Asia,Myanmar,Myanmar,Tun Et Al.,unknown,unknown,unknown,2014.00,2013-xx-xx,0.00,Myanmar,0.00,0.00
DENV4/MYANMAR/MYEIK32/2015,Kx357898,2015-01-01,Southeast Asia,Myanmar,Myanmar,Aung Et Al.,unknown,unknown,unknown,2015.54,2015-xx-xx,0.00,Myanmar,0.00,0.00
DENV4/SINGAPORE/02990/2014,Kx224312,2014-01-01,Southeast Asia,Singapore,Singapore,Chong Et Al.,unknown,unknown,unknown,2014.07,2014-xx-xx,0.00,Singapore,0.00,0.00
DENV4/CHINA/YNDGR34/2015,Kx262920,2015-07-27,China,China,Yunnan,Hu Et Al.,unknown,unknown,unknown,2015.57,2015-07-27,0.00,Yunnan,0.00,0.00
DENV4/CHINA/YNDGR32/2015,Kx262923,2015-07-26,China,China,Yunnan,Hu Et Al.,unknown,unknown,unknown,2015.56,2015-07-26,0.00,Yunnan,0.00,0.00
DENV4/CHINA/YNDGR284/2015,Kx262925,2015-09-28,China,China,Yunnan,Hu Et Al.,unknown,unknown,unknown,2015.74,2015-09-28,0.00,Yunnan,0.00,0.00
DENV4/CHINA/42/1978,Ef436282,1978-01-01,China,China,China,Dong Et Al.,unknown,unknown,unknown,1978.50,1978-xx-xx,0.00,China,0.00,0.00
DENV4/CHINA/56/1978,Ef436279,1978-01-01,China,China,China,Dong Et Al.,unknown,unknown,unknown,1978.00,1978-xx-xx,0.00,China,0.00,0.00
DENV4/CHINA/GD07/1978,Fj196849,1978-01-01,China,China,Guangdong,Bai Et Al.,unknown,unknown,unknown,1979.00,1978-xx-xx,0.00,Guangzhou,0.00,0.00
DENV4/INDONESIA/AC36/1973,Kt452801,1973-01-01,Southeast Asia,Indonesia,Indonesia,Aaskov Et Al.,unknown,unknown,unknown,1974.00,1973-xx-xx,0.00,Indonesia,0.00,0.00
DENV4/INDONESIA/S1228/1978,Jn022608,1978-01-01,Southeast Asia,Indonesia,Indonesia,Girerd Et Al.,unknown,unknown,unknown,1978.00,1978-xx-xx,0.00,Indonesia,0.00,0.00
DENV4/SINGAPORE/06K2270DK1/2005,Gq398256,2005-01-01,Southeast Asia,Singapore,Singapore,Aw Et Al.,unknown,unknown,unknown,2005.00,2005-xx-xx,0.00,Singapore,0.00,0.00
DENV4/PHILIPPINES/CN08/2014,Ku523871,2014-02-13,Southeast Asia,Philippines,Philippines,Gao Et Al.,unknown,unknown,unknown,2014.12,2014-02-13,0.00,Philippines,0.00,0.00
DENV4/ITALY/12489/2015,Ku509298,2015-01-01,Europe,Italy,Italy,Cadar Et Al.,unknown,unknown,unknown,2015.00,2015-xx-xx,0.00,Italy,0.00,0.00
DENV4/CHINA/GZ9809/2012,Kc333651,2012-01-01,China,China,China,Bai Et Al.,unknown,unknown,unknown,2012.58,2012-xx-xx,0.00,China,0.00,0.00
DENV4/CHINA/GZ32/2012,Kp294214,2012-01-01,China,China,Guangdong,Deng Et Al.,unknown,unknown,unknown,2012.83,2012-xx-xx,0.00,Guangdong,0.00,0.00
DENV4/INDONESIA/JKTK327/2009,Kx646389,2009-01-01,Southeast Asia,Indonesia,Indonesia,Hayati Et Al.,unknown,unknown,unknown,2009.00,2009-xx-xx,0.00,Indonesia,0.00,0.00
DENV4/INDONESIA/JMB006/2014,Ku529756,2014-01-01,Southeast Asia,Indonesia,Indonesia,Fahri Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Indonesia,0.00,0.00
DENV4/MALAYSIA/23476/2001,Fn429921,2001-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,2001.19,2001-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/MALAYSIA/27498/2003,Fn429923,2003-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,2004.00,2003-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/MALAYSIA/22713/2001,Fn429920,2001-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,2001.04,2001-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/TAIWAN/2K0713/2004,Ay776330,2004-01-01,China,Taiwan,Taiwan,Chen Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Taiwan,0.00,0.00
DENV4/THAILAND/0734/2000,Ay618993,2000-01-01,Southeast Asia,Thailand,Bangkok,Holmes Et Al.,unknown,unknown,unknown,2001.00,2000-xx-xx,0.00,Bangkok,0.00,0.00
DENV4/INDONESIA/MKS0070/2007,Kc762695,2007-07-09,Southeast Asia,Indonesia,Makassar,Bifani Et Al.,unknown,unknown,unknown,2007.52,2007-07-09,0.00,Makassar,0.00,0.00
DENV4/INDONESIA/MKS06/2007,Kc762697,2007-12-11,Southeast Asia,Indonesia,Makassar,Bifani Et Al.,unknown,unknown,unknown,2007.94,2007-12-11,0.00,Makassar,0.00,0.00
DENV4/MALAYSIA/32729/2004,Fn429926,2004-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,2005.00,2004-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/MALAYSIA/31586/2004,Fn429925,2004-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,2004.45,2004-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/INDONESIA/N06/2011,Km216747,2011-09-08,Southeast Asia,Indonesia,Bali,Chidlow Et Al.,unknown,unknown,unknown,2011.68,2011-09-08,0.00,Bali,0.00,0.00
DENV4/SINGAPORE/46870/2011,Jn544417,2011-02-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.08,2011-02-xx,0.00,Singapore,0.00,0.00
DENV4/SINGAPORE/310A129C/2010,Jx024757,2010-12-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2010.93,2010-12-xx,0.00,Singapore,0.00,0.00
DENV4/SINGAPORE/310A129S/2010,Jx024758,2010-12-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2011.00,2010-12-xx,0.00,Singapore,0.00,0.00
DENV4/MALAYSIA/27949/2003,Fn429924,2003-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,2003.94,2003-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/MALAYSIA/26658/2002,Fn429922,2002-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,2003.00,2002-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/JAPAN/INDIANIID482009/2015,Lc069810,2015-01-01,Japan Korea,Japan,Japan,Hishiki Et Al.,unknown,unknown,unknown,2015.00,2015-xx-xx,0.00,Japan,0.00,0.00
DENV4/INDONESIA/MKS2007/2008,Kc762698,2008-04-30,Southeast Asia,Indonesia,Makassar,Bifani Et Al.,unknown,unknown,unknown,2008.33,2008-04-30,0.00,Makassar,0.00,0.00
DENV4/INDONESIA/MKS0252/2007,Kc762696,2007-08-13,Southeast Asia,Indonesia,Makassar,Bifani Et Al.,unknown,unknown,unknown,2007.61,2007-08-13,0.00,Makassar,0.00,0.00
DENV4/INDONESIA/MKS2139/2008,Kc762699,2008-03-28,Southeast Asia,Indonesia,Makassar,Bifani Et Al.,unknown,unknown,unknown,2008.24,2008-03-28,0.00,Makassar,0.00,0.00
DENV4/INDONESIA/MKS0033/2007,Kc762694,2007-05-30,Southeast Asia,Indonesia,Makassar,Bifani Et Al.,unknown,unknown,unknown,2007.41,2007-05-30,0.00,Makassar,0.00,0.00
DENV4/CHINA/GZ30/2010,Jq822247,2010-01-01,China,China,Guangdong,Deng Et Al.,unknown,unknown,unknown,2010.23,2010-xx-xx,0.00,Guangdong,0.00,0.00
DENV4/CHINA/GZ1D4/2010,Jf741967,2010-09-26,China,China,Guangdong,Chen Et Al.,unknown,unknown,unknown,2010.73,2010-09-26,0.00,Guangzhou,0.00,0.00
DENV4/CHINA/GUANGZHOU660/2010,Jn599977,2010-09-04,China,China,China,Di Et Al.,unknown,unknown,unknown,2010.67,2010-09-04,0.00,China,0.00,0.00
DENV4/CHINA/GD0166GUANDONG/2010,Kj545440,2010-01-01,China,China,China,Ke Et Al.,unknown,unknown,unknown,2010.36,2010-xx-xx,0.00,China,0.00,0.00
DENV4/CHINA/GZ29/2010,Kp723482,2010-01-01,China,China,Guangdong,Deng Et Al.,unknown,unknown,unknown,2010.75,2010-xx-xx,0.00,Guangdong,0.00,0.00
DENV4/AUSTRALIA/CAIRNS/2002,Jn575584,2002-01-01,Oceania,Australia,Australia,Northill Et Al.,unknown,unknown,unknown,2002.47,2002-xx-xx,0.00,Australia,0.00,0.00
DENV4/NEW_CALEDONIA/200409/2008,Jq915085,2008-02-20,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2008.14,2008-02-20,0.00,Noumea,0.00,0.00
DENV4/NEW_CALEDONIA/230125/2008,Jq650078,2008-01-23,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2008.06,2008-01-23,0.00,New Caledonia,0.00,0.00
DENV4/SINGAPORE/2641/2008,Hq875339,2008-01-01,Southeast Asia,Singapore,Singapore,Lo Et Al.,unknown,unknown,unknown,2009.00,2008-xx-xx,0.00,Singapore,0.00,0.00
DENV4/SINGAPORE/92002/2010,Jn019824,2010-01-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2010.00,2010-xx-xx,0.00,Singapore,0.00,0.00
DENV4/SINGAPORE/16693/2009,Jn019820,2009-01-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2009.13,2009-xx-xx,0.00,Singapore,0.00,0.00
DENV4/INDONESIA/SKBCM048/2012,Kf052667,2012-01-01,Southeast Asia,Indonesia,Indonesia,Meutiawati Et Al.,unknown,unknown,unknown,2012.00,2012-xx-xx,0.00,Indonesia,0.00,0.00
DENV4/INDONESIA/N006/2010,Km216740,2010-02-08,Southeast Asia,Indonesia,Bali,Chidlow Et Al.,unknown,unknown,unknown,2010.10,2010-02-08,0.00,Bali,0.00,0.00
DENV4/INDONESIA/61120/2010,Ku509288,2010-01-01,Southeast Asia,Indonesia,Bali,Cadar Et Al.,unknown,unknown,unknown,2011.00,2010-xx-xx,0.00,Bali,0.00,0.00
DENV4/INDONESIA/01ATW/2009,Jf967768,2009-01-01,Southeast Asia,Indonesia,Indonesia,Chang Et Al.,unknown,unknown,unknown,2009.00,2009-xx-xx,0.00,Indonesia,0.00,0.00
DENV4/MICRONESIA/CHUUKISLAND/2012,Jx878504,2012-01-01,Oceania,Micronesia,Micronesia,Pyke Et Al.,unknown,unknown,unknown,2012.00,2012-xx-xx,0.00,Micronesia,0.00,0.00
DENV4/MARSHALL_ISLANDS/RMIDB104/2011,Jx891655,2011-01-01,Oceania,Marshall Islands,Marshall Islands,Medina Et Al.,unknown,unknown,unknown,2012.00,2011-xx-xx,0.00,Marshall Islands,0.00,0.00
DENV4/SINGAPORE/04645/2016,Ky921910,2016-01-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2016.08,2016-01-xx,0.00,Singapore,0.00,0.00
DENV4/SINGAPORE/09291/2016,Ky921909,2016-03-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2016.25,2016-03-xx,0.00,Singapore,0.00,0.00
DENV4/SINGAPORE/11501/2013,Kr779790,2013-01-01,Southeast Asia,Singapore,Singapore,Hapuarachchi Et Al.,unknown,unknown,unknown,2013.00,2013-xx-xx,0.00,Singapore,0.00,0.00
