Author,n (strains),publication title,journal,publication URL,strains
Cesaire et al.,11,?,,unknown,DENV4/FRENCH_GUIANA/FGUFEV/1995 DENV4/FRENCH_GUIANA/FGUJUN/1995 DENV4/FRENCH_GUIANA/FGUDEC/1993 DENV4/FRENCH_GUIANA/FGUMAR/1994 DENV4/FRENCH_GUIANA/FGUJUN/1994 DENV4/FRENCH_GUIANA/FGUSEP1/1994 DENV4/MARTINIQUE/MARFWIDEC/2004 DENV4/GUADELOUPE/GUAFWIDEC/2004 DENV4/FRENCH_GUIANA/FGUOCT/2004 DENV4/FRENCH_GUIANA/FGUFEV/2005 DENV4/MARTINIQUE/MARFWIAUG/2004
Buchy et al.,3,?,,unknown,DENV4/CAMBODIA/PATIENT/2007 DENV4/CAMBODIA/NA/2010 DENV4/CAMBODIA/V0624301/2011
Lo et al.,1,?,,unknown,DENV4/SINGAPORE/2641/2008
Aaskov et al.,37,?,,unknown,DENV4/CAMBODIA/AC33/2011 DENV4/INDONESIA/AC36/1973 DENV4/FRENCH_POLYNESIA/190238/2009 DENV4/FRENCH_POLYNESIA/26067/2010 DENV4/FRENCH_POLYNESIA/30048/2010 DENV4/FRENCH_POLYNESIA/NC160136/2009 DENV4/FRENCH_POLYNESIA/120125/2009 DENV4/FRENCH_POLYNESIA/032/2010 DENV4/FRENCH_POLYNESIA/19098/2010 DENV4/FRENCH_POLYNESIA/230116/2009 DENV4/FRENCH_POLYNESIA/06096/2009 DENV4/FRENCH_POLYNESIA/111/2009 DENV4/FRENCH_POLYNESIA/032/2009 DENV4/FRENCH_POLYNESIA/23006/2009 DENV4/FRENCH_POLYNESIA/29025/2009 DENV4/FRENCH_POLYNESIA/170192/2010 DENV4/FRENCH_POLYNESIA/0283/2009 DENV4/FRENCH_POLYNESIA/050117/2010 DENV4/FRENCH_POLYNESIA/170191/2010 DENV4/FRENCH_POLYNESIA/17092/2010 DENV4/FRENCH_POLYNESIA/25014/2009 DENV4/FRENCH_POLYNESIA/22054/2009 DENV4/FRENCH_POLYNESIA/19058/2009 DENV4/FRENCH_POLYNESIA/050/2009 DENV4/FRENCH_POLYNESIA/0131/2009 DENV4/FRENCH_POLYNESIA/12031/2010 DENV4/FRENCH_POLYNESIA/06011/2010 DENV4/FRENCH_POLYNESIA/0215/2010 DENV4/FRENCH_POLYNESIA/5918/1982 DENV4/FRENCH_POLYNESIA/323103/1985 DENV4/FRENCH_POLYNESIA/6074/1983 DENV4/FRENCH_POLYNESIA/131188/1984 DENV4/FRENCH_POLYNESIA/5070/1986 DENV4/FRENCH_POLYNESIA/197/1987 DENV4/FRENCH_POLYNESIA/13074/1988 DENV4/NICARAGUA/703/1999 DENV4/BRAZIL/NA/2012
Dong et al.,2,?,,unknown,DENV4/CHINA/42/1978 DENV4/CHINA/56/1978
Fan et al.,1,?,,unknown,DENV4/CHINA/RL498/2014
Chaiyo et al.,1,?,,unknown,DENV4/THAILAND/1666/2011
Baronti et al.,1,?,,unknown,DENV4/HAITI/MRS6169642904/2014
Ha et al.,6,?,,unknown,DENV4/VIETNAM/TG879/1990 DENV4/VIETNAM/TV1363/1998 DENV4/VIETNAM/BD2017/1999 DENV4/VIETNAM/AG2703/2000 DENV4/VIETNAM/SG5426/2002 DENV4/VIETNAM/VL2777/2000
Gao et al.,2,?,,unknown,DENV4/PHILIPPINES/CN08/2014 DENV4/INDONESIA/CN27/2015
Chidlow et al.,4,?,,unknown,DENV4/INDONESIA/N06/2011 DENV4/INDONESIA/N006/2010 DENV4/INDONESIA/N064/2010 DENV4/INDONESIA/N002/2010
Nakayama et al.,1,?,,unknown,DENV4/MALAYSIA/NIID81/2014
Alvarez et al.,3,?,,unknown,DENV4/VENEZUELA/61110/2007 DENV4/VENEZUELA/61073/2007 DENV4/VENEZUELA/61013/2007
Hu et al.,6,?,,unknown,DENV4/CHINA/YNDGR9/2015 DENV4/CHINA/YNDGR35/2015 DENV4/CHINA/YNDGR394/2015 DENV4/CHINA/YNDGR34/2015 DENV4/CHINA/YNDGR32/2015 DENV4/CHINA/YNDGR284/2015
McElroy-Horne et al.,2,?,,unknown,DENV4/PUERTO_RICO/DB102/2004 DENV4/PUERTO_RICO/DB103/2006
Berlin et al.,9,?,,unknown,DENV4/CAMBODIA/BIDV2056/2005 DENV4/CAMBODIA/BIDV2055/2002 DENV4/THAILAND/BIDV4330/2006 DENV4/CAMBODIA/BIDV4318/2007 DENV4/CAMBODIA/BIDV4322/2008 DENV4/THAILAND/BIDV4331/2006 DENV4/THAILAND/BIDV4328/2005 DENV4/THAILAND/BIDV4334/2006 DENV4/CAMBODIA/BIDV2057/2007
Silva et al.,9,?,,unknown,DENV4/COLOMBIA/SANF14100091/2014 DENV4/COLOMBIA/SANP202090076/2015 DENV4/COLOMBIA/OC096C1/2005 DENV4/SPAIN/CO357C8/2000 DENV4/COLOMBIA/OC1C5/2005 DENV4/COLOMBIA/SANLV1/2010 DENV4/SPAIN/COLV497C9/2004 DENV4/COLOMBIA/SANLV14102/2010 DENV4/COLOMBIA/SANLV192075/2009
Buckler-White et al.,1,?,,unknown,DENV4/DOMINICAN_REPUBLIC/DENSTRA/1981
Sittivicharpinyo et al.,1,?,,unknown,DENV4/THAILAND/CTI2/2013
Gandikota et al.,1,?,,unknown,DENV4/INDIA/UOH23916/2015
Tun et al.,1,?,,unknown,DENV4/MYANMAR/MDY230/2013
Bai et al.,3,?,,unknown,DENV4/CHINA/GD09/1990 DENV4/CHINA/GD07/1978 DENV4/CHINA/GZ9809/2012
Anez et al.,10,?,,unknown,DENV4/PHILIPPINES/H241/1956 DENV4/PHILIPPINES/H241P/1956 DENV4/PUERTO_RICO/ARC1/2013 DENV4/PUERTO_RICO/ARC69/2012 DENV4/PUERTO_RICO/ARC75/2012 DENV4/USA/ARC42/2010 DENV4/USA/ARC19/2010 DENV4/PUERTO_RICO/ARC65/2013 DENV4/PUERTO_RICO/ARC33/2013 DENV4/PUERTO_RICO/ARC80/2012
Aubry et al.,24,?,,unknown,DENV4/NEW_CALEDONIA/200409/2008 DENV4/NEW_CALEDONIA/230125/2008 DENV4/NEW_CALEDONIA/0209266/2009 DENV4/FRENCH_POLYNESIA/15028/2010 DENV4/FRENCH_POLYNESIA/019/2010 DENV4/NEW_CALEDONIA/4525/2008 DENV4/NEW_CALEDONIA/014189/2009 DENV4/NEW_CALEDONIA/0501413/2009 DENV4/NEW_CALEDONIA/4975/2008 DENV4/NEW_CALEDONIA/014518/2009 DENV4/NEW_CALEDONIA/04588/2008 DENV4/NEW_CALEDONIA/08014179/2009 DENV4/NEW_CALEDONIA/01655/2009 DENV4/NEW_CALEDONIA/25013516/2009 DENV4/NEW_CALEDONIA/04014363/2009 DENV4/NEW_CALEDONIA/24014448/2009 DENV4/FRENCH_POLYNESIA/13016/2010 DENV4/NEW_CALEDONIA/04013717/2009 DENV4/NEW_CALEDONIA/1706652/2009 DENV4/FRENCH_POLYNESIA/08093/2009 DENV4/FRENCH_POLYNESIA/29069/2009 DENV4/FRENCH_POLYNESIA/230126/2009 DENV4/FRENCH_POLYNESIA/16017/2010 DENV4/FRENCH_POLYNESIA/02015/2010
Chong et al.,1,?,,unknown,DENV4/SINGAPORE/02990/2014
Northill et al.,6,?,,unknown,DENV4/AUSTRALIA/TOWNSVILLE/2005 DENV4/AUSTRALIA/CAIRNS/2002 DENV4/AUSTRALIA/TORRESSTRAIT/2005 DENV4/AMERICAN_SAMOA/SAMOA/2008 DENV4/COOK_ISLANDS/COOKISLANDS/2009 DENV4/FIJI/NA/2008
Acosta et al.,1,?,,unknown,DENV4/BRAZIL/246RR/2010
Bui et al.,2,?,,unknown,DENV4/VIETNAM/BT3976/2011 DENV4/VIETNAM/E577/2013
Cecilia et al.,3,?,,unknown,DENV4/INDIA/000/1962 DENV4/INDIA/6/1979 DENV4/INDIA/D52326/2009
Balarini et al.,14,?,,unknown,DENV4/BRAZIL/GUSP0984/2013 DENV4/BRAZIL/GUSP0622/2013 DENV4/BRAZIL/GUSP0224/2013 DENV4/BRAZIL/GUSP1068/2013 DENV4/BRAZIL/GUSP1153/2013 DENV4/BRAZIL/GUSP1089/2013 DENV4/BRAZIL/GUSP1093/2013 DENV4/BRAZIL/GUSP1159/2013 DENV4/BRAZIL/GUSP1188/2013 DENV4/BRAZIL/GUSP1179/2013 DENV4/BRAZIL/GUSP0273/2013 DENV4/BRAZIL/GUSP0645/2013 DENV4/BRAZIL/GUSP1137/2013 DENV4/BRAZIL/GUSP1167/2013
Rochars et al.,1,?,,unknown,DENV4/HAITI/0324/2014
Falgout et al.,1,?,,unknown,DENV4/COLOMBIA/341750/1982
Medina et al.,2,?,,unknown,DENV4/MARSHALL_ISLANDS/RMIDB104/2011 DENV4/PUERTO_RICO/DB100/2010
Bhagat et al.,8,?,,unknown,DENV4/INDIA/NIV4000/1962 DENV4/INDIA/NIV1302/1963 DENV4/INDIA/NIV431/1964 DENV4/INDIA/NIV1319/1961 DENV4/INDIA/NIV41291/1965 DENV4/INDIA/NIV41292/1965 DENV4/INDIA/NIV36/1979 DENV4/INDIA/NIV52326/2009
Bennett et al.,1,?,,unknown,DENV4/COSTA_RICA/A/1993
Guo et al.,2,?,,unknown,DENV4/MYANMAR/RL169/2013 DENV4/MYANMAR/RL196/2013
Allen et al.,9,?,,unknown,DENV4/BRAZIL/SERUM8/2012 DENV4/BRAZIL/SERUM/2012 DENV4/BRAZIL/SERUM91/2012 DENV4/BRAZIL/SERUM53/2012 DENV4/BRAZIL/SERUM94/2012 DENV4/BRAZIL/SERUM40/2012 DENV4/BRAZIL/SERUM84/2012 DENV4/BRAZIL/SERUM27/2012 DENV4/BRAZIL/SERUM55/2012
Cardosa et al.,5,?,,unknown,DENV4/INDIA/DIAG11337/1961 DENV4/INDONESIA/CS1011/1997 DENV4/INDONESIA/LF67/1999 DENV4/INDONESIA/LF11/1999 DENV4/VENEZUELA/INH6412/1995
Chen et al.,2,?,,unknown,DENV4/TAIWAN/2K0713/2004 DENV4/CHINA/GZ1D4/2010
Aldstadt et al.,1,?,,unknown,DENV4/THAILAND/AILANDKPPKDS00265NB02201I02/2004
Chua et al.,5,?,,unknown,DENV4/SINGAPORE/46870/2011 DENV4/SINGAPORE/92002/2010 DENV4/SINGAPORE/16693/2009 DENV4/SINGAPORE/21407/2011 DENV4/SINGAPORE/64816/2011
Aung et al.,3,?,,unknown,DENV4/MYANMAR/MYEIK11/2015 DENV4/MYANMAR/MANDALAY36/2015 DENV4/MYANMAR/MYEIK32/2015
Geng et al.,1,?,,unknown,DENV4/CHINA/B5/2000
Aoki et al.,1,?,,unknown,DENV4/BRAZIL/LRV422/2013
Alpuche et al.,5,?,,unknown,DENV4/PUERTO_RICO/BIDV2430/1994 DENV4/PUERTO_RICO/BIDV2437/1996 DENV4/PUERTO_RICO/BIDV2438/1996 DENV4/PUERTO_RICO/BIDV2429/1994 DENV4/MEXICO/BIDV2610/2007
Dash et al.,2,?,,unknown,DENV4/INDIA/ND73/2007 DENV4/INDIA/ND110/2007
Hishiki et al.,1,?,,unknown,DENV4/JAPAN/INDIANIID482009/2015
Fulmali et al.,3,?,,unknown,DENV4/INDIA/LLMD237RGCB/2012 DENV4/INDIA/LLMD236RGCB/2012 DENV4/INDIA/LLMD230RGCB/2012
Chang et al.,7,?,,unknown,DENV4/PAKISTAN/07ATW/2009 DENV4/INDIA/DIA09ATW/2010 DENV4/VIETNAM/08CTW/2010 DENV4/THAILAND/AILAND08ATW/2003 DENV4/INDONESIA/01ATW/2009 DENV4/SOLOMON_ISLANDS/SOLOMON12ATW/2007 DENV4/PERU/RU02ATW/2010
Deng et al.,3,?,,unknown,DENV4/CHINA/GZ32/2012 DENV4/CHINA/GZ30/2010 DENV4/CHINA/GZ29/2010
Bifani et al.,6,?,,unknown,DENV4/INDONESIA/MKS0070/2007 DENV4/INDONESIA/MKS06/2007 DENV4/INDONESIA/MKS2007/2008 DENV4/INDONESIA/MKS0252/2007 DENV4/INDONESIA/MKS2139/2008 DENV4/INDONESIA/MKS0033/2007
Meutiawati et al.,1,?,,unknown,DENV4/INDONESIA/SKBCM048/2012
Hapuarachchi et al.,7,?,,unknown,DENV4/PAKISTAN/150/2009 DENV4/SINGAPORE/25178/2011 DENV4/SINGAPORE/310A129C/2010 DENV4/SINGAPORE/310A129S/2010 DENV4/SINGAPORE/04645/2016 DENV4/SINGAPORE/09291/2016 DENV4/SINGAPORE/11501/2013
Cadar et al.,3,?,,unknown,DENV4/INDIA/3274/2009 DENV4/ITALY/12489/2015 DENV4/INDONESIA/61120/2010
Aw et al.,9,?,,unknown,DENV4/SINGAPORE/06K2270DK1/2005 DENV4/MALAYSIA/23476/2001 DENV4/MALAYSIA/27498/2003 DENV4/MALAYSIA/22713/2001 DENV4/MALAYSIA/32729/2004 DENV4/MALAYSIA/31586/2004 DENV4/MALAYSIA/27949/2003 DENV4/MALAYSIA/26658/2002 DENV4/MALAYSIA/328/1995
