Batch,Speed,BatchQty,Para1Tgt,Para1,Para2Tgt,Para2,Para3,Para4,Para5,Para6,Para7,Para8,Para9,Para10,Para11,Para12,Para13,Para14,Para15,Para16,Para17,Para18,Para19,Para20,Para21,Para22,Para23
46,90,17,0.421,0.4345,317,322,314,49046,1416,0.43575,311.5,22763,707,0.43525,318,884,0.436,306.5,1302,67.56666667,23.93887946,42.32804233,2.727768685,0.35,0.7,0.638694639,20
47,75,27,0.433,0.451,317,324,324,55492,1601,0.449,320.5,26412,900,0.4515,330.75,892,0.4475,317,1284,51.5,27.73681225,54.59459459,2.067464635,0.3,0.61,0.651612903,20
48,101,78,0.421,0.43725,317,320,309,47582,1381,0.434,310.25,20576,898,0.43175,309.75,826,0.433,300,1036,53,33.40961098,60.79545455,2.504472272,0.21,0.68,0.835990888,19
49,80,30,0.421,0.43125,318,320,308,48387,1750,0.43525,312.5,22586,915,0.433,309.25,817,0.427,298.5,836,62.5,30.20172911,44.50549451,1.6,0.27,0.67,0.593967517,20
50,93,49,0.425,0.432,317,321,333,50200,1824,0.43275,339.75,21123,892,0.43125,323,1031,0.4335,310.5,875,55.16666667,32.25998807,55.0295858,1.343784994,0.34,0.67,0.759345794,20
51,102,44,0.421,0.4415,317,320,315,50477,1437,0.44325,308.25,20560,611,0.4425,317.5,578,0.4465,314,882,41.31666667,36.02484472,77.90697674,2.279202279,0.39,0.92,0.787671233,20
52,102,132,0.421,0.43725,317,322,313,46715,1255,0.4375,319,21606,621,0.43475,311.5,738,0.439,309.5,1127,55.18333333,31.49295775,48.40425532,1.048565121,0.37,0.7,0.692488263,19
53,92,55,0.421,0.427,317,320,306,48242,1894,0.428,315.25,20657,898,0.42575,308,910,0.4345,308.5,924,78.5,26.5793967,49.72375691,1.086956522,0.27,0.64,0.593220339,20
54,98,50,0.425,0.44275,317,320,316,53676,1517,0.438,311.75,17442,616,0.4435,310.25,768,0.4405,321,903,53.78333333,35.30415009,67.64705882,1.013333333,0.29,0.98,0.805429864,18
55,95,45,0.423,0.42875,317,321,306,44882,1528,0.43175,305,19802,850,0.43175,307.25,735,0.435,306.5,896,62.5,34.63079565,60.46511628,2.249134948,0.4,0.87,0.711627907,20
56,100,35,0.421,0.44,317,320,316,50493,1614,0.441,310,21862,817,0.4425,317.25,1004,0.447,311,1050,47.33333333,29.54285714,57.55813953,2.939375383,0.27,0.69,0.683146067,20
57,62,131,0.433,0.43725,317,319,312,55654,1617,0.4345,299.5,19419,770,0.434,312.5,854,0.438,300.5,959,70.5,26.98768197,48.04469274,1.920903955,0.35,0.45,0.655737705,22
58,90,30,0.421,0.43825,317,326,317,51200,1764,0.43925,306,22168,852,0.43775,309.75,779,0.444,312.5,1054,54,28.57142857,47.61904762,2.18579235,0.44,0.7,0.673423423,20
59,90,90,0.425,0.43925,317,322,320,54512,1797,0.44,314.25,23486,831,0.44075,322,957,0.4415,328.5,854,72.33333333,26.39734366,45.91836735,1.092896175,0.32,0.7,0.638248848,30
60,102,83,0.421,0.44525,317,321,306,44352,1393,0.44425,303,20384,656,0.448,305.75,702,0.45,314.5,840,49.88333333,35.34726143,75.88235294,1.455180442,0.39,0.69,0.754424779,19
61,93,64,0.421,0.42975,317,319,320,49705,1648,0.433,316.75,22136,864,0.428,316.75,959,0.4345,314.5,1141,57,29.43925234,51.74418605,2.383863081,0.37,0.7,0.613793103,21
62,94,81,0.421,0.43425,317,320,299,44480,1540,0.4365,298.25,19950,716,0.4335,297.5,779,0.4365,295,1326,63.5,31.66089965,64.02439024,1.690670006,0.32,0.83,0.595402299,20
63,80,22,0.429,0.44275,317,326,312,50718,1718,0.44175,318.25,25672,1029,0.44125,311.5,894,0.4365,304.5,1088,61.5,29.731243,59.30232558,1.826974745,0.45,0.91,0.635103926,23
64,85,45,0.421,0.451,3.7,319,326,48435,1587,0.44575,323.5,24772,691,0.45025,319.25,742,0.447,316,808,41.83333333,34.83398987,62.10526316,1.252041372,0.35,0.82,0.647186147,19
65,84,32,0.425,0.44125,317,324,324,53596,1904,0.44275,307,22441,840,0.4365,317,854,0.444,312.5,844,54.83333333,37.93103448,66.4893617,1.83639399,0.44,0.55,0.566513761,20
66,100,25,0.421,0.44975,318,323,308,48387,1362,0.44675,321.25,23084,721,0.4475,310.5,623,0.4505,312.5,581,37.43333333,48.1105471,91.62011173,2.633118783,0.4,0.7,0.714611872,20
67,85,36,0.429,0.438,317,320,312,46301,1323,0.4305,301.25,23502,793,0.43125,301.25,600,0.431,317.5,1218,51.66666667,30.23255814,45.25139665,3.994927077,0.43,0.44,0.592592593,21
68,86,30,0.425,0.44775,317,324,314,45890,1393,0.44525,312.25,22827,872,0.445,322.5,698,0.4455,312.5,595,49.33333333,43.92794887,69.61325967,1.662844037,0.46,0.83,0.824295011,22
69,97,37,0.417,0.43175,317,319,310,44850,1400,0.433325,312.75,25512,831,0.43025,310.5,761,0.4305,300,777,37.33333333,33.86524823,61.36363636,2.210884354,0.36,0.7,0.731207289,20
70,80,27,0.425,0.42225,317,320,307,42873,1220,0.42225,311.75,22023,679,0.42175,300.75,662,0.4215,303,1106,59.4,29.86935867,48.87640449,2.038369305,0.32,0.95,0.628841608,19
71,85,16,0.425,0.434,317,320,306,43388,1202,0.4385,314.75,25158,808,0.4365,315.25,632,0.439,320.5,917,49.83333333,39.7964952,74.55621302,2.140672783,0.37,0.88,0.971830986,23
72,94,99,0.421,0.43175,317,320,308,42391,1402,0.43075,301,19371,667,0.43275,303,595,0.4275,289.5,690,30,33.03886926,64.94252874,0.183823529,0.19,0.62,0.653579677,20
73,100,30,0.417,0.43775,317,321,302,47760,1503,0.43675,306,20818,730,0.43825,305.5,789,0.4395,314.5,945,36.16666667,33.44827586,65,1.838440111,0.26,0.51,0.879120879,18
74,100,42,0.425,0.43075,317,319,316,54399,1759,0.42725,305.25,21895,821,0.42925,316,896,0.437,324,777,36.83333333,24.39313203,53.93939394,2.320047591,0.35,0.22,0.534883721,18
75,98,32,0.418,0.4335,317,318,312,51360,1642,0.431,303,22474,821,0.43175,304.75,929,0.436,304.5,945,45.16666667,28.22120867,56.52173913,3.243540407,0.17,0.68,0.625882353,19
76,100,59,0.421,0.445,317,321,322,60484,1839,0.44325,314.5,22409,1029,0.44275,317.75,961,0.436,304.5,998,50.83333333,35.03981797,54.28571429,2.052597819,0.23,0.51,0.624719101,19
77,92,35,0.425,0.44375,317,324,320,55800,1610,0.44525,315,23936,654,0.4465,319,856,0.445,314,639,34.16666667,32.69983231,64.94252874,2.899408284,0.17,0.51,0.484162896,20
78,98,50,0.421,0.44875,317,320,325,53611,1479,0.4465,316.75,22152,609,0.4485,315.75,593,0.4495,307,784,38.05,43.83714445,64.21052632,2.378255946,0.3,0.56,0.671111111,20
79,98,56,0.421,0.45475,317,320,323,53756,1648,0.455,316,23486,768,0.45175,324.75,894,0.457,323.5,1295,49.16666667,33.15305571,62.01117318,1.825013419,0.16,0.43,0.666666667,18
80,102,129,0.417,0.449,317,322,324,53756,1440,0.45225,321.5,24226,786,0.451,311.5,562,0.4515,317,525,22.36666667,51.43165856,85.32608696,1.950659782,0.22,0.6,0.81797235,19
81,101,71,0.417,0.4375,317,319,304,48226,1629,0.4405,316,23310,854,0.44025,308.75,887,0.438,312.5,984,49.16666667,32.20823799,58.82352941,1.886792453,0.38,0.56,0.773033708,19
82,85,29,0.425,0.4385,317,319,314,49689,1535,0.44025,313.25,20496,777,0.43925,310.25,817,0.443,316.5,1190,65.16666667,25.55492316,60.22099448,2.272727273,0.38,0.62,0.801801802,20
83,102,102,0.418,0.437,317,322,308,42262,1307,0.441,307.25,24612,1025,0.4445,315.5,905,0.445,306.5,844,45.33333333,45.79855314,84.81675393,2.019650655,0.46,0.67,0.707207207,23
84,103,25,0.417,0.43675,317,320,317,44706,1351,0.4345,300.75,20802,695,0.44075,298.75,728,0.44,310.5,903,42.85,39.04542841,73.14285714,2.123672705,0.32,0.64,0.847161572,23
85,102,112,0.417,0.4375,317,321,302,43146,1526,0.442,308.75,20400,714,0.43825,297,712,0.44,292.5,822,49.33333333,32.37934905,56.04395604,2.366863905,0.23,0.46,0.657210402,20
86,100,42,0.417,0.442,317,321,324,53048,1519,0.4415,306.75,20239,662,0.436,312.75,642,0.443,313.5,784,37.45,33.6492891,58.92857143,1.720183486,0.31,0.8,0.681917211,20
87,98,43,0.421,0.43175,318,323,308,48740,1542,0.42925,311.25,21959,840,0.43225,313.5,940,0.431,298,1001,62.16666667,25.94093804,45.40540541,2.18579235,0.26,0.64,0.630136986,20
88,100,32,0.417,0.43925,317,323,314,48290,1430,0.4455,307.5,20480,656,0.44025,313.75,835,0.4515,324,1071,39.28333333,29.62750716,58.28571429,2.181400689,0.36,0.88,0.636155606,20
89,98,52,0.417,0.437,317,321,322,49110,1631,0.43175,309.5,21300,723,0.435,306,802,0.4335,312.5,826,47.83333333,31.31991051,56.61375661,1.142857143,0.34,0.79,0.881642512,20
90,88,71,0.421,0.4225,317,319,296,46233,1507,0.42125,300,18069,791,0.421,298,812,0.4265,299.5,1152,58.83333333,29.85865724,55.80110497,1.878453039,0.36,0.76,0.715294118,19
91,104,31,0.417,0.455,317,321,318,48580,1533,0.4525,312,23310,819,0.45325,313.25,738,0.4525,324.5,934,37.33333333,36.26373626,58.79120879,1.117318436,0.31,0.67,0.642857143,20
92,90,23,0.421,0.458,318,320,316,52052,1545,0.46025,315.5,25753,805,0.4595,320.5,763,0.462,318,652,37.16666667,43.72972973,90.39548023,2.985074627,0.36,0.68,0.815384615,23
93,95,67,0.417,0.4345,317,321,312,54126,1684,0.43025,299.5,22650,774,0.434,310,831,0.437,305,976,43.75,38.07890223,49.43820225,1.208981002,0.42,0.66,0.662037037,20
94,96,29,0.421,0.4425,317,320,316,52824,1671,0.4425,320.75,24933,940,0.442,323.75,920,0.445,323,1026,54.5,28.14982974,55.74712644,2.994011976,0.35,0.6,0.724373576,20
95,98,142,0.421,0.435,317,320,307,46120,1334,0.4365,310,19966,751,0.44,309.5,732,0.439,311.5,609,44.33333333,27.67402377,46.84210526,2.688172043,0.38,0.57,0.728110599,20
96,98,14,0.421,0.43975,317,322,312,50959,1482,0.43825,319.25,22184,679,0.43625,304,824,0.4405,311.5,777,44.85,38.04100228,64.40677966,3.306264501,0.47,0.57,0.661399549,20
97,80,10,0.429,0.4455,317,320,326,58096,1852,0.45,315.5,21590,656,0.4455,324,1001,0.4485,328.5,980,42,27.07209686,59.47368421,2.673796791,0.22,0.65,0.66962306,20
98,65,19,0.433,0.44775,317,321,318,50059,1454,0.449,321,21638,653,0.4465,308.25,719,0.444,310,938,54.45,22.68673356,52.97619048,2.485875706,0.34,0.64,0.539325843,21
99,104,29,0.425,0.44575,317,319,312,54046,1264,0.4425,315.75,24129,704,0.44575,317.75,744,0.449,327.5,1141,44,40.77555817,68.04733728,3.695408735,0.29,0.58,0.62962963,19
100,92,16,0.421,0.439,317,321,318,49898,1552,0.44325,315.5,22216,751,0.44075,317.25,924,0.4445,310.5,1078,51,28.90365449,61.05263158,2.173913043,0.32,0.84,0.753393665,20
101,75,26,0.429,0.44975,317,326,328,57244,1853,0.44925,323.25,26508,985,0.44675,323.5,929,0.446,320.5,1344,64.5,19.20903955,48.55491329,1.694915254,0.35,0.7,0.615044248,20
102,103,122,0.421,0.43325,317,318,303,45429,1407,0.42875,296,21300,866,0.442,300,639,0.4445,306,1022,47.33333333,35.86659377,79.76190476,2.839879154,0.28,0.62,0.587006961,21
103,80,97,0.429,0.443,317,321,312,47808,1703,0.4405,301.25,25882,1062,0.43875,315.25,789,0.4385,306.5,718,45.5,30.58823529,58.06451613,2.824858757,0.35,0.61,0.531322506,20
104,96,127,0.421,0.4445,317,320,313,48146,1656,0.45375,318.75,27216,1003,0.45075,312.5,779,0.45,302,766,40.33333333,35.32967033,65.43209877,1.807228916,0.32,0.62,0.981776765,22
105,90,30,0.421,0.4385,317,321,314,52518,1699,0.435,308.25,23004,788,0.4375,317.25,805,0.4335,305.5,861,47.35,39.18690006,56.61375661,2.310803004,0.47,0.65,0.648401826,21
106,94,30,0.421,0.4435,317,321,325,55267,1710,0.446,318,24354,998,0.445,314.75,756,0.451,322.5,819,45.66666667,24.87644152,56.52173913,2.310231023,0.37,0.56,0.875862069,20
107,98,72,0.421,0.44,317,323,307,47262,1298,0.44,311,21557,639,0.438,308.25,695,0.4405,304,522,39.56666667,26.04049494,58.75706215,2.151755379,0.45,0.67,0.803652968,20
108,88,32,0.421,0.42675,317,319,312,50396,1760,0.42625,312.75,23068,803,0.4245,310,903,0.422,304.5,1068,45,25.36873156,48.23529412,2.525832377,0.26,0.72,0.533333333,20
109,85,29,0.425,0.43425,317,315,310,49673,1614,0.43425,298.5,23036,845,0.43325,297.25,784,0.4335,291,1113,53.16666667,22.49544627,42.39130435,2.367941712,0.33,0.75,0.635730858,21
110,100,54,0.42419,0.439,317,322,316,47374,1652,0.43975,306.5,21702,847,0.4405,321.75,836,0.4635,319,892,36.66666667,35.63799888,58.69565217,1.663090129,0.43,0.56,0.653594771,21
111,94,77,0.417,0.43975,317,319,312,49223,1570,0.4385,315.5,19346,590,0.4385,313.75,818,0.443,311,966,49.83333333,33.86524823,59.28143713,2.361751152,0.18,0.71,0.690949227,20
112,92,18,0.421,0.44475,317,321,318,54480,1479,0.44025,310.25,20496,570,0.4435,308.75,716,0.4475,312,1162,38.4,27.32331664,48.33333333,3.076923077,0.22,0.56,0.805936073,21
113,88,46,0.421,0.437,317,321,312,45609,1465,0.4385,312,22586,819,0.43825,309,768,0.44,301,630,50.83333333,29.30153322,54.94505495,2.375565611,0.59,0.19,0.759637188,20
114,90,93,0.425,0.439,317,320,318,54560,1437,0.436,302.5,21236,625,0.4365,318.25,728,0.438,304.5,536,40.65,17.6536943,47.42857143,0.161290323,0.2,0.56,0.774941995,20
115,90,33,0.421,0.435,317,324,304,51280,1704,0.4335,303.25,21686,709,0.436,309.5,844,0.439,305,917,47.33333333,20.51282051,43.45238095,1.379310345,0.23,0.55,0.802352941,20
116,75,18,0.429,0.4445,317,322,311,52808,1727,0.44575,317.25,23374,681,0.445,311.5,968,0.4465,310,1194,55.65,20.01124227,40.95744681,1.902173913,0.13,0.53,0.665148064,20
117,82,82,0.427,0.436475,317,319,318,47583,1404,0.43875,314.25,22232,719,0.43825,315.5,604,0.4365,320,826,55.83333333,26.50115473,50.27624309,1.775147929,0.13,0.6,0.601830664,22
118,80,18,0.429,0.441,317,319,315,48918,1647,0.44025,311.5,24017,814,0.44325,318.75,919,0.4385,305.5,1306,58,25.7918552,54.64480874,1.725163593,0.27,0.6,0.665148064,21
119,70,25,0.429,0.4435,317,319,316,53113,1390,0.44475,305.25,20994,606,0.4425,309,653,0.441,315,1124,61.83333333,30.37330317,48.10810811,1.836969001,0.26,0.57,0.67114094,21
120,90,36,0.421,0.443,317,322,316,49062,1577,0.433576,305.75,20593,765,0.44125,306.25,737,0.439,304,1001,50,42.33870968,63.58381503,1.697045883,0.29,0.76,0.85077951,20
121,100,36,0.417,0.44925,317,322,320,51136,1547,0.444,309.5,23615,791,0.44575,317.5,698,0.882,616,630,37,29.79084228,65.69767442,3.03030303,0.35,0.63,0.749435666,20
122,103,86,0.417,0.4395,317,321,317,49110,1414,0.434,311.75,20994,649,0.434,319.25,597,0.867,586,483,39.51666667,43.06818182,65.90909091,2.477876106,0.35,0.59,0.654205607,20
123,104,34,0.421,0.436,317,324,316,53483,1521,0.44025,312.75,21638,579,0.438,312.5,607,0.44,306,700,35.6,27.13091922,54.14364641,0.634584876,0.25,0.43,0.775656325,20
124,98,26,0.417,0.43475,317,318,317,50557,1545,0.43625,312.5,24081,912,0.437,307.5,709,0.433,307.5,948,44.66666667,29.21348315,55.61497326,1.324854266,0.29,0.58,0.808219178,20
125,101,26,0.417,0.4305,317,320,312,46410,1608,0.438,305,23840,942,0.4325,303.75,796,0.438,298,802,40.83333333,29.9028016,59.21787709,2.5625,0.24,0.89,0.736238532,23
126,102,81,0.421,0.4395,317,320,315,50204,1701,0.4395,311.5,22088,836,0.44175,317.75,842,0.441,315,878,46.83333333,35.83945732,63.04347826,2.527472527,0.17,0.72,0.64037123,20
127,102,41,0.417,0.43775,317,323,312,44754,1362,0.43775,317.75,23325,940,0.4365,321.5,777,0.4415,312.5,700,39,33.97291196,61.29032258,2.177463255,0.31,0.77,0.814220183,20
128,106,104,0.421,0.438,317,321,304,46233,1398,0.43675,313.25,21493,793,0.429,304.75,719,0.437,302,976,36.83333333,32.81875357,66.66666667,1.802325581,0.28,0.75,0.77383592,20
129,104,19,0.417,0.43975,317,321,312,44095,1379,0.43925,301.25,18808,663,0.43875,301.25,740,0.444,300.5,480,36,32.84313725,56.61375661,2.389803505,0.29,0.72,0.897196262,18
130,92,1,0.419,0.42375,317,319,305,45799,1500,0.41775,307.5,18808,684,0.42225,299,782,0.423,299.5,987,63.83333333,29.78723404,65.19337017,2.154195011,0.32,0.83,0.658653846,18
131,96,42,0.419,0.45375,317,321,328,55317,1510,0.4575,323.25,23454,650,0.45475,322.25,831,0.4535,320,1071,51.83333333,38.92876864,52.12765957,1.479915433,0.37,0.92,0.543290043,18
132,100,45,0.417,0.433,317,322,312,46426,1349,0.43225,302.25,19162,625,0.4325,308,660,0.4335,314,648,31.9,47.95127353,59.45945946,1.808634772,0.3,0.88,0.833723653,18
133,104,23,0.417,0.441,317,321,326,53917,1829,0.44375,315,21991,719,0.43825,304,751,0.4435,305.5,822,49.5,40.7530454,65.95744681,0.818777293,0.39,0.67,0.712962963,18
134,100,12,0.417,0.43125,317,320,310,53097,1410,0.42375,307.25,20592,614,0.428,306.5,592,0.433,305,882,36.43333333,39.22241281,66.47727273,1.567944251,0.27,0.59,0.710648148,18
135,95,4,0.421,0.4365,317,324,316,48532,1484,0.43625,312,23181,744,0.433,306.25,640,0.4325,301.5,707,50.16666667,39.36170213,61.95652174,1.573033708,0.34,0.5,0.82983683,18
136,80,34,0.417,0.41475,317,320,307,46024,1489,0.41075,308.25,17346,536,0.41425,303,749,0.4175,301,696,77.51666667,23.65721183,46.77419355,1.806588735,0.22,0.53,0.658767773,20
137,90,26,0.421,0.4315,317,320,302,44513,1486,0.42975,307.25,22714,796,0.43075,307,779,0.431,311,900,50.5,26.65505226,60,2.51903925,0.23,0.5,0.745283019,20
138,100,112,0.421,0.43575,317,321,314,49942,1664,0.4355,312.5,23647,924,0.43625,311,791,0.432,298.5,830,51.83333333,32.56855064,60.21505376,2.047592695,0.3,0.67,0.755760369,19
