Batch,Diameter,Etch1,Film-Thickness,Etch2,Line-Width,Overlay,Volume
156,0.421,0.43475,45984,319.25,532,1218,312.5
157,0.425,0.42925,50300,304.75,712,1404,287
158,0.417,0.44225,54930,316.5,842,1704,318
159,0.417,0.44175,46024,313.5,742,1554,310
160,0.421,0.426,47599,299.75,681,1309,298
161,0.421,0.43,45976,297.5,760,1158,290
162,0.421,0.42775,44095,310.5,646,1390,310
163,0.417,0.4435,47085,327.75,912,1358,335
164,0.417,0.43375,47438,305.25,807,1729,314.5
165,0.417,0.43125,43002,307.75,892,1507,327
166,0.425,0.425,44223,294.75,502,1110,309.5
167,0.425,0.44325,52776,298,668,1498,312.5
168,0.421,0.43775,50911,308.75,858,1552,302
169,0.421,0.4375,56360,309.75,616,1465,309.5
170,0.421,0.43275,56328,310.75,686,1500,321.5
171,0.421,0.4265,45300,309.75,789,1816,314
172,0.425,0.44275,45976,313.25,761,1265,316.5
173,0.421,0.43925,49712,318,718,1640,296.5
174,0.421,0.44675,47969,315.5,863,1742,312
175,0.425,0.4455,52984,314,910,1824,302
176,0.417,0.44275,57936,315.75,807,1944,317.5
177,0.425,0.43025,46265,306.5,642,1580,309
178,0.417,0.43775,49305,322,744,1680,305
179,0.421,0.4355,54270,317.25,618,1647,332.5
180,0.417,0.43075,49512,318.25,676,1646,300
181,0.417,0.44075,49608,297.75,712,1500,295.5
182,0.417,0.43025,45831,299,730,1433,298
183,0.421,0.43375,48435,304.25,639,1638,313.5
184,0.417,0.432,51152,308,744,1505,302
185,0.417,0.44175,51827,309,861,1456,322.5
186,0.417,0.4365,52647,315,794,1818,319
187,0.417,0.437,48886,310.75,872,1533,312.5
188,0.417,0.44425,50782,310.75,724,1535,323.5
189,0.421,0.44225,50911,306.25,537,1323,306.5
190,0.417,0.441,50252,308.5,796,1542,316.5
191,0.419,0.42725,48757,315.5,606,1387,312
192,0.421,0.43125,49480,309.5,733,1610,308
193,0.421,0.43425,52422,309.75,565,1629,318
194,0.417,0.42775,45204,303.25,653,1367,310
195,0.421,0.43325,50766,310,793,1558,302.5
196,0.417,0.43575,48596,301,744,1500,307.5
197,0.421,0.43525,56344,324,914,1890,310.5
198,0.421,0.43725,54496,320.25,831,1550,317.5
199,0.421,0.4355,38244,317.5,858,1127,310
200,0.421,0.431,46217,294,690,1325,310
201,0.421,0.435,56280,320,814,1759,324
202,0.417,0.44675,51618,327.75,602,1302,324
203,0.417,0.42825,46876,317.75,798,1561,318.5
204,0.421,0.442,50380,318.75,709,1194,315
205,0.433,0.43725,47937,306.25,950,1447,327
206,0.415,0.439,51088,318.5,793,1659,317.5
207,0.421,0.43925,50557,311.5,906,1794,311.5
208,0.425,0.4255,46924,306,663,1407,311.5
209,0.417,0.43525,46313,322.5,891,1384,315
210,0.419,0.4335,54372,303.5,672,1686,310
211,0.421,0.44275,60508,315.75,693,1626,342
212,0.421,0.432,49978,312,828,1608,321.5
213,0.417,0.43175,45044,314,719,1508,302.5
214,0.421,0.433,48837,319,761,1656,317
215,0.417,0.4355,47165,314,892,1540,325.5
216,0.419,0.452,57630,328.25,828,1617,1800
217,0.421,0.44,61303,314.25,721,1864,319
218,0.421,0.4445,52952,327.75,777,1516,319
219,0.421,0.4355,48966,315,721,1566,313.5
220,0.417,0.43475,52727,323,824,1729,310.5
221,0.417,0.4295,43548,308,707,1402,319
222,0.417,0.42875,45349,307.75,662,1577,312
223,0.421,0.4445,53129,324,677,1575,319
224,0.417,0.43225,54274,317.5,628,1564,328.5
225,0.425,0.447,48339,312.25,763,1288,326
226,0.417,0.43425,52100,307.75,822,1768,313
227,0.417,0.43025,49239,315.25,901,1950,323.5
228,0.416,0.438,47438,304.25,782,1530,307
229,0.417,0.43375,48274,308.25,716,1398,309
230,0.417,0.4445,48660,321.5,712,1608,317
231,0.421,0.433,50750,320.5,788,1587,320
232,0.417,0.436,48602,310,808,1692,309
233,0.417,0.44825,49673,320.5,623,1377,310
234,0.421,0.4305,46201,303.75,618,1432,325.5
235,0.417,0.43475,51272,307.25,632,1320,320
236,0.421,0.438,49110,311.5,864,1526,311.5
237,0.417,0.427,53419,307.5,684,1572,310.5
238,0.421,0.42125,42439,303.5,648,1312,302.5
239,0.421,0.42575,41732,305.75,791,1506,303
240,0.417,0.43025,42310,315.5,758,1330,301.5
241,0.417,0.4495,49384,327.5,842,1692,326.5
242,0.417,0.45525,51875,320.5,861,1813,316.5
243,0.413,0.43025,46008,297.5,775,1526,307.5
244,0.417,0.44675,55839,318.5,674,1703,331.5
245,0.421,0.4365,46097,306,905,1522,304.5
246,0.433,0.435,46056,313.75,672,1330,310
247,0.421,0.418,48853,303.5,686,1573,317
248,0.409,0.4265745,52342,313.5,793,1736,319
249,0.413,0.44225,47840,309.75,950,1616,319.5
250,0.409,0.4345,47760,314.5,698,1498,312.5
251,0.413,0.439,48821,309.25,763,1596,326
252,0.409,0.4325,43998,314.5,782,1424,318
253,0.425,0.42475,47985,308.25,738,1577,301.5
254,0.421,0.44675,46088,302.75,665,1176,299
255,0.425,0.4185,46040,309.75,814,1628,286.5
256,0.413,0.4345,47937,306,761,1384,178.5
257,0.417,0.43675,47503,308.25,644,1400,314.5
258,0.413,0.44525,44995,318.25,866,1502,320
259,0.421,0.44175,46410,310.75,714,1484,326
260,0.417,0.43675,49609,314.25,665,1656,302.5
261,0.419,0.44225,48773,426.6666667,866,1580,307.5
262,0.417,0.43275,48902,314.75,873,1563,310
263,0.417,0.441,46972,305.75,842,1575,311.5
264,0.413,0.4245,48419,297.75,726,1514,321
265,0.417,0.4485,54239,322.75,1031,1876,326.5
266,0.417,0.433,47551,302,835,1654,308
267,0.421,0.4435,50187,312.75,658,1414,305.5
268,0.421,0.4585,47069,309.5,747,1404,307.5
269,0.419,0.454,48387,319.25,859,1410,1774
270,0.417,0.437,50300,317,1040,1687,304.5
271,0.413,0.428,49271,304.5,784,1293,312
272,0.413,0.43125,48242,306.5,704,1479,315.5
273,0.413,0.45,56248,326,774,1549,309
274,0.417,0.4395,47607,301.5,660,1496,312
275,0.421,0.42475,46088,295,868,1586,310
276,0.417,0.452,48907,313.75,726,1578,310.5
277,0.417,0.4343335,50702,313.5,752,1488,303
278,0.417,0.4485,50091,321.5,929,1536,310
279,0.413,0.42725,45831,309.75,763,1631,310
280,0.417,0.432,52744,309.75,612,1592,319.5
281,0.413,0.43775,48821,309,803,1640,304
282,0.413,0.44075,49882,302.5,861,1712,311
283,0.417,0.43025,52302,319.25,802,1549,304
284,0.417,0.44,43975,310.75,668,1435,314
285,0.413,0.432,46394,306.75,882,1774,311.5
286,0.413,0.43925,46635,308,817,1120,304
287,0.417,0.43825,51790,305.25,1004,1528,305.5
288,0.417,0.41525,54994,303.5,751,1815,311.5
289,0.421,0.42275,47567,311.25,940,1617,286
290,0.421,0.4425,52132,302.5,756,1694,306.5
291,0.415,0.425,50959,306.25,1186,1832,306
292,0.417,0.43125,49078,312.25,1055,1768,322
293,0.421,0.439,45092,314.75,686,1498,305.5
294,0.421,0.4435,52551,305.75,772,1687,308.5
295,0.413,0.4475,49239,304,721,1564,313
296,0.417,0.436,53836,318.5,775,1785,322
297,0.417,0.4325,45478,318.25,950,1502,307.5
298,0.417,0.44925,45895,315.5,935,1654,329
299,0.421,0.42725,48066,304.75,763,1696,307
300,0.417,0.45175,51859,311.5,709,1638,312.5
301,0.417,0.4295,52406,319.75,722,1549,333
302,0.417,0.43475,51522,317.5,678,1547,337.5
303,0.417,0.4445,47808,324.25,962,1552,316.5
304,0.421,0.44075,52468,312.5,637,1626,317.5
305,0.421,0.43225,48692,299.25,642,1519,298.5
306,0.421,0.442,52518,321,976,1727,320.5
307,0.417,0.4375,53499,305,768,1519,315.5
308,0.429,0.445,54512,313,696,1913,326
309,0.417,0.437,44529,311.75,884,1426,315.5
310,0.417,0.43675,53852,318.5,1122,1976,313
311,0.417,0.44,52438,312.75,774,1648,307.5
312,0.417,0.42825,43902,305,761,1477,312.5
313,0.417,0.44025,50509,308.25,886,1746,309.5
314,0.417,0.4305,47937,308.25,882,1556,303
315,0.417,0.43475,48708,309.5,910,1703,312
316,0.417,0.43675,49834,313,735,1521,311.5
317,0.417,0.441,55251,324.25,980,2039,309
318,0.421,0.4085,46740,311.75,802,1648,300.5
319,0.423,0.4345,50654,315.75,744,1508,321
320,0.421,0.4265,46780,305.25,779,1507,311.5
321,0.429,0.44075,48926,317.75,660,1701,326.5
322,0.437,0.578333333,57936,313.75,940,1932,316
323,0.421,0.44525,47969,316.75,738,1500,316.5
324,0.421,0.445,49271,304.5,733,1656,311.5
325,0.423,0.4385,51297,301,807,1587,317.5
326,0.429,0.432275,47390,426.25,716,1508,306.5
327,0.421,0.4355,49516,309.5,730,1475,294.5
328,0.421,0.4355,50606,313,821,1750,305.5
329,0.421,0.43225,51988,304.25,863,1764,312.5
330,0.417,0.427,47197,298.75,840,1600,300
331,0.421,0.4315,51972,318.75,822,1566,322.5
332,0.421,0.4575,58000,343.25,1060,1773,334
333,0.417,0.41725,42150,302.25,775,1524,316
334,0.417,0.445,60476,317.5,795,1748,311
335,0.441,0.453,60202,306.25,943,1953,327.5
336,0.419,0.429,48982,310.5,840,1598,310.5
337,0.421,0.43825,49962,309,852,1535,328.5
338,0.425,0.44725,57052,325.75,1017,2044,327.5
339,0.417,0.4385,50975,320.5,833,1631,302
340,0.417,0.45175,56537,318.5,793,1774,312.5
341,0.421,0.43825,50139,319.75,887,1788,318.5
342,0.425,0.43175,49898,306,872,1605,299.5
343,0.417,0.4445,49207,316.75,793,1356,318
344,0.421,0.43975,53547,317,826,1804,307
345,0.417,0.4385,47101,312,707,1503,309.5
346,0.413,0.42,45027,313,735,1636,322.5
347,0.417,0.436,53579,309.5,670,1771,310
348,0.417,0.443,53692,309.5,740,1762,307.5
349,0.423,0.43075,55332,317.25,1034,1843,315.5
350,0.421,0.43875,54672,305.25,990,1769,304
351,0.421,0.431,48564,308.5,943,1690,321.5
352,0.419,0.445,55412,328.25,1046,1846,315
353,0.419,0.4485,48998,313.25,959,1522,315.5
354,0.417,0.441,45558,314,644,1339,309.5
355,0.425,0.439,52454,307.5,744,1703,311.5
356,0.417,0.429,53901,315.25,733,1656,314
357,0.417,0.4345,49737,316.25,742,1412,316
358,0.417,0.44275,52824,317.25,684,1653,320
359,0.419,0.43525,50268,313.25,1139,1656,314
360,0.417,0.436,52302,309.75,746,1682,294.5
361,0.419,0.43475,51522,312.75,957,1852,316.5
362,0.417,0.44425,55312,321.25,934,1643,327.5
363,0.417,0.425,47326,306,681,1684,299.5
364,0.417,0.446,48403,311.75,875,1787,317.5
365,0.417,0.441,48274,302,833,1731,308.5
366,0.421,0.44125,48290,315,732,1516,316.5
367,0.421,0.43925,52357,314,730,1687,306.5
368,0.421,0.43525,52031,305.75,938,1659,312.5
369,0.421,0.4375,53290,311.75,952,1703,314
370,0.425,0.44075,58000,308,980,2014,318.5
371,0.417,0.439,55653,320,878,1824,314.5
372,0.417,0.4235,44690,298.25,957,1524,300.5
373,0.417,0.43775,49223,305,905,1701,307
374,0.423,0.434,49078,312.25,889,1638,309.5
375,0.419,0.429,49094,312.25,914,1750,293.5
376,0.419,0.42675,47165,303.25,870,1680,302.5
377,0.417,0.4325,49850,307.75,734,1530,316
378,0.413,0.43875,53338,311,782,1843,308
379,0.417,0.4325,53322,317,908,1843,311
380,0.417,0.429,46956,297,940,1594,314
381,0.421,0.439,56232,315,1048,2007,314
382,0.421,0.44975,49448,313,1090,2030,316.5
383,0.417,0.448,43709,317.5,985,1596,314
384,0.417,0.4525,54528,312.75,970,1685,317.5
385,0.419,0.426,45863,300.5,920,1704,293.5
386,0.419,0.424,46458,315.25,920,1577,295.5
387,0.417,0.432,46876,313.5,707,1267,319
388,0.417,0.439,50589,318.5,777,1379,304
389,0.419,0.4175,44610,294.75,658,1368,303.5
390,0.419,0.44675,45751,313.5,817,1440,302.5
391,0.425,0.441,53531,308.5,980,1522,285.5
392,0.425,0.4425,55669,304.5,732,1804,311.5
393,0.417,0.433,48307,310,702,1503,298.5
394,0.417,0.4455,54785,328.75,1022,1992,314
395,0.413,0.433,46634,309.25,793,1549,310
396,0.421,0.436,52534,310.5,1068,1895,297.5
397,0.425,0.44225,54464,304.75,964,1852,300.5
398,0.425,0.41925,45670,298,794,1568,303
399,0.417,0.4495,57743,322.5,905,1652,321
400,0.419,0.443,52390,307.75,934,1748,307.5
401,0.417,0.4255,48146,303.25,786,1516,320.5
402,0.417,0.439,53113,319.75,922,1512,310
403,0.417,0.44825,55653,310.25,780,1561,313.5
404,0.421,0.452,51762,311.25,987,1805,315
405,0.421,0.43225,57020,303,810,1841,310
406,0.417,0.4415,45124,307.5,875,1564,302
407,0.417,0.44275,52020,323.25,746,1662,317
408,0.421,0.44725,44786,313.25,733,1253,330
409,0.417,0.4215,45928,297.25,772,1592,294
410,0.417,0.444,65346,321.75,875,1866,336
411,0.417,0.45075,54608,324.5,808,1720,333.5
412,0.417,0.44425,65266,317.25,704,1801,331.5
413,0.417,0.423,42326,301.5,707,1208,311
414,0.417,0.44975,56264,302.5,861,1956,306
415,0.417,0.44325,50814,330,1029,1699,319
416,0.417,0.435,47920,323.5,800,1549,317
417,0.417,0.448,47165,319.75,996,1543,318
418,0.417,0.44975,51056,319.5,821,1488,306.5
419,0.417,0.4405,48724,307,700,1430,288
420,0.419,0.43625,45574,308.25,830,1533,334.5
421,0.419,0.42425,48773,305,1015,1694,315
422,0.425,0.4275,48242,302.25,971,1470,303.5
423,0.417,0.434,47503,306.5,718,1507,324
424,0.419,0.442,60508,309.5,737,1682,302.5
425,0.417,0.444,54062,318,884,1535,247.5
426,0.419,0.4235,45059,300,1001,1619,313.5
427,0.423,0.438,52164,299.25,920,1802,315
428,0.419,0.418,47937,304.25,921,1794,304
429,0.425,0.445,51457,300,893,1526,305
430,0.421,0.44025,53017,311.25,887,1575,298
431,0.417,0.44625,59351,323.5,789,1941,322
432,0.417,0.436,44749,310,789,1351,309.5
433,0.417,0.45075,59578,316.5,934,1818,334
434,0.419,0.4415,61167,325.25,1034,1992,321.5
435,0.425,0.43925,53016,308,1004,1780,305
436,0.419,0.42675,52551,294.5,641,1636,303
437,0.419,0.4505,57839,328,1172,1990,331
438,0.421,0.4405,57325,301.5,718,1545,311
439,0.425,0.44025,46554,303.75,896,1530,1862.5
440,0.428,0.45475,59752,316.5,810,1834,319
441,0.421,0.44725,52148,298,686,1550,307.5
442,0.429,0.431,52936,306.75,929,1743,303.5
443,0.417,0.4375,43034,307.75,791,1272,309.5
444,0.421,0.42575,46586,307.5,714,1675,310
445,0.421,0.43825,52792,321.5,875,1839,324
446,0.417,0.4235,47905,302.25,749,1650,314.5
447,0.421,0.449,52262,312.5,886,1741,319.5
448,0.421,0.442,51313,308,1024,1542,303.5
449,0.417,0.44225,56087,320.5,826,1486,324
450,0.417,0.44425,52204,310.25,868,1671,307.5
451,0.417,0.437,49400,316.75,947,1654,311
452,0.425,0.43525,46554,313.25,929,1608,315
453,0.417,0.44025,47310,312.5,1116,1750,316.5
454,0.421,0.443,53596,311,962,1754,298
455,0.417,0.453,57426,312.5,1024,2135,318
456,0.433,0.4435,53933,309.5,1183,1830,304
457,0.421,0.446,49030,316.75,1085,1930,310
458,0.421,0.432,49448,314,1036,1932,296
459,0.421,0.4455,48998,320.5,1148,1680,312
460,0.413,0.451,54769,301,816,1853,304
461,0.413,0.4425,54059,313.5,1017,1852,299.5
462,0.417,0.42925,47889,312.5,968,1675,309.5
463,0.417,0.444,55235,311.5,878,1754,300
464,0.417,0.4525,51699,310.25,931,1698,308
465,0.417,0.432,42809,307,906,1465,303.5
466,0.417,0.437,45526,301.25,796,1544,302
467,0.421,0.43375,55396,328.25,926,1995,305
468,0.421,0.43225,46298,304.75,948,1902,306.5
469,0.425,0.4355,50477,304,936,1908,297
470,0.417,0.44525,46988,307.5,989,1589,309.5
471,0.417,0.42975,41169,299.25,931,1295,290.5
472,0.421,0.433,47251,298.75,1029,1577,312.5
473,0.421,0.44,50557,314,1097,1844,302.5
474,0.421,0.438,48130,313.75,1172,1787,311
475,0.417,0.42625,47953,300.5,1026,1857,292
476,0.425,0.445,53515,314.75,1143,1692,313.5
477,0.421,0.446,56972,314.5,858,1832,324.5
478,0.417,0.4555,56328,315,772,1886,323.5
479,0.421,0.449,46683,313.25,866,1776,311
480,0.417,0.45925,42714,318.5,875,1472,310
481,0.417,0.43375,45176,306.5,882,1585,306.5
482,0.421,0.45275,53354,310,915,1696,313
483,0.421,0.45,62887,335,1099,2053,309.5
484,0.421,0.441,48724,299.25,1004,1596,283
485,0.417,0.42275,41780,306.25,1069,1466,296.5
486,0.421,0.43025,43789,296.5,1031,1549,304.5
487,0.417,0.43075,52550,313,864,1362,313.5
488,0.421,0.43525,47872,317.25,782,1642,327.5
489,0.421,0.4385,47889,315.5,878,1642,303
490,0.417,0.425,48808,317.25,828,1617,301.5
491,0.417,0.43775,45510,318.5,770,1444,319
492,0.417,0.424,47598,292.75,707,1342,292
493,0.417,0.4315,51248,316.5,802,1820,317
494,0.417,0.4425,49207,313,849,1620,314
495,0.425,0.44475,55058,310.5,770,1636,313
496,0.423,0.443,50007,306.75,1078,1820,296.5
497,0.421,0.4325,56216,310.25,756,1839,319.5
498,0.417,0.44625,52920,316,1150,1897,325.5
499,0.417,0.45675,49834,306.5,915,1766,315.5
500,0.425,0.4455,49593,315.75,914,1614,1808
501,0.421,0.44175,52245,319.25,1052,1886,317
502,0.421,0.4505,56039,316.75,1057,1962,329
503,0.417,0.443,46699,313.25,784,1594,326
504,0.421,0.4395,47438,305,931,1846,304.5
505,0.421,0.441,45027,306,850,1610,311.5
506,0.421,0.43025,46136,305.5,854,1626,315.5
507,0.421,0.433,45092,310,833,1582,307
508,0.417,0.4345,50862,321.25,1092,1934,296.5
509,0.417,0.4395,51200,306.75,805,1746,301
510,0.417,0.43675,51602,302.75,634,1426,289
511,0.417,0.4305,49071,303.75,850,1606,304
512,0.417,0.435,47776,304.75,796,1463,304
513,0.417,0.446,50605,321,686,1503,302.5
514,0.417,0.444,54158,321,910,1766,321.5
515,0.417,0.435,47390,308.25,864,1762,298.5
516,0.417,0.42775,44561,299,835,1542,305
517,0.421,0.4535,56167,318.5,864,1787,317
518,0.421,0.432,42359,315,976,1463,330.5
519,0.421,0.43675,42841,310.25,970,1416,313
520,0.425,0.43425,52856,324,1118,1771,306.5
521,0.425,0.444,50107,314,955,1788,300.5
522,0.421,0.43575,52277,308.75,760,1566,300.5
523,0.425,0.4545,50589,319.75,917,1614,323.5
524,0.417,0.4435,50621,318.75,1158,1864,309
525,0.421,0.425,47229,295.75,833,1558,314
526,0.417,0.458,53242,323.75,976,1815,303.5
527,0.417,0.4475,51474,319.75,858,1706,321.5
528,0.417,0.4435,46780,305.25,816,1638,325
529,0.421,0.4275,46281,306.5,873,1603,299.5
530,0.417,0.44175,45140,305,976,1886,306.5
531,0.417,0.4265,40012,294,914,1318,293.5
532,0.417,0.4225,45429,303.25,934,1561,296.5
533,0.417,0.44375,45879,312.75,1012,1734,324
534,0.417,0.437,44063,312,928,1713,302
535,0.417,0.433,44625,313.25,849,1255,302
536,0.413,0.42525,46538,310.25,970,1325,310
537,0.421,0.443,48701,320,850,1628,310
538,0.425,0.43975,50959,316.25,1045,1654,309.5
539,0.421,0.42775,42954,306.5,900,1505,314.5
540,0.417,0.42875,52872,317.75,812,1678,309
541,0.417,0.4295,49994,305.25,882,1668,304.5
542,0.417,0.42425,47583,313.75,852,1741,322.5
543,0.413,0.42775,49930,315,954,1715,311.5
544,0.413,0.4455,53885,304.25,931,1892,301
545,0.417,0.43125,48934,311,793,1349,308.5
546,0.421,0.433,46731,305.75,800,1536,312
547,0.417,0.45175,53017,323.75,747,1766,314
548,0.417,0.4575,51216,323,800,1740,348
