DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NC,107,"$770,162.34 ","$237,521.42 ","$216,377.33 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,PA,115,"$1,459,159.23 ","$278,427.03 ","$230,453.99 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,FL,120,"$971,303.07 ","$229,138.81 ","$195,485.54 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IL,121,"$877,272.87 ","$244,531.68 ","$218,202.11 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY,135,"$926,250.33 ","$308,204.65 ","$270,576.42 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CA,193,"$1,891,572.06 ","$346,501.03 ","$327,570.45 "
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TX,200,"$1,026,271.27 ","$248,125.16 ","$200,472.48 "
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,FL,12,"$412,000.75 ","$113,900.92 ","$105,897.08 "
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,NY,14,"$726,498.07 ","$244,622.57 ","$163,532.71 "
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,TN,14,"$482,098.93 ","$121,075.64 ","$107,191.43 "
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,MI,15,"$507,858.60 ","$189,676.60 ","$133,269.53 "
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,PA,23,"$768,602.48 ","$140,615.78 ","$128,131.48 "
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,CA,34,"$939,550.68 ","$153,056.32 ","$147,722.91 "
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,TX,35,"$633,284.43 ","$129,124.80 ","$113,162.63 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WY,11,"$367,859.45 ","$148,823.64 ","$147,684.45 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VT,12,"$413,727.17 ","$183,880.25 ","$176,367.00 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AK,21,"$721,116.57 ","$155,358.24 ","$154,248.52 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MT,29,"$269,227.69 ","$104,099.59 ","$102,780.00 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SD,30,"$485,277.50 ","$125,203.57 ","$122,379.93 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",HI,31,"$534,543.32 ","$174,067.84 ","$162,147.74 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ID,37,"$345,384.14 ","$135,064.73 ","$105,620.57 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",RI,40,"$453,010.90 ","$176,375.73 ","$141,983.48 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ME,44,"$387,814.07 ","$150,486.80 ","$131,240.82 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NM,59,"$368,949.71 ","$134,053.27 ","$120,566.64 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NH,72,"$479,782.43 ","$165,918.69 ","$153,922.33 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ND,74,"$328,480.72 ","$120,271.09 ","$107,490.22 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WV,92,"$278,134.13 ","$112,180.71 ","$97,936.71 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OR,101,"$517,917.21 ","$174,297.44 ","$165,226.96 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KS,102,"$520,288.17 ","$108,333.17 ","$104,162.24 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",UT,102,"$355,775.50 ","$136,709.99 ","$122,736.02 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IA,114,"$384,667.22 ","$112,331.88 ","$106,436.25 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DC,125,"$626,326.93 ","$167,437.98 ","$139,648.06 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DE,126,"$300,975.34 ","$143,153.29 ","$123,363.67 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NE,139,"$379,686.90 ","$126,770.43 ","$109,476.64 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WA,155,"$597,995.75 ","$165,088.52 ","$145,837.46 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CT,156,"$548,470.38 ","$168,975.35 ","$149,445.72 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NV,200,"$708,488.39 ","$133,423.52 ","$112,459.59 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WI,209,"$464,059.94 ","$148,592.92 ","$129,930.60 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MS,211,"$433,548.43 ","$102,491.17 ","$97,778.97 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AR,222,"$302,351.89 ","$94,915.67 ","$84,605.98 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CO,224,"$587,986.71 ","$127,039.68 ","$116,833.20 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OK,246,"$508,212.74 ","$106,167.05 ","$96,450.56 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",LA,283,"$442,245.60 ","$115,271.59 ","$105,575.27 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MN,283,"$448,821.49 ","$159,621.90 ","$139,985.18 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MD,295,"$176,013.88 ","$161,247.69 ","$156,197.01 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KY,317,"$436,911.50 ","$123,871.33 ","$112,888.51 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SC,336,"$504,382.53 ","$119,358.19 ","$109,501.98 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AZ,343,"$566,649.38 ","$126,574.24 ","$119,911.53 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AL,353,"$630,328.43 ","$124,972.10 ","$113,773.75 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IN,388,"$424,217.84 ","$117,174.43 ","$107,428.03 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MA,388,"$437,965.31 ","$172,844.39 ","$159,145.79 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VA,433,"$513,614.33 ","$147,196.39 ","$125,561.56 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TN,476,"$385,885.13 ","$98,191.77 ","$90,300.02 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MO,486,"$432,736.91 ","$121,125.21 ","$116,111.79 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NC,551,"$434,281.08 ","$135,986.07 ","$119,280.96 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",GA,572,"$490,109.22 ","$121,925.09 ","$108,155.87 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NJ,689,"$712,236.50 ","$139,427.30 ","$124,494.91 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OH,706,"$443,914.97 ","$118,859.69 ","$104,852.49 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MI,733,"$345,797.78 ","$132,160.59 ","$119,121.94 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IL,742,"$487,569.70 ","$133,171.02 ","$117,569.83 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",PA,"1,137","$741,036.82 ","$139,260.95 ","$118,425.72 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TX,"1,271","$553,283.01 ","$125,041.96 ","$110,071.88 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY,"1,331","$631,368.93 ","$190,557.84 ","$168,804.27 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",FL,"1,353","$603,357.84 ","$116,283.39 ","$106,598.35 "
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CA,"1,436","$1,033,281.31 ","$197,901.43 ","$183,396.45 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AK,16,"$411,086.75 ","$107,679.88 ","$106,396.56 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SD,19,"$244,680.58 ","$72,237.79 ","$69,807.95 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ND,21,"$270,026.52 ","$84,965.81 ","$80,104.33 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",HI,22,"$405,725.14 ","$143,487.45 ","$137,005.95 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ME,22,"$290,356.95 ","$106,044.45 ","$102,298.77 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MT,22,"$193,104.14 ","$75,964.45 ","$71,113.64 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",RI,34,"$258,798.12 ","$88,375.41 ","$77,488.18 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ID,36,"$248,999.28 ","$75,460.92 ","$73,190.64 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NH,36,"$279,978.03 ","$84,375.89 ","$81,358.31 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",UT,45,"$205,137.73 ","$71,069.07 ","$65,346.29 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OR,53,"$257,148.25 ","$99,635.75 ","$90,521.79 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DE,62,"$198,560.34 ","$84,103.50 ","$76,817.84 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NE,64,"$233,928.86 ","$69,745.47 ","$65,611.38 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WV,71,"$169,535.41 ","$64,751.00 ","$56,735.37 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NM,72,"$225,440.94 ","$78,750.22 ","$71,777.81 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KS,85,"$271,621.07 ","$61,636.33 ","$57,477.94 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IA,93,"$209,151.33 ","$63,261.13 ","$57,503.45 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DC,104,"$278,255.78 ","$90,019.35 ","$78,289.73 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CO,119,"$350,608.65 ","$74,341.46 ","$65,266.11 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CT,125,"$336,872.34 ","$97,598.62 ","$88,056.58 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AR,141,"$234,848.16 ","$64,162.60 ","$57,536.05 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WA,145,"$314,731.92 ","$83,552.01 ","$76,052.27 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MN,155,"$271,123.57 ","$93,595.10 ","$79,957.21 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WI,161,"$225,455.34 ","$81,556.20 ","$67,268.12 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OK,206,"$302,637.22 ","$62,450.97 ","$58,787.61 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AZ,217,"$267,091.16 ","$70,481.18 ","$63,960.90 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS,239,"$252,357.69 ","$58,159.38 ","$52,366.13 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AL,253,"$299,820.98 ","$63,441.68 ","$55,938.87 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SC,253,"$301,300.07 ","$70,715.36 ","$62,226.49 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NV,265,"$496,985.46 ","$76,500.90 ","$69,707.44 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",LA,272,"$260,583.83 ","$64,370.78 ","$55,486.24 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VA,299,"$266,698.60 ","$75,852.18 ","$64,037.97 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MA,300,"$224,261.27 ","$95,936.02 ","$90,234.53 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KY,311,"$230,878.67 ","$67,590.04 ","$60,821.63 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MO,326,"$242,951.29 ","$66,198.75 ","$62,738.75 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MD,348,"$101,200.62 ","$93,791.82 ","$88,736.46 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IN,364,"$212,666.64 ","$64,989.76 ","$58,053.59 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NC,389,"$209,874.92 ","$70,637.77 ","$60,522.31 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",GA,421,"$261,040.73 ","$67,046.80 ","$61,935.43 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TN,441,"$232,859.46 ","$56,848.57 ","$52,174.70 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IL,520,"$250,998.48 ","$72,742.81 ","$63,288.84 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MI,530,"$196,743.23 ","$72,693.78 ","$65,927.86 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ,620,"$458,242.48 ","$81,244.52 ","$73,225.81 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OH,639,"$226,831.88 ","$65,021.78 ","$57,142.44 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",PA,664,"$380,560.36 ","$77,084.63 ","$64,904.31 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",FL,"1,133","$358,642.57 ","$65,028.78 ","$60,047.13 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TX,"1,154","$342,534.14 ","$65,772.21 ","$60,203.48 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY,"1,250","$359,672.67 ","$111,587.97 ","$100,648.49 "
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CA,"1,295","$619,749.92 ","$108,569.97 ","$102,195.93 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CT,11,"$359,959.36 ","$99,683.73 ","$95,042.36 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OR,12,"$443,488.50 ","$170,332.08 ","$121,318.17 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OK,15,"$677,304.67 ","$113,103.73 ","$84,294.07 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,UT,15,"$499,794.40 ","$124,858.67 ","$113,678.60 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CO,18,"$547,219.33 ","$110,720.28 ","$82,777.50 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KY,19,"$435,692.26 ","$91,402.42 ","$75,686.05 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WA,19,"$506,734.21 ","$140,189.89 ","$127,926.11 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,DC,20,"$705,890.00 ","$175,251.15 ","$104,433.80 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MO,21,"$368,868.10 ","$88,630.86 ","$85,734.33 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,SC,21,"$522,622.62 ","$179,598.86 ","$82,683.67 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KS,23,"$504,346.09 ","$83,426.09 ","$81,538.13 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NC,23,"$343,628.00 ","$95,274.04 ","$80,470.91 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,VA,23,"$486,342.09 ","$125,137.65 ","$79,480.00 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WI,24,"$687,707.75 ","$166,926.17 ","$107,354.79 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IN,29,"$719,735.41 ","$96,165.38 ","$88,188.72 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AL,30,"$333,977.90 ","$80,967.97 ","$58,842.03 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MI,32,"$443,143.69 ","$116,969.69 ","$95,699.72 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MD,34,"$190,772.41 ","$175,894.56 ","$169,998.09 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IL,36,"$543,389.11 ","$122,175.17 ","$100,965.83 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OH,36,"$469,818.94 ","$93,281.33 ","$86,793.11 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AZ,38,"$317,578.45 ","$99,759.50 ","$67,021.58 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,GA,38,"$378,843.34 ","$87,951.79 ","$66,309.24 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TN,38,"$317,177.84 ","$81,200.95 ","$67,879.55 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,LA,40,"$380,226.30 ","$84,321.43 ","$68,426.35 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MN,48,"$379,356.98 ","$139,164.21 ","$93,613.40 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MA,52,"$378,054.27 ","$115,629.29 ","$99,958.54 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,PA,57,"$747,678.07 ","$118,177.23 ","$93,941.40 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NY,62,"$565,864.42 ","$148,182.05 ","$112,386.74 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TX,100,"$488,396.83 ","$108,175.53 ","$80,286.65 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,FL,107,"$438,347.21 ","$100,430.64 ","$76,983.23 "
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CA,142,"$1,148,447.99 ","$205,060.69 ","$182,133.03 "
006 - LIVER TRANSPLANT W/O MCC,AZ,11,"$218,226.55 ","$45,785.36 ","$30,277.82 "
006 - LIVER TRANSPLANT W/O MCC,GA,12,"$211,756.58 ","$51,300.67 ","$32,165.08 "
