fm_code,sort_code,Era_Name,Coal Basin,fm_name,comments
112TILL,1120160,Holocene, ,Till                                                                                                                                                                                                                                                           ,
112LOSS,1120300,Holocene, ,Loess                                                                                                                                                                                                                                                          ,
112CLVM,1120500,Holocene, ,Colluvium                                                                                                                                                                                                                                                      ,COLLUVIAL MATERIAL ON HILLSIDES MOSTLY IN N. KY             
112CNTL,1120500,Holocene, ,Continental deposits                                                                                                                                                                                                                                           ,
112HGLV,1120500,Holocene, ,High Level Fluvial Deposits                                                                                                                                                                                                                                    ,
112LFTT,1120500,Holocene, ,Lafayette Gravel                                                                                                                                                                                                                                               ,
112GRSD,1120600,Holocene, ,Gravel & sand deposits                                                                                                                                                                                                                                         ,"QT? SURFACE ""LET DOWN"" DEPOSITS OF (POSSIBLY) PNLV SANDS    "
120TRTR,1200100,Tertiary, ,Tertiary System                                                                                                                                                                                                                                                ,
123OLGC,1230100,Tertiary, ,Oligocene Series                                                                                                                                                                                                                                               ,
123JCKS,1230300,Tertiary, ,Jackson Fm                                                                                                                                                                                                                                                     ,
123JKCB,1230300,Tertiary, ,Jackson and Claiborne Undif                                                                                                                                                                                                                                    ,
124EOCN,1240100,Tertiary, ,Eocene Series                                                                                                                                                                                                                                                  ,
124CBWX,1240300,Tertiary, ,Claiborne and Wilcox Fms Undif                                                                                                                                                                                                                                 ,
124CLBN,1240300,Tertiary, ,Claiborne Fm                                                                                                                                                                                                                                                   ,
124WLCX,1240500,Tertiary, ,Wilcox Fm                                                                                                                                                                                                                                                      ,
125PLOC,1250100,Tertiary, ,Paleocene Series                                                                                                                                                                                                                                               ,
125PRCK,1250300,Tertiary, ,Porters Creek Clay                                                                                                                                                                                                                                             ,
125CLMCU,1250500,Tertiary, ,Clayton and McNairy Fms Undif                                                                                                                                                                                                                                  ,
125CLTN,1250500,Tertiary, ,Clayton Fm                                                                                                                                                                                                                                                     ,
200MSZC,2000100,Mesozoic, ,Mesozoic Era                                                                                                                                                                                                                                                   ,
210CRCS,2100100,Cretaceous, ,Cretaceous System                                                                                                                                                                                                                                              ,
211CRCSU,2110100,Cretaceous, ,Upper Cretaceous Series                                                                                                                                                                                                                                        ,
211MCNR,2110300,Cretaceous, ,McNairy Fm                                                                                                                                                                                                                                                     ,
211TSCL,2110500,Cretaceous, ,Tuscaloosa Fm                                                                                                                                                                                                                                                  ,
212GLFN,2120000,Cretaceous, ,Gulfian                                                                                                                                                                                                                                                        ,
300PLZC,3000100,Paleozoic, ,Paleozoic Era                                                                                                                                                                                                                                                  ,
310PRMN,3100100,Permian, ,Permian System                                                                                                                                                                                                                                                 ,
317PRMNL,3170100,Permian, ,Lower Permian Series                                                                                                                                                                                                                                           ,
317MUZY,3170300,Permian, ,Mauzy Fm                                                                                                                                                                                                                                                       ,
320PNLV,3200100,Pennsylvanian, ,Pennsylvanian System                                                                                                                                                                                                                                           ,
321PNLVU,3210100,Pennsylvanian, ,"Pennsylvanian, Upper Part                                                                                                                                                                                                                                      ",
321BDMT,3210300,Pennsylvanian,WKY,Bond & Mattoon Fms Undif                                                                                                                                                                                                                                       ,
321HNSH,3210300,Pennsylvanian,WKY,Henshaw Fm                                                                                                                                                                                                                                                     ,
321HSLM,3210300,Pennsylvanian,WKY,Henshaw & Lisman Fms Undif                                                                                                                                                                                                                                     ,ALSO CORRELATIVE TO 321MCLB
321MCLB,3210300,Pennsylvanian,WKY,McLeansboro Group                                                                                                                                                                                                                                              ,
321MGCG,3210300,Pennsylvanian,EKY,Monongahela and Conemaugh Fms Undif                                                                                                                                                                                                                            ,
321MNGL,3210300,Pennsylvanian,EKY,Monongahela Fm                                                                                                                                                                                                                                                 ,
321MTTN,3210300,Pennsylvanian,WKY,"Matton Fm, McLeansboro Gp                                                                                                                                                                                                                                      ",
321SRGS,3210300,Pennsylvanian,WKY,Sturgis Fm                                                                                                                                                                                                                                                     ,ALSO CORRELATIVE TO 321MCLB
321SSPR,3210305,Pennsylvanian,WKY,"Sulphur Springs Coal, Mattoon Fm                                                                                                                                                                                                                               ","S11, B2, P51"
321MGLD,3210307,Pennsylvanian,WKY,Mt. Gilead Ss                                                                                                                                                                                                                                                  ,"S11, B2"
321VDBG,3210309,Pennsylvanian,WKY,Vanderburg Ss                                                                                                                                                                                                                                                  ,"S11, B2"
321DIXN,3210310,Pennsylvanian,WKY,"Dixon Sandstone, Mattoon Fm                                                                                                                                                                                                                                    ","S11, B2, P51"
321GRGL,3210315,Pennsylvanian,WKY,"Grieger Lake Coal, Mattoon Fm                                                                                                                                                                                                                                  ","S11, B2, P51"
321BOND,3210500,Pennsylvanian,WKY,"Bond Fm, Mcleansboro Gp                                                                                                                                                                                                                                        ",
321CNMG,3210500,Pennsylvanian,EKY,Conemaugh Fm                                                                                                                                                                                                                                                   ,
321LSMN,3210500,Pennsylvanian,WKY,Lisman Fm                                                                                                                                                                                                                                                      ,
321LVGS,3210500,Pennsylvanian,WKY,"Livingston Ls Mbr, Bond Fm                                                                                                                                                                                                                                     ",IN MCLEANSBORO GROUP                                        
321UNMC2,3210500,Pennsylvanian,EKY,Unnamed Coal                                                                                                                                                                                                                                                   ,
321LSMC,3210505,Pennsylvanian,WKY,"Lisman Coal, Bond Fm                                                                                                                                                                                                                                           ","S11, B2, P51"
321WK18,3210525,Pennsylvanian,WKY,WKY #18 Coal,"S11, B2"
321MTCR,3210545,Pennsylvanian,WKY,Mt. Carmel Ss                                                                                                                                                                                                                                                  ,"S11, B2"
321MBRY,3210600,Pennsylvanian,EKY,Member Y                                                                                                                                                                                                                                                       ,
321AMES,3210700,Pennsylvanian,EKY,"Ames Ls Mbr, Conemaugh Fm                                                                                                                                                                                                                                      ",MOVED FROM SEQ 900 TO 700 TO MATCH COAL SECTION USAGE
321CTHG,3210700,Pennsylvanian,WKY,"Carthage Ls Mbr, Bond Fm                                                                                                                                                                                                                                       ",IN MCLEANSBORO GROUP                                        
321MBRW,3210800,Pennsylvanian,EKY,Member W                                                                                                                                                                                                                                                       ,
321UNMC1,3210805,Pennsylvanian,EKY,Unnamed Coal                                                                                                                                                                                                                                                   ,
321MBRV,3210820,Pennsylvanian,EKY,Member V                                                                                                                                                                                                                                                       ,
321PTOK,3210900,Pennsylvanian,WKY,"Patoka Fm, McLeansboro Gp                                                                                                                                                                                                                                      ",
321WK17,3210900,Pennsylvanian,WKY,WKY #17 Coal,"S11, B2"
321WK16,3210920,Pennsylvanian,WKY,WKY #16 Coal,"S11, B2"
321WK15,3210940,Pennsylvanian,WKY,WKY #15 Coal,"S11, B2"
321MDSV,3211100,Pennsylvanian,WKY,"Madisonville Ls Mbr, Sturgis Fm                                                                                                                                                                                                                                ",
321SLBR,3211100,Pennsylvanian,WKY,"Shelburn Fm, McLeansboro Gp                                                                                                                                                                                                                                    ",
321SLCB,3211100,Pennsylvanian,WKY,Shelburn and Carbondale Fms Undif                                                                                                                                                                                                                              ,USED PRIMARILY IN THE AREA OF THE UTICA GQ                  
321WFKL,3211100,Pennsylvanian,WKY,"West Franklin Ls Mbr, Shelburn Fm                                                                                                                                                                                                                              ",IN MCLEANSBORO GROUP                                        
321WK14A,3211100,Pennsylvanian,WKY,WKY #14A Coal,"S11, B2"
321CLTW,3211200,Pennsylvanian,WKY,Coiltown Coal                                                                                                                                                                                                                                                  ,"S11, B2, WKY #14"
321BRCK,3211300,Pennsylvanian,EKY,"Brush Creek Ls Mbr, Conemaugh Fm                                                                                                                                                                                                                               ",
321WTCR,3211300,Pennsylvanian,WKY,Wheatcroft Coal                                                                                                                                                                                                                                                ,"S11, B2, WKY #13A"
321BRCKC,3211305,Pennsylvanian,EKY,Brush Creek Coal                                                                                                                                                                                                                                               ,
321MBRU,3211400,Pennsylvanian,EKY,Member U                                                                                                                                                                                                                                                       ,
321MBRT,3211420,Pennsylvanian,EKY,Member T                                                                                                                                                                                                                                                       ,
321PCNCU,3211425,Pennsylvanian,EKY,Upper Princess No. 9 Coal,
321AVRK,3211500,Pennsylvanian,WKY,"Anvil Rock Ss Mbr, Sturgis Fm                                                                                                                                                                                                                                  ",
321BAKR,3211500,Pennsylvanian,WKY,"Baker Coal, Shelburn Fm                                                                                                                                                                                                                                        ","S11, B2, P51, WKY #13"
321PRDS,3211700,Pennsylvanian,WKY,Paradise Coal                                                                                                                                                                                                                                                  ,"S11, B2, WKY #12"
321PROV,3211700,Pennsylvanian,WKY,"Providence Ls Mbr, Selburn Fm                                                                                                                                                                                                                                  ",IN MCLEANSBORO GROUP                                        
321PRDL,3211705,Pennsylvanian,WKY,Limestone Bed below Paradise Coal                                                                                                                                                                                                                              ,"S11, B2"
322VRGL,3220000,Pennsylvanian, ,Virgilian Series                                                                                                                                                                                                                                               ,
323MSSR,3230000,Pennsylvanian, ,Missourian Series                                                                                                                                                                                                                                              ,
324PNLVM,3240100,Pennsylvanian, ,"Pennsylvanian, Middle Part                                                                                                                                                                                                                                     ",
324WEIR,3240300,Pennsylvanian,WKY,Weir Ss                                                                                                                                                                                                                                                        ,
324BRLE,3240500,Pennsylvanian,EKY,Breathitt & Lee Fms Undif                                                                                                                                                                                                                                      ,
324BRTT,3240500,Pennsylvanian,EKY,Breathitt Group                                                                                                                                                                                                                                                ,ALSO CORRELATIVE TO CBDL & TRDT                             
324CBDL,3240500,Pennsylvanian,WKY,Carbondale Fm                                                                                                                                                                                                                                                  ,
324HRRN,3240500,Pennsylvanian,WKY,"Herrin Coal, Carbondale Fm                                                                                                                                                                                                                                     ","S11, B2, P37, WKY #11"
324PCNC,3240500,Pennsylvanian,EKY,Princess Fm                                                                                                                                                                                                                                                    ,
324PCNC9,3240500,Pennsylvanian,EKY,Princess No. 9 Coal,
324BRHL,3240505,Pennsylvanian,WKY,"Briar Hill Coal, Carbondale Fm                                                                                                                                                                                                                                 ","S11, B2, P37, WKY #10"
324MBRS,3240600,Pennsylvanian,EKY,"Member S, Princess Fm                                                                                                                                                                                                                                          ",
324SPGC,3240600,Pennsylvanian,WKY,"Springfield Coal Bed, Carbondale Fm                                                                                                                                                                                                                            ",WKY #9
324PCNC8,3240605,Pennsylvanian,EKY,Princess No. 8 Coal,
324MBRR,3240620,Pennsylvanian,EKY,"Member R, Princess Fm                                                                                                                                                                                                                                          ",
324PCNC7,3240625,Pennsylvanian,EKY,Princess No. 7 Coal,
324HCHC,3240630,Pennsylvanian,WKY,"Houchin Creek Coal, Carbondale Fm                                                                                                                                                                                                                              ","S11, B2, P37, WKY #8B"
324MBRQ,3240640,Pennsylvanian,EKY,"Member Q, Princess Fm                                                                                                                                                                                                                                          ",
324PCNC6,3240645,Pennsylvanian,EKY,Princess No. 6 Coal,
324DKVN,3240650,Pennsylvanian,WKY,"Dekoven Coal, Carbondale Fm                                                                                                                                                                                                                                    ","S11, B2, P37, WKY #7"
324SVNT,3240650,Pennsylvanian,WKY,Survant Coal                                                                                                                                                                                                                                                   ,"S11, B2, WKY #8"
324LMKL,3240660,Pennsylvanian,EKY,"Limekiln Clay, Princess Fm                                                                                                                                                                                                                                     ",
324LURL,3240665,Pennsylvanian,EKY,Laurel Coal                                                                                                                                                                                                                                                    ,
324CLCH,3240670,Pennsylvanian,WKY,Colchester Coal                                                                                                                                                                                                                                                ,"S11, B2"
324OBRN,3240680,Pennsylvanian,EKY,"Obryan Member, Princess Fm                                                                                                                                                                                                                                     ",
324VNPR,3240680,Pennsylvanian,EKY,Vanport Ls                                                                                                                                                                                                                                                     ,
324PCNC5,3240685,Pennsylvanian,EKY,Princess No. 5A/5B Coal,
324SEBR,3240700,Pennsylvanian,WKY,"Sebree Ss Mbr, Carbondale Fm                                                                                                                                                                                                                                   ",
324FRDG,3240800,Pennsylvanian,EKY,"Flint Ridge Flint, Princess Fm                                                                                                                                                                                                                                 ",
324RCRDC,3240805,Pennsylvanian,EKY,Richardson Coal Zone                                                                                                                                                                                                                                           ,
324MBRP,3240820,Pennsylvanian,EKY,"Member P, Princess Fm                                                                                                                                                                                                                                          ",
324TPTPC,3240825,Pennsylvanian,EKY,Tiptop Coal Zone                                                                                                                                                                                                                                               ,
324MBKO,3240840,Pennsylvanian,EKY,"Main Block Ore, Princess Fm                                                                                                                                                                                                                                    ",
324DVIS,3240900,Pennsylvanian,WKY,"Davis Coal Bed, Carbondale Fm                                                                                                                                                                                                                                  ",WKY #6
324SNFK,3240900,Pennsylvanian,EKY,"Stoney Fork Mbr, Princess Fm                                                                                                                                                                                                                                   ",
324FRCR,3241000,Pennsylvanian,EKY,Four Corners Fm                                                                                                                                                                                                                                                ,
324HNDMC,3241000,Pennsylvanian,EKY,Hindman Coal Zone                                                                                                                                                                                                                                              ,
324BULN,3241020,Pennsylvanian,EKY,"Bulan Shale Member, Four Corners Fm                                                                                                                                                                                                                            ",
324FRNCC,3241025,Pennsylvanian,EKY,Francis Coal Zone                                                                                                                                                                                                                                              ,
324MBRO,3241040,Pennsylvanian,EKY,"Member O, Four Corners Fm                                                                                                                                                                                                                                      ",
324HZRD7,3241045,Pennsylvanian,EKY,Hazard No. 7 Coal Zone,
324ARNT,3241060,Pennsylvanian,EKY,"Arnett Member, Four Corners Fm                                                                                                                                                                                                                                 ",
324HZRD,3241065,Pennsylvanian,EKY,Hazard Coal Zone                                                                                                                                                                                                                                               ,
324MBRN,3241080,Pennsylvanian,EKY,"Member N, Four Corners Fm                                                                                                                                                                                                                                      ",
324HDDX,3241085,Pennsylvanian,EKY,Haddix Coal Zone                                                                                                                                                                                                                                               ,
324MGFN,3241100,Pennsylvanian,EKY,"Magoffin Mbr, Four Corners Fm                                                                                                                                                                                                                                  ",
324RCCK,3241100,Pennsylvanian,WKY,Raccoon Creek Gp                                                                                                                                                                                                                                               ,INCLUDES TRADEWATER AND CASEYVILLE COMBINED                 
324TRCV,3241100,Pennsylvanian,WKY,Tradewater-Caseyville Fms Undif                                                                                                                                                                                                                                ,
324TRDT,3241100,Pennsylvanian,WKY,Tradewater Fm                                                                                                                                                                                                                                                  ,
324YRGN,3241100,Pennsylvanian,WKY,Yeargins Chapel Ls                                                                                                                                                                                                                                             ,"S11, B2"
324BULH,3241200,Pennsylvanian,WKY,Beulah Ls                                                                                                                                                                                                                                                      ,"S11, B2"
324HYDN,3241200,Pennsylvanian,EKY,Hyden Fm                                                                                                                                                                                                                                                       ,
324TYLR,3241200,Pennsylvanian,EKY,Taylor Coal Zone                                                                                                                                                                                                                                               ,
324MBRM,3241220,Pennsylvanian,EKY,"Member M, Hyden Fm                                                                                                                                                                                                                                             ",
324HMLN,3241225,Pennsylvanian,EKY,Hamlin Coal Zone                                                                                                                                                                                                                                               ,
324MBRL,3241240,Pennsylvanian,EKY,"Member L, Hyden Fm                                                                                                                                                                                                                                             ",
