ID,RecordNumber,Produces,Year,DaysOnLine,VolumeMCF,Time
136,16217,GAS,1983,305,33034,2
137,16217,GAS,1984,304,25435,3
138,16218,GAS,1983,152,7532,1
139,16218,GAS,1984,29,3051,2
140,16218,GAS,1985,301,16763,3
141,16222,GAS,1982,304,12027,1
142,16222,GAS,1983,366,14157,2
143,16222,GAS,1984,211,5331,3
144,16223,GAS,1982,181,12816,1
145,16223,GAS,1983,366,28758,2
146,16223,GAS,1984,304,17507,3
147,16224,GAS,1982,152,9192,1
148,16224,GAS,1983,365,28542,2
149,16224,GAS,1984,154,11116,3
150,16225,GAS,1982,181,17459,1
151,16225,GAS,1983,366,45495,2
152,16225,GAS,1984,304,38858,3
153,16236,GAS,1982,334,20247,1
154,16236,GAS,1983,304,14125,2
155,16236,GAS,1984,366,19054,3
156,16271,GAS,1982,304,3110,1
157,16271,GAS,1983,366,5850,2
158,16271,GAS,1984,182,3551,3
159,16272,GAS,1982,122,527,1
160,16272,GAS,1983,304,1383,2
161,16272,GAS,1984,336,1806,3
162,16274,GAS,1982,341,12791,1
163,16274,GAS,1983,364,30086,2
164,16274,GAS,1984,154,12362,3
165,22683,GAS,1982,185,6020,1
166,22683,GAS,1983,366,9616,2
167,22683,GAS,1984,0,0,3
168,23294,GAS,1980,65,1570,1
169,23294,GAS,1981,364,4098,2
170,23294,GAS,1982,364,5550,3
171,23298,GAS,1983,304,13248,1
172,23298,GAS,1984,153,8363,2
173,23298,GAS,1985,0,0,3
174,23461,GAS,1980,366,0,1
175,23461,GAS,1981,185,2232,2
176,23461,GAS,1982,0,0,3
177,27166,GAS,1982,176,6589,1
178,27166,GAS,1983,366,11285,2
179,27166,GAS,1984,0,0,3
180,28546,,1983,60,4714,1
181,28546,,1984,365,21274,2
182,28546,,1985,182,106475,3
183,31254,GAS,1985,92,28055,1
184,31254,GAS,1986,0,0,2
185,31254,GAS,1987,0,0,3
186,31456,GAS,1976,262,10276,1
187,31456,GAS,1977,366,12712,2
188,31456,GAS,1978,360,10480,3
189,31456,GAS,1979,363,10520,4
190,31456,GAS,1980,204,7000,5
191,31456,GAS,1981,230,8860,6
192,31456,GAS,1982,81,3900,7
193,31476,GAS,1971,366,9625,1
194,31476,GAS,1972,365,10011,2
195,31476,GAS,1973,365,9980,3
196,31476,GAS,1974,350,10120,4
197,31476,GAS,1975,358,10100,5
198,31476,GAS,1976,352,10950,6
199,31476,GAS,1977,366,10580,7
200,31476,GAS,1978,365,10600,8
201,31476,GAS,1979,366,10646,9
202,31476,GAS,1980,365,11680,10
203,31476,GAS,1981,359,11163,11
204,31476,GAS,1982,24,724,12
205,31496,GAS,1974,365,6180,1
206,31496,GAS,1975,351,5780,2
207,31496,GAS,1976,365,5940,3
208,31496,GAS,1977,191,2832,4
209,31496,GAS,1978,344,9500,5
210,31496,GAS,1979,91,4600,6
211,31496,GAS,1980,366,4800,7
212,31496,GAS,1981,365,6390,8
213,31496,GAS,1982,365,6780,9
214,31496,GAS,1983,365,6300,10
215,31499,GAS,1978,65,972,1
216,31499,GAS,1979,181,3530,2
217,31499,GAS,1980,0,0,3
218,31540,GAS,1973,349,17457,1
219,31540,GAS,1974,364,31500,2
220,31540,GAS,1975,365,14600,3
221,31540,GAS,1976,102,6600,4
222,31540,GAS,1977,304,20670,5
223,31540,GAS,1978,323,31940,6
224,31540,GAS,1979,366,29220,7
225,31543,GAS,1973,102,6100,1
226,31543,GAS,1974,351,6840,2
227,31543,GAS,1975,365,20400,3
228,31543,GAS,1976,323,8850,4
229,31543,GAS,1977,365,4850,5
230,31543,GAS,1978,366,6640,6
231,31543,GAS,1979,346,0,7
232,31543,GAS,1980,350,6749,8
233,31543,GAS,1981,364,10560,9
234,31559,GAS,1974,366,23800,1
235,31559,GAS,1975,365,30700,2
236,31559,GAS,1976,364,21800,3
237,31559,GAS,1977,350,9131,4
238,31559,GAS,1978,365,13710,5
239,31559,GAS,1979,325,18200,6
240,31559,GAS,1980,351,18370,7
241,31559,GAS,1981,365,20500,8
242,31559,GAS,1982,365,22470,9
243,31559,GAS,1983,102,9200,10
244,31573,GAS,1972,10,749,1
245,31573,GAS,1973,366,9516,2
246,31573,GAS,1974,0,0,3
247,31649,GAS,1975,267,4651,1
248,31649,GAS,1976,347,9860,2
249,31649,GAS,1977,191,5938,3
250,31649,GAS,1978,349,10240,4
251,31649,GAS,1979,349,10320,5
252,31649,GAS,1980,356,10330,6
253,31649,GAS,1981,365,10460,7
254,31649,GAS,1982,344,9870,8
255,31649,GAS,1983,365,10000,9
256,31744,GAS,1960,94,6085,1
257,31744,GAS,1961,360,19627,2
258,31744,GAS,1962,362,12504,3
259,31744,GAS,1963,362,12485,4
260,31744,GAS,1964,369,12973,5
261,31744,GAS,1965,361,14833,6
262,31744,GAS,1966,334,12237,7
263,31744,GAS,1967,358,14427,8
264,31744,GAS,1968,365,14702,9
265,31744,GAS,1969,363,15916,10
266,31744,GAS,1970,361,17376,11
267,31744,GAS,1971,362,12312,12
268,31744,GAS,1972,364,12278,13
269,31744,GAS,1973,357,12221,14
270,31744,GAS,1974,361,11701,15
271,31744,GAS,1975,364,11669,16
272,31744,GAS,1976,364,11162,17
273,31744,GAS,1977,363,9725,18
274,31744,GAS,1978,364,9375,19
275,31744,GAS,1979,363,11276,20
276,31744,GAS,1980,362,8586,21
277,31744,GAS,1981,365,11039,22
278,33069,GAS,1984,304,6034,1
279,33069,GAS,1985,122,3104,2
280,33069,GAS,1986,0,0,3
281,36443,,1967,362,8062,1
282,36443,,1968,361,6098,2
283,36443,,1969,345,4961,3
284,36443,,1970,362,5271,4
285,36443,,1971,339,2997,5
286,36443,,1972,317,4858,6
287,36443,,1973,331,4651,7
288,36443,,1974,359,3721,8
289,36443,,1975,363,5271,9
290,36443,,1976,359,4238,10
291,36443,,1977,365,3101,11
292,36443,,1978,365,4800,12
293,36443,,1979,365,4500,13
294,36443,,1980,366,4440,14
295,36443,,1981,365,4460,15
296,36443,,1982,345,3920,16
297,36443,,1983,153,2215,17
298,36443,,1984,366,4527,18
299,37666,,1970,23,310,1
300,37666,,1971,365,3520,2
301,37666,,1972,366,2997,3
302,37666,,1973,317,2274,4
303,37666,,1974,256,1757,5
304,37666,,1975,313,2377,6
305,37666,,1976,256,1654,7
306,37666,,1977,288,2377,8
307,37666,,1978,342,2750,9
308,37666,,1979,359,1900,10
309,37666,,1980,365,1670,11
310,37666,,1981,352,2050,12
311,37666,,1982,352,1940,13
312,37666,,1983,198,1153,14
313,37666,,1984,338,1681,15
314,37668,,1970,23,207,1
315,37668,,1971,365,4134,2
316,37668,,1972,366,3721,3
317,37668,,1973,361,3204,4
318,37668,,1974,287,2584,5
319,37668,,1975,345,3101,6
320,37668,,1976,366,2377,7
321,37668,,1977,364,3618,8
322,37668,,1978,365,3080,9
323,37668,,1979,365,2840,10
324,37668,,1980,262,2700,11
325,37668,,1981,349,2870,12
326,37668,,1982,361,2420,13
327,37668,,1983,206,1547,14
328,37668,,1984,359,2580,15
329,37673,,1960,33,1861,1
330,37673,,1961,330,10853,2
331,37673,,1962,351,7855,3
332,37673,,1963,343,6925,4
333,37673,,1964,345,6718,5
334,37673,,1965,343,8476,6
335,37673,,1966,331,7442,7
336,37673,,1967,353,7029,8
337,37673,,1968,365,6408,9
338,37673,,1969,365,6098,10
339,37673,,1970,350,5685,11
340,37673,,1971,365,4961,12
341,37673,,1972,366,5271,13
342,37673,,1973,350,4961,14
343,37673,,1974,288,4548,15
344,37673,,1975,345,4754,16
345,37673,,1976,356,3411,17
346,37673,,1977,365,5995,18
347,37673,,1978,365,5780,19
348,37673,,1979,350,5500,20
349,37673,,1980,365,5120,21
350,37673,,1981,365,5020,22
351,37673,,1982,365,4260,23
352,37673,,1983,205,2817,24
353,37673,,1984,366,4763,25
354,39069,GAS,1948,362,15650,1
355,39069,GAS,1949,365,15757,2
356,39069,GAS,1950,365,15343,3
357,39069,GAS,1951,358,14996,4
358,39069,GAS,1952,326,12307,5
359,39069,GAS,1953,367,14180,6
360,39069,GAS,1954,352,20300,7
361,39069,GAS,1955,363,17660,8
362,39069,GAS,1956,350,18048,9
363,39069,GAS,1957,364,22776,10
364,39069,GAS,1958,197,12576,11
365,39069,GAS,1959,364,23785,12
366,39069,GAS,1960,336,25210,13
367,39069,GAS,1961,222,20985,14
368,39086,GAS,1959,21,1902,1
369,39086,GAS,1960,335,12804,2
370,39086,GAS,1961,364,15375,3
371,39086,GAS,1962,297,9595,4
372,39086,GAS,1963,361,10648,5
373,39086,GAS,1964,331,9910,6
374,39086,GAS,1965,360,10785,7
375,39086,GAS,1966,369,9354,8
376,39086,GAS,1967,334,7415,9
377,39086,GAS,1968,362,8419,10
378,39086,GAS,1969,327,9511,11
379,39086,GAS,1970,341,8685,12
380,39086,GAS,1971,320,4971,13
381,39086,GAS,1972,367,5468,14
382,39086,GAS,1973,364,6175,15
383,39086,GAS,1974,365,5792,16
384,39086,GAS,1975,365,6255,17
385,39086,GAS,1976,365,6547,18
386,39086,GAS,1977,336,8030,19
387,39086,GAS,1978,208,3974,20
388,39086,GAS,1979,244,4173,21
389,39086,GAS,1980,349,7442,22
390,39086,GAS,1981,363,7121,23
391,39113,GAS,1958,366,30163,1
392,39113,GAS,1959,365,33132,2
393,39113,GAS,1960,362,33258,3
394,39113,GAS,1961,363,35396,4
395,39113,GAS,1962,363,35036,5
396,39113,GAS,1963,362,36154,6
397,39113,GAS,1964,158,57776,7
398,39113,GAS,1965,363,73686,8
399,39113,GAS,1966,363,85419,9
400,39113,GAS,1967,200,53444,10
401,39113,GAS,1968,363,111284,11
402,39113,GAS,1969,262,34622,12
403,39113,GAS,1970,338,60627,13
404,39113,GAS,1971,358,68896,14
405,39113,GAS,1972,362,48449,15
406,39113,GAS,1973,362,51866,16
407,39113,GAS,1974,289,46522,17
408,39113,GAS,1975,62,24272,18
409,39113,GAS,1976,150,19807,19
410,39113,GAS,1977,362,47037,20
411,39113,GAS,1978,361,43041,21
412,39113,GAS,1979,361,44966,22
413,39113,GAS,1980,360,40557,23
414,39122,GAS,1958,337,34235,1
415,39122,GAS,1959,361,23484,2
416,39122,GAS,1960,363,27053,3
417,39122,GAS,1961,357,30065,4
418,39122,GAS,1962,357,22154,5
419,39122,GAS,1963,338,20125,6
420,39122,GAS,1964,362,12168,7
421,39122,GAS,1965,364,12824,8
422,39122,GAS,1966,364,14032,9
423,39122,GAS,1967,81,3788,10
424,39122,GAS,1968,362,16268,11
425,39122,GAS,1969,124,6870,12
426,39122,GAS,1970,361,14830,13
427,39122,GAS,1971,366,14519,14
428,39122,GAS,1972,358,13969,15
429,39122,GAS,1973,275,160000,16
430,39122,GAS,1974,253,9279,17
431,39122,GAS,1975,147,7788,18
432,39122,GAS,1976,319,15948,19
433,39122,GAS,1977,364,11214,20
434,39122,GAS,1978,360,11851,21
435,39122,GAS,1979,154,19031,22
436,39122,GAS,1980,140,15136,23
437,39137,GAS,1959,319,11582,1
438,39137,GAS,1960,272,10492,2
439,39137,GAS,1961,365,11168,3
440,39137,GAS,1962,362,18205,4
441,39137,GAS,1963,361,23467,5
442,39137,GAS,1964,351,22650,6
443,39137,GAS,1965,362,18711,7
444,39137,GAS,1966,320,17816,8
445,39137,GAS,1967,363,16596,9
446,39137,GAS,1968,358,15454,10
447,39137,GAS,1969,357,16039,11
448,39137,GAS,1970,360,16958,12
449,39137,GAS,1971,348,18230,13
450,39137,GAS,1972,319,17272,14
451,39137,GAS,1973,351,18290,15
452,39137,GAS,1974,339,18907,16
453,39137,GAS,1975,361,19576,17
454,39137,GAS,1976,343,21051,18
455,39137,GAS,1977,314,20237,19
456,39137,GAS,1978,362,20805,20
457,39137,GAS,1979,359,22264,21
458,39137,GAS,1980,361,18404,22
459,39137,GAS,1981,342,16461,23
460,39137,GAS,1982,343,19338,24
461,39137,GAS,1983,367,22948,25
462,39137,GAS,1984,263,36466,26
463,39137,GAS,1985,189,46628,27
464,39137,GAS,1986,352,23699,28
465,39137,GAS,1987,363,25861,29
466,39137,GAS,1988,340,29574,30
467,39137,GAS,1989,359,34134,31
468,39137,GAS,1990,346,32989,32
469,39143,GAS,1959,367,2633,1
470,39143,GAS,1960,363,2851,2
471,39143,GAS,1961,197,8507,3
472,39143,GAS,1962,181,5042,4
473,39143,GAS,1963,363,2821,5
474,39143,GAS,1964,362,3716,6
475,39143,GAS,1965,362,3148,7
476,39143,GAS,1966,361,7845,8
477,39143,GAS,1967,343,3375,9
478,39143,GAS,1968,362,3704,10
479,39143,GAS,1969,362,4145,11
480,39143,GAS,1970,365,4115,12
481,39143,GAS,1971,360,5979,13
482,39143,GAS,1972,362,4216,14
483,39143,GAS,1973,362,4078,15
484,39143,GAS,1974,362,4580,16
485,39143,GAS,1975,360,4585,17
486,39143,GAS,1976,338,5662,18
487,39143,GAS,1977,369,5061,19
488,39143,GAS,1978,360,4969,20
489,39143,GAS,1979,365,5431,21
490,39180,GAS,1955,362,30969,1
491,39180,GAS,1956,283,22348,2
492,39180,GAS,1957,362,45189,3
493,39180,GAS,1958,366,37233,4
494,39180,GAS,1959,356,41845,5
495,39180,GAS,1960,362,30935,6
496,39180,GAS,1961,249,17946,7
497,39180,GAS,1962,122,11230,8
498,39180,GAS,1963,369,33241,9
499,39180,GAS,1964,340,27925,10
500,39180,GAS,1965,347,64798,11
501,39180,GAS,1966,365,50371,12
502,39180,GAS,1967,360,56260,13
503,39180,GAS,1968,363,96138,14
504,39180,GAS,1969,183,56993,15
505,39180,GAS,1970,225,78024,16
506,39180,GAS,1971,75,27698,17
507,39180,GAS,1972,138,29438,18
508,39180,GAS,1973,214,47128,19
509,39180,GAS,1974,362,21208,20
510,39180,GAS,1975,364,20525,21
511,39180,GAS,1976,359,25571,22
512,39180,GAS,1977,361,28012,23
513,39180,GAS,1978,309,22260,24
514,39180,GAS,1979,363,22096,25
515,39180,GAS,1980,362,20233,26
516,39180,GAS,1981,368,18900,27
517,39192,GAS,1949,364,8908,1
518,39192,GAS,1950,361,9403,2
519,39192,GAS,1951,372,9492,3
520,39192,GAS,1952,363,13168,4
521,39192,GAS,1953,363,12378,5
522,39192,GAS,1954,337,11736,6
523,39192,GAS,1955,360,7547,7
524,39192,GAS,1956,362,5677,8
525,39192,GAS,1957,317,10459,9
526,39192,GAS,1958,364,4312,10
527,39192,GAS,1959,365,4141,11
528,39192,GAS,1960,369,3518,12
529,39192,GAS,1961,364,3460,13
530,39192,GAS,1962,364,3765,14
531,39192,GAS,1963,359,4555,15
532,39192,GAS,1964,197,2133,16
533,39192,GAS,1965,347,8754,17
534,39192,GAS,1966,299,5375,18
535,39192,GAS,1967,371,3986,19
536,39192,GAS,1968,342,9193,20
537,39192,GAS,1969,343,8451,21
538,39192,GAS,1970,319,9652,22
539,39192,GAS,1971,362,3218,23
540,39192,GAS,1972,361,3476,24
541,39192,GAS,1973,60,8,25
542,39192,GAS,1974,363,2122,26
543,39192,GAS,1975,343,3417,27
544,39192,GAS,1976,42,1745,28
545,39192,GAS,1977,224,7191,29
546,39192,GAS,1978,359,11504,30
547,39192,GAS,1979,298,7591,31
548,39192,GAS,1980,362,10873,32
549,39192,GAS,1981,363,10337,33
550,39195,GAS,1949,119,11986,1
551,39195,GAS,1950,210,19205,2
552,39195,GAS,1951,48,5511,3
553,39195,GAS,1952,222,21635,4
554,39195,GAS,1953,224,18588,5
555,39195,GAS,1954,213,18216,6
556,39195,GAS,1955,200,20717,7
557,39195,GAS,1956,363,25174,8
558,39195,GAS,1957,182,14489,9
559,39195,GAS,1958,322,14464,10
560,39195,GAS,1959,360,16617,11
561,39195,GAS,1960,364,17619,12
562,39195,GAS,1961,361,20071,13
563,39195,GAS,1962,191,11807,14
564,39195,GAS,1963,367,21583,15
565,39195,GAS,1964,364,13068,16
566,39195,GAS,1965,342,13741,17
567,39195,GAS,1966,361,14816,18
568,39195,GAS,1967,371,12849,19
569,39195,GAS,1968,364,7033,20
570,39195,GAS,1969,363,8376,21
571,39195,GAS,1970,364,8591,22
572,39195,GAS,1971,362,8881,23
573,39195,GAS,1972,362,8986,24
574,39195,GAS,1973,369,9021,25
575,39195,GAS,1974,364,9957,26
576,39195,GAS,1975,362,10844,27
577,39195,GAS,1976,365,11543,28
578,39195,GAS,1977,364,13088,29
579,39195,GAS,1978,197,6266,30
580,39195,GAS,1979,364,11236,31
581,39195,GAS,1980,362,11754,32
582,39216,GAS,1959,304,1466,1
583,39216,GAS,1960,300,1606,2
584,39216,GAS,1961,269,1766,3
585,39216,GAS,1962,362,2082,4
586,39216,GAS,1963,343,1351,5
587,39216,GAS,1964,289,1283,6
588,39216,GAS,1965,197,782,7
589,39216,GAS,1966,364,998,8
590,39216,GAS,1967,331,1449,9
591,39216,GAS,1968,302,1374,10
592,39216,GAS,1969,198,866,11
593,39216,GAS,1970,362,1095,12
594,39216,GAS,1971,364,1177,13
595,39216,GAS,1972,348,430,14
596,39216,GAS,1973,347,937,15
597,39216,GAS,1974,305,826,16
598,39216,GAS,1975,274,522,17
599,39216,GAS,1976,260,640,18
600,39216,GAS,1977,355,794,19
601,39216,GAS,1978,313,814,20
602,39216,GAS,1979,366,1092,21
603,39216,GAS,1980,359,645,22
604,39216,GAS,1981,362,1129,23
605,39257,GAS,1957,36,16883,1
606,39257,GAS,1958,311,124624,2
607,39257,GAS,1959,287,46856,3
608,39257,GAS,1960,338,48229,4
609,39257,GAS,1961,303,69123,5
610,39257,GAS,1962,296,47150,6
611,39257,GAS,1963,299,60481,7
612,39257,GAS,1964,275,74261,8
613,39257,GAS,1965,311,96313,9
614,39257,GAS,1966,369,32755,10
615,39257,GAS,1967,362,34467,11
616,39257,GAS,1968,238,35455,12
617,39257,GAS,1969,360,38799,13
618,39257,GAS,1970,366,20858,14
619,39257,GAS,1971,357,24808,15
620,39257,GAS,1972,358,26318,16
621,39257,GAS,1973,317,22037,17
622,39257,GAS,1974,369,20706,18
623,39257,GAS,1975,361,38606,19
624,39257,GAS,1976,360,34542,20
625,39257,GAS,1977,348,28220,21
626,39257,GAS,1978,366,32977,22
627,39257,GAS,1979,364,32262,23
628,39257,GAS,1980,365,26558,24
629,39257,GAS,1981,363,25719,25
630,39334,GAS,1959,362,3595,1
631,39334,GAS,1960,362,4920,2
632,39334,GAS,1961,174,3420,3
633,39334,GAS,1962,191,2914,4
634,39334,GAS,1963,198,3226,5
635,39334,GAS,1964,121,22793,6
636,39334,GAS,1965,362,3344,7
637,39334,GAS,1966,284,4742,8
638,39334,GAS,1967,352,6582,9
639,39334,GAS,1968,281,5653,10
640,39334,GAS,1969,294,7055,11
641,39334,GAS,1970,247,8436,12
642,39334,GAS,1971,361,13154,13
643,39334,GAS,1972,209,3748,14
644,39334,GAS,1973,314,3424,15
645,39334,GAS,1974,361,3737,16
646,39334,GAS,1975,359,3055,17
647,39334,GAS,1976,366,3734,18
648,39334,GAS,1977,222,1638,19
649,39334,GAS,1978,255,3714,20
650,39334,GAS,1979,360,3614,21
651,39334,GAS,1980,232,2311,22
652,39366,GAS,1958,221,30714,1
653,39366,GAS,1959,90,921,2
654,39366,GAS,1960,0,0,3
655,39366,GAS,1961,253,14670,4
656,39366,GAS,1962,0,0,5
657,39366,GAS,1963,0,0,6
658,39366,GAS,1964,304,17644,7
659,39366,GAS,1965,299,17944,8
660,39366,GAS,1966,367,22816,9
661,39366,GAS,1967,364,29361,10
662,39366,GAS,1968,361,47342,11
663,39366,GAS,1969,359,31481,12
664,39366,GAS,1970,362,26511,13
665,39366,GAS,1971,326,23793,14
666,39366,GAS,1972,362,23929,15
667,39366,GAS,1973,360,19498,16
668,39366,GAS,1974,338,22426,17
669,39366,GAS,1975,320,17968,18
670,39366,GAS,1976,0,0,19
671,39366,GAS,1977,0,0,20
672,39366,GAS,1978,0,0,21
673,39366,GAS,1979,0,0,22
674,39366,GAS,1980,360,23760,23
675,39366,GAS,1981,203,19466,24
676,39377,GAS,1959,262,34763,1
677,39377,GAS,1960,362,26821,2
678,39377,GAS,1961,362,29245,3
679,39377,GAS,1962,341,22988,4
680,39377,GAS,1963,311,19028,5
681,39377,GAS,1964,339,17819,6
682,39377,GAS,1965,362,18978,7
683,39377,GAS,1966,362,15141,8
684,39377,GAS,1967,364,15066,9
685,39377,GAS,1968,362,14038,10
686,39377,GAS,1969,365,13503,11
687,39377,GAS,1970,367,12331,12
688,39377,GAS,1971,364,12333,13
689,39377,GAS,1972,359,11513,14
690,39377,GAS,1973,361,11961,15
691,39377,GAS,1974,366,9417,16
692,39377,GAS,1975,306,14659,17
693,39377,GAS,1976,362,16068,18
694,39377,GAS,1977,369,17462,19
695,39377,GAS,1978,313,14547,20
696,39377,GAS,1979,299,11828,21
697,39377,GAS,1980,176,8887,22
698,39408,GAS,1956,290,30473,1
699,39408,GAS,1957,301,32869,2
700,39408,GAS,1958,362,31656,3
701,39408,GAS,1959,367,36357,4
702,39408,GAS,1960,304,32016,5
703,39408,GAS,1961,171,19810,6
704,39408,GAS,1962,365,27885,7
705,39408,GAS,1963,333,32387,8
706,39408,GAS,1964,209,21719,9
707,39408,GAS,1965,362,36811,10
708,39408,GAS,1966,360,31416,11
709,39408,GAS,1967,362,36387,12
710,39408,GAS,1968,181,16433,13
711,39408,GAS,1969,326,35770,14
712,39408,GAS,1970,358,37779,15
713,39408,GAS,1971,362,30671,16
714,39408,GAS,1972,192,20894,17
715,39408,GAS,1973,364,37900,18
716,39408,GAS,1974,362,39840,19
717,39408,GAS,1975,369,43849,20
718,39408,GAS,1976,364,36695,21
719,39408,GAS,1977,368,22522,22
720,39408,GAS,1978,360,33694,23
721,39408,GAS,1979,362,33617,24
722,39408,GAS,1980,364,33261,25
723,39408,GAS,1981,362,31372,26
724,39435,GAS,1958,362,17840,1
725,39435,GAS,1959,337,32843,2
726,39435,GAS,1960,310,25005,3
727,39435,GAS,1961,362,22571,4
728,39435,GAS,1962,339,20713,5
729,39435,GAS,1963,301,62180,6
730,39435,GAS,1964,362,39144,7
731,39435,GAS,1965,362,39837,8
732,39435,GAS,1966,365,16079,9
733,39435,GAS,1967,368,15796,10
734,39435,GAS,1968,363,12058,11
735,39435,GAS,1969,346,14153,12
736,39435,GAS,1970,366,11050,13
737,39435,GAS,1971,365,15318,14
738,39435,GAS,1972,359,14187,15
739,39435,GAS,1973,368,18195,16
740,39435,GAS,1974,362,17929,17
741,39435,GAS,1975,159,6510,18
742,39435,GAS,1976,306,14492,19
743,39435,GAS,1977,198,10052,20
744,39435,GAS,1978,341,15122,21
745,39435,GAS,1979,299,13886,22
746,39450,GAS,1959,362,47623,1
747,39450,GAS,1960,357,38412,2
748,39450,GAS,1961,326,41608,3
749,39450,GAS,1962,338,35804,4
750,39450,GAS,1963,367,37238,5
751,39450,GAS,1964,360,34878,6
752,39450,GAS,1965,299,30769,7
753,39450,GAS,1966,301,30929,8
