block_id,start,end,name,color
chr2-8,4400000,6900000,p25.2,"rgb(255, 0, 255)"
chr2-8,6900000,12000000,p25.1,"rgb(173,6,6)"
chr2-8,12000000,16500000,p24.3,"rgb(102, 51, 0)"
chr2-8,16500000,19000000,p24.2,"rgb(173,6,6)"
chr2-8,19000000,23800000,p24.1,"rgb(102, 51, 0)"
chr2-8,23800000,27700000,p23.3,"rgb(173,6,6)"
chr2-8,27700000,29800000,p23.2,"rgb(153, 204, 255)"
chr2-8,29800000,31800000,p23.1,"rgb(173,6,6)"
chr2-8,31800000,36300000,p22.3,"rgb(102, 51, 0)"
chr2-8,36300000,38300000,p22.2,"rgb(173,6,6)"
chr2-8,38300000,41500000,p22.1,"rgb(255, 0, 255)"
chr2-8,41500000,47500000,p21,"rgb(173,6,6)"
chr2-8,47500000,52600000,p16.3,"rgb(153, 255, 102)"
chr2-8,52600000,54700000,p16.2,"rgb(173,6,6)"
chr2-8,54700000,61000000,p16.1,"rgb(153, 255, 102)"
chr2-8,61000000,63900000,p15,"rgb(173,6,6)"
chr2-8,63900000,68400000,p14,"rgb(255, 0, 255)"
chr2-8,68400000,71300000,p13.3,"rgb(173,6,6)"
chr2-8,71300000,73300000,p13.2,"rgb(255, 0, 255)"
chr2-8,73300000,74800000,p13.1,"rgb(173,6,6)"
chr2-8,74800000,83100000,p12,"rgb(153, 255, 102)"
chr2-8,83100000,91800000,p11.2,"rgb(173,6,6)"
chr2-8,91800000,93900000,p11.1,"rgb(130,130,130)"
chr2-8,93900000,96000000,q11.1,"rgb(130,130,130)"
chr2-8,96000000,102100000,q11.2,"rgb(173,6,6)"
chr2-8,102100000,105300000,q12.1,"rgb(255, 0, 255)"
chr2-8,105300000,106700000,q12.2,"rgb(173,6,6)"
chr2-8,106700000,108700000,q12.3,"rgb(153, 204, 255)"
chr2-8,108700000,112200000,q13,"rgb(173,6,6)"
chr2-8,112200000,118100000,q14.1,"rgb(255, 0, 255)"
chr2-8,118100000,121600000,q14.2,"rgb(173,6,6)"
chr2-8,121600000,129100000,q14.3,"rgb(255, 0, 255)"
chr2-8,129100000,131700000,q21.1,"rgb(173,6,6)"
chr2-8,131700000,134300000,q21.2,"rgb(153, 204, 255)"
chr2-8,134300000,136100000,q21.3,"rgb(173,6,6)"
chr2-8,136100000,141500000,q22.1,"rgb(153, 255, 102)"
chr2-8,141500000,143400000,q22.2,"rgb(173,6,6)"
chr2-8,143400000,147900000,q22.3,"rgb(153, 255, 102)"
chr2-8,147900000,149000000,q23.1,"rgb(173,6,6)"
chr2-8,149000000,149600000,q23.2,"rgb(153, 204, 255)"
chr2-8,149600000,154000000,q23.3,"rgb(173,6,6)"
chr2-8,154000000,158900000,q24.1,"rgb(102, 51, 0)"
chr2-8,158900000,162900000,q24.2,"rgb(173,6,6)"
chr2-8,162900000,168900000,q24.3,"rgb(102, 51, 0)"
chr2-8,168900000,177100000,q31.1,"rgb(173,6,6)"
chr2-8,177100000,179700000,q31.2,"rgb(255, 0, 255)"
chr2-8,179700000,182100000,q31.3,"rgb(173,6,6)"
chr2-8,182100000,188500000,q32.1,"rgb(102, 51, 0)"
chr2-8,188500000,191100000,q32.2,"rgb(173,6,6)"
chr2-8,191100000,196600000,q32.3,"rgb(102, 51, 0)"
chr2-8,196600000,202500000,q33.1,"rgb(173,6,6)"
chr2-8,202500000,204100000,q33.2,"rgb(255, 0, 255)"
chr2-8,204100000,208200000,q33.3,"rgb(173,6,6)"
chr2-8,208200000,214500000,q34,"rgb(153, 255, 102)"
chr2-8,214500000,220700000,q35,"rgb(173,6,6)"
chr2-8,220700000,224300000,q36.1,"rgb(102, 51, 0)"
chr2-8,224300000,225200000,q36.2,"rgb(173,6,6)"
chr2-8,225200000,230100000,q36.3,"rgb(153, 255, 102)"
chr2-8,230100000,234700000,q37.1,"rgb(173,6,6)"
chr2-8,234700000,236400000,q37.2,"rgb(255, 0, 255)"
chr2-8,236400000,242193529,q37.3,"rgb(173,6,6)"
chr3-8,0,2800000,p26.3,"rgb(255, 0, 255)"
chr3-8,2800000,4000000,p26.2,"rgb(173,6,6)"
chr3-8,4000000,8100000,p26.1,"rgb(255, 0, 255)"
chr3-8,8100000,11600000,p25.3,"rgb(173,6,6)"
chr3-8,11600000,13200000,p25.2,"rgb(153, 204, 255)"
chr3-8,13200000,16300000,p25.1,"rgb(173,6,6)"
chr3-8,16300000,23800000,p24.3,"rgb(153, 255, 102)"
chr3-8,23800000,26300000,p24.2,"rgb(173,6,6)"
chr3-8,26300000,30800000,p24.1,"rgb(102, 51, 0)"
chr3-8,30800000,32000000,p23,"rgb(173,6,6)"
chr3-8,32000000,36400000,p22.3,"rgb(255, 0, 255)"
chr3-8,36400000,39300000,p22.2,"rgb(173,6,6)"
chr3-8,39300000,43600000,p22.1,"rgb(102, 51, 0)"
chr3-8,43600000,44100000,p21.33,"rgb(173,6,6)"
chr3-8,44100000,44200000,p21.32,"rgb(255, 0, 255)"
chr3-8,44200000,50600000,p21.31,"rgb(173,6,6)"
chr3-8,50600000,52300000,p21.2,"rgb(153, 204, 255)"
chr3-8,52300000,54400000,p21.1,"rgb(173,6,6)"
chr3-8,54400000,58600000,p14.3,"rgb(255, 0, 255)"
chr3-8,58600000,63800000,p14.2,"rgb(173,6,6)"
chr3-8,63800000,69700000,p14.1,"rgb(255, 0, 255)"
chr3-8,69700000,74100000,p13,"rgb(173,6,6)"
chr3-8,74100000,79800000,p12.3,"rgb(102, 51, 0)"
chr3-8,79800000,83500000,p12.2,"rgb(173,6,6)"
chr3-8,83500000,87100000,p12.1,"rgb(102, 51, 0)"
chr3-8,87100000,87800000,p11.2,"rgb(173,6,6)"
chr3-8,87800000,90900000,p11.1,"rgb(130,130,130)"
chr3-8,90900000,94000000,q11.1,"rgb(130,130,130)"
chr3-8,94000000,98600000,q11.2,"rgb(204, 153, 0)"
chr3-8,98600000,100300000,q12.1,"rgb(173,6,6)"
chr3-8,100300000,101200000,q12.2,"rgb(153, 204, 255)"
chr3-8,101200000,103100000,q12.3,"rgb(173,6,6)"
chr3-8,103100000,106500000,q13.11,"rgb(102, 51, 0)"
chr3-8,106500000,108200000,q13.12,"rgb(173,6,6)"
chr3-8,108200000,111600000,q13.13,"rgb(255, 0, 255)"
chr3-8,111600000,113700000,q13.2,"rgb(173,6,6)"
chr3-8,113700000,117600000,q13.31,"rgb(102, 51, 0)"
chr3-8,117600000,119300000,q13.32,"rgb(173,6,6)"
chr3-8,119300000,122200000,q13.33,"rgb(102, 51, 0)"
chr3-8,122200000,124100000,q21.1,"rgb(173,6,6)"
chr3-8,124100000,126100000,q21.2,"rgb(153, 204, 255)"
chr3-8,126100000,129500000,q21.3,"rgb(173,6,6)"
chr3-8,129500000,134000000,q22.1,"rgb(153, 204, 255)"
chr3-8,134000000,136000000,q22.2,"rgb(173,6,6)"
chr3-8,136000000,139000000,q22.3,"rgb(153, 204, 255)"
chr3-8,139000000,143100000,q23,"rgb(173,6,6)"
chr3-8,143100000,149200000,q24,"rgb(153, 255, 102)"
chr3-8,149200000,152300000,q25.1,"rgb(173,6,6)"
chr3-8,152300000,155300000,q25.2,"rgb(255, 0, 255)"
chr3-8,155300000,157300000,q25.31,"rgb(173,6,6)"
chr3-8,157300000,159300000,q25.32,"rgb(255, 0, 255)"
chr3-8,159300000,161000000,q25.33,"rgb(173,6,6)"
chr3-8,161000000,167900000,q26.1,"rgb(153, 255, 102)"
chr3-8,167900000,171200000,q26.2,"rgb(173,6,6)"
chr3-8,171200000,176000000,q26.31,"rgb(102, 51, 0)"
chr3-8,176000000,179300000,q26.32,"rgb(173,6,6)"
chr3-8,179300000,183000000,q26.33,"rgb(102, 51, 0)"
chr3-8,183000000,184800000,q27.1,"rgb(173,6,6)"
chr3-8,184800000,186300000,q27.2,"rgb(153, 204, 255)"
chr3-8,186300000,188200000,q27.3,"rgb(173,6,6)"
chr3-8,188200000,192600000,q28,"rgb(102, 51, 0)"
chr3-8,192600000,198295559,q29,"rgb(173,6,6)"
chr4-8,0,4500000,p16.3,"rgb(173,6,6)"
chr4-8,4500000,6000000,p16.2,"rgb(153, 204, 255)"
chr4-8,6000000,11300000,p16.1,"rgb(173,6,6)"
chr4-8,11300000,15000000,p15.33,"rgb(255, 0, 255)"
chr4-8,15000000,17700000,p15.32,"rgb(173,6,6)"
chr4-8,17700000,21300000,p15.31,"rgb(102, 51, 0)"
chr4-8,21300000,27700000,p15.2,"rgb(173,6,6)"
chr4-8,27700000,35800000,p15.1,"rgb(153, 255, 102)"
chr4-8,35800000,41200000,p14,"rgb(173,6,6)"
chr4-8,41200000,44600000,p13,"rgb(255, 0, 255)"
chr4-8,44600000,48200000,p12,"rgb(173,6,6)"
chr4-8,48200000,50000000,p11,"rgb(130,130,130)"
chr4-8,50000000,51800000,q11,"rgb(130,130,130)"
chr4-8,51800000,58500000,q12,"rgb(173,6,6)"
chr4-8,58500000,65500000,q13.1,"rgb(153, 255, 102)"
chr4-8,65500000,69400000,q13.2,"rgb(173,6,6)"
chr4-8,69400000,75300000,q13.3,"rgb(102, 51, 0)"
chr4-8,75300000,78000000,q21.1,"rgb(173,6,6)"
chr4-8,78000000,81500000,q21.21,"rgb(255, 0, 255)"
chr4-8,81500000,83200000,q21.22,"rgb(173,6,6)"
chr4-8,83200000,86000000,q21.23,"rgb(153, 204, 255)"
chr4-8,86000000,87100000,q21.3,"rgb(173,6,6)"
chr4-8,87100000,92800000,q22.1,"rgb(102, 51, 0)"
chr4-8,92800000,94200000,q22.2,"rgb(173,6,6)"
chr4-8,94200000,97900000,q22.3,"rgb(102, 51, 0)"
chr4-8,97900000,100100000,q23,"rgb(173,6,6)"
chr4-8,100100000,106700000,q24,"rgb(255, 0, 255)"
chr4-8,106700000,113200000,q25,"rgb(173,6,6)"
chr4-8,113200000,119900000,q26,"rgb(102, 51, 0)"
chr4-8,119900000,122800000,q27,"rgb(173,6,6)"
chr4-8,122800000,127900000,q28.1,"rgb(255, 0, 255)"
chr4-8,127900000,130100000,q28.2,"rgb(173,6,6)"
chr4-8,130100000,138500000,q28.3,"rgb(153, 255, 102)"
chr4-8,138500000,140600000,q31.1,"rgb(173,6,6)"
chr4-8,140600000,145900000,q31.21,"rgb(153, 204, 255)"
chr4-8,145900000,147500000,q31.22,"rgb(173,6,6)"
chr4-8,147500000,150200000,q31.23,"rgb(153, 204, 255)"
chr4-8,150200000,154600000,q31.3,"rgb(173,6,6)"
chr4-8,154600000,160800000,q32.1,"rgb(153, 255, 102)"
chr4-8,160800000,163600000,q32.2,"rgb(173,6,6)"
chr4-8,163600000,169200000,q32.3,"rgb(153, 255, 102)"
chr4-8,169200000,171000000,q33,"rgb(173,6,6)"
chr4-8,171000000,175400000,q34.1,"rgb(102, 51, 0)"
chr4-8,175400000,176600000,q34.2,"rgb(173,6,6)"
chr4-8,176600000,182300000,q34.3,"rgb(153, 255, 102)"
chr4-8,182300000,186200000,q35.1,"rgb(173,6,6)"
chr4-8,186200000,190214555,q35.2,"rgb(153, 204, 255)"
chr5-8,0,4400000,p15.33,"rgb(173,6,6)"
chr5-8,4400000,6300000,p15.32,"rgb(153, 204, 255)"
chr5-8,6300000,9900000,p15.31,"rgb(173,6,6)"
chr5-8,9900000,15000000,p15.2,"rgb(255, 0, 255)"
chr5-8,15000000,18400000,p15.1,"rgb(173,6,6)"
chr5-8,18400000,23300000,p14.3,"rgb(153, 255, 102)"
chr5-8,23300000,24600000,p14.2,"rgb(173,6,6)"
chr5-8,24600000,28900000,p14.1,"rgb(153, 255, 102)"
chr5-8,28900000,33800000,p13.3,"rgb(173,6,6)"
chr5-8,33800000,38400000,p13.2,"rgb(153, 204, 255)"
chr5-8,38400000,42500000,p13.1,"rgb(173,6,6)"
chr5-8,42500000,46100000,p12,"rgb(255, 0, 255)"
chr5-8,46100000,48800000,p11,"rgb(130,130,130)"
chr5-8,48800000,51400000,q11.1,"rgb(130,130,130)"
chr5-8,51400000,59600000,q11.2,"rgb(173,6,6)"
chr5-8,59600000,63600000,q12.1,"rgb(102, 51, 0)"
chr5-8,63600000,63900000,q12.2,"rgb(173,6,6)"
chr5-8,63900000,67400000,q12.3,"rgb(102, 51, 0)"
chr5-8,67400000,69100000,q13.1,"rgb(173,6,6)"
chr5-8,69100000,74000000,q13.2,"rgb(255, 0, 255)"
chr5-8,74000000,77600000,q13.3,"rgb(173,6,6)"
chr5-8,77600000,82100000,q14.1,"rgb(255, 0, 255)"
chr5-8,82100000,83500000,q14.2,"rgb(173,6,6)"
chr5-8,83500000,93000000,q14.3,"rgb(153, 255, 102)"
chr5-8,93000000,98900000,q15,"rgb(173,6,6)"
chr5-8,98900000,103400000,q21.1,"rgb(153, 255, 102)"
chr5-8,103400000,105100000,q21.2,"rgb(173,6,6)"
chr5-8,105100000,110200000,q21.3,"rgb(153, 255, 102)"
chr5-8,110200000,112200000,q22.1,"rgb(173,6,6)"
chr5-8,112200000,113800000,q22.2,"rgb(255, 0, 255)"
chr5-8,113800000,115900000,q22.3,"rgb(173,6,6)"
chr5-8,115900000,122100000,q23.1,"rgb(153, 255, 102)"
chr5-8,122100000,127900000,q23.2,"rgb(173,6,6)"
chr5-8,127900000,131200000,q23.3,"rgb(153, 255, 102)"
chr5-8,131200000,136900000,q31.1,"rgb(173,6,6)"
chr5-8,136900000,140100000,q31.2,"rgb(153, 204, 255)"
chr5-8,140100000,145100000,q31.3,"rgb(173,6,6)"
chr5-8,145100000,150400000,q32,"rgb(102, 51, 0)"
chr5-8,150400000,153300000,q33.1,"rgb(173,6,6)"
chr5-8,153300000,156300000,q33.2,"rgb(255, 0, 255)"
chr5-8,156300000,160500000,q33.3,"rgb(173,6,6)"
chr5-8,160500000,169000000,q34,"rgb(153, 255, 102)"
chr5-8,169000000,173300000,q35.1,"rgb(173,6,6)"
chr5-8,173300000,177100000,q35.2,"rgb(153, 204, 255)"
chr5-8,177100000,181538259,q35.3,"rgb(173,6,6)"
chr6-8,0,2300000,p25.3,"rgb(173,6,6)"
chr6-8,2300000,4200000,p25.2,"rgb(153, 204, 255)"
chr6-8,4200000,7100000,p25.1,"rgb(173,6,6)"
chr6-8,7100000,10600000,p24.3,"rgb(255, 0, 255)"
chr6-8,10600000,11600000,p24.2,"rgb(173,6,6)"
chr6-8,11600000,13400000,p24.1,"rgb(153, 204, 255)"
chr6-8,13400000,15200000,p23,"rgb(173,6,6)"
chr6-8,15200000,25200000,p22.3,"rgb(102, 51, 0)"
chr6-8,25200000,27100000,p22.2,"rgb(173,6,6)"
chr6-8,27100000,30500000,p22.1,"rgb(255, 0, 255)"
chr6-8,30500000,32100000,p21.33,"rgb(173,6,6)"
chr6-8,32100000,33500000,p21.32,"rgb(153, 204, 255)"
chr6-8,33500000,36600000,p21.31,"rgb(173,6,6)"
chr6-8,36600000,40500000,p21.2,"rgb(153, 204, 255)"
chr6-8,40500000,46200000,p21.1,"rgb(173,6,6)"
chr6-8,46200000,51800000,p12.3,"rgb(153, 255, 102)"
chr6-8,51800000,53000000,p12.2,"rgb(173,6,6)"
chr6-8,53000000,57200000,p12.1,"rgb(153, 255, 102)"
chr6-8,57200000,58500000,p11.2,"rgb(173,6,6)"
chr6-8,58500000,59800000,p11.1,"rgb(130,130,130)"
chr6-8,59800000,62600000,q11.1,"rgb(130,130,130)"
chr6-8,62600000,62700000,q11.2,"rgb(173,6,6)"
chr6-8,62700000,69200000,q12,"rgb(153, 255, 102)"
chr6-8,69200000,75200000,q13,"rgb(173,6,6)"
chr6-8,75200000,83200000,q14.1,"rgb(255, 0, 255)"
chr6-8,83200000,84200000,q14.2,"rgb(173,6,6)"
chr6-8,84200000,87300000,q14.3,"rgb(255, 0, 255)"
chr6-8,87300000,92500000,q15,"rgb(173,6,6)"
chr6-8,92500000,98900000,q16.1,"rgb(153, 255, 102)"
chr6-8,98900000,100000000,q16.2,"rgb(173,6,6)"
chr6-8,100000000,105000000,q16.3,"rgb(153, 255, 102)"
chr6-8,105000000,114200000,q21,"rgb(173,6,6)"
chr6-8,114200000,117900000,q22.1,"rgb(102, 51, 0)"
chr6-8,117900000,118100000,q22.2,"rgb(173,6,6)"
chr6-8,118100000,125800000,q22.31,"rgb(153, 255, 102)"
chr6-8,125800000,126800000,q22.32,"rgb(173,6,6)"
chr6-8,126800000,130000000,q22.33,"rgb(102, 51, 0)"
chr6-8,130000000,130900000,q23.1,"rgb(173,6,6)"
chr6-8,130900000,134700000,q23.2,"rgb(255, 0, 255)"
chr6-8,134700000,138300000,q23.3,"rgb(173,6,6)"
chr6-8,138300000,142200000,q24.1,"rgb(102, 51, 0)"
chr6-8,142200000,145100000,q24.2,"rgb(173,6,6)"
chr6-8,145100000,148500000,q24.3,"rgb(102, 51, 0)"
chr6-8,148500000,152100000,q25.1,"rgb(173,6,6)"
chr6-8,152100000,155200000,q25.2,"rgb(255, 0, 255)"
chr6-8,155200000,160600000,q25.3,"rgb(173,6,6)"
chr6-8,160600000,164100000,q26,"rgb(255, 0, 255)"
chr6-8,164100000,170805979,q27,"rgb(173,6,6)"
chr7-8,0,2800000,p22.3,"rgb(173,6,6)"
chr7-8,2800000,4500000,p22.2,"rgb(153, 204, 255)"
chr7-8,4500000,7200000,p22.1,"rgb(173,6,6)"
chr7-8,7200000,13700000,p21.3,"rgb(153, 255, 102)"
chr7-8,13700000,16500000,p21.2,"rgb(173,6,6)"
chr7-8,16500000,20900000,p21.1,"rgb(153, 255, 102)"
chr7-8,20900000,25500000,p15.3,"rgb(173,6,6)"
chr7-8,25500000,27900000,p15.2,"rgb(255, 0, 255)"
chr7-8,27900000,28800000,p15.1,"rgb(173,6,6)"
chr7-8,28800000,34900000,p14.3,"rgb(102, 51, 0)"
chr7-8,34900000,37100000,p14.2,"rgb(173,6,6)"
chr7-8,37100000,43300000,p14.1,"rgb(102, 51, 0)"
chr7-8,43300000,45400000,p13,"rgb(173,6,6)"
chr7-8,45400000,49000000,p12.3,"rgb(102, 51, 0)"
chr7-8,49000000,50500000,p12.2,"rgb(173,6,6)"
chr7-8,50500000,53900000,p12.1,"rgb(102, 51, 0)"
chr7-8,53900000,58100000,p11.2,"rgb(173,6,6)"
chr7-8,58100000,60100000,p11.1,"rgb(130,130,130)"
chr7-8,60100000,62100000,q11.1,"rgb(130,130,130)"
chr7-8,62100000,67500000,q11.21,"rgb(173,6,6)"
chr7-8,67500000,72700000,q11.22,"rgb(255, 0, 255)"
chr7-8,72700000,77900000,q11.23,"rgb(173,6,6)"
chr7-8,77900000,86700000,q21.11,"rgb(153, 255, 102)"
chr7-8,86700000,88500000,q21.12,"rgb(173,6,6)"
chr7-8,88500000,91500000,q21.13,"rgb(102, 51, 0)"
chr7-8,91500000,93300000,q21.2,"rgb(173,6,6)"
chr7-8,93300000,98400000,q21.3,"rgb(102, 51, 0)"
chr7-8,98400000,104200000,q22.1,"rgb(173,6,6)"
chr7-8,104200000,104900000,q22.2,"rgb(255, 0, 255)"
chr7-8,104900000,107800000,q22.3,"rgb(173,6,6)"
chr7-8,107800000,115000000,q31.1,"rgb(102, 51, 0)"
chr7-8,115000000,117700000,q31.2,"rgb(173,6,6)"
chr7-8,117700000,121400000,q31.31,"rgb(102, 51, 0)"
chr7-8,121400000,124100000,q31.32,"rgb(173,6,6)"
chr7-8,124100000,127500000,q31.33,"rgb(102, 51, 0)"
chr7-8,127500000,129600000,q32.1,"rgb(173,6,6)"
chr7-8,129600000,130800000,q32.2,"rgb(153, 204, 255)"
chr7-8,130800000,132900000,q32.3,"rgb(173,6,6)"
chr7-8,132900000,138500000,q33,"rgb(255, 0, 255)"
chr7-8,138500000,143400000,q34,"rgb(173,6,6)"
chr7-8,143400000,148200000,q35,"rgb(102, 51, 0)"
chr7-8,148200000,152800000,q36.1,"rgb(173,6,6)"
chr7-8,152800000,155200000,q36.2,"rgb(153, 204, 255)"
chr7-8,155200000,159345973,q36.3,"rgb(173,6,6)"
chr8-8,0,2300000,p23.3,"rgb(173,6,6)"
chr8-8,2300000,6300000,p23.2,"rgb(102, 51, 0)"
chr8-8,6300000,12800000,p23.1,"rgb(173,6,6)"
chr8-8,12800000,19200000,p22,"rgb(153, 255, 102)"
chr8-8,19200000,23500000,p21.3,"rgb(173,6,6)"
chr8-8,23500000,27500000,p21.2,"rgb(255, 0, 255)"
chr8-8,27500000,29000000,p21.1,"rgb(173,6,6)"
chr8-8,29000000,36700000,p12,"rgb(102, 51, 0)"
chr8-8,36700000,38500000,p11.23,"rgb(173,6,6)"
chr8-8,38500000,39900000,p11.22,"rgb(153, 204, 255)"
chr8-8,39900000,43200000,p11.21,"rgb(173,6,6)"
chr8-8,43200000,45200000,p11.1,"rgb(130,130,130)"
chr8-8,45200000,47200000,q11.1,"rgb(130,130,130)"
chr8-8,47200000,51300000,q11.21,"rgb(173,6,6)"
chr8-8,51300000,51700000,q11.22,"rgb(102, 51, 0)"
chr8-8,51700000,54600000,q11.23,"rgb(173,6,6)"
chr8-8,54600000,60600000,q12.1,"rgb(255, 0, 255)"
chr8-8,60600000,61300000,q12.2,"rgb(173,6,6)"
chr8-8,61300000,65100000,q12.3,"rgb(255, 0, 255)"
chr8-8,65100000,67100000,q13.1,"rgb(173,6,6)"
chr8-8,67100000,69600000,q13.2,"rgb(255, 0, 255)"
chr8-8,69600000,72000000,q13.3,"rgb(173,6,6)"
chr8-8,72000000,74600000,q21.11,"rgb(153, 255, 102)"
chr8-8,74600000,74700000,q21.12,"rgb(173,6,6)"
chr8-8,74700000,83500000,q21.13,"rgb(102, 51, 0)"
chr8-8,83500000,85900000,q21.2,"rgb(173,6,6)"
chr8-8,85900000,92300000,q21.3,"rgb(153, 255, 102)"
chr8-8,92300000,97900000,q22.1,"rgb(173,6,6)"
chr8-8,97900000,100500000,q22.2,"rgb(153, 204, 255)"
chr8-8,100500000,105100000,q22.3,"rgb(173,6,6)"
chr8-8,105100000,109500000,q23.1,"rgb(102, 51, 0)"
chr8-8,109500000,111100000,q23.2,"rgb(173,6,6)"
chr8-8,111100000,116700000,q23.3,"rgb(153, 255, 102)"
chr8-8,116700000,118300000,q24.11,"rgb(173,6,6)"
chr8-8,118300000,121500000,q24.12,"rgb(255, 0, 255)"
chr8-8,121500000,126300000,q24.13,"rgb(173,6,6)"
chr8-8,126300000,130400000,q24.21,"rgb(255, 0, 255)"
chr8-8,130400000,135400000,q24.22,"rgb(173,6,6)"
chr8-8,135400000,138900000,q24.23,"rgb(102, 51, 0)"
chr8-8,138900000,145138636,q24.3,"rgb(173,6,6)"
chr9-8,0,2200000,p24.3,"rgb(173,6,6)"
chr9-8,2200000,4600000,p24.2,"rgb(153, 204, 255)"
chr9-8,4600000,9000000,p24.1,"rgb(173,6,6)"
chr9-8,9000000,14200000,p23,"rgb(102, 51, 0)"
chr9-8,14200000,16600000,p22.3,"rgb(173,6,6)"
chr9-8,16600000,18500000,p22.2,"rgb(153, 204, 255)"
chr9-8,18500000,19900000,p22.1,"rgb(173,6,6)"
chr9-8,19900000,25600000,p21.3,"rgb(153, 255, 102)"
chr9-8,25600000,28000000,p21.2,"rgb(173,6,6)"
chr9-8,28000000,33200000,p21.1,"rgb(153, 255, 102)"
chr9-8,33200000,36300000,p13.3,"rgb(173,6,6)"
chr9-8,36300000,37900000,p13.2,"rgb(153, 204, 255)"
chr9-8,37900000,39000000,p13.1,"rgb(173,6,6)"
chr9-8,39000000,40000000,p12,"rgb(255, 0, 255)"
chr9-8,40000000,42200000,p11.2,"rgb(173,6,6)"
chr9-8,42200000,43000000,p11.1,"rgb(130,130,130)"
chr9-8,43000000,45500000,q11,"rgb(130,130,130)"
