,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
212,Choctaw County, AL,01023,2013,2013,,13384,,,,,,
213,Choctaw County, AL,01023,2014,2014,,13310,,,,,,
214,Choctaw County, AL,01023,2015,2015,,13201,,,,,,
215,Choctaw County, AL,01023,2016,2016,,12993,,,,,,
216,Clarke County, AL,01025,1999,1999,,27919,,,,,,
217,Clarke County, AL,01025,2000,2000,,27867,,,,,,
218,Clarke County, AL,01025,2001,2001,,27624,,,,,,
219,Clarke County, AL,01025,2002,2002,,27267,,,,,,
220,Clarke County, AL,01025,2003,2003,,27090,,,,,,
221,Clarke County, AL,01025,2004,2004,,26958,,,,,,
222,Clarke County, AL,01025,2005,2005,,26764,,,,,,
223,Clarke County, AL,01025,2006,2006,,26755,,,,,,
224,Clarke County, AL,01025,2007,2007,,26436,,,,,,
225,Clarke County, AL,01025,2008,2008,,26283,,,,,,
226,Clarke County, AL,01025,2009,2009,,26038,,,,,,
227,Clarke County, AL,01025,2010,2010,,25833,,,,,,
228,Clarke County, AL,01025,2011,2011,,25549,,,,,,
229,Clarke County, AL,01025,2012,2012,,25148,,,,,,
230,Clarke County, AL,01025,2013,2013,,25105,,,,,,
231,Clarke County, AL,01025,2014,2014,,24862,,,,,,
232,Clarke County, AL,01025,2015,2015,,24726,,,,,,
233,Clarke County, AL,01025,2016,2016,,24392,,,,,,
234,Clay County, AL,01027,1999,1999,,14174,,,,,,
235,Clay County, AL,01027,2000,2000,,14254,,,,,,
236,Clay County, AL,01027,2001,2001,,14298,,,,,,
237,Clay County, AL,01027,2002,2002,,14257,,,,,,
238,Clay County, AL,01027,2003,2003,,14203,,,,,,
239,Clay County, AL,01027,2004,2004,,14121,,,,,,
240,Clay County, AL,01027,2005,2005,,14077,,,,,,
241,Clay County, AL,01027,2006,2006,,14053,,,,,,
242,Clay County, AL,01027,2007,2007,,14085,,,,,,
243,Clay County, AL,01027,2008,2008,,14161,,,,,,
244,Clay County, AL,01027,2009,2009,,14006,,,,,,
245,Clay County, AL,01027,2010,2010,,13932,,,,,,
246,Clay County, AL,01027,2011,2011,,13676,,,,,,
247,Clay County, AL,01027,2012,2012,,13461,,,,,,
248,Clay County, AL,01027,2013,2013,,13464,,,,,,
249,Clay County, AL,01027,2014,2014,,13503,,,,,,
250,Clay County, AL,01027,2015,2015,,13495,,,,,,
251,Clay County, AL,01027,2016,2016,,13492,,,,,,
252,Cleburne County, AL,01029,1999,1999,,14039,,,,,,
253,Cleburne County, AL,01029,2000,2000,,14123,,,,,,
254,Cleburne County, AL,01029,2001,2001,,14222,,,,,,
255,Cleburne County, AL,01029,2002,2002,,14416,,,,,,
256,Cleburne County, AL,01029,2003,2003,,14438,,,,,,
257,Cleburne County, AL,01029,2004,2004,,14339,,,,,,
258,Cleburne County, AL,01029,2005,2005,,14368,,,,,,
259,Cleburne County, AL,01029,2006,2006,,14538,,,,,,
260,Cleburne County, AL,01029,2007,2007,,14799,,,,,,
261,Cleburne County, AL,01029,2008,2008,,14874,,,,,,
262,Cleburne County, AL,01029,2009,2009,,14918,,,,,,
263,Cleburne County, AL,01029,2010,2010,,14972,,,,,,
264,Cleburne County, AL,01029,2011,2011,,14976,,,,,,
265,Cleburne County, AL,01029,2012,2012,,14928,,,,,,
266,Cleburne County, AL,01029,2013,2013,,15031,,,,,,
267,Cleburne County, AL,01029,2014,2014,,15076,,,,,,
268,Cleburne County, AL,01029,2015,2015,,14996,,,,,,
269,Cleburne County, AL,01029,2016,2016,,14924,,,,,,
270,Coffee County, AL,01031,1999,1999,,43667,,,,,,
271,Coffee County, AL,01031,2000,2000,,43615,,,,,,
272,Coffee County, AL,01031,2001,2001,,43716,,,,,,
273,Coffee County, AL,01031,2002,2002,,43930,,,,,,
274,Coffee County, AL,01031,2003,2003,,44315,,,,,,
275,Coffee County, AL,01031,2004,2004,,45053,,,,,,
276,Coffee County, AL,01031,2005,2005,,45604,,,,,,
277,Coffee County, AL,01031,2006,2006,,46228,,,,,,
278,Coffee County, AL,01031,2007,2007,,47458,,,,,,
279,Coffee County, AL,01031,2008,2008,,48516,,,,,,
280,Coffee County, AL,01031,2009,2009,,49440,,,,,,
281,Coffee County, AL,01031,2010,2010,,49948,,,,,,
282,Coffee County, AL,01031,2011,2011,,50484,,,,,,
283,Coffee County, AL,01031,2012,2012,,51180,,,,,,
284,Coffee County, AL,01031,2013,2013,,50729,,,,,,
285,Coffee County, AL,01031,2014,2014,,50757,,,,,,
286,Coffee County, AL,01031,2015,2015,,51063,,,,,,
287,Coffee County, AL,01031,2016,2016,,51226,,,,,,
288,Colbert County, AL,01033,1999,1999,,54715,,,,,,
289,Colbert County, AL,01033,2000,2000,,54984,,,,,,
290,Colbert County, AL,01033,2001,2001,,54793,,,,,,
291,Colbert County, AL,01033,2002,2002,,54536,,,,,,
292,Colbert County, AL,01033,2003,2003,,54279,,,,,,
293,Colbert County, AL,01033,2004,2004,,54380,,,,,,
294,Colbert County, AL,01033,2005,2005,,54359,,,,,,
295,Colbert County, AL,01033,2006,2006,,54413,,,,,,
296,Colbert County, AL,01033,2007,2007,,54486,,,,,,
297,Colbert County, AL,01033,2008,2008,,54473,,,,,,
298,Colbert County, AL,01033,2009,2009,,54426,,,,,,
299,Colbert County, AL,01033,2010,2010,,54428,,,,,,
300,Colbert County, AL,01033,2011,2011,,54460,,,,,,
301,Colbert County, AL,01033,2012,2012,,54493,,,,,,
302,Colbert County, AL,01033,2013,2013,,54456,,,,,,
303,Colbert County, AL,01033,2014,2014,,54427,,,,,,
304,Colbert County, AL,01033,2015,2015,,54295,,,,,,
305,Colbert County, AL,01033,2016,2016,,54216,,,,,,
306,Conecuh County, AL,01035,1999,1999,,14158,,,,,,
307,Conecuh County, AL,01035,2000,2000,,14089,,,,,,
308,Conecuh County, AL,01035,2001,2001,,13940,,,,,,
309,Conecuh County, AL,01035,2002,2002,,13793,,,,,,
310,Conecuh County, AL,01035,2003,2003,,13585,,,,,,
311,Conecuh County, AL,01035,2004,2004,,13430,,,,,,
312,Conecuh County, AL,01035,2005,2005,,13421,,,,,,
313,Conecuh County, AL,01035,2006,2006,,13603,,,,,,
314,Conecuh County, AL,01035,2007,2007,,13441,,,,,,
315,Conecuh County, AL,01035,2008,2008,,13388,,,,,,
316,Conecuh County, AL,01035,2009,2009,,13274,,,,,,
317,Conecuh County, AL,01035,2010,2010,,13228,,,,,,
318,Conecuh County, AL,01035,2011,2011,,13193,,,,,,
319,Conecuh County, AL,01035,2012,2012,,13007,,,,,,
320,Conecuh County, AL,01035,2013,2013,,12866,,,,,,
321,Conecuh County, AL,01035,2014,2014,,12621,,,,,,
322,Conecuh County, AL,01035,2015,2015,,12597,,,,,,
323,Conecuh County, AL,01035,2016,2016,,12395,,,,,,
324,Coosa County, AL,01037,1999,1999,,12135,,,,,,
325,Coosa County, AL,01037,2000,2000,,12202,,,,,,
326,Coosa County, AL,01037,2001,2001,,11848,,,,,,
327,Coosa County, AL,01037,2002,2002,,11740,,,,,,
328,Coosa County, AL,01037,2003,2003,,11732,,,,,,
329,Coosa County, AL,01037,2004,2004,,11560,,,,,,
330,Coosa County, AL,01037,2005,2005,,11467,,,,,,
331,Coosa County, AL,01037,2006,2006,,11451,,,,,,
332,Coosa County, AL,01037,2007,2007,,11439,,,,,,
333,Coosa County, AL,01037,2008,2008,,11493,,,,,,
334,Coosa County, AL,01037,2009,2009,,11410,,,,,,
335,Coosa County, AL,01037,2010,2010,,11539,,,,,,
336,Coosa County, AL,01037,2011,2011,,11369,,,,,,
337,Coosa County, AL,01037,2012,2012,,11201,,,,,,
338,Coosa County, AL,01037,2013,2013,,11058,,,,,,
339,Coosa County, AL,01037,2014,2014,,10794,,,,,,
340,Coosa County, AL,01037,2015,2015,,10687,,,,,,
341,Coosa County, AL,01037,2016,2016,,10581,,,,,,
342,Covington County, AL,01039,1999,1999,,37843,,,,,,
343,Covington County, AL,01039,2000,2000,,37631,,,,,,
344,Covington County, AL,01039,2001,2001,,37069,,,,,,
345,Covington County, AL,01039,2002,2002,,36901,,,,,,
346,Covington County, AL,01039,2003,2003,,36860,,,,,,
347,Covington County, AL,01039,2004,2004,,36806,,,,,,
348,Covington County, AL,01039,2005,2005,,37204,,,,,,
349,Covington County, AL,01039,2006,2006,,37441,,,,,,
350,Covington County, AL,01039,2007,2007,,37631,,,,,,
351,Covington County, AL,01039,2008,2008,,37545,,,,,,
352,Covington County, AL,01039,2009,2009,,37648,,,,,,
353,Covington County, AL,01039,2010,2010,,37765,,,,,,
354,Covington County, AL,01039,2011,2011,,38066,,,,,,
355,Covington County, AL,01039,2012,2012,,37842,,,,,,
356,Covington County, AL,01039,2013,2013,,37890,,,,,,
357,Covington County, AL,01039,2014,2014,,37795,,,,,,
358,Covington County, AL,01039,2015,2015,,37661,,,,,,
359,Covington County, AL,01039,2016,2016,,37458,,,,,,
360,Crenshaw County, AL,01041,1999,1999,,13584,,,,,,
361,Crenshaw County, AL,01041,2000,2000,,13665,,,,,,
362,Crenshaw County, AL,01041,2001,2001,,13724,,,,,,
363,Crenshaw County, AL,01041,2002,2002,,13635,,,,,,
364,Crenshaw County, AL,01041,2003,2003,,13652,,,,,,
365,Crenshaw County, AL,01041,2004,2004,,13727,,,,,,
366,Crenshaw County, AL,01041,2005,2005,,13699,,,,,,
367,Crenshaw County, AL,01041,2006,2006,,13880,,,,,,
368,Crenshaw County, AL,01041,2007,2007,,13956,,,,,,
369,Crenshaw County, AL,01041,2008,2008,,13922,,,,,,
370,Crenshaw County, AL,01041,2009,2009,,14024,,,,,,
371,Crenshaw County, AL,01041,2010,2010,,13906,,,,,,
372,Crenshaw County, AL,01041,2011,2011,,13903,,,,,,
373,Crenshaw County, AL,01041,2012,2012,,13920,,,,,,
374,Crenshaw County, AL,01041,2013,2013,,13874,,,,,,
375,Crenshaw County, AL,01041,2014,2014,,13898,,,,,,
376,Crenshaw County, AL,01041,2015,2015,,13876,,,,,,
377,Crenshaw County, AL,01041,2016,2016,,13913,,,,,,
378,Cullman County, AL,01043,1999,1999,,77065,,,,,,
379,Cullman County, AL,01043,2000,2000,,77483,,,,,,
380,Cullman County, AL,01043,2001,2001,,77415,,,,,,
381,Cullman County, AL,01043,2002,2002,,77443,,,,,,
382,Cullman County, AL,01043,2003,2003,,77657,,,,,,
383,Cullman County, AL,01043,2004,2004,,78131,,,,,,
384,Cullman County, AL,01043,2005,2005,,78692,,,,,,
385,Cullman County, AL,01043,2006,2006,,79044,,,,,,
386,Cullman County, AL,01043,2007,2007,,79576,,,,,,
387,Cullman County, AL,01043,2008,2008,11,80273,13.7 (Unreliable),6.8,24.5,13.5 (Unreliable),6.7,24.1
388,Cullman County, AL,01043,2009,2009,,80351,,,,,,
389,Cullman County, AL,01043,2010,2010,,80406,,,,,,
390,Cullman County, AL,01043,2011,2011,10,80457,12.4 (Unreliable),6.0,22.9,12.4 (Unreliable),5.7,23.6
391,Cullman County, AL,01043,2012,2012,12,80351,14.9 (Unreliable),7.7,26.1,16.3 (Unreliable),8.4,28.5
392,Cullman County, AL,01043,2013,2013,16,80731,19.8 (Unreliable),11.3,32.2,20.7 (Unreliable),11.6,34.1
393,Cullman County, AL,01043,2014,2014,30,81167,37.0,24.9,52.8,35.9,23.8,51.8
394,Cullman County, AL,01043,2015,2015,16,81858,19.5 (Unreliable),11.2,31.7,20.8 (Unreliable),11.7,34.4
395,Cullman County, AL,01043,2016,2016,19,82471,23.0 (Unreliable),13.9,36.0,25.1 (Unreliable),14.9,39.7
396,Dale County, AL,01045,1999,1999,,49118,,,,,,
397,Dale County, AL,01045,2000,2000,,49129,,,,,,
398,Dale County, AL,01045,2001,2001,,49254,,,,,,
399,Dale County, AL,01045,2002,2002,,49373,,,,,,
400,Dale County, AL,01045,2003,2003,,49215,,,,,,
401,Dale County, AL,01045,2004,2004,,49245,,,,,,
402,Dale County, AL,01045,2005,2005,,49050,,,,,,
403,Dale County, AL,01045,2006,2006,,49077,,,,,,
404,Dale County, AL,01045,2007,2007,,49488,,,,,,
405,Dale County, AL,01045,2008,2008,,49871,,,,,,
406,Dale County, AL,01045,2009,2009,,49854,,,,,,
407,Dale County, AL,01045,2010,2010,,50251,,,,,,
408,Dale County, AL,01045,2011,2011,,50119,,,,,,
409,Dale County, AL,01045,2012,2012,,50296,,,,,,
410,Dale County, AL,01045,2013,2013,,49753,,,,,,
411,Dale County, AL,01045,2014,2014,,49389,,,,,,
412,Dale County, AL,01045,2015,2015,,49370,,,,,,
413,Dale County, AL,01045,2016,2016,,49226,,,,,,
414,Dallas County, AL,01047,1999,1999,,46722,,,,,,
